feature_id,feature_value,Nz,Ez
ciphertext,"u=0.0|v=0.0",4807936,0
ciphertext,"u=0.0|v=0.1",2422144,0
ciphertext,"u=0.0|v=0.10",2422144,0
ciphertext,"u=0.0|v=0.11",22784,0
ciphertext,"u=0.0|v=0.12",5184,32
ciphertext,"u=0.0|v=0.13",1152,576
ciphertext,"u=0.0|v=0.14",5184,32
ciphertext,"u=0.0|v=0.15",22784,0
ciphertext,"u=0.0|v=0.16",2422144,0
ciphertext,"u=0.0|v=0.2",22784,0
ciphertext,"u=0.0|v=0.3",5152,0
ciphertext,"u=0.0|v=0.4",608,32
ciphertext,"u=0.0|v=0.5",608,32
ciphertext,"u=0.0|v=0.6",5152,0
ciphertext,"u=0.0|v=0.7",22784,0
ciphertext,"u=0.0|v=0.8",2422144,0
ciphertext,"u=0.0|v=0.9",4807936,0
ciphertext,"u=0.0|v=1.0",2422144,0
ciphertext,"u=0.0|v=1.1",1225056,0
ciphertext,"u=0.0|v=1.10",1225056,0
ciphertext,"u=0.0|v=1.11",17344,0
ciphertext,"u=0.0|v=1.12",3776,16
ciphertext,"u=0.0|v=1.13",832,416
ciphertext,"u=0.0|v=1.14",3776,16
ciphertext,"u=0.0|v=1.15",17344,0
ciphertext,"u=0.0|v=1.16",1225056,0
ciphertext,"u=0.0|v=1.2",17344,0
ciphertext,"u=0.0|v=1.3",3760,0
ciphertext,"u=0.0|v=1.4",432,16
ciphertext,"u=0.0|v=1.5",432,16
ciphertext,"u=0.0|v=1.6",3760,0
ciphertext,"u=0.0|v=1.7",17344,0
ciphertext,"u=0.0|v=1.8",1225056,0
ciphertext,"u=0.0|v=1.9",2422144,0
ciphertext,"u=0.0|v=10.0",2422144,0
ciphertext,"u=0.0|v=10.1",1225056,0
ciphertext,"u=0.0|v=10.10",1225056,0
ciphertext,"u=0.0|v=10.11",17344,0
ciphertext,"u=0.0|v=10.12",3776,16
ciphertext,"u=0.0|v=10.13",832,416
ciphertext,"u=0.0|v=10.14",3776,16
ciphertext,"u=0.0|v=10.15",17344,0
ciphertext,"u=0.0|v=10.16",1225056,0
ciphertext,"u=0.0|v=10.2",17344,0
ciphertext,"u=0.0|v=10.3",3760,0
ciphertext,"u=0.0|v=10.4",432,16
ciphertext,"u=0.0|v=10.5",432,16
ciphertext,"u=0.0|v=10.6",3760,0
ciphertext,"u=0.0|v=10.7",17344,0
ciphertext,"u=0.0|v=10.8",1225056,0
ciphertext,"u=0.0|v=10.9",2422144,0
ciphertext,"u=0.0|v=11.0",22784,0
ciphertext,"u=0.0|v=11.1",17344,0
ciphertext,"u=0.0|v=11.10",17344,0
ciphertext,"u=0.0|v=11.11",7296,0
ciphertext,"u=0.0|v=11.12",1472,0
ciphertext,"u=0.0|v=11.13",256,128
ciphertext,"u=0.0|v=11.14",1472,0
ciphertext,"u=0.0|v=11.15",7296,0
ciphertext,"u=0.0|v=11.16",17344,0
ciphertext,"u=0.0|v=11.2",7296,0
ciphertext,"u=0.0|v=11.3",1472,0
ciphertext,"u=0.0|v=11.4",128,0
ciphertext,"u=0.0|v=11.5",128,0
ciphertext,"u=0.0|v=11.6",1472,0
ciphertext,"u=0.0|v=11.7",7296,0
ciphertext,"u=0.0|v=11.8",17344,0
ciphertext,"u=0.0|v=11.9",22784,0
ciphertext,"u=0.0|v=12.0",5184,32
ciphertext,"u=0.0|v=12.1",3776,16
ciphertext,"u=0.0|v=12.10",3776,16
ciphertext,"u=0.0|v=12.11",1472,0
ciphertext,"u=0.0|v=12.12",288,0
ciphertext,"u=0.0|v=12.14",288,0
ciphertext,"u=0.0|v=12.15",1472,0
ciphertext,"u=0.0|v=12.16",3776,16
ciphertext,"u=0.0|v=12.2",1472,0
ciphertext,"u=0.0|v=12.3",288,0
ciphertext,"u=0.0|v=12.6",288,0
ciphertext,"u=0.0|v=12.7",1472,0
ciphertext,"u=0.0|v=12.8",3776,16
ciphertext,"u=0.0|v=12.9",5184,32
ciphertext,"u=0.0|v=13.0",1152,576
ciphertext,"u=0.0|v=13.1",832,416
ciphertext,"u=0.0|v=13.10",832,416
ciphertext,"u=0.0|v=13.11",256,128
ciphertext,"u=0.0|v=13.15",256,128
ciphertext,"u=0.0|v=13.16",832,416
