rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,u=0.0|v=0.13,9,9469952,4096,15,20.005000681058366,8.093109404391482
2,u=0.0|v=1.13,31,18939904,4096,15,19.220729372113805,8.093109404391482
3,u=0.0|v=10.13,11,4734976,4096,15,18.71549406386338,8.093109404391482
4,u=0.0|v=11.13,3,1183744,4096,15,18.589963181779524,8.093109404391482
5,u=0.0|v=13.0,33,9469952,4096,15,18.130531563142224,8.093109404391482
6,u=0.0|v=13.1,79,18939904,4096,15,17.871144934323574,8.093109404391482
7,u=0.0|v=13.10,23,4734976,4096,15,17.651363726443666,8.093109404391482
8,u=0.0|v=13.11,3,591872,4096,15,17.589963181779524,8.093109404391482
9,u=0.0|v=13.15,25,4734976,4096,15,17.531069492725955,8.093109404391482
10,u=0.0|v=13.16,113,18939904,4096,15,17.35474672008549,8.093109404391482
11,u=0.0|v=13.2,117,18939904,4096,15,17.304560962917275,8.093109404391482
12,u=0.0|v=13.7,121,18939904,4096,15,17.256062445226085,8.093109404391482
13,u=0.0|v=13.8,67,9469952,4096,15,17.108836492042908,8.093109404391482
14,u=0.0|v=13.9,19,2367488,4096,15,16.926998169057093,8.093109404391482
15,u=0.0|v=15.13,39,4734976,4096,15,16.88952346363843,8.093109404391482
16,u=0.0|v=16.13,169,18939904,4096,15,16.774046246218493,8.093109404391482
17,u=0.0|v=2.13,173,18939904,4096,15,16.740297454863953,8.093109404391482
18,u=0.0|v=7.13,177,18939904,4096,15,16.70732013241768,8.093109404391482
19,u=0.0|v=8.13,95,9469952,4096,15,16.60507007416973,8.093109404391482
20,u=0.0|v=9.13,13,1183744,4096,15,16.474485964359587,8.093109404391482
21,u=10.10|v=13.13,219,18939904,888832,3285,16.400138622899505,8.079873577234787
22,u=10.7|v=13.13,115,9469952,462848,1725,16.329435631556304,8.067798315862294
23,u=7.10|v=13.13,241,18939904,192512,723,16.26203634627072,8.05673701472652
24,u=7.7|v=13.13,63,4734976,249856,945,16.19764575900076,8.046566818454451
25,u=13.13|v=0.13,265,18939904,345088,1325,16.125077133050116,8.024828136843935
26,u=13.13|v=13.0,139,9469952,535552,2085,16.05598460977717,8.004835467914916
27,u=13.13|v=13.9,291,18939904,1106944,4365,15.990050339592395,7.986384869217848
28,u=13.13|v=9.13,19,1183744,23808,95,15.926998169057093,7.969303202777084
29,u=13.4|v=0.13,317,18939904,1178624,4755,15.866586652361272,7.953442492384305
30,u=13.4|v=13.0,165,9469952,607232,2475,15.808603468254864,7.938675484691669
31,u=13.4|v=13.9,343,18939904,416768,1715,15.752860916327867,7.924892123206073
32,u=13.4|v=9.13,89,4734976,321536,1335,15.699192251534281,7.911996722316711
33,u=4.13|v=0.13,369,18939904,1321984,5535,15.647448676440282,7.899905683638276
34,u=4.13|v=13.0,191,9469952,226304,955,15.59749685446493,7.88854563646832
35,u=4.13|v=13.9,395,18939904,1393664,5925,15.549216839436214,7.8778519128310105
36,u=4.13|v=9.13,3,139264,178688,765,15.502500340529183,7.867767288629638
37,u=4.4|v=0.13,421,18939904,488448,2105,15.457249259434283,7.858240938051753
38,u=4.4|v=13.0,217,9469952,750592,3255,15.4133744500562,7.849227560080814
39,u=4.4|v=13.9,447,18939904,1537024,6705,15.370794661317362,7.840686644828852
40,u=4.4|v=9.13,115,4734976,131072,575,15.329435631556304,7.832581854168263
41,u=1.16|v=13.13,465,18939904,176128,775,15.313838776505285,7.828212254540498
42,u=1.1|v=13.13,235,9469952,53248,235,15.298408735935679,7.823922771576092
43,u=16.16|v=13.13,475,18939904,536576,2375,15.283141979282368,7.819711203431778
44,u=16.1|v=13.13,15,591872,5632,25,15.26803508689216,7.815575428862573
45,u=8.8|v=12.13,241,9469952,270848,1205,15.262036346270717,7.8123064809967016
46,u=8.8|v=13.12,121,4734976,27136,121,15.256062445226084,7.809057217288605
47,u=8.8|v=13.14,243,9469952,30208,135,15.250113178894898,7.805827452311011
48,u=8.8|v=14.13,61,2367488,68096,305,15.244188344937793,7.802617003050941
49,u=8.9|v=12.13,245,9469952,272896,1225,15.238287743498109,7.799425688869243
50,u=8.9|v=13.12,123,4734976,45568,205,15.232411177161438,7.796253331460952
51,u=8.9|v=13.14,247,9469952,54784,247,15.226558450916,7.7930997548164695
52,u=8.9|v=14.13,31,1183744,34304,155,15.220729372113803,7.7899647851835345
53,u=9.8|v=12.13,249,9469952,91648,415,15.214923750432598,7.786848251029969
54,u=9.8|v=13.12,125,4734976,137728,625,15.209141397838591,7.783749983007175
55,u=9.8|v=13.14,251,9469952,275968,1255,15.203382128549906,7.780669813914371
56,u=9.8|v=14.13,63,2367488,1536,7,15.197645759000762,7.777607578663552
57,u=9.9|v=12.13,253,9469952,276992,1265,15.19193210780637,7.774563114245143
58,u=9.9|v=13.12,127,4734976,138752,635,15.186240995728513,7.771536259694344
59,u=9.9|v=13.14,15,557056,92672,425,15.180572245641821,7.768526856058141
60,u=9.9|v=14.13,1,36992,1088,5,15.174925682500678,7.765534746362977
61,u=0.8|v=1.13,4169,151519232,2695168,12507,15.14944002569229,7.7514956162056965
62,u=0.8|v=13.1,2121,75759616,6791168,31815,15.124396776970123,7.737808790356677
63,u=0.8|v=13.8,4315,151519232,4562944,21575,15.099780838434361,7.724460578386352
64,u=0.8|v=8.13,1097,37879808,3448832,16455,15.075577872097487,7.711438017054685
65,u=0.9|v=1.13,4461,151519232,13901824,66915,15.051774249727105,7.69872882116057
66,u=0.9|v=13.1,2267,75759616,466944,2267,15.028357006759894,7.686321338423956
67,u=0.9|v=13.8,271,8912896,14114816,69105,15.005313799896468,7.6742045080122185
68,u=0.9|v=8.13,585,18939904,1777664,8775,14.982632868029912,7.662367822365194
69,u=8.0|v=1.13,4753,151519232,4775936,23765,14.960302996198344,7.650801292010798
70,u=8.0|v=13.1,2413,75759616,7217152,36195,14.938313482284928,7.639495413096144
71,u=8.0|v=13.8,4899,151519232,40960,207,14.916654106217827,7.628441137388037
72,u=8.0|v=8.13,1243,37879808,1220608,6215,14.895315101448194,7.617629844522314
73,u=9.0|v=1.13,5045,151519232,14753792,75675,14.874287128506959,7.607053316304038
74,u=9.0|v=13.1,2559,75759616,7430144,38385,14.853561250461233,7.596703712880558
75,u=9.0|v=13.8,5191,151519232,172032,895,14.83312891010885,7.586573550627142
76,u=9.0|v=8.13,329,9469952,188416,987,14.812981908765437,7.576655681600616
77,u=13.13|v=0.4,10813,303038464,925696,4915,14.774446457522801,7.557203261187245
78,u=13.13|v=0.5,5549,151519232,15474688,83235,14.736913594849547,7.53850430312872
79,u=13.13|v=4.0,11383,303038464,31350784,170745,14.700332471603994,7.520514379163294
80,u=13.13|v=4.9,2917,75759616,2646016,14585,14.664656011602501,7.503192588908385
81,u=13.13|v=5.0,11953,303038464,6430720,35859,14.629840547344427,7.486501207901583
82,u=13.13|v=5.9,6119,151519232,16277504,91785,14.595845498665922,7.470405377806395
83,u=13.13|v=9.4,12523,303038464,10985472,62615,14.562633088391166,7.4548728329076
84,u=13.13|v=9.5,1601,37879808,4169728,24015,14.530168089984421,7.43987365795092
85,u=13.4|v=0.4,13093,303038464,33759232,196395,14.49841760297613,7.425380073147432
86,u=13.4|v=0.5,6689,151519232,1138688,6689,14.467350852573706,7.411366242796534
87,u=13.4|v=4.0,13663,303038464,34562048,204945,14.436939010397408,7.397808104507562
88,u=13.4|v=4.9,3487,75759616,794624,4755,14.407155033723974,7.384683216439202
89,u=13.4|v=5.0,14233,303038464,11788288,71165,14.377973520991363,7.37197062034362
90,u=13.4|v=5.9,427,8912896,17883136,108885,14.349370581629849,7.359650718511443
91,u=13.4|v=9.4,14803,303038464,7233536,44409,14.32132371854804,7.347705162974672
92,u=13.4|v=9.5,943,18939904,761856,4715,14.293811721825582,7.336116755545572
93,u=4.13|v=0.4,15373,303038464,36970496,230595,14.266814572354031,7.324869357457322
94,u=4.13|v=0.5,7829,151519232,18685952,117435,14.240313354329281,7.313947807532221
95,u=4.13|v=4.0,15943,303038464,12591104,79715,14.21429017563737,7.3033378479401
96,u=4.13|v=4.9,4057,75759616,1908736,12171,14.188728095294406,7.293026056726851
97,u=4.13|v=5.0,16513,303038464,38576128,247695,14.163611057203612,7.282999786393943
98,u=4.13|v=5.9,8399,151519232,6496256,41995,14.138923829580815,7.2732471078967516
99,u=4.13|v=9.4,17083,303038464,3579904,23295,14.11465194947608,7.263756759504779
100,u=4.13|v=9.5,2171,37879808,4972544,32565,14.090781671885534,7.254518100032019
101,u=4.4|v=0.4,17653,303038464,2678784,17653,14.067299923005006,7.245521066002409
102,u=4.4|v=0.5,8969,151519232,20291584,134535,14.044194257227462,7.236756132364627
103,u=4.4|v=4.0,18223,303038464,40984576,273345,14.02145281753009,7.2282142764135955
104,u=4.4|v=4.9,4627,75759616,3448832,23135,13.999064298935384,7.219886944613738
105,u=4.4|v=5.0,18793,303038464,41787392,281895,13.977017914764325,7.21176602205207
106,u=4.4|v=5.9,9539,151519232,4218880,28617,13.955303365429517,7.203843804278262
107,u=4.4|v=9.4,67,1048576,14196736,96815,13.933910809542228,7.196112971314356
108,u=4.4|v=9.5,307,4734976,671744,4605,13.9128308371305,7.188566563639386
109,u=0.8|v=0.13,9901,151519232,7200768,49505,13.90156715323398,7.184432730989343
110,u=0.8|v=13.0,4989,75759616,2170880,14967,13.890390728492253,7.18035109472098
111,u=0.8|v=13.9,10055,151519232,21815296,150825,13.879300221307965,7.1763206564093815
112,u=0.8|v=9.13,149,2228224,1826816,12665,13.868294320788177,7.172340443320442
113,u=0.9|v=0.13,10209,151519232,22028288,153135,13.857371745814515,7.16840950757819
114,u=0.9|v=13.0,5143,75759616,11067392,77145,13.846531244148222,7.164526925364709
115,u=0.9|v=13.9,10363,151519232,1482752,10363,13.83577159156862,7.160691796151146
116,u=0.9|v=9.13,1305,18939904,2793472,19575,13.825091591043432,7.156903241958407
117,u=8.0|v=0.13,10517,151519232,22454272,157755,13.814490071929608,7.153160406646187
118,u=8.0|v=13.0,5297,75759616,3760128,26485,13.803965889203294,7.1494624552290595
119,u=8.0|v=13.9,10671,151519232,22667264,160065,13.793517922717673,7.14580857321843
120,u=8.0|v=9.13,2687,37879808,1138688,8061,13.783145076487513,7.142197965989185
121,u=9.0|v=0.13,10825,151519232,7626752,54125,13.772846277999228,7.138629858169982
122,u=9.0|v=13.0,5451,75759616,499712,3555,13.762620477545408,7.135103493056109
123,u=9.0|v=13.9,10979,151519232,23093248,164685,13.752466647582741,7.131618132043966
124,u=9.0|v=9.13,691,9469952,483328,3455,13.74238378211242,7.12817305408622
125,u=8.8|v=13.3,5537,75759616,110592,791,13.740036875970283,7.127353617690677
126,u=8.8|v=13.6,2773,37879808,1937408,13865,13.7376937814612,7.126536377412554
127,u=8.8|v=3.13,5555,75759616,3878912,27775,13.735354486224225,7.1257213243045685
128,u=8.8|v=6.13,1391,18939904,970752,6955,13.733018977958439,7.124908449468657
129,u=8.9|v=13.3,5573,75759616,3887104,27865,13.730687244422574,7.124097744055642
130,u=8.9|v=13.6,2791,37879808,389120,2791,13.728359273434611,7.123289199264881
