feature_id,feature_value,Nz,Ez
ciphertext,"u=0.0|v=0.0",81553664,2816
ciphertext,"u=0.0|v=0.1",607488,303744
ciphertext,"u=0.0|v=0.2",80871984,1424
ciphertext,"u=0.0|v=0.3",1286608,982864
ciphertext,"u=0.0|v=1.0",607488,303744
ciphertext,"u=0.0|v=1.1",71424,53568
ciphertext,"u=0.0|v=1.2",529760,264880
ciphertext,"u=0.0|v=1.3",149152,131296
ciphertext,"u=0.0|v=2.0",80871984,1424
ciphertext,"u=0.0|v=2.1",529760,264880
ciphertext,"u=0.0|v=2.2",80274400,256
ciphertext,"u=0.0|v=2.3",1125008,860128
ciphertext,"u=0.0|v=3.0",1286608,982864
ciphertext,"u=0.0|v=3.1",149152,131296
ciphertext,"u=0.0|v=3.2",1125008,860128
ciphertext,"u=0.0|v=3.3",310528,292672
ciphertext,"u=0.1|v=0.0",2537464,50808
ciphertext,"u=0.1|v=0.1",929200,46864
ciphertext,"u=0.1|v=0.2",2156812,28148
ciphertext,"u=0.1|v=0.3",1274252,208324
ciphertext,"u=0.1|v=1.0",929200,46864
ciphertext,"u=0.1|v=1.1",374208,58592
ciphertext,"u=0.1|v=1.2",770488,31056
ciphertext,"u=0.1|v=1.3",516952,137696
ciphertext,"u=0.1|v=2.0",2156812,28148
ciphertext,"u=0.1|v=2.1",770488,31056
ciphertext,"u=0.1|v=2.2",1839264,12000
ciphertext,"u=0.1|v=2.3",1059036,164484
ciphertext,"u=0.1|v=3.0",1274252,208324
ciphertext,"u=0.1|v=3.1",516952,137696
ciphertext,"u=0.1|v=3.2",1059036,164484
ciphertext,"u=0.1|v=3.3",709952,258776
ciphertext,"u=0.2|v=0.0",1760608,441504
ciphertext,"u=0.2|v=0.1",1251064,212520
ciphertext,"u=0.2|v=0.2",1476424,282416
ciphertext,"u=0.2|v=0.3",1298528,326104
ciphertext,"u=0.2|v=1.0",1251064,212520
ciphertext,"u=0.2|v=1.1",843264,98624
ciphertext,"u=0.2|v=1.2",1012968,132248
ciphertext,"u=0.2|v=1.3",924064,213280
ciphertext,"u=0.2|v=2.0",1476424,282416
ciphertext,"u=0.2|v=2.1",1012968,132248
ciphertext,"u=0.2|v=2.2",1246784,173000
ciphertext,"u=0.2|v=2.3",1051216,221468
ciphertext,"u=0.2|v=3.0",1298528,326104
ciphertext,"u=0.2|v=3.1",924064,213280
ciphertext,"u=0.2|v=3.2",1051216,221468
ciphertext,"u=0.2|v=3.3",995184,319736
ciphertext,"u=0.3|v=0.0",2923240,17728
ciphertext,"u=0.3|v=0.1",998832,52216
ciphertext,"u=0.3|v=0.2",2524572,12532
ciphertext,"u=0.3|v=0.3",953612,221088
ciphertext,"u=0.3|v=1.0",998832,52216
ciphertext,"u=0.3|v=1.1",386304,70688
ciphertext,"u=0.3|v=1.2",848976,41200
ciphertext,"u=0.3|v=1.3",377088,127064
ciphertext,"u=0.3|v=2.0",2524572,12532
ciphertext,"u=0.3|v=2.1",848976,41200
ciphertext,"u=0.3|v=2.2",2183920,8464
ciphertext,"u=0.3|v=2.3",811876,186924
ciphertext,"u=0.3|v=3.0",953612,221088
ciphertext,"u=0.3|v=3.1",377088,127064
ciphertext,"u=0.3|v=3.2",811876,186924
ciphertext,"u=0.3|v=3.3",350992,154608
ciphertext,"u=0.4|v=0.0",3916544,256
ciphertext,"u=0.4|v=0.1",528080,264040
ciphertext,"u=0.4|v=0.2",3554992,192
ciphertext,"u=0.4|v=0.3",590464,401184
ciphertext,"u=0.4|v=1.0",528080,264040
ciphertext,"u=0.4|v=1.1",98176,80352
ciphertext,"u=0.4|v=1.2",477760,238880
ciphertext,"u=0.4|v=1.3",86896,74656
ciphertext,"u=0.4|v=2.0",3554992,192
ciphertext,"u=0.4|v=2.1",477760,238880
ciphertext,"u=0.4|v=2.2",3224448,128
ciphertext,"u=0.4|v=2.3",542480,370024
ciphertext,"u=0.4|v=3.0",590464,401184
ciphertext,"u=0.4|v=3.1",86896,74656
ciphertext,"u=0.4|v=3.2",542480,370024
ciphertext,"u=0.4|v=3.3",73856,65712
ciphertext,"u=0.5|v=0.0",2923240,17728
ciphertext,"u=0.5|v=0.1",998832,52216
ciphertext,"u=0.5|v=0.2",2524572,12532
ciphertext,"u=0.5|v=0.3",953612,221088
ciphertext,"u=0.5|v=1.0",998832,52216
ciphertext,"u=0.5|v=1.1",386304,70688
ciphertext,"u=0.5|v=1.2",848976,41200
ciphertext,"u=0.5|v=1.3",377088,127064
ciphertext,"u=0.5|v=2.0",2524572,12532
ciphertext,"u=0.5|v=2.1",848976,41200
ciphertext,"u=0.5|v=2.2",2183920,8464
ciphertext,"u=0.5|v=2.3",811876,186924
ciphertext,"u=0.5|v=3.0",953612,221088
ciphertext,"u=0.5|v=3.1",377088,127064
ciphertext,"u=0.5|v=3.2",811876,186924
ciphertext,"u=0.5|v=3.3",350992,154608
ciphertext,"u=0.6|v=0.0",1760608,441504
ciphertext,"u=0.6|v=0.1",1251064,212520
ciphertext,"u=0.6|v=0.2",1476424,282416
ciphertext,"u=0.6|v=0.3",1298528,326104
ciphertext,"u=0.6|v=1.0",1251064,212520
ciphertext,"u=0.6|v=1.1",843264,98624
ciphertext,"u=0.6|v=1.2",1012968,132248
ciphertext,"u=0.6|v=1.3",924064,213280
ciphertext,"u=0.6|v=2.0",1476424,282416
ciphertext,"u=0.6|v=2.1",1012968,132248
ciphertext,"u=0.6|v=2.2",1246784,173000
ciphertext,"u=0.6|v=2.3",1051216,221468
ciphertext,"u=0.6|v=3.0",1298528,326104
ciphertext,"u=0.6|v=3.1",924064,213280
ciphertext,"u=0.6|v=3.2",1051216,221468
ciphertext,"u=0.6|v=3.3",995184,319736
ciphertext,"u=0.7|v=0.0",2537464,50808
