rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,u=0.0|v=3.3,1213,4734976,10826522624,934768125,11.930561847380169,3.533817587234844
2,u=0.4|v=3.3,3003,9469952,2039590912,178014375,11.62273692294353,3.518214163357281
3,u=4.0|v=3.3,895,2367488,7844079616,689709375,11.36918181034906,3.5075436965824136
4,u=0.0|v=1.3,18981,37879808,164360486912,14627233125,10.962657301264676,3.490134708129129
5,u=0.0|v=3.1,11821,18939904,33869283328,3036519375,10.64586121718057,3.479486980137054
6,u=4.4|v=3.3,12667,18939904,21714599936,1952301375,10.546138419956732,3.4754176904725984
7,u=0.4|v=1.3,56099,75759616,53164310528,4803476875,10.399238248835509,3.468307134838057
8,u=0.4|v=3.1,30765,37879808,261332795392,23708278125,10.265923310412308,3.462425391622463
9,u=4.0|v=1.3,66961,75759616,566852386816,51601820625,10.143892229598992,3.457479220920152
10,u=4.0|v=3.1,9049,9469952,25459965952,2324461875,10.031383028267463,3.4532618213117994
11,u=0.4|v=1.1,1227,1183744,3430194176,315185625,9.914006148837773,3.444016603701139
12,u=4.0|v=1.1,10583,9469952,29423140864,2718508125,9.805464651717061,3.4360642146077702
13,u=4.4|v=1.3,5431,4734976,15058407424,1395088125,9.767923534576479,3.43214103648044
14,u=4.4|v=3.1,11141,9469952,10270162944,953948125,9.731334570247087,3.4284044454093845
15,u=0.0|v=2.3,159441,75759616,1248537411584,122869220625,8.89226254428883,3.345043587784826
16,u=0.0|v=3.2,114877,37879808,35152461824,3541083525,8.365195229117875,3.311362950067884
17,u=0.0|v=0.3,310167,75759616,779784257536,79674148125,7.932240008050015,3.2908914356493173
18,u=0.0|v=3.0,97645,18939904,730270613504,75247678125,7.599667131444257,3.2787122056414
19,u=0.0|v=1.1,98761,18939904,738196963328,76107695625,7.583271858453758,3.2778915586383808
20,u=4.4|v=1.1,99353,18939904,742401622016,76563905625,7.5746497721166675,3.277463531926651
21,u=2.2|v=0.3,1712163,303038464,4243457081344,439811870625,7.467537058576706,3.2702816374921504
22,u=2.2|v=3.0,917339,151519232,6791158267904,706924366875,7.367830231888194,3.2640298787968436
23,u=2.6|v=0.3,115129,17825792,849074225152,88721285625,7.274571085155649,3.2585385018479958
