feature_id,feature_value,Nz,Ez
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.0.0.2.",753352,103040
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.0.1.1.",1289576,149032
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.0.2.0.",1006232,74944
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.1.0.1.",1200784,144680
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.1.1.0.",1060736,22272
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:0.2.0.0.",469376,38592
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:1.0.0.1.",1657144,193864
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:1.0.1.0.",2372712,262440
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:1.1.0.0.",1360880,44848
ciphertext_symbols,"u:0.0.0.0.0.0.0.2.|v:2.0.0.0.",1412120,204888
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.0.0.2.",1817664,17952
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.0.1.1.",2103440,388096
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.0.2.0.",1920464,84928
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.1.0.1.",3428912,20656
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.1.1.0.",1873712,144720
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:0.2.0.0.",1579136,8448
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:1.0.0.1.",2833856,586528
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:1.0.1.0.",4441504,304096
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:1.1.0.0.",2567072,296112
ciphertext_symbols,"u:0.0.0.0.0.0.1.1.|v:2.0.0.0.",2600064,256464
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.0.0.2.",1046568,28520
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.0.1.1.",659224,481856
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.0.2.0.",1127296,16224
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.1.0.1.",2216832,48576
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.1.1.0.",550912,351744
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:0.2.0.0.",1170944,16512
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:1.0.0.1.",980120,719704
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:1.0.1.0.",2522408,68256
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:1.1.0.0.",882048,592704
ciphertext_symbols,"u:0.0.0.0.0.0.2.0.|v:2.0.0.0.",1426560,70368
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.0.0.2.",929392,157696
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.0.1.1.",2591272,266472
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.0.2.0.",2123296,149856
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.1.0.1.",2056048,370624
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.1.1.0.",2353728,73472
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:0.2.0.0.",1082368,220800
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:1.0.0.1.",3158024,311976
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:1.0.1.0.",4995032,323992
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:1.1.0.0.",2923856,115840
ciphertext_symbols,"u:0.0.0.0.0.1.0.1.|v:2.0.0.0.",2952808,176696
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.0.0.2.",1328064,15808
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.0.1.1.",2327776,324944
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.0.2.0.",1797520,119536
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.1.0.1.",3031376,13712
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.1.1.0.",2259648,138272
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:0.2.0.0.",1712384,4608
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:1.0.0.1.",3010384,448560
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:1.0.1.0.",4210496,408624
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:1.1.0.0.",2994160,278528
ciphertext_symbols,"u:0.0.0.0.0.1.1.0.|v:2.0.0.0.",2494016,326032
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.0.0.2.",365280,114336
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.0.1.1.",1179584,142976
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.0.2.0.",1164992,74752
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.1.0.1.",804224,149696
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.1.1.0.",1264512,20864
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:0.2.0.0.",470400,39616
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:1.0.0.1.",1434816,170816
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:1.0.1.0.",2732864,196768
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:1.1.0.0.",1555584,29824
ciphertext_symbols,"u:0.0.0.0.0.2.0.0.|v:2.0.0.0.",1610656,127680
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.0.0.2.",556032,92240
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.0.1.1.",2628096,291184
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.0.2.0.",2545728,10368
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.1.0.1.",1356832,211936
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.1.1.0.",2284864,116256
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:0.2.0.0.",804224,116160
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:1.0.0.1.",2995168,336320
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:1.0.1.0.",5899840,46336
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:1.1.0.0.",2681760,161600
ciphertext_symbols,"u:0.0.0.0.1.0.0.1.|v:2.0.0.0.",3413280,39584
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.0.0.2.",1120128,115072
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.0.1.1.",2889472,548544
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.0.2.0.",1670144,233600
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.1.0.1.",2390400,296960
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.1.1.0.",2836608,352192
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:0.2.0.0.",1288448,195072
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:1.0.0.1.",3372928,661632
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:1.0.1.0.",3940992,750080
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:1.1.0.0.",3334656,467136
ciphertext_symbols,"u:0.0.0.0.1.0.1.0.|v:2.0.0.0.",2322048,542976
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.0.0.2.",497088,68080
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.0.1.1.",2146272,310592
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.0.2.0.",3049408,3648
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.1.0.1.",894080,159104
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.1.1.0.",2197184,135424
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:0.2.0.0.",452096,114496
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:1.0.0.1.",2474016,357680
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:1.0.1.0.",6967264,18528
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:1.1.0.0.",2510016,173408
ciphertext_symbols,"u:0.0.0.0.1.1.0.0.|v:2.0.0.0.",3978400,17600
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.0.0.2.",54144,47072
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.0.1.1.",647424,412608
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.0.2.0.",2261120,0
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.1.0.1.",71424,56256
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.1.1.0.",560896,280448
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:0.2.0.0.",37888,28416
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:1.0.0.1.",713984,455488
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:1.0.1.0.",4934144,128
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:1.1.0.0.",608256,304128
ciphertext_symbols,"u:0.0.0.0.2.0.0.0.|v:2.0.0.0.",2693632,128
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.0.0.2.",929392,157696
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.0.1.1.",2591272,266472
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.0.2.0.",2123296,149856
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.1.0.1.",2056048,370624
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.1.1.0.",2353728,73472
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:0.2.0.0.",1082368,220800
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:1.0.0.1.",3158024,311976
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:1.0.1.0.",4995032,323992
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:1.1.0.0.",2923856,115840
ciphertext_symbols,"u:0.0.0.1.0.0.0.1.|v:2.0.0.0.",2952808,176696
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.0.0.2.",1328064,15808
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.0.1.1.",2327776,324944
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.0.2.0.",1797520,119536
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.1.0.1.",3031376,13712
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.1.1.0.",2259648,138272
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:0.2.0.0.",1712384,4608
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:1.0.0.1.",3010384,448560
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:1.0.1.0.",4210496,408624
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:1.1.0.0.",2994160,278528
ciphertext_symbols,"u:0.0.0.1.0.0.1.0.|v:2.0.0.0.",2494016,326032
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.0.0.2.",730560,228672
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.0.1.1.",2359168,285952
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.0.2.0.",2329984,149504
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.1.0.1.",1608448,299392
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.1.1.0.",2529024,41728
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:0.2.0.0.",940800,79232
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:1.0.0.1.",2869632,341632
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:1.0.1.0.",5465728,393536
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:1.1.0.0.",3111168,59648
ciphertext_symbols,"u:0.0.0.1.0.1.0.0.|v:2.0.0.0.",3221312,255360
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.0.0.2.",497088,68080
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.0.1.1.",2146272,310592
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.0.2.0.",3049408,3648
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.1.0.1.",894080,159104
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.1.1.0.",2197184,135424
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:0.2.0.0.",452096,114496
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:1.0.0.1.",2474016,357680
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:1.0.1.0.",6967264,18528
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:1.1.0.0.",2510016,173408
ciphertext_symbols,"u:0.0.0.1.1.0.0.0.|v:2.0.0.0.",3978400,17600
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.0.0.2.",365280,114336
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.0.1.1.",1179584,142976
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.0.2.0.",1164992,74752
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.1.0.1.",804224,149696
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.1.1.0.",1264512,20864
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:0.2.0.0.",470400,39616
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:1.0.0.1.",1434816,170816
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:1.0.1.0.",2732864,196768
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:1.1.0.0.",1555584,29824
ciphertext_symbols,"u:0.0.0.2.0.0.0.0.|v:2.0.0.0.",1610656,127680
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.0.0.2.",1817664,17952
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.0.1.1.",2103440,388096
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.0.2.0.",1920464,84928
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.1.0.1.",3428912,20656
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.1.1.0.",1873712,144720
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:0.2.0.0.",1579136,8448
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:1.0.0.1.",2833856,586528
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:1.0.1.0.",4441504,304096
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:1.1.0.0.",2567072,296112
ciphertext_symbols,"u:0.0.1.0.0.0.0.1.|v:2.0.0.0.",2600064,256464
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.0.0.2.",2093136,57040
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.0.1.1.",1318448,963712
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.0.2.0.",2254592,32448
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.1.0.1.",4433664,97152
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.1.1.0.",1101824,703488
ciphertext_symbols,"u:0.0.1.0.0.0.1.0.|v:0.2.0.0.",2341888,33024
