rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,u:2.0.0.0.0.0.0.0.|v:0.0.0.2.,1213,4734976,10826522624,934768125,11.930561847380169,3.533817587234844
2,u:1.0.0.0.1.0.0.0.|v:0.0.0.2.,895,2367488,7844079616,689709375,11.36918181034906,3.5075436965824136
3,u:2.0.0.0.0.0.0.0.|v:0.1.0.1.,11821,18939904,33869283328,3036519375,10.64586121718057,3.479486980137054
4,u:0.0.0.0.2.0.0.0.|v:0.0.0.2.,12667,18939904,21714599936,1952301375,10.546138419956732,3.4754176904725984
5,u:1.0.0.0.1.0.0.0.|v:0.1.0.1.,9049,9469952,25459965952,2324461875,10.031383028267463,3.4532618213117994
6,u:1.0.0.0.1.0.0.0.|v:0.2.0.0.,10583,9469952,29423140864,2718508125,9.805464651717061,3.4360642146077702
7,u:0.0.0.0.2.0.0.0.|v:0.1.0.1.,11141,9469952,10270162944,953948125,9.731334570247087,3.4284044454093845
8,u:2.0.0.0.0.0.0.0.|v:0.0.1.1.,114877,37879808,35152461824,3541083525,8.365195229117875,3.311362950067884
9,u:2.0.0.0.0.0.0.0.|v:1.0.0.1.,97645,18939904,730270613504,75247678125,7.599667131444257,3.2787122056414
10,u:0.0.0.0.2.0.0.0.|v:0.2.0.0.,98237,18939904,734475272192,75703888125,7.590946799156903,3.27827461640032
11,u:2.0.0.0.0.0.0.0.|v:0.2.0.0.,99353,18939904,742401622016,76563905625,7.5746497721166675,3.277463531926651
12,u:0.0.0.0.0.0.2.0.|v:1.0.0.1.,917339,151519232,6791158267904,706924366875,7.367830231888194,3.2640298787968436
13,u:0.0.1.0.0.0.1.0.|v:1.0.0.1.,1162369,151519232,8495048851456,895750610625,7.026288980783618,3.2454532167452537
14,u:0.0.2.0.0.0.0.0.|v:1.0.0.1.,321221,37879808,2336748535808,247540933125,6.881718995141676,3.2387634772719642
15,u:0.0.0.0.0.0.2.0.|v:0.0.1.1.,1367287,151519232,9917388292096,1053665544375,6.792041009941527,3.2345432443086466
16,u:0.0.1.0.0.0.1.0.|v:0.0.1.1.,1532093,151519232,11058176589824,1180669168125,6.6278532398258045,3.227436842527133
17,u:0.0.2.0.0.0.0.0.|v:0.0.1.1.,50453,4734976,363392835584,38880343125,6.5522732465741385,3.2244171205006276
18,u:1.0.0.0.1.0.0.0.|v:0.0.1.1.,235717,18939904,1672578187264,181649413125,6.32822939800668,3.2028450436645994
19,u:1.0.0.0.1.0.0.0.|v:1.0.0.1.,272621,18939904,1910027763712,210088558125,6.118388510818195,3.1845241121010424
20,u:0.0.0.0.0.0.2.0.|v:1.1.0.0.,286403,18939904,1997728989184,220709311875,6.0472386035117855,3.178141476895785
21,u:0.0.1.0.0.0.1.0.|v:1.1.0.0.,313967,18939904,2173131440128,241950819375,5.914672277731258,3.1669897073478017
22,u:0.0.2.0.0.0.0.0.|v:1.1.0.0.,327749,18939904,90433306624,10102862925,5.852693829439086,3.1620900373228276
23,u:0.0.0.0.0.0.2.0.|v:0.1.1.0.,336357,18939904,330411360256,37029301875,5.8152919253362505,3.1575240352825973
24,u:0.0.1.0.0.0.1.0.|v:0.1.1.0.,353573,18939904,2416973234176,272472193125,5.743277098078151,3.149020586903977
25,u:0.0.2.0.0.0.0.0.|v:0.1.1.0.,362181,18939904,2469020090368,279105733125,5.708574343511732,3.145054911416792
26,u:0.0.0.0.2.0.0.0.|v:1.0.0.1.,21961,1114112,49733681152,5641231875,5.664806712358068,3.1401410762115374
27,u:0.0.0.0.2.0.0.0.|v:0.0.1.1.,383453,18939904,865823506432,98499489375,5.626235451254298,3.1358848184090697
28,u:0.0.0.0.2.0.0.0.|v:0.1.1.0.,392217,18939904,527793569792,60450445125,5.593633139937753,3.1261489062802554
29,u:0.0.0.0.2.0.0.0.|v:1.1.0.0.,401721,18939904,2683969060864,309576245625,5.559091327701234,3.116001361034062
30,u:1.0.0.0.1.0.0.0.|v:0.1.1.0.,431581,18939904,2825355444224,332587108125,5.455653855307321,3.0866282248930537
31,u:1.0.0.0.1.0.0.0.|v:1.1.0.0.,232293,9469952,1490816663552,179010793125,5.349339527948339,3.057984370087461
32,u:2.0.0.0.0.0.0.0.|v:0.1.1.0.,481141,18939904,3060020854784,370779283125,5.298825465437795,3.04490894290108
33,u:2.0.0.0.0.0.0.0.|v:1.1.0.0.,500125,18939904,3149909639168,385408828125,5.24299648449299,3.030848919588528
34,u:1.0.0.0.0.1.0.0.|v:0.0.0.2.,1022187,37879808,6391327424512,787722856875,5.211697964558647,3.020355554573414
35,u:1.0.0.1.0.0.0.0.|v:0.0.0.2.,261031,9469952,1620708892672,201157014375,5.181064056860731,3.010231030217571
36,u:1.0.0.0.0.0.0.1.|v:0.0.0.2.,68031,2367488,82949972992,10485277875,5.121021007249619,2.9838764160062388
37,u:1.1.0.0.0.0.0.0.|v:0.0.0.2.,283217,9469952,565763342336,72751366875,5.063377342785599,2.959152443629976
38,u:1.0.0.0.0.1.0.0.|v:0.1.0.1.,17353,557056,102052519936,13372655625,5.004565363106013,2.9319539082808173
39,u:1.0.0.1.0.0.0.0.|v:0.1.0.1.,306785,9469952,1772495650816,236416190625,4.948057262884853,2.90638134259925
40,u:1.0.0.0.0.0.1.0.|v:0.0.0.2.,1289339,37879808,7279225389056,993596866875,4.876725478399918,2.8730524063454173
41,u:1.0.1.0.0.0.0.0.|v:0.0.0.2.,675769,18939904,1244744695808,173588161875,4.808755037751659,2.842109398373585
42,u:0.0.0.0.0.2.0.0.|v:0.0.0.2.,1362953,37879808,2500768104448,350108551875,4.796621299995986,2.836497075911625
43,u:0.0.0.1.0.1.0.0.|v:0.0.0.2.,1385783,37879808,2523325530112,355973008125,4.772655749881776,2.825486580853767
44,u:0.0.0.2.0.0.0.0.|v:0.0.0.2.,698599,18939904,1267302121472,179452618125,4.760820630455729,2.8200856235338976
45,u:1.0.0.0.0.0.0.1.|v:0.1.0.1.,1461817,37879808,7766809542656,1126512725625,4.6955943967680005,2.7854584776553244
46,u:1.1.0.0.0.0.0.0.|v:0.1.0.1.,381609,9469952,396490317824,58815487125,4.633190011295248,2.7530176396648987
47,u:0.0.0.0.1.1.0.0.|v:0.2.0.0.,385141,9469952,1990922461184,296799283125,4.619898495346663,2.7458775222400145
48,u:0.0.0.1.1.0.0.0.|v:0.2.0.0.,388673,9469952,666464444416,99840376875,4.606728316797977,2.738832625050636
49,u:1.0.0.0.0.0.1.0.|v:1.0.0.1.,107313,2367488,523974811648,82698080625,4.463460351918322,2.6635717098746654
50,u:1.0.1.0.0.0.0.0.|v:1.0.0.1.,469831,9469952,2192405159936,362063514375,4.333143300863653,2.598199728317688
51,u:1.0.0.0.0.0.1.0.|v:2.0.0.0.,994681,18939904,4515467247616,766526045625,4.2510512889480125,2.55846856252406
52,u:1.0.1.0.0.0.0.0.|v:2.0.0.0.,262425,4734976,232306208768,40446253125,4.173380042764949,2.5219497480356012
53,u:0.0.0.0.1.0.1.0.|v:2.0.0.0.,542991,9469952,2363233624064,418442439375,4.1243569223049,2.4976611725120366
54,u:0.0.1.0.1.0.0.0.|v:2.0.0.0.,140283,2367488,600851290112,108105586875,4.076945019503051,2.474566886840187
55,u:1.0.0.0.0.1.0.0.|v:1.0.0.1.,4727459,75759616,19750664470528,3643098091875,4.002292167059252,2.4386634447588165
56,u:1.0.0.1.0.0.0.0.|v:1.0.0.1.,2482931,37879808,921549438976,173946245625,3.931312943220747,2.4054200243191186
57,u:1.0.0.0.0.0.1.0.|v:0.1.0.1.,2598439,37879808,3463170916352,667474018125,3.865711921952281,2.3753100048552027
58,u:1.0.1.0.0.0.0.0.|v:0.1.0.1.,2713947,37879808,10641981669376,2091435406875,3.8029645661794187,2.347201476881282
