feature_id,feature_value,Nz,Ez
decompressed_norms,"0.0",81553664,2816
decompressed_norms,"0.128",80274400,256
decompressed_norms,"0.16",3788192,2573216
decompressed_norms,"0.32",680256,608832
decompressed_norms,"0.64",161743968,2848
decompressed_norms,"0.80",3309536,2250016
decompressed_norms,"100.0",7956800,35200
decompressed_norms,"100.128",6098816,7296
decompressed_norms,"100.16",9968064,1062176
decompressed_norms,"100.32",3686528,683360
decompressed_norms,"100.64",13934528,37056
decompressed_norms,"100.80",8686912,892032
decompressed_norms,"128.0",2693632,128
decompressed_norms,"128.128",2261120,0
decompressed_norms,"128.16",1322240,759616
decompressed_norms,"128.32",163456,131744
decompressed_norms,"128.64",4934144,128
decompressed_norms,"128.80",1208320,693056
decompressed_norms,"16.0",7042432,1766016
decompressed_norms,"16.128",4987136,692000
decompressed_norms,"16.16",20396736,4308992
decompressed_norms,"16.32",14746304,3379680
decompressed_norms,"16.64",11811392,2259328
decompressed_norms,"16.80",16513472,2829728
decompressed_norms,"20.0",10400256,1025856
decompressed_norms,"20.128",7681856,339712
decompressed_norms,"20.16",21603712,3530560
decompressed_norms,"20.32",27302848,188224
decompressed_norms,"20.64",17766016,1216384
decompressed_norms,"20.80",15908608,2131264
decompressed_norms,"32.0",5706240,281472
decompressed_norms,"32.128",4509184,64896
decompressed_norms,"32.16",7448672,5249632
decompressed_norms,"32.32",17737376,374432
decompressed_norms,"32.64",10089632,273024
decompressed_norms,"32.80",4840544,3334400
decompressed_norms,"36.0",11692960,70912
decompressed_norms,"36.128",8735680,33856
decompressed_norms,"36.16",15619552,2186432
decompressed_norms,"36.32",5965888,1917696
decompressed_norms,"36.64",20196576,100256
decompressed_norms,"36.80",13286816,1824992
decompressed_norms,"4.0",10149856,203232
decompressed_norms,"4.128",7357056,48000
decompressed_norms,"4.16",17627616,2041504
decompressed_norms,"4.32",8472256,2371040
decompressed_norms,"4.64",17254496,225184
decompressed_norms,"4.80",14636192,1564320
decompressed_norms,"40.0",11811232,706784
decompressed_norms,"40.128",8493184,599424
decompressed_norms,"40.16",24327520,1711264
decompressed_norms,"40.32",16271232,2996480
decompressed_norms,"40.64",19980128,1295968
decompressed_norms,"40.80",19780000,1359776
decompressed_norms,"52.0",9976064,1304128
decompressed_norms,"52.128",7190080,478144
decompressed_norms,"52.16",24018176,2908352
decompressed_norms,"52.32",24287296,136512
decompressed_norms,"52.64",16841984,1634496
decompressed_norms,"52.80",18349696,1852864
decompressed_norms,"64.0",7833088,512
decompressed_norms,"64.128",6448896,256
decompressed_norms,"64.16",4474176,2660896
decompressed_norms,"64.32",691648,590752
decompressed_norms,"64.64",14219968,768
decompressed_norms,"64.80",4080960,2435616
decompressed_norms,"68.0",6826560,79168
decompressed_norms,"68.128",5091456,20736
decompressed_norms,"68.16",11353856,995840
decompressed_norms,"68.32",5434176,840672
decompressed_norms,"68.64",11799680,92672
decompressed_norms,"68.80",9825920,814880
decompressed_norms,"72.0",6442624,510720
decompressed_norms,"72.128",4659968,299008
decompressed_norms,"72.16",11961600,802560
decompressed_norms,"72.32",6559616,1214592
decompressed_norms,"72.64",10931456,787072
decompressed_norms,"72.80",9776384,655360
decompressed_norms,"8.0",5648480,819552
decompressed_norms,"8.128",4024928,299776
decompressed_norms,"8.16",12072096,954848
decompressed_norms,"8.32",9694048,1145248
decompressed_norms,"8.64",9490848,1049760
decompressed_norms,"8.80",9401248,685216
decompressed_norms,"80.0",4644096,1085952
decompressed_norms,"80.128",3340288,467200
decompressed_norms,"80.16",13415168,2257536
decompressed_norms,"80.32",9597952,1214208
decompressed_norms,"80.64",7881984,1500160
decompressed_norms,"80.80",11452160,1801472
