rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0.32,10629,18939904,10009739264,910108125,10.799207431661209,3.459222630533916
2,64.32,5359,4734976,44375011328,4129779375,9.787177581789386,3.4256108720042415
3,128.32,11995,9469952,32832323584,3081215625,9.624780145319882,3.413545303291583
4,32.16,280751,37879808,389508595712,43270747875,7.075994046729276,3.1701912050915535
5,32.80,216009,18939904,97810399232,11097462375,6.454193784634057,3.139758043779899
6,0.80,535441,37879808,3600172711936,412624220625,6.144557594240255,3.1251657054007835
7,0.16,326911,18939904,726946660352,83975263125,5.856387285903768,3.1138131943380767
8,64.80,97669,4734976,211769434112,25088724375,5.599312577432199,3.0773833474295422
9,64.16,460585,18939904,2934960668672,354938315625,5.361817780819332,3.0477009429626256
10,128.16,481245,18939904,609471905792,74171885625,5.298513656486217,3.038615368610413
11,128.80,500125,18939904,3149909639168,385408828125,5.24299648449299,3.030848919588528
12,36.32,296671,9469952,1716833640448,228622089375,4.99642129978626,2.9087135423126713
13,4.32,725721,18939904,1261501775872,186419581875,4.7058701905293345,2.75851692070731
14,16.0,835759,18939904,1348606394368,214685593125,4.502198222252948,2.651172058450216
15,80.0,908323,18939904,93477896192,15555031375,4.382079796412009,2.587243960439231
16,16.32,569367,9469952,17431814144,3250136625,4.055926329869548,2.423150449140689
17,16.16,1457433,18939904,5344182747136,1123134305625,3.699927550704084,2.2504388852696247
18,16.64,820993,9469952,189283033088,42178515375,3.5279152868017603,2.1659648765663113
19,80.64,882571,9469952,590046666752,136026255375,3.4235728648328467,2.116943918670866
20,100.32,227843,2367488,400105472,93643473,3.377245160611856,2.0951300132123576
21,72.32,962619,9469952,1030217138176,247272755625,3.2983203088258475,2.058773247067523
22,40.32,544869,4734976,1656171495424,419889673125,3.1193757960969464,1.9797698589480677
23,16.80,2437499,18939904,281735806976,75135906675,2.9579554861892663,1.9067685067534563
24,80.16,2647111,18939904,7377438261248,2039929914375,2.838938421255179,1.854600355835862
25,20.16,2984669,18939904,7899848163328,2300060548125,2.66578616779588,1.7801530846583637
26,80.80,3163609,18939904,8166408372224,2437956185625,2.5817858093893706,1.7440295148557965
27,68.32,1624259,9469952,63775391744,19256839875,2.5435754140137896,1.7276288851548631
28,8.0,6673551,37879808,16824136794112,5142805239375,2.5049024886676636,1.7099050612813271
29,36.16,3580831,18939904,2911863455744,919825963125,2.403062681983956,1.6625098805951968
30,80.128,3633023,18939904,8804721016832,2799698349375,2.382186613957402,1.6530058982263665
31,16.128,218291,1114112,174649311232,56073500625,2.3515697166636174,1.63906990910169
32,36.80,7837107,37879808,18354310578176,6039470581875,2.2730359189130835,1.6036249311591757
33,20.80,8334251,37879808,4043669504,1367962125,2.1843045632917506,1.5636368015010893
34,52.0,8646003,37879808,19370966745088,6662826061875,2.1313237763546273,1.5396898196263764
35,80.32,8945939,37879808,19730294603776,6893964241875,2.082124192157661,1.5170067771282074
36,52.16,9696507,37879808,6863660220416,2490790235625,1.9658919783855586,1.4623746065326115
37,8.32,4999723,18939904,10464950386688,3852911536875,1.9215089458084205,1.441544504824121
38,4.16,10550309,37879808,4306811060224,1626066374625,1.8441437647368404,1.4052338857646047
39,8.64,5423449,18939904,2184471707648,835889077125,1.8041464991098266,1.3859010069207989
40,4.80,11304279,37879808,35692249088,13938176007,1.7445600400250714,1.356569035286589
41,100.16,11615781,37879808,22621991796736,8951411233125,1.7053428596700058,1.3375389065299044
42,100.80,11887247,37879808,22885976178688,9160609719375,1.6720143822068403,1.3209482992712582
43,52.80,12460675,37879808,23434305339392,9602507671875,1.6040467964139027,1.2871389132925497
44,20.0,752099,2228224,1396346650624,579586291875,1.5668997881441598,1.26856176446508
45,52.64,13311995,37879808,24221599268864,10258556146875,1.508702221575246,1.239466433024968
46,68.16,13666803,37879808,24516304175104,10531980061875,1.470753217588635,1.2189648142822918
47,68.80,13973863,37879808,8252485500928,3589536058125,1.438698117044932,1.2010313086916011
48,72.0,833835,2228224,162801287168,71397121875,1.4180604366597018,1.1891742827973906
49,8.16,113691,295936,196806022144,87613126875,1.380167155850275,1.1675554200974252
50,8.128,14678227,37879808,8426628448256,3770469560625,1.3677513043850618,1.1602113117506323
51,8.80,935751,2367488,1592666589184,721113114375,1.3391605231868053,1.143146798268673
52,72.64,1914203,4734976,3214448545792,1475132686875,1.3066132783559268,1.1237265280143036
53,40.128,3894759,9469952,258929795072,120055946175,1.2818230532494583,1.1088541261548803
54,40.16,16339271,37879808,8799801376768,4197150238125,1.213085401277184,1.0680608547634598
55,40.80,4239349,9469952,1340090540032,653389664625,1.1595143735247981,1.0363149368446922
56,20.64,128769,278528,66572996608,33077536875,1.1130370476563012,1.0090853008813865
57,72.16,1117899,2367488,570818521088,287160305625,1.08256726379803,0.9911758078677809
58,72.80,2273987,4734976,3449154203648,1752391231875,1.0581331065668984,0.9769177285367346
59,52.128,9208293,18939904,13867366825984,7096140793125,1.0404233736549082,0.9665873314747581
60,40.64,19040965,37879808,3124250804224,1630382628125,0.9923224217107569,0.9382996881261685
61,72.128,19186589,37879808,420996186112,220681569375,0.9813307669012484,0.931841018357221
62,40.0,9777845,18939904,4735984549888,2511683934375,0.9538405774872084,0.9150094449017904
63,32.0,9867005,18939904,949973499904,506917381875,0.9407448732114571,0.9061366352659755
64,20.128,4993517,9469952,7149934501888,3848129038125,0.9233008304373813,0.8937728485469806
65,32.64,20289369,37879808,28680535638016,15635494985625,0.9007050203570379,0.8752470755205085
66,32.32,10421831,18939904,4798557257728,2677107838125,0.861820252903181,0.8419254537381101
67,4.0,21160845,37879808,641144160256,362379470625,0.8400317796382916,0.8231475543052805
68,32.128,21301757,37879808,9623564091392,5471888829375,0.8304565873382007,0.8145323759867485
69,4.64,341265,591872,18085832704,10519493625,0.7943927482584435,0.7817947642299299
70,68.0,11027145,18939904,14480380493824,8497793615625,0.7803697022011956,0.7689393011899219
71,68.64,11211515,18939904,2898818596864,1727974749375,0.7564477771390411,0.7463829190446187
72,20.32,5819061,9469952,7260972056576,4484313883125,0.702570743537479,0.6952754364781507
73,4.128,2938269,4734976,3632261644288,2264303548125,0.6883906317817093,0.6818007526304536
74,36.0,23871557,37879808,9693026189312,6132006204375,0.6661363503645747,0.6605879925875424
75,52.32,1448855,2228224,570970144768,372174628125,0.6209810533242042,0.6174356036538002
76,36.64,12630839,18939904,14574573371392,9733640304375,0.5844785453602352,0.5824022857496837
77,100.0,3188791,4734976,1214981820416,819120688125,0.5703475697238539,0.5687867898114464
78,68.128,6417359,9469952,486095003648,329691818625,0.5613774204257505,0.560120218731284
79,36.128,12971213,18939904,14587859714048,9995941018125,0.5461156190960501,0.5453539371773833
80,100.64,193955,278528,214607982592,149466571875,0.5221003989760428,0.5218808773366893
81,100.128,6642117,9469952,7297211195392,5118581413125,0.5117139772324324,0.5116011781740972
82,64.0,6703313,9469952,32432218112,22958847025,0.49848281352471474,0.4983775034738715
83,64.64,13628813,18939904,442260963328,318263758125,0.4747691020437057,0.4746750254312091
84,128.0,13670901,18939904,14594630729728,10535138083125,0.4703206893615502,0.47022848498027403
85,64.128,13771665,18939904,1621629845504,1179198815625,0.45972602584382116,0.4596375659176973
86,0.0,15045941,18939904,14595085287424,11594778283125,0.3320546800738595,0.3320074085129977
87,128.64,15123037,18939904,14595104227328,11654190388125,0.3246811284081962,0.32463572901781557
88,0.64,35300573,37879808,4170150182912,3886214866875,0.10173741673180375,0.10173367250623885
89,0.128,9452287,9469952,9469952,9452287,0.0026936786181607545,0.0026936786181605684
90,128.128,1,1,1,1,-0.0,0.0
