feature_id,feature_value,Nz,Ez
extreme_symbols,"0.0.0.0",101958680,7249280
extreme_symbols,"0.0.0.1",85069992,10634832
extreme_symbols,"0.0.0.2",21051720,1594608
extreme_symbols,"0.0.1.0",140808616,12016680
extreme_symbols,"0.0.1.1",50745224,10177624
extreme_symbols,"0.0.2.0",53350600,4328392
extreme_symbols,"0.1.0.0",32572912,1878848
extreme_symbols,"0.1.0.1",29324992,3182240
extreme_symbols,"0.1.0.2",7556848,649616
extreme_symbols,"0.1.1.0",45903712,2902592
extreme_symbols,"0.1.1.1",18293216,2521056
extreme_symbols,"0.1.2.0",17343264,1315680
extreme_symbols,"0.2.0.0",2536344,135808
extreme_symbols,"0.2.0.1",2490360,293712
extreme_symbols,"0.2.0.2",753352,103040
extreme_symbols,"0.2.1.0",3733592,307288
extreme_symbols,"0.2.1.1",1657144,193864
extreme_symbols,"0.2.2.0",1412120,204888
extreme_symbols,"1.0.0.0",49601824,4172576
extreme_symbols,"1.0.0.1",34135408,8977328
extreme_symbols,"1.0.0.2",6952320,2546352
extreme_symbols,"1.0.1.0",78683472,5834448
extreme_symbols,"1.0.1.1",25475984,6815568
extreme_symbols,"1.0.2.0",31643408,1939056
extreme_symbols,"1.1.0.0",7508896,265408
extreme_symbols,"1.1.0.1",6303952,1208720
extreme_symbols,"1.1.0.2",1419904,517552
extreme_symbols,"1.1.1.0",12344048,300048
extreme_symbols,"1.1.1.1",5097008,833296
extreme_symbols,"1.1.2.0",5074928,101616
extreme_symbols,"2.0.0.0",81405344,583584
extreme_symbols,"2.0.0.1",2548320,1982848
extreme_symbols,"2.0.0.2",310528,292672
extreme_symbols,"2.0.1.0",162958944,610336
extreme_symbols,"2.0.1.1",2573216,1965728
extreme_symbols,"2.0.2.0",81553664,2816
