rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,2.0.0.2,1213,4734976,10826522624,934768125,11.930561847380169,3.533817587234844
2,2.0.0.1,89339,37879808,134681657344,13769373375,8.727923196766689,3.2900185686354106
3,2.0.1.1,21219,4734976,14262931456,1486535625,7.8018566358142785,3.2622445858062914
4,1.0.0.2,96753,9469952,20086951936,2982411225,6.612906907657779,2.7517075609656456
5,1.1.0.2,53923,4734976,270232182784,41554411875,6.456312540023369,2.7011259372282437
6,1.0.1.1,2455017,75759616,1671531757568,378379495125,4.947624098522166,2.1432649507011923
7,1.0.0.1,71695,1183744,213610747904,55249959375,4.0453407938808414,1.950938929776595
8,0.0.1.1,15520113,151519232,39389877075968,11960187080625,3.287289956643861,1.7195849584656104
9,1.1.0.1,16308107,151519232,40820692123648,12567434956875,3.215839690574783,1.6996104214414245
10,1.1.1.1,16945233,151519232,41807101263872,13058420180625,3.1605495440146845,1.678767647279894
11,0.2.2.0,4280437,37879808,10512409051136,3298611763125,3.145599020860992,1.672162426898099
12,0.1.1.1,1213025,9469952,255874551808,84980671875,2.9647478289964395,1.5902300151559825
13,0.2.0.2,19502569,151519232,45155894099968,15029167235625,2.9577648410095416,1.5871492399137193
14,0.0.0.1,15068159,75759616,28872406335488,11611900029375,2.329925856417531,1.314087295743471
15,0.2.0.1,30447613,151519232,58092492488704,23463691768125,2.3150998886155767,1.3079217064683197
16,0.2.1.1,7663689,37879808,2916098891776,1181166067125,2.3053180968912286,1.3038278296524168
17,0.1.0.1,8580095,37879808,3104446767104,1322407141875,2.142363491643976,1.2311697723033088
18,0.1.0.2,17632493,75759616,3492106354688,1509782213125,2.10319255131871,1.2097570429399092
19,0.0.1.0,52866063,151519232,25694195744768,13579969933125,1.5190871268240211,0.9199622096122477
20,1.0.0.0,59066291,151519232,82021849038848,45517960501875,1.3590939958647767,0.8495723500106986
21,0.2.1.0,29766495,75759616,2746186645504,1529253680625,1.3477396638215664,0.844601933699051
22,0.0.2.0,66201815,151519232,87509307424768,51016773684375,1.1945582475466132,0.7784648037051438
23,0.1.2.0,68369723,151519232,89066735730688,52687417786875,1.148071438033313,0.7574282457875187
24,0.0.0.2,17750297,37879808,4547717169152,2735764525125,1.0935858541314039,0.7331984743911215
25,1.0.1.0,40418311,75759616,48930418098176,31147360914375,0.9064199826386885,0.6516216800130897
26,0.0.0.0,93581457,151519232,35480709300224,24038736766875,0.6952063276299112,0.5616737664957606
27,0.1.1.0,99319421,151519232,21975610753024,15307605761625,0.609353167193876,0.5216546109201238
28,1.0.2.0,6074991,8912896,6598435274752,4681539939375,0.5530120005353164,0.4951407843624002
29,0.1.0.0,107346461,151519232,114397474717696,82723866508125,0.497226294216376,0.46767968169030316
30,0.2.0.0,6728969,9469952,7159889788928,5185511735625,0.4929716384346834,0.4654510111097136
31,1.1.0.0,27150529,37879808,127636013056,92990561825,0.4804487105636809,0.45687924830769017
32,1.1.1.0,55072561,75759616,19204598628352,14146764106875,0.4600953196225517,0.4409797196194511
33,1.1.2.0,3461859,4734976,1201540407296,889265030625,0.4518101476121359,0.4341998070366678
34,2.0.0.0,30238789,37879808,3223297032192,2589196308125,0.32502865448008955,0.31603278939300805
35,2.0.1.0,4416407,4734976,3648786710528,3403393644375,0.10048398140807488,0.10044279439239416
36,2.0.2.0,1,1,1,1,-0.0,0.0
