rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1.0.0.0.0.0.1.0.,9,289,137597813,55485000,5.005000681058367,1.310287833518083
2,1.0.1.0.0.0.0.0.,18,289,137597813,55485000,4.005000681058367,1.310287833518083
3,0.0.0.0.0.0.2.0.,21,289,4422856,1798125,3.7826082597219184,1.2984849555580549
4,0.0.1.0.0.0.1.0.,27,289,101236411,41613750,3.4200381803372104,1.2825960605001048
5,0.0.2.0.0.0.0.0.,30,289,2987971,1233000,3.2680350868921604,1.276993346258146
6,0.0.0.0.1.0.1.0.,36,289,261697303,110970000,3.0050006810583665,1.2377293500406665
7,0.0.1.0.1.0.0.0.,42,289,42756683,18495000,2.7826082597219184,1.209014634797882
8,1.0.0.0.1.0.0.0.,3,17,1718989,770625,2.502500340529183,1.1574594182528826
9,0.0.0.0.2.0.0.0.,54,289,540719,246600,2.4200381803372104,1.1327062515638993
10,0.0.0.0.0.0.0.2.,57,289,60187429,28112400,2.3420356683359373,1.0982555669535385
11,0.1.0.0.0.0.0.1.,63,289,3036523,1479600,2.1976457590007623,1.0372130912802513
12,0.2.0.0.0.0.0.0.,66,289,1638919,813780,2.1305315631422252,1.01003382481637
13,0.0.0.0.0.1.0.1.,72,289,214652149,110970000,2.0050006810583665,0.9518309101710186
14,0.0.0.1.0.0.0.1.,78,289,5754857,3082500,1.8895234636384304,0.9006791852577973
15,0.1.0.0.0.1.0.0.,84,289,234226697,129465000,1.7826082597219184,0.8553433949808062
16,0.1.0.1.0.0.0.0.,90,289,244013971,138712500,1.683072586171004,0.8148659503567088
17,1.0.0.0.0.0.0.1.,99,289,114926341,67815000,1.5455690624210694,0.761033176623244
18,1.1.0.0.0.0.0.0.,108,289,546309127,332910000,1.4200381803372102,0.7145853188337029
19,0.0.0.0.0.2.0.0.,111,289,555948433,342157500,1.3805098161505729,0.7002905007644558
20,0.0.0.1.0.1.0.0.,117,289,115045409,72130500,1.3045609629172743,0.6735220829992038
21,0.0.0.2.0.0.0.0.,120,289,584866351,369900000,1.2680350868921604,0.660971688716036
22,0.0.0.0.0.0.1.1.,126,289,301952113,194197500,1.1976457590007623,0.6367951403514124
23,0.0.1.0.0.0.0.1.,132,289,69215789,45210000,1.1305315631422255,0.6144592547968172
24,0.1.0.0.0.0.1.0.,138,289,80247497,53173125,1.0664012257225097,0.593759137310996
25,0.1.1.0.0.0.0.0.,144,289,661017851,443880000,1.0050006810583665,0.5745195264076588
26,0.0.0.0.0.1.1.0.,150,289,28324601,19265625,0.9461069920047981,0.556026643869213
27,0.0.0.1.0.0.1.0.,156,289,698562997,480870000,0.8895234636384304,0.5387433012409386
28,0.0.1.0.0.1.0.0.,162,289,71733557,49936500,0.835075679616054,0.5225534626817587
29,0.0.1.1.0.0.0.0.,168,289,245369381,172620000,0.7826082597219185,0.5073556032002012
30,1.0.0.0.0.1.0.0.,177,289,763807637,545602500,0.7073201324176815,0.4853590900134948
31,1.0.0.1.0.0.0.0.,186,289,791507131,573345000,0.6357668713926474,0.46519883226836667
32,0.0.0.0.1.0.0.1.,192,289,50271839,36990000,0.5899631817795227,0.44261516493207653
33,0.1.0.0.1.0.0.0.,198,289,272397239,203445000,0.5455690624210693,0.4210732561528437
34,0.0.0.0.1.1.0.0.,12,17,12197959,9247500,0.5025003405291831,0.3995044713500643
35,0.0.0.1.1.0.0.0.,210,289,841730707,647325000,0.4606801648345561,0.37886852642986646
36,2.0.0.0.0.0.0.0.,1,1,1,1,-0.0,0.0
