rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1.0.0.1.,3169,36992,6504562304,2442110625,3.545113738118445,1.4133234260238845
2,0.0.1.1.,91903,591872,185039754752,70822749375,2.6871013466112306,1.3855505028880273
3,0.0.0.2.,220959,1183744,422828621824,170276529375,2.4215065125836577,1.312193447837297
4,1.1.0.0.,314275,1183744,529146293248,242188171875,1.913257695108021,1.127538232270048
5,0.1.0.1.,388003,1183744,203415752704,99668270625,1.6092174008360247,1.0292252060249387
6,0.1.1.0.,462887,1183744,680669668352,356712294375,1.3546251623899779,0.9321938822351513
7,0.2.0.0.,499751,1183744,711373620224,385120614375,1.244075754263354,0.8852971276893594
8,2.0.0.0.,685667,1183744,784362979328,528392131875,0.7877771186761897,0.5699124602339194
9,1.0.1.0.,1026367,1183744,176247348224,158188813875,0.20581042277043785,0.15595396619149146
10,0.0.2.0.,1,1,1,1,-0.0,0.0
