rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0:3:2;,1213,4734976,10826522624,934768125,11.930561847380169,3.533817587234844
2,0:3:1;4:3:1;,895,2367488,7844079616,689709375,11.36918181034906,3.5075436965824136
3,0:1:1;0:3:1;,11821,18939904,33869283328,3036519375,10.64586121718057,3.479486980137054
4,4:3:2;,12667,18939904,21714599936,1952301375,10.546138419956732,3.4754176904725984
5,0:1:1;4:3:1;,30765,37879808,261332795392,23708278125,10.265923310412308,3.462425391622463
6,0:3:1;4:1:1;,9049,9469952,25459965952,2324461875,10.031383028267463,3.4532618213117994
7,0:1:1;4:1:1;,10583,9469952,29423140864,2718508125,9.805464651717061,3.4360642146077702
8,4:1:1;4:3:1;,11141,9469952,10270162944,953948125,9.731334570247087,3.4284044454093845
9,0:2:1;0:3:1;,114877,37879808,35152461824,3541083525,8.365195229117875,3.311362950067884
10,0:0:1;0:3:1;,97645,18939904,730270613504,75247678125,7.599667131444257,3.2787122056414
11,0:1:2;,98761,18939904,738196963328,76107695625,7.583271858453758,3.2778915586383808
12,4:1:2;,99353,18939904,742401622016,76563905625,7.5746497721166675,3.277463531926651
13,2:0:1;2:3:1;,917339,151519232,6791158267904,706924366875,7.367830231888194,3.2640298787968436
14,2:0:1;6:3:1;,519927,75759616,254770118656,26711249625,7.186976131216102,3.2536767015902077
15,2:3:1;6:0:1;,1162369,151519232,8495048851456,895750610625,7.026288980783618,3.2454532167452537
16,6:0:1;6:3:1;,321221,37879808,2336748535808,247540933125,6.881718995141676,3.2387634772719642
17,2:2:1;2:3:1;,1367287,151519232,9917388292096,1053665544375,6.792041009941527,3.2345432443086466
18,2:2:1;6:3:1;,724845,75759616,31781158912,3385355625,6.707612684162101,3.230792434895452
19,2:3:1;6:2:1;,1532093,151519232,11058176589824,1180669168125,6.6278532398258045,3.227436842527133
20,6:2:1;6:3:1;,50453,4734976,363392835584,38880343125,6.5522732465741385,3.2244171205006276
21,0:2:1;4:3:1;,25737,2228224,2451881984,264447675,6.435906564216933,3.2128353432121504
22,0:3:1;4:2:1;,235717,18939904,1672578187264,181649413125,6.32822939800668,3.2028450436645994
23,0:0:1;4:3:1;,254169,18939904,1791302975488,195868985625,6.219497126869441,3.1930484900386027
24,0:3:1;4:0:1;,272621,18939904,1910027763712,210088558125,6.118388510818195,3.1845241121010424
25,2:0:1;2:1:1;,286403,18939904,1997728989184,220709311875,6.0472386035117855,3.178141476895785
26,2:0:1;6:1:1;,300185,18939904,2085430214656,231330065625,5.979433319600541,3.172320347516601
27,2:1:1;6:0:1;,313967,18939904,2173131440128,241950819375,5.914672277731258,3.1669897073478017
28,6:0:1;6:1:1;,327749,18939904,90433306624,10102862925,5.852693829439086,3.1620900373228276
29,2:1:1;2:2:1;,336357,18939904,330411360256,37029301875,5.8152919253362505,3.1575240352825973
30,2:1:1;6:2:1;,344965,18939904,2364926377984,265838653125,5.778835213964106,3.1531724781932353
31,2:2:1;6:1:1;,353573,18939904,2416973234176,272472193125,5.743277098078151,3.149020586903977
32,6:1:1;6:2:1;,362181,18939904,2469020090368,279105733125,5.708574343511732,3.145054911416792
33,4:0:1;4:3:1;,21961,1114112,49733681152,5641231875,5.664806712358068,3.1401410762115374
34,4:2:1;4:3:1;,383453,18939904,865823506432,98499489375,5.626235451254298,3.1358848184090697
35,0:0:1;0:1:1;,402437,18939904,179157286912,20675200875,5.556522255647624,3.1152534724254424
36,0:0:1;4:1:1;,49287,2228224,65070546944,7596358875,5.498543291948409,3.0986247107185187
37,0:1:1;0:2:1;,870989,37879808,227510861824,26848235925,5.442630709383999,3.083036220571694
38,0:1:1;4:0:1;,451997,18939904,194801647616,23221345875,5.3889720108647445,3.0684823834468147
39,0:1:1;4:2:1;,466927,18939904,598543581184,71965123875,5.342088193397102,3.0560864821663936
40,0:2:1;4:1:1;,481857,18939904,122536443904,14853242025,5.296680144596793,3.0443611206640764
41,4:0:1;4:1:1;,491361,18939904,3108412309504,378655070625,5.268501854514085,3.0372217267177906
42,4:1:1;4:2:1;,500125,18939904,3149909639168,385408828125,5.24299648449299,3.030848919588528
43,0:3:1;3:3:1;,1022187,37879808,6391327424512,787722856875,5.211697964558647,3.020355554573414
44,0:3:1;5:3:1;,261031,9469952,1620708892672,201157014375,5.181064056860731,3.010231030217571
45,0:3:1;1:3:1;,68031,2367488,82949972992,10485277875,5.121021007249619,2.9838764160062388
46,0:3:1;7:3:1;,283217,9469952,565763342336,72751366875,5.063377342785599,2.959152443629976
47,0:1:1;3:3:1;,289109,9469952,343218286592,44558924625,5.033671687269433,2.9453401008126687
48,0:1:1;5:3:1;,17353,557056,102052519936,13372655625,5.004565363106013,2.9319539082808173
49,0:3:1;3:1:1;,300893,9469952,194854916096,25763963125,4.976034663980705,2.9189738932005205
50,0:3:1;5:1:1;,306785,9469952,1772495650816,236416190625,4.948057262884853,2.90638134259925
51,0:3:1;2:3:1;,1289339,37879808,7279225389056,993596866875,4.876725478399918,2.8730524063454173
52,0:3:1;6:3:1;,675769,18939904,1244744695808,173588161875,4.808755037751659,2.842109398373585
53,3:3:1;5:3:1;,42949,1183744,15700292608,2206504875,4.784588762084259,2.8309566071396817
54,3:3:2;,1385783,37879808,2523325530112,355973008125,4.772655749881776,2.825486580853767
55,5:3:2;,698599,18939904,1267302121472,179452618125,4.760820630455729,2.8200856235338976
56,0:1:1;1:3:1;,2859015,75759616,15370622271488,2203228434375,4.727838923998384,2.8024845840354558
57,0:1:1;7:3:1;,1461817,37879808,7766809542656,1126512725625,4.6955943967680005,2.7854584776553244
58,0:3:1;1:1:1;,2988253,75759616,5232205299712,767607489375,4.664054814315253,2.7689784572163934
59,0:3:1;7:1:1;,381609,9469952,396490317824,58815487125,4.633190011295248,2.7530176396648987
60,3:1:1;4:1:1;,385141,9469952,1990922461184,296799283125,4.619898495346663,2.7458775222400145
61,4:1:1;5:1:1;,388673,9469952,666464444416,99840376875,4.606728316797977,2.738832625050636
62,0:0:1;2:3:1;,817925,18939904,819058515968,126062690625,4.533316647401411,2.699825165554824
63,0:0:1;6:3:1;,107313,2367488,523974811648,82698080625,4.463460351918322,2.6635717098746654
64,0:3:1;2:0:1;,899083,18939904,476478267392,76983981875,4.396830901933624,2.6297802136842137
