feature_id,feature_value,Nz,Ez
at_correlations,"-1.-1",405048786944,17888031216
at_correlations,"-1.-10",21894529024,1685629344
at_correlations,"-1.-11",43789058048,2300984928
at_correlations,"-1.-12",21894529024,1685629344
at_correlations,"-1.-13",5473632256,720675712
at_correlations,"-1.-14",27368161280,2406305056
at_correlations,"-1.-19",43789058048,2300984928
at_correlations,"-1.-2",76630851584,3330184464
at_correlations,"-1.-23",10947264512,1162919280
at_correlations,"-1.-25",10947264512,1109973816
at_correlations,"-1.-29",43789058048,2300984928
at_correlations,"-1.-3",43789058048,481635840
at_correlations,"-1.-4",65683587072,2167265184
at_correlations,"-1.-41",43789058048,2300984928
at_correlations,"-1.-5",87578116096,2782620768
at_correlations,"-1.-55",43789058048,2300984928
at_correlations,"-1.-6",65683587072,2167265184
at_correlations,"-1.-7",43789058048,481635840
at_correlations,"-1.-8",65683587072,2167265184
at_correlations,"-1.0",131367174144,5902076544
at_correlations,"-1.1",405048786944,17888031216
at_correlations,"-1.10",21894529024,1685629344
at_correlations,"-1.11",43789058048,2300984928
at_correlations,"-1.12",21894529024,1685629344
at_correlations,"-1.13",5473632256,720675712
at_correlations,"-1.14",27368161280,2406305056
at_correlations,"-1.19",43789058048,2300984928
at_correlations,"-1.2",76630851584,3330184464
at_correlations,"-1.23",10947264512,1162919280
at_correlations,"-1.25",10947264512,1109973816
at_correlations,"-1.29",43789058048,2300984928
at_correlations,"-1.3",43789058048,481635840
at_correlations,"-1.4",65683587072,2167265184
at_correlations,"-1.41",43789058048,2300984928
at_correlations,"-1.5",87578116096,2782620768
at_correlations,"-1.55",43789058048,2300984928
at_correlations,"-1.6",65683587072,2167265184
at_correlations,"-1.7",43789058048,481635840
at_correlations,"-1.8",65683587072,2167265184
at_correlations,"-10.-10",164208967680,8658314336
at_correlations,"-10.-14",21894529024,1777008640
at_correlations,"-10.-15",10947264512,1162919280
at_correlations,"-10.-16",10947264512,1109973816
at_correlations,"-10.-18",10947264512,1109973816
at_correlations,"-10.-2",21894529024,1777008640
at_correlations,"-10.-30",43789058048,3958522440
at_correlations,"-10.-34",10947264512,1109973816
at_correlations,"-10.-5",10947264512,1162919280
at_correlations,"-10.-50",21894529024,1685629344
at_correlations,"-10.-6",43789058048,1408972800
at_correlations,"-10.10",164208967680,8658314336
at_correlations,"-10.14",21894529024,1777008640
at_correlations,"-10.15",10947264512,1162919280
at_correlations,"-10.16",10947264512,1109973816
at_correlations,"-10.18",10947264512,1109973816
at_correlations,"-10.2",21894529024,1777008640
at_correlations,"-10.30",43789058048,3958522440
at_correlations,"-10.34",10947264512,1109973816
at_correlations,"-10.5",10947264512,1162919280
at_correlations,"-10.50",21894529024,1685629344
at_correlations,"-10.6",43789058048,1408972800
at_correlations,"-100.-96",43789058048,1408972800
at_correlations,"-100.96",43789058048,1408972800
at_correlations,"-104.-106",21894529024,1685629344
at_correlations,"-104.106",21894529024,1685629344
at_correlations,"-105.-105",43789058048,2397658848
at_correlations,"-105.105",43789058048,2397658848
at_correlations,"-106.-104",43789058048,2397658848
at_correlations,"-106.104",43789058048,2397658848
at_correlations,"-11.-1",10947264512,1162919280
at_correlations,"-11.-11",65683587072,1927875072
at_correlations,"-11.-14",10947264512,1162919280
at_correlations,"-11.-15",10947264512,1109973816
at_correlations,"-11.-17",10947264512,1162919280
at_correlations,"-11.-22",21894529024,1685629344
at_correlations,"-11.-25",21894529024,1672499200
at_correlations,"-11.-4",10947264512,1162919280
at_correlations,"-11.-41",5473632256,720675712
at_correlations,"-11.-44",27368161280,2406305056
at_correlations,"-11.-9",43789058048,2397658848
at_correlations,"-11.0",21894529024,1685629344
at_correlations,"-11.1",10947264512,1162919280
at_correlations,"-11.11",65683587072,1927875072
at_correlations,"-11.14",10947264512,1162919280
at_correlations,"-11.15",10947264512,1109973816
at_correlations,"-11.17",10947264512,1162919280
at_correlations,"-11.22",21894529024,1685629344
at_correlations,"-11.25",21894529024,1672499200
at_correlations,"-11.4",10947264512,1162919280
at_correlations,"-11.41",5473632256,720675712
at_correlations,"-11.44",27368161280,2406305056
at_correlations,"-11.9",43789058048,2397658848
at_correlations,"-112.-112",10947264512,868421424
at_correlations,"-112.-113",32841793536,2018913888
at_correlations,"-112.112",10947264512,868421424
at_correlations,"-112.113",32841793536,2018913888
at_correlations,"-113.-112",43789058048,1408972800
at_correlations,"-113.112",43789058048,1408972800
at_correlations,"-12.-12",131367174144,9647586880
at_correlations,"-12.-13",10947264512,868421424
at_correlations,"-12.-16",10947264512,1162919280
at_correlations,"-12.-18",10947264512,1441351424
at_correlations,"-12.-2",5473632256,720675712
at_correlations,"-12.-20",5473632256,720675712
at_correlations,"-12.-24",21894529024,1777008640
at_correlations,"-12.-28",10947264512,1109973816
at_correlations,"-12.-3",21894529024,1736842848
at_correlations,"-12.-36",21894529024,1685629344
at_correlations,"-12.-4",27368161280,2457518560
at_correlations,"-12.-42",10947264512,1109973816
at_correlations,"-12.-48",10947264512,1162919280
at_correlations,"-12.-6",5473632256,720675712
at_correlations,"-12.-8",5473632256,720675712
at_correlations,"-12.-9",10947264512,1162919280
at_correlations,"-12.0",43789058048,2397658848
at_correlations,"-12.12",131367174144,9647586880
at_correlations,"-12.13",10947264512,868421424
at_correlations,"-12.16",10947264512,1162919280
at_correlations,"-12.18",10947264512,1441351424
at_correlations,"-12.2",5473632256,720675712
at_correlations,"-12.20",5473632256,720675712
at_correlations,"-12.24",21894529024,1777008640
at_correlations,"-12.28",10947264512,1109973816
at_correlations,"-12.3",21894529024,1736842848
at_correlations,"-12.36",21894529024,1685629344
at_correlations,"-12.4",27368161280,2457518560
at_correlations,"-12.42",10947264512,1109973816
at_correlations,"-12.48",10947264512,1162919280
at_correlations,"-12.6",5473632256,720675712
at_correlations,"-12.8",5473632256,720675712
at_correlations,"-12.9",10947264512,1162919280
at_correlations,"-120.-120",65683587072,4083288192
at_correlations,"-120.120",65683587072,4083288192
at_correlations,"-128.-128",49262690304,2263550568
at_correlations,"-128.128",49262690304,2263550568
at_correlations,"-13.-1",10947264512,1162919280
at_correlations,"-13.-12",43789058048,1408972800
at_correlations,"-13.-13",43789058048,1285250048
at_correlations,"-13.-15",10947264512,1162919280
at_correlations,"-13.-17",32841793536,2886982456
at_correlations,"-13.-20",5473632256,694416720
at_correlations,"-13.-22",10947264512,1162919280
at_correlations,"-13.-23",5473632256,694416720
at_correlations,"-13.-26",21894529024,1685629344
at_correlations,"-13.-7",65683587072,4174667488
at_correlations,"-13.-8",10947264512,1162919280
at_correlations,"-13.0",21894529024,1685629344
at_correlations,"-13.1",10947264512,1162919280
at_correlations,"-13.12",43789058048,1408972800
at_correlations,"-13.13",43789058048,1285250048
at_correlations,"-13.15",10947264512,1162919280
at_correlations,"-13.17",32841793536,2886982456
at_correlations,"-13.20",5473632256,694416720
at_correlations,"-13.22",10947264512,1162919280
at_correlations,"-13.23",5473632256,694416720
at_correlations,"-13.26",21894529024,1685629344
at_correlations,"-13.7",65683587072,4174667488
at_correlations,"-13.8",10947264512,1162919280
at_correlations,"-14.-10",21894529024,1736842848
at_correlations,"-14.-11",21894529024,1736842848
at_correlations,"-14.-14",76630851584,4869514512
at_correlations,"-14.-16",16420896768,1830649528
at_correlations,"-14.-18",5473632256,720675712
at_correlations,"-14.-2",10947264512,1441351424
at_correlations,"-14.-22",5473632256,720675712
at_correlations,"-14.-26",5473632256,720675712
at_correlations,"-14.-34",21894529024,2272893096
at_correlations,"-14.-36",16420896768,1857336000
at_correlations,"-14.-38",5473632256,720675712
at_correlations,"-14.-4",5473632256,720675712
at_correlations,"-14.-41",10947264512,1415092432
at_correlations,"-14.-6",5473632256,720675712
at_correlations,"-14.10",21894529024,1736842848
at_correlations,"-14.11",21894529024,1736842848
at_correlations,"-14.14",76630851584,4869514512
at_correlations,"-14.16",16420896768,1830649528
at_correlations,"-14.18",5473632256,720675712
at_correlations,"-14.2",10947264512,1441351424
at_correlations,"-14.22",5473632256,720675712
at_correlations,"-14.26",5473632256,720675712
