rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1.-13,1,18496,2882702848,1220195071,14.174925682500678,1.2403103219883826
2,-1.13,1,9248,2882702848,1220195071,13.174925682500678,1.2403103219883826
3,-11.-41,3,18496,2882702848,1220195071,12.589963181779522,1.2403103219883826
4,-11.41,1,4624,2882702848,1220195071,12.174925682500678,1.2403103219883826
5,-12.-18,3,9248,2882702848,1220195071,11.589963181779522,1.2403103219883826
6,-12.-2,7,18496,2882702848,1220195071,11.367570760443074,1.2403103219883826
7,-12.-20,1,2312,2882702848,1220195071,11.174925682500678,1.2403103219883826
8,-12.-6,9,18496,2882702848,1220195071,11.005000681058366,1.2403103219883826
9,-12.-8,5,9248,2882702848,1220195071,10.852997587613316,1.2403103219883826
10,-12.18,3,4624,2882702848,1220195071,10.589963181779522,1.2403103219883826
11,-12.2,13,18496,2882702848,1220195071,10.474485964359587,1.2403103219883826
12,-12.20,7,9248,2882702848,1220195071,10.367570760443074,1.2403103219883826
13,-12.6,15,18496,2882702848,1220195071,10.26803508689216,1.2403103219883826
14,-12.8,1,1156,2882702848,1220195071,10.174925682500678,1.2403103219883826
15,-14.-18,1,1088,2882702848,1220195071,10.087462841250339,1.2403103219883826
16,-14.-2,19,18496,2882702848,1220195071,9.926998169057093,1.2403103219883826
17,-14.-22,5,4624,2882702848,1220195071,9.852997587613316,1.2403103219883826
18,-14.-26,21,18496,2882702848,1220195071,9.782608259721918,1.2403103219883826
19,-14.-38,11,9248,2882702848,1220195071,9.715494063863382,1.2403103219883826
20,-14.-4,23,18496,2882702848,1220195071,9.651363726443666,1.2403103219883826
21,-14.-6,3,2312,2882702848,1220195071,9.589963181779522,1.2403103219883826
22,-14.18,25,18496,2882702848,1220195071,9.531069492725955,1.2403103219883826
23,-14.2,27,18496,2882702848,1220195071,9.42003818033721,1.2403103219883826
24,-14.22,7,4624,2882702848,1220195071,9.367570760443074,1.2403103219883826
25,-14.26,29,18496,2882702848,1220195071,9.316944687373107,1.2403103219883826
26,-14.38,15,9248,2882702848,1220195071,9.26803508689216,1.2403103219883826
27,-14.4,31,18496,2882702848,1220195071,9.220729372113803,1.2403103219883826
28,-14.6,1,578,2882702848,1220195071,9.174925682500678,1.2403103219883826
29,-16.-28,33,18496,2882702848,1220195071,9.130531563142226,1.2403103219883826
30,-16.28,1,544,2882702848,1220195071,9.087462841250339,1.2403103219883826
31,-17.-27,35,18496,2882702848,1220195071,9.045642665555713,1.2403103219883826
32,-17.-28,9,4624,2882702848,1220195071,9.005000681058366,1.2403103219883826
33,-17.-4,37,18496,2882702848,1220195071,8.965472316871729,1.2403103219883826
34,-17.27,19,9248,2882702848,1220195071,8.926998169057093,1.2403103219883826
35,-17.28,39,18496,2882702848,1220195071,8.88952346363843,1.2403103219883826
36,-17.4,5,2312,2882702848,1220195071,8.852997587613316,1.2403103219883826
37,-18.-10,41,18496,2882702848,1220195071,8.817373677882594,1.2403103219883826
38,-18.-22,21,9248,2882702848,1220195071,8.782608259721918,1.2403103219883826
39,-18.-6,43,18496,2882702848,1220195071,8.74866092779858,1.2403103219883826
40,-18.10,11,4624,2882702848,1220195071,8.715494063863382,1.2403103219883826
41,-18.22,45,18496,2882702848,1220195071,8.683072586171004,1.2403103219883826
42,-18.6,23,9248,2882702848,1220195071,8.651363726443666,1.2403103219883826
43,-2.-42,47,18496,2882702848,1220195071,8.620336830823042,1.2403103219883826
44,-2.42,3,1156,2882702848,1220195071,8.589963181779522,1.2403103219883826
45,-20.-10,49,18496,2882702848,1220195071,8.56021583838547,1.2403103219883826
46,-20.-12,25,9248,2882702848,1220195071,8.531069492725955,1.2403103219883826
47,-20.-30,3,1088,2882702848,1220195071,8.502500340529183,1.2403103219883826
48,-20.10,13,4624,2882702848,1220195071,8.474485964359587,1.2403103219883826
49,-20.12,53,18496,2882702848,1220195071,8.44700522793748,1.2403103219883826
50,-20.30,27,9248,2882702848,1220195071,8.42003818033721,1.2403103219883826
51,-22.-10,55,18496,2882702848,1220195071,8.39356596897602,1.2403103219883826
52,-22.-2,57,18496,2882702848,1220195071,8.342035668335937,1.2403103219883826
53,-22.-26,29,9248,2882702848,1220195071,8.316944687373107,1.2403103219883826
54,-22.-28,59,18496,2882702848,1220195071,8.292282633138838,1.2403103219883826
55,-22.-34,15,4624,2882702848,1220195071,8.26803508689216,1.2403103219883826
56,-22.10,61,18496,2882702848,1220195071,8.244188344937793,1.2403103219883826
57,-22.2,63,18496,2882702848,1220195071,8.197645759000762,1.2403103219883826
58,-22.26,1,289,2882702848,1220195071,8.174925682500678,1.2403103219883826
59,-22.28,65,18496,2882702848,1220195071,8.152557869472224,1.2403103219883826
60,-22.34,33,9248,2882702848,1220195071,8.130531563142226,1.2403103219883826
61,-24.-12,67,18496,2882702848,1220195071,8.108836492042906,1.2403103219883826
62,-24.-32,1,272,2882702848,1220195071,8.087462841250339,1.2403103219883826
63,-24.-54,69,18496,2882702848,1220195071,8.06640122572251,1.2403103219883826
64,-24.12,35,9248,2882702848,1220195071,8.045642665555713,1.2403103219883826
65,-24.32,71,18496,2882702848,1220195071,8.025178562995997,1.2403103219883826
66,-24.54,9,2312,2882702848,1220195071,8.005000681058366,1.2403103219883826
67,-26.-16,73,18496,2882702848,1220195071,7.9851011236206615,1.2403103219883826
68,-26.-2,37,9248,2882702848,1220195071,7.965472316871729,1.2403103219883826
69,-26.-30,75,18496,2882702848,1220195071,7.946106992004798,1.2403103219883826
70,-26.-38,19,4624,2882702848,1220195071,7.926998169057094,1.2403103219883826
71,-26.-6,77,18496,2882702848,1220195071,7.908139141805777,1.2403103219883826
72,-26.16,39,9248,2882702848,1220195071,7.88952346363843,1.2403103219883826
73,-26.2,79,18496,2882702848,1220195071,7.871144934323576,1.2403103219883826
74,-26.30,5,1156,2882702848,1220195071,7.8529975876133165,1.2403103219883826
75,-26.38,81,18496,2882702848,1220195071,7.835075679616054,1.2403103219883826
76,-26.6,41,9248,2882702848,1220195071,7.817373677882595,1.2403103219883826
77,-27.-38,83,18496,2882702848,1220195071,7.799886251153754,1.2403103219883826
78,-27.-51,21,4624,2882702848,1220195071,7.782608259721918,1.2403103219883826
79,-27.38,5,1088,2882702848,1220195071,7.765534746362977,1.2403103219883826
80,-27.51,43,9248,2882702848,1220195071,7.748660927798581,1.2403103219883826
81,-28.-37,87,18496,2882702848,1220195071,7.73198218665195,1.2403103219883826
82,-28.-38,11,2312,2882702848,1220195071,7.715494063863382,1.2403103219883826
83,-28.37,89,18496,2882702848,1220195071,7.699192251534281,1.2403103219883826
84,-28.38,45,9248,2882702848,1220195071,7.683072586171004,1.2403103219883826
85,-30.-18,91,18496,2882702848,1220195071,7.667131042301983,1.2403103219883826
86,-30.-20,23,4624,2882702848,1220195071,7.651363726443666,1.2403103219883826
87,-30.-40,93,18496,2882702848,1220195071,7.635766871392647,1.2403103219883826
88,-30.-42,47,9248,2882702848,1220195071,7.6203368308230415,1.2403103219883826
89,-30.18,95,18496,2882702848,1220195071,7.605070074169731,1.2403103219883826
90,-30.20,3,578,2882702848,1220195071,7.589963181779523,1.2403103219883826
91,-30.40,97,18496,2882702848,1220195071,7.575012840313551,1.2403103219883826
92,-30.42,49,9248,2882702848,1220195071,7.560215838385471,1.2403103219883826
93,-32.-18,99,18496,2882702848,1220195071,7.54556906242107,1.2403103219883826
94,-32.-22,25,4624,2882702848,1220195071,7.531069492725954,1.2403103219883826
95,-32.-24,101,18496,2882702848,1220195071,7.5167141997488836,1.2403103219883826
96,-32.-38,103,18496,2882702848,1220195071,7.488425155317461,1.2403103219883826
97,-32.-4,13,2312,2882702848,1220195071,7.4744859643595865,1.2403103219883826
98,-32.-48,105,18496,2882702848,1220195071,7.460680164834556,1.2403103219883826
99,-32.-8,53,9248,2882702848,1220195071,7.447005227937479,1.2403103219883826
100,-32.18,107,18496,2882702848,1220195071,7.433458696099532,1.2403103219883826
101,-32.22,27,4624,2882702848,1220195071,7.42003818033721,1.2403103219883826
102,-32.24,109,18496,2882702848,1220195071,7.406741357723752,1.2403103219883826
103,-32.38,111,18496,2882702848,1220195071,7.380509816150573,1.2403103219883826
104,-32.4,7,1156,2882702848,1220195071,7.3675707604430745,1.2403103219883826
105,-32.48,113,18496,2882702848,1220195071,7.354746720085491,1.2403103219883826
106,-32.8,57,9248,2882702848,1220195071,7.342035668335937,1.2403103219883826
107,-33.-22,115,18496,2882702848,1220195071,7.329435631556303,1.2403103219883826
108,-33.22,29,4624,2882702848,1220195071,7.316944687373106,1.2403103219883826
109,-36.-4,117,18496,2882702848,1220195071,7.304560962917274,1.2403103219883826
110,-36.-44,59,9248,2882702848,1220195071,7.2922826331388375,1.2403103219883826
111,-36.-48,7,1088,2882702848,1220195071,7.280107919192735,1.2403103219883826
112,-36.-54,15,2312,2882702848,1220195071,7.26803508689216,1.2403103219883826
113,-36.4,121,18496,2882702848,1220195071,7.2560624452260845,1.2403103219883826
114,-36.44,61,9248,2882702848,1220195071,7.244188344937792,1.2403103219883826
115,-36.48,123,18496,2882702848,1220195071,7.232411177161439,1.2403103219883826
116,-36.54,31,4624,2882702848,1220195071,7.220729372113803,1.2403103219883826
117,-40.-50,125,18496,2882702848,1220195071,7.209141397838592,1.2403103219883826
118,-40.50,63,9248,2882702848,1220195071,7.197645759000762,1.2403103219883826
119,-41.-49,127,18496,2882702848,1220195071,7.186240995728513,1.2403103219883826
120,-41.-50,2,289,2882702848,1220195071,7.174925682500679,1.2403103219883826
121,-41.49,129,18496,2882702848,1220195071,7.163698427077425,1.2403103219883826
122,-41.50,65,9248,2882702848,1220195071,7.152557869472225,1.2403103219883826
123,-42.-12,131,18496,2882702848,1220195071,7.141502680963229,1.2403103219883826
124,-42.-28,33,4624,2882702848,1220195071,7.130531563142226,1.2403103219883826
125,-42.-48,133,18496,2882702848,1220195071,7.119643246999489,1.2403103219883826
126,-42.-54,67,9248,2882702848,1220195071,7.108836492042906,1.2403103219883826
127,-42.-56,135,18496,2882702848,1220195071,7.098110085449848,1.2403103219883826
128,-42.12,1,136,2882702848,1220195071,7.087462841250339,1.2403103219883826
129,-42.28,137,18496,2882702848,1220195071,7.076893599540152,1.2403103219883826
130,-42.48,69,9248,2882702848,1220195071,7.06640122572251,1.2403103219883826
131,-42.54,139,18496,2882702848,1220195071,7.0559846097771715,1.2403103219883826
132,-42.56,35,4624,2882702848,1220195071,7.045642665555713,1.2403103219883826
133,-44.-16,141,18496,2882702848,1220195071,7.035374330101885,1.2403103219883826
134,-44.-26,71,9248,2882702848,1220195071,7.025178562995997,1.2403103219883826
135,-44.-28,143,18496,2882702848,1220195071,7.015054345722289,1.2403103219883826
136,-44.-34,9,1156,2882702848,1220195071,7.005000681058367,1.2403103219883826
137,-44.-52,145,18496,2882702848,1220195071,6.995016592485745,1.2403103219883826
138,-44.-54,73,9248,2882702848,1220195071,6.9851011236206615,1.2403103219883826
139,-44.-64,147,18496,2882702848,1220195071,6.975253337664315,1.2403103219883826
140,-44.16,37,4624,2882702848,1220195071,6.965472316871729,1.2403103219883826
141,-44.26,149,18496,2882702848,1220195071,6.955757162038517,1.2403103219883826
142,-44.28,75,9248,2882702848,1220195071,6.946106992004798,1.2403103219883826
143,-44.34,151,18496,2882702848,1220195071,6.9365209431756,1.2403103219883826
144,-44.52,19,2312,2882702848,1220195071,6.926998169057094,1.2403103219883826
145,-44.54,9,1088,2882702848,1220195071,6.917537839808027,1.2403103219883826
146,-44.64,77,9248,2882702848,1220195071,6.908139141805777,1.2403103219883826
147,-48.-12,155,18496,2882702848,1220195071,6.8988012772264415,1.2403103219883826
148,-48.-60,39,4624,2882702848,1220195071,6.88952346363843,1.2403103219883826
149,-48.12,157,18496,2882702848,1220195071,6.880304933609052,1.2403103219883826
150,-48.60,79,9248,2882702848,1220195071,6.871144934323576,1.2403103219883826
151,-56.-42,159,18496,2882702848,1220195071,6.862042727216323,1.2403103219883826
152,-56.-70,5,578,2882702848,1220195071,6.8529975876133165,1.2403103219883826
153,-56.42,161,18496,2882702848,1220195071,6.844008804386062,1.2403103219883826
154,-56.70,81,9248,2882702848,1220195071,6.835075679616054,1.2403103219883826
155,-58.-40,163,18496,2882702848,1220195071,6.826197528269601,1.2403103219883826
156,-58.-68,41,4624,2882702848,1220195071,6.817373677882595,1.2403103219883826
157,-58.40,165,18496,2882702848,1220195071,6.808603468254863,1.2403103219883826
