rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=100|t=17,1,2312,2830184864,1220195071,11.174925682500678,1.2137844830942022
2,A=100|t=25,1,1156,2830184864,1220195071,10.174925682500678,1.2137844830942022
3,A=100|t=5,3,2312,2830184864,1220195071,9.589963181779522,1.2137844830942022
4,A=10|t=18,1,578,2830184864,1220195071,9.174925682500678,1.2137844830942022
5,A=10|t=26,5,2312,2830184864,1220195071,8.852997587613316,1.2137844830942022
6,A=10|t=34,3,1156,2830184864,1220195071,8.589963181779522,1.2137844830942022
7,A=113|t=13,7,2312,2830184864,1220195071,8.367570760443074,1.2137844830942022
8,A=113|t=9,1,289,2830184864,1220195071,8.174925682500678,1.2137844830942022
9,A=128|t=5,9,2312,2830184864,1220195071,8.005000681058366,1.2137844830942022
10,A=13|t=16,5,1156,2830184864,1220195071,7.8529975876133165,1.2137844830942022
11,A=13|t=36,11,2312,2830184864,1220195071,7.715494063863382,1.2137844830942022
12,A=13|t=40,3,578,2830184864,1220195071,7.589963181779523,1.2137844830942022
13,A=16|t=18,25,4624,2830184864,1220195071,7.531069492725954,1.2137844830942022
14,A=16|t=34,27,4624,2830184864,1220195071,7.42003818033721,1.2137844830942022
15,A=16|t=50,7,1156,2830184864,1220195071,7.3675707604430745,1.2137844830942022
16,A=17|t=32,15,2312,2830184864,1220195071,7.26803508689216,1.2137844830942022
17,A=17|t=40,2,289,2830184864,1220195071,7.174925682500679,1.2137844830942022
18,A=17|t=52,1,136,2830184864,1220195071,7.087462841250339,1.2137844830942022
19,A=18|t=26,9,1156,2830184864,1220195071,7.005000681058367,1.2137844830942022
20,A=18|t=50,19,2312,2830184864,1220195071,6.926998169057094,1.2137844830942022
21,A=1|t=8,39,4624,2830184864,1220195071,6.88952346363843,1.2137844830942022
22,A=20|t=50,41,4624,2830184864,1220195071,6.817373677882595,1.2137844830942022
23,A=20|t=58,43,4624,2830184864,1220195071,6.748660927798581,1.2137844830942022
24,A=25|t=40,45,4624,2830184864,1220195071,6.683072586171004,1.2137844830942022
25,A=25|t=52,47,4624,2830184864,1220195071,6.6203368308230415,1.2137844830942022
26,A=25|t=64,49,4624,2830184864,1220195071,6.560215838385471,1.2137844830942022
27,A=25|t=68,3,272,2830184864,1220195071,6.502500340529183,1.2137844830942022
28,A=25|t=72,13,1156,2830184864,1220195071,6.4744859643595865,1.2137844830942022
29,A=26|t=34,27,2312,2830184864,1220195071,6.42003818033721,1.2137844830942022
30,A=26|t=50,7,578,2830184864,1220195071,6.3675707604430745,1.2137844830942022
31,A=26|t=58,29,2312,2830184864,1220195071,6.316944687373106,1.2137844830942022
32,A=26|t=74,15,1156,2830184864,1220195071,6.26803508689216,1.2137844830942022
33,A=29|t=52,31,2312,2830184864,1220195071,6.220729372113803,1.2137844830942022
34,A=29|t=68,4,289,2830184864,1220195071,6.174925682500679,1.2137844830942022
35,A=29|t=80,33,2312,2830184864,1220195071,6.130531563142226,1.2137844830942022
36,A=2|t=10,1,68,2830184864,1220195071,6.087462841250339,1.2137844830942022
37,A=34|t=50,35,2312,2830184864,1220195071,6.045642665555713,1.2137844830942022
38,A=34|t=58,9,578,2830184864,1220195071,6.005000681058367,1.2137844830942022
39,A=36|t=74,37,2312,2830184864,1220195071,5.965472316871729,1.2137844830942022
40,A=36|t=98,75,4624,2830184864,1220195071,5.946106992004798,1.2137844830942022
41,A=37|t=100,77,4624,2830184864,1220195071,5.908139141805777,1.2137844830942022
42,A=37|t=52,79,4624,2830184864,1220195071,5.871144934323576,1.2137844830942022
43,A=37|t=72,81,4624,2830184864,1220195071,5.835075679616054,1.2137844830942022
44,A=37|t=80,83,4624,2830184864,1220195071,5.799886251153754,1.2137844830942022
45,A=40|t=74,5,272,2830184864,1220195071,5.765534746362977,1.2137844830942022
46,A=41|t=49,87,4624,2830184864,1220195071,5.73198218665195,1.2137844830942022
47,A=41|t=53,89,4624,2830184864,1220195071,5.699192251534281,1.2137844830942022
48,A=49|t=100,91,4624,2830184864,1220195071,5.667131042301983,1.2137844830942022
49,A=49|t=128,23,1156,2830184864,1220195071,5.651363726443666,1.2137844830942022
50,A=49|t=72,93,4624,2830184864,1220195071,5.635766871392647,1.2137844830942022
