feature_id,feature_value,Nz,Ez
at_pair_histogram,"-1:-1:1;-1:0:1;",49262690304,1922072364
at_pair_histogram,"-1:-1:1;-1:1:1;",38315425792,1691421544
at_pair_histogram,"-1:-1:1;-1:2:1;",16420896768,1156705872
at_pair_histogram,"-1:-1:1;-1:3:1;",2736816128,360337856
at_pair_histogram,"-1:-1:1;0:-1:1;",43789058048,2283829648
at_pair_histogram,"-1:-1:1;0:-2:1;",10947264512,976394244
at_pair_histogram,"-1:-1:1;0:0:1;",65683587072,2814162696
at_pair_histogram,"-1:-1:1;0:1:1;",43789058048,2283829648
at_pair_histogram,"-1:-1:1;0:2:1;",10947264512,976394244
at_pair_histogram,"-1:-1:1;1:-1:1;",38315425792,1691421544
at_pair_histogram,"-1:-1:1;1:-2:1;",16420896768,1156705872
at_pair_histogram,"-1:-1:1;1:-3:1;",2736816128,360337856
at_pair_histogram,"-1:-1:1;1:0:1;",49262690304,1922072364
at_pair_histogram,"-1:-1:1;1:1:1;",38315425792,1636285520
at_pair_histogram,"-1:-1:1;1:2:1;",16420896768,1106008212
at_pair_histogram,"-1:-1:1;1:3:1;",2736816128,347208360
at_pair_histogram,"-1:-1:1;2:-1:1;",21894529024,896558744
at_pair_histogram,"-1:-1:1;2:-2:1;",10947264512,1002866976
at_pair_histogram,"-1:-1:1;2:-3:1;",10947264512,888504320
at_pair_histogram,"-1:-1:1;2:-4:1;",5473632256,581459640
at_pair_histogram,"-1:-1:1;2:0:1;",27368161280,662225256
at_pair_histogram,"-1:-1:1;2:1:1;",21894529024,872333816
at_pair_histogram,"-1:-1:1;2:2:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;2:3:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;3:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;3:-3:1;",2736816128,360337856
at_pair_histogram,"-1:-1:1;3:-4:1;",5473632256,581459640
at_pair_histogram,"-1:-1:1;3:-5:1;",2736816128,360337856
at_pair_histogram,"-1:-1:1;3:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;3:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;3:2:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;3:3:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;3:4:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;4:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;4:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;4:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;4:3:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;4:4:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;4:5:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;5:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;5:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;5:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;5:4:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;5:5:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;5:6:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;6:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;6:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;6:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;6:5:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;6:6:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;6:7:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;7:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;7:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;7:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;7:6:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;7:7:1;",21894529024,620556288
at_pair_histogram,"-1:-1:1;7:8:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;8:-1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;8:-8:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;8:0:1;",21894529024,240817920
at_pair_histogram,"-1:-1:1;8:1:1;",10947264512,321312512
at_pair_histogram,"-1:-1:1;8:7:1;",10947264512,551021304
at_pair_histogram,"-1:-1:1;8:8:1;",21894529024,620556288
at_pair_histogram,"-1:-1:2;",19157712896,818142760
at_pair_histogram,"-1:-2:1;-1:-1:1;",16420896768,1106008212
at_pair_histogram,"-1:-2:1;-1:0:1;",21894529024,1666228640
at_pair_histogram,"-1:-2:1;-1:1:1;",16420896768,1130233140
at_pair_histogram,"-1:-2:1;-1:2:1;",5473632256,421407336
at_pair_histogram,"-1:-2:1;0:-1:1;",10947264512,963558612
at_pair_histogram,"-1:-2:1;0:-2:1;",2736816128,347208360
at_pair_histogram,"-1:-2:1;0:0:1;",16420896768,1245438024
at_pair_histogram,"-1:-2:1;0:1:1;",10947264512,963558612
at_pair_histogram,"-1:-2:1;0:2:1;",2736816128,347208360
at_pair_histogram,"-1:-2:1;1:-1:1;",16420896768,1130233140
at_pair_histogram,"-1:-2:1;1:-2:1;",5473632256,421407336
at_pair_histogram,"-1:-2:1;1:0:1;",21894529024,1666228640
at_pair_histogram,"-1:-2:1;1:1:1;",16420896768,1106008212
