feature_id,feature_value,Nz,Ez
at_projections,"-1.-1.-1.2",157366927360,7797681180
at_projections,"-1.-1.-13.23",2736816128,277493454
at_projections,"-1.-1.-17.30",5473632256,418124800
at_projections,"-1.-1.-5.9",30104977408,793822026
at_projections,"-1.-1.-9.16",9578856448,611753890
at_projections,"-1.-1.3.-5",38315425792,1397523792
at_projections,"-1.-1.7.-12",13684080640,725772826
at_projections,"-1.-10.-11.24",5473632256,287623116
at_projections,"-1.-10.-15.31",10947264512,575246232
at_projections,"-1.-10.-3.10",6842040320,755063820
at_projections,"-1.-10.-7.17",1368408064,180168928
at_projections,"-1.-10.1.3",77999259648,4631351464
at_projections,"-1.-10.13.-18",28736569344,689932752
at_projections,"-1.-10.17.-25",13684080640,726896728
at_projections,"-1.-10.5.-4",16420896768,993371032
at_projections,"-1.-10.9.-11",9578856448,611753890
at_projections,"-1.-11.-1.7",67051995136,3770092452
at_projections,"-1.-11.-13.28",5473632256,287623116
at_projections,"-1.-11.-5.14",8210448384,804590016
at_projections,"-1.-11.11.-14",9578856448,611753890
at_projections,"-1.-11.15.-21",35578609664,1288226480
at_projections,"-1.-11.19.-28",8210448384,566240472
at_projections,"-1.-11.27.-42",2736816128,210703668
at_projections,"-1.-11.3.0",13684080640,1359576924
at_projections,"-1.-11.7.-7",6842040320,461227296
at_projections,"-1.-12.-15.32",8210448384,498326784
at_projections,"-1.-12.-3.11",1368408064,180168928
at_projections,"-1.-12.-7.18",5473632256,581459640
at_projections,"-1.-12.1.4",67051995136,3770092452
at_projections,"-1.-12.13.-17",8210448384,438149710
at_projections,"-1.-12.17.-24",25999753216,1374113808
at_projections,"-1.-12.21.-31",5473632256,275510652
at_projections,"-1.-12.5.-3",6842040320,467792044
at_projections,"-1.-12.9.-10",4105224192,451097634
at_projections,"-1.-13.-1.8",60209954816,3296780916
at_projections,"-1.-13.-5.15",5473632256,581459640
at_projections,"-1.-13.-9.22",1368408064,180168928
at_projections,"-1.-13.11.-13",2736816128,277493454
at_projections,"-1.-13.15.-20",8210448384,451386076
at_projections,"-1.-13.19.-27",6842040320,455679580
at_projections,"-1.-13.23.-34",5473632256,275510652
at_projections,"-1.-13.3.1",6842040320,755063820
at_projections,"-1.-13.7.-6",10947264512,575246232
at_projections,"-1.-14.-7.19",8210448384,804590016
at_projections,"-1.-14.1.5",60209954816,3296780916
at_projections,"-1.-14.13.-16",2736816128,277493454
at_projections,"-1.-14.17.-23",2736816128,290729820
at_projections,"-1.-14.21.-30",5473632256,275510652
at_projections,"-1.-14.25.-37",5473632256,275510652
at_projections,"-1.-14.29.-44",2736816128,210703668
at_projections,"-1.-14.5.-2",5473632256,581459640
at_projections,"-1.-14.9.-9",5473632256,287623116
at_projections,"-1.-15.-1.9",54736322560,2997073560
at_projections,"-1.-15.-13.30",2736816128,210703668
at_projections,"-1.-15.-5.16",1368408064,180168928
at_projections,"-1.-15.-9.23",2736816128,290729820
at_projections,"-1.-15.15.-19",4105224192,457662382
at_projections,"-1.-15.23.-33",5473632256,275510652
at_projections,"-1.-15.27.-40",5473632256,275510652
at_projections,"-1.-15.3.2",1368408064,180168928
at_projections,"-1.-15.7.-5",5473632256,287623116
at_projections,"-1.-16.-7.20",6842040320,755063820
at_projections,"-1.-16.1.6",54736322560,2997073560
at_projections,"-1.-16.13.-15",1368408064,173604180
at_projections,"-1.-16.25.-36",5473632256,275510652
at_projections,"-1.-16.29.-43",5473632256,275510652
at_projections,"-1.-16.5.-1",8210448384,804590016
at_projections,"-1.-16.9.-8",10947264512,575246232
at_projections,"-1.-17.-1.10",51999506432,2901652056
at_projections,"-1.-17.-5.17",1368408064,173604180
at_projections,"-1.-17.-9.24",1368408064,180168928
at_projections,"-1.-17.11.-11",5473632256,287623116
at_projections,"-1.-17.15.-18",1368408064,173604180
at_projections,"-1.-17.27.-39",5473632256,275510652
at_projections,"-1.-17.31.-46",8210448384,486214320
at_projections,"-1.-17.7.-4",1368408064,180168928
at_projections,"-1.-18.-11.28",2736816128,210703668
at_projections,"-1.-18.-7.21",1368408064,180168928
at_projections,"-1.-18.1.7",51999506432,2901652056
at_projections,"-1.-18.17.-21",5473632256,418124800
at_projections,"-1.-18.29.-42",5473632256,275510652
at_projections,"-1.-18.5.0",5473632256,581459640
at_projections,"-1.-18.9.-7",5473632256,287623116
at_projections,"-1.-19.-1.11",46525874176,2601944700
at_projections,"-1.-19.-5.18",2736816128,277493454
at_projections,"-1.-19.11.-10",10947264512,575246232
at_projections,"-1.-19.19.-24",1368408064,173604180
at_projections,"-1.-19.31.-45",8210448384,486214320
at_projections,"-1.-19.7.-3",5473632256,581459640
at_projections,"-1.-2.-11.20",2736816128,277493454
at_projections,"-1.-2.-15.27",1368408064,173604180
at_projections,"-1.-2.-19.34",2736816128,277493454
at_projections,"-1.-2.-3.6",35578609664,1081445142
at_projections,"-1.-2.-7.13",13684080640,856274510
at_projections,"-1.-2.1.-1",157366927360,7797681180
at_projections,"-1.-2.21.-36",2736816128,210703668
at_projections,"-1.-2.5.-8",31473385472,979538670
at_projections,"-1.-2.9.-15",6842040320,334260436
at_projections,"-1.-20.-3.15",2736816128,277493454
at_projections,"-1.-20.1.8",46525874176,2601944700
at_projections,"-1.-20.13.-13",5473632256,287623116
at_projections,"-1.-20.21.-27",1368408064,173604180
at_projections,"-1.-20.29.-41",2736816128,210703668
at_projections,"-1.-20.5.1",1368408064,180168928
at_projections,"-1.-21.-1.12",41052241920,2375444946
at_projections,"-1.-21.-5.19",1368408064,173604180
