rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1.-10.-7.17,1,73984,2882702848,1220195071,16.174925682500678,1.2403103219883826
2,-1.-12.-3.11,1,36992,2882702848,1220195071,15.174925682500678,1.2403103219883826
3,-1.-13.-9.22,3,73984,2882702848,1220195071,14.589963181779522,1.2403103219883826
4,-1.-15.-5.16,1,18496,2882702848,1220195071,14.174925682500678,1.2403103219883826
5,-1.-15.3.2,5,73984,2882702848,1220195071,13.852997587613316,1.2403103219883826
6,-1.-17.-9.24,3,36992,2882702848,1220195071,13.589963181779522,1.2403103219883826
7,-1.-17.7.-4,7,73984,2882702848,1220195071,13.367570760443074,1.2403103219883826
8,-1.-18.-7.21,1,9248,2882702848,1220195071,13.174925682500678,1.2403103219883826
9,-1.-20.5.1,9,73984,2882702848,1220195071,13.005000681058366,1.2403103219883826
10,-1.-22.9.-5,5,36992,2882702848,1220195071,12.852997587613316,1.2403103219883826
11,-1.-25.7.0,11,73984,2882702848,1220195071,12.715494063863382,1.2403103219883826
12,-1.-26.9.-3,3,18496,2882702848,1220195071,12.589963181779522,1.2403103219883826
13,-1.-9.19.-29,13,73984,2882702848,1220195071,12.474485964359587,1.2403103219883826
14,-1.10.-19.28,7,36992,2882702848,1220195071,12.367570760443074,1.2403103219883826
15,-1.13.-5.2,15,73984,2882702848,1220195071,12.26803508689216,1.2403103219883826
16,-1.15.-9.8,1,4624,2882702848,1220195071,12.174925682500678,1.2403103219883826
17,-1.6.9.-19,1,4352,2882702848,1220195071,12.087462841250339,1.2403103219883826
18,-1.8.5.-13,9,36992,2882702848,1220195071,12.005000681058366,1.2403103219883826
19,-11.-18.-9.22,19,73984,2882702848,1220195071,11.926998169057093,1.2403103219883826
20,-11.-27.9.-5,5,18496,2882702848,1220195071,11.852997587613316,1.2403103219883826
21,-13.-18.-7.18,21,73984,2882702848,1220195071,11.782608259721918,1.2403103219883826
22,-13.-25.-9.25,11,36992,2882702848,1220195071,11.715494063863382,1.2403103219883826
23,-13.-25.7.-3,23,73984,2882702848,1220195071,11.651363726443666,1.2403103219883826
24,-13.-26.-7.22,3,9248,2882702848,1220195071,11.589963181779522,1.2403103219883826
25,-13.-33.7.1,25,73984,2882702848,1220195071,11.531069492725955,1.2403103219883826
26,-13.-34.9.-2,13,36992,2882702848,1220195071,11.474485964359587,1.2403103219883826
27,-14.-20.-6.17,27,73984,2882702848,1220195071,11.42003818033721,1.2403103219883826
28,-14.-25.-4.16,7,18496,2882702848,1220195071,11.367570760443074,1.2403103219883826
29,-14.-26.6.-1,29,73984,2882702848,1220195071,11.316944687373107,1.2403103219883826
30,-14.-29.4.4,15,36992,2882702848,1220195071,11.26803508689216,1.2403103219883826
31,-15.-22.-5.16,31,73984,2882702848,1220195071,11.220729372113803,1.2403103219883826
32,-15.-27.-3.15,1,2312,2882702848,1220195071,11.174925682500678,1.2403103219883826
33,-15.-27.5.1,33,73984,2882702848,1220195071,11.130531563142226,1.2403103219883826
34,-15.-28.-9.26,1,2176,2882702848,1220195071,11.087462841250339,1.2403103219883826
35,-15.-30.3.6,35,73984,2882702848,1220195071,11.045642665555713,1.2403103219883826
36,-15.-37.9.-1,9,18496,2882702848,1220195071,11.005000681058366,1.2403103219883826
37,-16.-27.-6.20,37,73984,2882702848,1220195071,10.965472316871729,1.2403103219883826
38,-16.-29.-2.14,19,36992,2882702848,1220195071,10.926998169057093,1.2403103219883826
39,-16.-31.2.8,39,73984,2882702848,1220195071,10.88952346363843,1.2403103219883826
40,-16.-33.6.2,5,9248,2882702848,1220195071,10.852997587613316,1.2403103219883826
41,-17.-26.-3.14,41,73984,2882702848,1220195071,10.817373677882594,1.2403103219883826
42,-17.-29.-5.19,21,36992,2882702848,1220195071,10.782608259721918,1.2403103219883826
43,-17.-29.3.5,43,73984,2882702848,1220195071,10.74866092779858,1.2403103219883826
44,-17.-31.-1.13,11,18496,2882702848,1220195071,10.715494063863382,1.2403103219883826
45,-17.-32.1.10,45,73984,2882702848,1220195071,10.683072586171004,1.2403103219883826
46,-17.-34.-3.18,23,36992,2882702848,1220195071,10.651363726443666,1.2403103219883826
47,-17.-34.5.4,47,73984,2882702848,1220195071,10.620336830823042,1.2403103219883826
48,-17.-35.-9.29,3,4624,2882702848,1220195071,10.589963181779522,1.2403103219883826
49,-17.-37.-5.23,49,73984,2882702848,1220195071,10.56021583838547,1.2403103219883826
50,-17.-37.3.9,25,36992,2882702848,1220195071,10.531069492725955,1.2403103219883826
51,-17.-42.5.8,3,4352,2882702848,1220195071,10.502500340529183,1.2403103219883826
