feature_id,feature_value,Nz,Ez
norm_margin,"0|M=-1",14043254152,14043254152
norm_margin,"0|M=-2",3616450744,3616450744
norm_margin,"0|M=-3",650593264,650593264
norm_margin,"0|M=-4",82334400,82334400
norm_margin,"0|M=-5",6227712,6227712
norm_margin,"0|M=1",313992255368,0
norm_margin,"0|M=2",1518110148552,0
norm_margin,"0|M=3",2762433282296,0
norm_margin,"0|M=4",1887312503928,0
norm_margin,"0|M=5",90006185808,0
norm_margin,"100|M=-1",112346033216,112346033216
norm_margin,"100|M=-2",28931605952,28931605952
norm_margin,"100|M=-3",5204746112,5204746112
norm_margin,"100|M=-4",658675200,658675200
norm_margin,"100|M=-5",49821696,49821696
norm_margin,"100|M=1",303327427648,0
norm_margin,"100|M=2",559938518592,0
norm_margin,"100|M=3",667459160000,0
norm_margin,"100|M=4",404534240192,0
norm_margin,"100|M=5",19424557696,0
norm_margin,"10|M=-1",112346033216,112346033216
norm_margin,"10|M=-2",28931605952,28931605952
norm_margin,"10|M=-3",5204746112,5204746112
norm_margin,"10|M=-4",658675200,658675200
norm_margin,"10|M=-5",49821696,49821696
norm_margin,"10|M=1",303327427648,0
norm_margin,"10|M=2",559938518592,0
norm_margin,"10|M=3",667459160000,0
norm_margin,"10|M=4",404534240192,0
norm_margin,"10|M=5",19424557696,0
norm_margin,"113|M=-1",112346033216,112346033216
norm_margin,"113|M=-2",28931605952,28931605952
norm_margin,"113|M=-3",5204746112,5204746112
norm_margin,"113|M=-4",658675200,658675200
norm_margin,"113|M=-5",49821696,49821696
norm_margin,"113|M=1",303327427648,0
norm_margin,"113|M=2",559938518592,0
norm_margin,"113|M=3",667459160000,0
norm_margin,"113|M=4",404534240192,0
norm_margin,"113|M=5",19424557696,0
norm_margin,"128|M=-1",56173016608,56173016608
norm_margin,"128|M=-2",14465802976,14465802976
norm_margin,"128|M=-3",2602373056,2602373056
norm_margin,"128|M=-4",329337600,329337600
norm_margin,"128|M=-5",24910848,24910848
norm_margin,"128|M=1",151663713824,0
norm_margin,"128|M=2",279969259296,0
norm_margin,"128|M=3",333729580000,0
norm_margin,"128|M=4",202267120096,0
norm_margin,"128|M=5",9712278848,0
norm_margin,"13|M=-1",112346033216,112346033216
norm_margin,"13|M=-2",28931605952,28931605952
norm_margin,"13|M=-3",5204746112,5204746112
norm_margin,"13|M=-4",658675200,658675200
norm_margin,"13|M=-5",49821696,49821696
norm_margin,"13|M=1",303327427648,0
norm_margin,"13|M=2",559938518592,0
norm_margin,"13|M=3",667459160000,0
norm_margin,"13|M=4",404534240192,0
norm_margin,"13|M=5",19424557696,0
norm_margin,"16|M=-1",56173016608,56173016608
norm_margin,"16|M=-2",14465802976,14465802976
norm_margin,"16|M=-3",2602373056,2602373056
norm_margin,"16|M=-4",329337600,329337600
norm_margin,"16|M=-5",24910848,24910848
norm_margin,"16|M=1",151663713824,0
norm_margin,"16|M=2",279969259296,0
norm_margin,"16|M=3",333729580000,0
norm_margin,"16|M=4",202267120096,0
norm_margin,"16|M=5",9712278848,0
norm_margin,"17|M=-1",112346033216,112346033216
norm_margin,"17|M=-2",28931605952,28931605952
norm_margin,"17|M=-3",5204746112,5204746112
norm_margin,"17|M=-4",658675200,658675200
norm_margin,"17|M=-5",49821696,49821696
norm_margin,"17|M=1",303327427648,0
norm_margin,"17|M=2",559938518592,0
norm_margin,"17|M=3",667459160000,0
norm_margin,"17|M=4",404534240192,0
norm_margin,"17|M=5",19424557696,0
norm_margin,"18|M=-1",56173016608,56173016608
norm_margin,"18|M=-2",14465802976,14465802976
norm_margin,"18|M=-3",2602373056,2602373056
norm_margin,"18|M=-4",329337600,329337600
norm_margin,"18|M=-5",24910848,24910848
norm_margin,"18|M=1",151663713824,0
norm_margin,"18|M=2",279969259296,0
norm_margin,"18|M=3",333729580000,0
norm_margin,"18|M=4",202267120096,0
norm_margin,"18|M=5",9712278848,0
norm_margin,"1|M=-1",195365774368,195365774368
norm_margin,"1|M=-2",14465802976,14465802976
norm_margin,"1|M=-3",2602373056,2602373056
norm_margin,"1|M=-4",329337600,329337600
norm_margin,"1|M=-5",24910848,24910848
norm_margin,"1|M=1",1193236064288,0
norm_margin,"1|M=2",3475373139744,0
norm_margin,"1|M=3",5211933277152,0
norm_margin,"1|M=4",3443812009952,0
norm_margin,"1|M=5",168832479040,0
norm_margin,"20|M=-1",112346033216,112346033216
norm_margin,"20|M=-2",28931605952,28931605952
norm_margin,"20|M=-3",5204746112,5204746112
norm_margin,"20|M=-4",658675200,658675200
norm_margin,"20|M=-5",49821696,49821696
norm_margin,"20|M=1",303327427648,0
norm_margin,"20|M=2",559938518592,0
norm_margin,"20|M=3",667459160000,0
norm_margin,"20|M=4",404534240192,0
norm_margin,"20|M=5",19424557696,0
norm_margin,"25|M=-1",168519049824,168519049824
