feature_id,feature_value,Nz,Ez
pk,"A=0.0|t=0.0",87578116096,3049838080
pk,"A=0.0|t=0.1",43789058048,2407319748
pk,"A=0.0|t=0.16",43789058048,2407319748
pk,"A=0.0|t=1.0",43789058048,2407319748
pk,"A=0.0|t=1.1",21894529024,1711001016
pk,"A=0.0|t=1.16",21894529024,1711001016
pk,"A=0.0|t=16.0",43789058048,2407319748
pk,"A=0.0|t=16.1",21894529024,1711001016
pk,"A=0.0|t=16.16",21894529024,1711001016
pk,"A=0.10|t=0.0",21894529024,0
pk,"A=0.10|t=0.1",10947264512,120408960
pk,"A=0.10|t=0.10",10947264512,310278144
pk,"A=0.10|t=0.11",5473632256,275510652
pk,"A=0.10|t=0.16",10947264512,120408960
pk,"A=0.10|t=0.6",5473632256,299707356
pk,"A=0.10|t=0.7",10947264512,352243200
pk,"A=0.10|t=0.8",5473632256,299707356
pk,"A=0.10|t=0.9",5473632256,275510652
pk,"A=0.10|t=1.0",10947264512,120408960
pk,"A=0.10|t=1.1",5473632256,160656256
pk,"A=0.10|t=1.10",5473632256,275510652
pk,"A=0.10|t=1.11",2736816128,204285852
pk,"A=0.10|t=1.16",5473632256,160656256
pk,"A=0.10|t=1.6",2736816128,217105356
pk,"A=0.10|t=1.7",5473632256,299707356
pk,"A=0.10|t=1.8",2736816128,217105356
pk,"A=0.10|t=1.9",2736816128,204285852
pk,"A=0.10|t=10.0",10947264512,331281408
pk,"A=0.10|t=10.1",5473632256,287623116
pk,"A=0.10|t=10.10",5473632256,418124800
pk,"A=0.10|t=10.11",2736816128,277493454
pk,"A=0.10|t=10.16",5473632256,287623116
pk,"A=0.10|t=10.6",2736816128,290729820
pk,"A=0.10|t=10.7",5473632256,444252160
pk,"A=0.10|t=10.8",2736816128,290729820
pk,"A=0.10|t=10.9",2736816128,277493454
pk,"A=0.10|t=11.0",5473632256,287623116
pk,"A=0.10|t=11.1",2736816128,210703668
pk,"A=0.10|t=11.10",2736816128,277493454
pk,"A=0.10|t=11.11",1368408064,173604180
pk,"A=0.10|t=11.16",2736816128,210703668
pk,"A=0.10|t=11.6",1368408064,180168928
pk,"A=0.10|t=11.7",2736816128,290729820
pk,"A=0.10|t=11.8",1368408064,180168928
pk,"A=0.10|t=11.9",1368408064,173604180
pk,"A=0.10|t=16.0",10947264512,120408960
pk,"A=0.10|t=16.1",5473632256,160656256
pk,"A=0.10|t=16.10",5473632256,275510652
pk,"A=0.10|t=16.11",2736816128,204285852
pk,"A=0.10|t=16.16",5473632256,160656256
pk,"A=0.10|t=16.6",2736816128,217105356
pk,"A=0.10|t=16.7",5473632256,299707356
pk,"A=0.10|t=16.8",2736816128,217105356
pk,"A=0.10|t=16.9",2736816128,204285852
pk,"A=0.10|t=6.0",5473632256,287623116
pk,"A=0.10|t=6.1",2736816128,210703668
pk,"A=0.10|t=6.10",2736816128,277493454
pk,"A=0.10|t=6.11",1368408064,173604180
pk,"A=0.10|t=6.16",2736816128,210703668
pk,"A=0.10|t=6.6",1368408064,180168928
pk,"A=0.10|t=6.7",2736816128,290729820
pk,"A=0.10|t=6.8",1368408064,180168928
pk,"A=0.10|t=6.9",1368408064,173604180
pk,"A=0.10|t=7.0",10947264512,331281408
pk,"A=0.10|t=7.1",5473632256,287623116
pk,"A=0.10|t=7.10",5473632256,418124800
pk,"A=0.10|t=7.11",2736816128,277493454
pk,"A=0.10|t=7.16",5473632256,287623116
pk,"A=0.10|t=7.6",2736816128,290729820
pk,"A=0.10|t=7.7",5473632256,444252160
pk,"A=0.10|t=7.8",2736816128,290729820
pk,"A=0.10|t=7.9",2736816128,277493454
pk,"A=0.10|t=8.0",5473632256,287623116
pk,"A=0.10|t=8.1",2736816128,210703668
pk,"A=0.10|t=8.10",2736816128,277493454
pk,"A=0.10|t=8.11",1368408064,173604180
pk,"A=0.10|t=8.16",2736816128,210703668
pk,"A=0.10|t=8.6",1368408064,180168928
pk,"A=0.10|t=8.7",2736816128,290729820
pk,"A=0.10|t=8.8",1368408064,180168928
pk,"A=0.10|t=8.9",1368408064,173604180
pk,"A=0.10|t=9.0",5473632256,287623116
pk,"A=0.10|t=9.1",2736816128,210703668
pk,"A=0.10|t=9.10",2736816128,277493454
pk,"A=0.10|t=9.11",1368408064,173604180
pk,"A=0.10|t=9.16",2736816128,210703668
pk,"A=0.10|t=9.6",1368408064,180168928
pk,"A=0.10|t=9.7",2736816128,290729820
pk,"A=0.10|t=9.8",1368408064,180168928
pk,"A=0.10|t=9.9",1368408064,173604180
pk,"A=0.11|t=0.0",21894529024,0
pk,"A=0.11|t=0.1",10947264512,120408960
pk,"A=0.11|t=0.10",5473632256,275510652
pk,"A=0.11|t=0.11",10947264512,310278144
pk,"A=0.11|t=0.12",5473632256,275510652
pk,"A=0.11|t=0.16",10947264512,120408960
pk,"A=0.11|t=0.5",5473632256,299707356
pk,"A=0.11|t=0.6",10947264512,352243200
pk,"A=0.11|t=0.7",5473632256,299707356
pk,"A=0.11|t=1.0",10947264512,120408960
pk,"A=0.11|t=1.1",5473632256,160656256
pk,"A=0.11|t=1.10",2736816128,204285852
pk,"A=0.11|t=1.11",5473632256,275510652
pk,"A=0.11|t=1.12",2736816128,204285852
pk,"A=0.11|t=1.16",5473632256,160656256
pk,"A=0.11|t=1.5",2736816128,217105356
pk,"A=0.11|t=1.6",5473632256,299707356
pk,"A=0.11|t=1.7",2736816128,217105356
pk,"A=0.11|t=10.0",5473632256,287623116
pk,"A=0.11|t=10.1",2736816128,210703668
pk,"A=0.11|t=10.10",1368408064,173604180
pk,"A=0.11|t=10.11",2736816128,277493454
pk,"A=0.11|t=10.12",1368408064,173604180
pk,"A=0.11|t=10.16",2736816128,210703668
pk,"A=0.11|t=10.5",1368408064,180168928
pk,"A=0.11|t=10.6",2736816128,290729820
