feature_value,coordinate,Nz,Eiz
"A=0.0|t=0.0",0,87578116096,1539842048
"A=0.0|t=0.0",1,87578116096,1539842048
"A=0.0|t=0.1",0,43789058048,1222752064
"A=0.0|t=0.1",1,43789058048,1222752064
"A=0.0|t=0.16",0,43789058048,1222752064
"A=0.0|t=0.16",1,43789058048,1222752064
"A=0.0|t=1.0",0,43789058048,1222752064
"A=0.0|t=1.0",1,43789058048,1222752064
"A=0.0|t=1.1",0,21894529024,871202672
"A=0.0|t=1.1",1,21894529024,871202672
"A=0.0|t=1.16",0,21894529024,871202672
"A=0.0|t=1.16",1,21894529024,871202672
"A=0.0|t=16.0",0,43789058048,1222752064
"A=0.0|t=16.0",1,43789058048,1222752064
"A=0.0|t=16.1",0,21894529024,871202672
"A=0.0|t=16.1",1,21894529024,871202672
"A=0.0|t=16.16",0,21894529024,871202672
"A=0.0|t=16.16",1,21894529024,871202672
"A=0.10|t=0.0",0,21894529024,0
"A=0.10|t=0.0",1,21894529024,0
"A=0.10|t=0.1",0,10947264512,60370944
"A=0.10|t=0.1",1,10947264512,60370944
"A=0.10|t=0.10",0,10947264512,156254208
"A=0.10|t=0.10",1,10947264512,156254208
"A=0.10|t=0.11",0,5473632256,139533824
"A=0.10|t=0.11",1,5473632256,139533824
"A=0.10|t=0.16",0,10947264512,60370944
"A=0.10|t=0.16",1,10947264512,60370944
"A=0.10|t=0.6",0,5473632256,151963136
"A=0.10|t=0.6",1,5473632256,151963136
"A=0.10|t=0.7",0,10947264512,177561600
"A=0.10|t=0.7",1,10947264512,177561600
"A=0.10|t=0.8",0,5473632256,151963136
"A=0.10|t=0.8",1,5473632256,151963136
"A=0.10|t=0.9",0,5473632256,139533824
"A=0.10|t=0.9",1,5473632256,139533824
"A=0.10|t=1.0",0,10947264512,60370944
"A=0.10|t=1.0",1,10947264512,60370944
"A=0.10|t=1.1",0,5473632256,80494592
"A=0.10|t=1.1",1,5473632256,80494592
"A=0.10|t=1.10",0,5473632256,139533824
"A=0.10|t=1.10",1,5473632256,139533824
"A=0.10|t=1.11",0,2736816128,103688576
"A=0.10|t=1.11",1,2736816128,103688576
"A=0.10|t=1.16",0,5473632256,80494592
"A=0.10|t=1.16",1,5473632256,80494592
"A=0.10|t=1.6",0,2736816128,110347136
"A=0.10|t=1.6",1,2736816128,110347136
"A=0.10|t=1.7",0,5473632256,151963136
"A=0.10|t=1.7",1,5473632256,151963136
"A=0.10|t=1.8",0,2736816128,110347136
"A=0.10|t=1.8",1,2736816128,110347136
"A=0.10|t=1.9",0,2736816128,103688576
"A=0.10|t=1.9",1,2736816128,103688576
"A=0.10|t=10.0",0,10947264512,156254208
"A=0.10|t=10.0",1,10947264512,177561600
"A=0.10|t=10.1",0,5473632256,139533824
"A=0.10|t=10.1",1,5473632256,151963136
"A=0.10|t=10.10",0,5473632256,205623296
"A=0.10|t=10.10",1,5473632256,217112576
"A=0.10|t=10.11",0,2736816128,138470848
"A=0.10|t=10.11",1,2736816128,144353664
"A=0.10|t=10.16",0,5473632256,139533824
"A=0.10|t=10.16",1,5473632256,151963136
"A=0.10|t=10.6",0,2736816128,144353664
"A=0.10|t=10.6",1,2736816128,152209024
"A=0.10|t=10.7",0,5473632256,217112576
"A=0.10|t=10.7",1,5473632256,232361984
"A=0.10|t=10.8",0,2736816128,144353664
"A=0.10|t=10.8",1,2736816128,152209024
"A=0.10|t=10.9",0,2736816128,138470848
"A=0.10|t=10.9",1,2736816128,144353664
"A=0.10|t=11.0",0,5473632256,139533824
"A=0.10|t=11.0",1,5473632256,151963136
"A=0.10|t=11.1",0,2736816128,103688576
"A=0.10|t=11.1",1,2736816128,110347136
"A=0.10|t=11.10",0,2736816128,138470848
"A=0.10|t=11.10",1,2736816128,144353664
"A=0.10|t=11.11",0,1368408064,87455344
"A=0.10|t=11.11",1,1368408064,90407360
"A=0.10|t=11.16",0,2736816128,103688576
"A=0.10|t=11.16",1,2736816128,110347136
"A=0.10|t=11.6",0,1368408064,90407360
"A=0.10|t=11.6",1,1368408064,94366592
"A=0.10|t=11.7",0,2736816128,144353664
"A=0.10|t=11.7",1,2736816128,152209024
"A=0.10|t=11.8",0,1368408064,90407360
"A=0.10|t=11.8",1,1368408064,94366592
"A=0.10|t=11.9",0,1368408064,87455344
"A=0.10|t=11.9",1,1368408064,90407360
"A=0.10|t=16.0",0,10947264512,60370944
"A=0.10|t=16.0",1,10947264512,60370944
"A=0.10|t=16.1",0,5473632256,80494592
"A=0.10|t=16.1",1,5473632256,80494592
"A=0.10|t=16.10",0,5473632256,139533824
"A=0.10|t=16.10",1,5473632256,139533824
"A=0.10|t=16.11",0,2736816128,103688576
"A=0.10|t=16.11",1,2736816128,103688576
"A=0.10|t=16.16",0,5473632256,80494592
"A=0.10|t=16.16",1,5473632256,80494592
"A=0.10|t=16.6",0,2736816128,110347136
"A=0.10|t=16.6",1,2736816128,110347136
"A=0.10|t=16.7",0,5473632256,151963136
"A=0.10|t=16.7",1,5473632256,151963136
"A=0.10|t=16.8",0,2736816128,110347136
"A=0.10|t=16.8",1,2736816128,110347136
"A=0.10|t=16.9",0,2736816128,103688576
"A=0.10|t=16.9",1,2736816128,103688576
"A=0.10|t=6.0",0,5473632256,151963136
"A=0.10|t=6.0",1,5473632256,139533824
"A=0.10|t=6.1",0,2736816128,110347136
"A=0.10|t=6.1",1,2736816128,103688576
"A=0.10|t=6.10",0,2736816128,144353664
"A=0.10|t=6.10",1,2736816128,138470848
"A=0.10|t=6.11",0,1368408064,90407360
