rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=0.0|t=16.16|e=1.1,1,73984,2882702848,1220195071,16.174925682500678,1.2403103219883826
2,A=0.0|t=16.16|e=1.16,1,36992,2882702848,1220195071,15.174925682500678,1.2403103219883826
3,A=0.0|t=16.16|e=16.1,3,73984,2882702848,1220195071,14.589963181779522,1.2403103219883826
4,A=0.0|t=16.16|e=16.16,1,18496,2882702848,1220195071,14.174925682500678,1.2403103219883826
5,A=0.0|t=16.1|e=1.1,5,73984,2882702848,1220195071,13.852997587613316,1.2403103219883826
6,A=0.0|t=16.1|e=1.16,3,36992,2882702848,1220195071,13.589963181779522,1.2403103219883826
7,A=0.0|t=16.1|e=16.1,7,73984,2882702848,1220195071,13.367570760443074,1.2403103219883826
8,A=0.0|t=16.1|e=16.16,1,9248,2882702848,1220195071,13.174925682500678,1.2403103219883826
9,A=0.10|t=16.16|e=1.1,9,73984,2882702848,1220195071,13.005000681058366,1.2403103219883826
10,A=0.10|t=16.16|e=1.16,5,36992,2882702848,1220195071,12.852997587613316,1.2403103219883826
11,A=0.10|t=16.16|e=16.1,11,73984,2882702848,1220195071,12.715494063863382,1.2403103219883826
12,A=0.10|t=16.16|e=16.16,3,18496,2882702848,1220195071,12.589963181779522,1.2403103219883826
13,A=0.10|t=16.1|e=1.1,13,73984,2882702848,1220195071,12.474485964359587,1.2403103219883826
14,A=0.10|t=16.1|e=1.16,7,36992,2882702848,1220195071,12.367570760443074,1.2403103219883826
15,A=0.10|t=16.1|e=16.1,15,73984,2882702848,1220195071,12.26803508689216,1.2403103219883826
16,A=0.10|t=16.1|e=16.16,1,4624,2882702848,1220195071,12.174925682500678,1.2403103219883826
17,A=0.11|t=16.16|e=1.1,1,4352,2882702848,1220195071,12.087462841250339,1.2403103219883826
18,A=0.11|t=16.16|e=1.16,9,36992,2882702848,1220195071,12.005000681058366,1.2403103219883826
19,A=0.11|t=16.16|e=16.1,19,73984,2882702848,1220195071,11.926998169057093,1.2403103219883826
20,A=0.11|t=16.16|e=16.16,5,18496,2882702848,1220195071,11.852997587613316,1.2403103219883826
21,A=0.11|t=16.1|e=1.1,21,73984,2882702848,1220195071,11.782608259721918,1.2403103219883826
22,A=0.11|t=16.1|e=1.16,11,36992,2882702848,1220195071,11.715494063863382,1.2403103219883826
23,A=0.11|t=16.1|e=16.1,23,73984,2882702848,1220195071,11.651363726443666,1.2403103219883826
24,A=0.11|t=16.1|e=16.16,3,9248,2882702848,1220195071,11.589963181779522,1.2403103219883826
25,A=0.12|t=16.16|e=1.1,25,73984,2882702848,1220195071,11.531069492725955,1.2403103219883826
26,A=0.12|t=16.16|e=1.16,13,36992,2882702848,1220195071,11.474485964359587,1.2403103219883826
27,A=0.12|t=16.16|e=16.1,27,73984,2882702848,1220195071,11.42003818033721,1.2403103219883826
28,A=0.12|t=16.16|e=16.16,7,18496,2882702848,1220195071,11.367570760443074,1.2403103219883826
29,A=0.12|t=16.1|e=1.1,29,73984,2882702848,1220195071,11.316944687373107,1.2403103219883826
30,A=0.12|t=16.1|e=1.16,15,36992,2882702848,1220195071,11.26803508689216,1.2403103219883826
31,A=0.12|t=16.1|e=16.1,31,73984,2882702848,1220195071,11.220729372113803,1.2403103219883826
32,A=0.12|t=16.1|e=16.16,1,2312,2882702848,1220195071,11.174925682500678,1.2403103219883826
33,A=0.13|t=16.16|e=1.1,33,73984,2882702848,1220195071,11.130531563142226,1.2403103219883826
34,A=0.13|t=16.16|e=1.16,1,2176,2882702848,1220195071,11.087462841250339,1.2403103219883826
35,A=0.13|t=16.16|e=16.1,35,73984,2882702848,1220195071,11.045642665555713,1.2403103219883826
36,A=0.13|t=16.16|e=16.16,9,18496,2882702848,1220195071,11.005000681058366,1.2403103219883826
37,A=0.13|t=16.1|e=1.1,37,73984,2882702848,1220195071,10.965472316871729,1.2403103219883826
38,A=0.13|t=16.1|e=1.16,19,36992,2882702848,1220195071,10.926998169057093,1.2403103219883826
39,A=0.13|t=16.1|e=16.1,39,73984,2882702848,1220195071,10.88952346363843,1.2403103219883826
40,A=0.13|t=16.1|e=16.16,5,9248,2882702848,1220195071,10.852997587613316,1.2403103219883826
41,A=0.14|t=16.16|e=1.1,41,73984,2882702848,1220195071,10.817373677882594,1.2403103219883826
42,A=0.14|t=16.16|e=1.16,21,36992,2882702848,1220195071,10.782608259721918,1.2403103219883826
43,A=0.14|t=16.16|e=16.1,43,73984,2882702848,1220195071,10.74866092779858,1.2403103219883826
44,A=0.14|t=16.16|e=16.16,11,18496,2882702848,1220195071,10.715494063863382,1.2403103219883826
45,A=0.14|t=16.1|e=1.1,45,73984,2882702848,1220195071,10.683072586171004,1.2403103219883826
46,A=0.14|t=16.1|e=1.16,23,36992,2882702848,1220195071,10.651363726443666,1.2403103219883826
47,A=0.14|t=16.1|e=16.1,47,73984,2882702848,1220195071,10.620336830823042,1.2403103219883826
48,A=0.14|t=16.1|e=16.16,3,4624,2882702848,1220195071,10.589963181779522,1.2403103219883826
49,A=0.15|t=16.16|e=1.1,49,73984,2882702848,1220195071,10.56021583838547,1.2403103219883826
50,A=0.15|t=16.16|e=1.16,25,36992,2882702848,1220195071,10.531069492725955,1.2403103219883826
51,A=0.15|t=16.16|e=16.1,3,4352,2882702848,1220195071,10.502500340529183,1.2403103219883826
52,A=0.15|t=16.16|e=16.16,13,18496,2882702848,1220195071,10.474485964359587,1.2403103219883826
53,A=0.15|t=16.1|e=1.1,53,73984,2882702848,1220195071,10.44700522793748,1.2403103219883826
54,A=0.15|t=16.1|e=1.16,27,36992,2882702848,1220195071,10.42003818033721,1.2403103219883826
55,A=0.15|t=16.1|e=16.1,55,73984,2882702848,1220195071,10.39356596897602,1.2403103219883826
56,A=0.15|t=16.1|e=16.16,7,9248,2882702848,1220195071,10.367570760443074,1.2403103219883826
57,A=0.16|t=16.16|e=1.1,57,73984,2882702848,1220195071,10.342035668335937,1.2403103219883826
58,A=0.16|t=16.16|e=1.16,29,36992,2882702848,1220195071,10.316944687373107,1.2403103219883826
59,A=0.16|t=16.16|e=16.1,59,73984,2882702848,1220195071,10.292282633138838,1.2403103219883826
60,A=0.16|t=16.16|e=16.16,15,18496,2882702848,1220195071,10.26803508689216,1.2403103219883826
61,A=0.16|t=16.1|e=1.1,61,73984,2882702848,1220195071,10.244188344937793,1.2403103219883826
62,A=0.16|t=16.1|e=1.16,31,36992,2882702848,1220195071,10.220729372113803,1.2403103219883826
63,A=0.16|t=16.1|e=16.1,63,73984,2882702848,1220195071,10.197645759000762,1.2403103219883826
64,A=0.16|t=16.1|e=16.16,1,1156,2882702848,1220195071,10.174925682500678,1.2403103219883826
65,A=0.1|t=16.16|e=1.1,65,73984,2882702848,1220195071,10.152557869472224,1.2403103219883826
66,A=0.1|t=16.16|e=1.16,33,36992,2882702848,1220195071,10.130531563142226,1.2403103219883826
67,A=0.1|t=16.16|e=16.1,67,73984,2882702848,1220195071,10.108836492042906,1.2403103219883826
68,A=0.1|t=16.16|e=16.16,1,1088,2882702848,1220195071,10.087462841250339,1.2403103219883826
69,A=0.1|t=16.1|e=1.1,69,73984,2882702848,1220195071,10.06640122572251,1.2403103219883826
70,A=0.1|t=16.1|e=1.16,35,36992,2882702848,1220195071,10.045642665555713,1.2403103219883826
71,A=0.1|t=16.1|e=16.1,71,73984,2882702848,1220195071,10.025178562995997,1.2403103219883826
72,A=0.1|t=16.1|e=16.16,9,9248,2882702848,1220195071,10.005000681058366,1.2403103219883826
73,A=0.2|t=16.16|e=1.1,73,73984,2882702848,1220195071,9.985101123620662,1.2403103219883826
74,A=0.2|t=16.16|e=1.16,37,36992,2882702848,1220195071,9.965472316871729,1.2403103219883826
75,A=0.2|t=16.16|e=16.1,75,73984,2882702848,1220195071,9.946106992004799,1.2403103219883826
76,A=0.2|t=16.16|e=16.16,19,18496,2882702848,1220195071,9.926998169057093,1.2403103219883826
77,A=0.2|t=16.1|e=1.1,77,73984,2882702848,1220195071,9.908139141805778,1.2403103219883826
78,A=0.2|t=16.1|e=1.16,39,36992,2882702848,1220195071,9.88952346363843,1.2403103219883826
79,A=0.2|t=16.1|e=16.1,79,73984,2882702848,1220195071,9.871144934323576,1.2403103219883826
80,A=0.2|t=16.1|e=16.16,5,4624,2882702848,1220195071,9.852997587613316,1.2403103219883826
81,A=0.3|t=16.16|e=1.1,81,73984,2882702848,1220195071,9.835075679616054,1.2403103219883826
