feature_id,feature_value,Nz,Ez
t_autocorrelation,"-10",1050937393152,73595441088
t_autocorrelation,"-112",1050937393152,73595441088
t_autocorrelation,"-12",2101874786304,147190882176
t_autocorrelation,"-128",525468696576,36797720544
t_autocorrelation,"-14",1050937393152,73595441088
t_autocorrelation,"-16",2101874786304,147190882176
t_autocorrelation,"-18",525468696576,36797720544
t_autocorrelation,"-2",3689228140544,129657036512
t_autocorrelation,"-20",1050937393152,73595441088
t_autocorrelation,"-24",2101874786304,147190882176
t_autocorrelation,"-28",1050937393152,73595441088
t_autocorrelation,"-30",1050937393152,73595441088
t_autocorrelation,"-32",1576406089728,110393161632
t_autocorrelation,"-36",1050937393152,73595441088
t_autocorrelation,"-4",1050937393152,73595441088
t_autocorrelation,"-40",1050937393152,73595441088
t_autocorrelation,"-42",1050937393152,73595441088
t_autocorrelation,"-48",2101874786304,147190882176
t_autocorrelation,"-50",525468696576,36797720544
t_autocorrelation,"-56",1050937393152,73595441088
t_autocorrelation,"-6",1050937393152,73595441088
t_autocorrelation,"-60",1050937393152,73595441088
t_autocorrelation,"-64",1050937393152,73595441088
t_autocorrelation,"-70",1050937393152,73595441088
t_autocorrelation,"-72",525468696576,36797720544
t_autocorrelation,"-8",1576406089728,110393161632
t_autocorrelation,"-80",1050937393152,73595441088
t_autocorrelation,"-84",1050937393152,73595441088
t_autocorrelation,"-96",1050937393152,73595441088
t_autocorrelation,"-98",525468696576,36797720544
t_autocorrelation,"0",27652790157312,746355146736
t_autocorrelation,"10",1050937393152,73595441088
t_autocorrelation,"112",1050937393152,73595441088
t_autocorrelation,"12",2101874786304,147190882176
t_autocorrelation,"128",525468696576,36797720544
t_autocorrelation,"14",1050937393152,73595441088
t_autocorrelation,"16",2101874786304,147190882176
t_autocorrelation,"18",525468696576,36797720544
t_autocorrelation,"2",3689228140544,129657036512
t_autocorrelation,"20",1050937393152,73595441088
t_autocorrelation,"24",2101874786304,147190882176
t_autocorrelation,"28",1050937393152,73595441088
t_autocorrelation,"30",1050937393152,73595441088
t_autocorrelation,"32",1576406089728,110393161632
t_autocorrelation,"36",1050937393152,73595441088
t_autocorrelation,"4",1050937393152,73595441088
t_autocorrelation,"40",1050937393152,73595441088
t_autocorrelation,"42",1050937393152,73595441088
t_autocorrelation,"48",2101874786304,147190882176
t_autocorrelation,"50",525468696576,36797720544
t_autocorrelation,"56",1050937393152,73595441088
t_autocorrelation,"6",1050937393152,73595441088
t_autocorrelation,"60",1050937393152,73595441088
t_autocorrelation,"64",1050937393152,73595441088
t_autocorrelation,"70",1050937393152,73595441088
t_autocorrelation,"72",525468696576,36797720544
t_autocorrelation,"8",1576406089728,110393161632
t_autocorrelation,"80",1050937393152,73595441088
t_autocorrelation,"84",1050937393152,73595441088
t_autocorrelation,"96",1050937393152,73595441088
t_autocorrelation,"98",525468696576,36797720544
