rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-10,3,289,1533238356,1220195071,6.589963181779523,0.3294701866335517
2,-112,6,289,1533238356,1220195071,5.589963181779523,0.3294701866335517
3,-12,12,289,1533238356,1220195071,4.589963181779523,0.3294701866335517
4,-128,27,578,1533238356,1220195071,4.42003818033721,0.3294701866335517
5,-14,33,578,1533238356,1220195071,4.130531563142226,0.3294701866335517
6,-16,45,578,1533238356,1220195071,3.6830725861710043,0.3294701866335517
7,-18,24,289,1533238356,1220195071,3.5899631817795226,0.3294701866335517
8,-20,27,289,1533238356,1220195071,3.4200381803372104,0.3294701866335517
9,-24,33,289,1533238356,1220195071,3.1305315631422252,0.3294701866335517
10,-28,36,289,1533238356,1220195071,3.0050006810583665,0.3294701866335517
11,-30,39,289,1533238356,1220195071,2.8895234636384304,0.3294701866335517
12,-32,87,578,1533238356,1220195071,2.7319821866519507,0.3294701866335517
13,-36,93,578,1533238356,1220195071,2.6357668713926476,0.3294701866335517
14,-4,99,578,1533238356,1220195071,2.545569062421069,0.3294701866335517
15,-40,105,578,1533238356,1220195071,2.460680164834556,0.3294701866335517
16,-42,111,578,1533238356,1220195071,2.380509816150573,0.3294701866335517
17,-48,123,578,1533238356,1220195071,2.2324111771614388,0.3294701866335517
18,-50,63,289,1533238356,1220195071,2.1976457590007623,0.3294701866335517
19,-56,66,289,1533238356,1220195071,2.1305315631422252,0.3294701866335517
20,-6,69,289,1533238356,1220195071,2.06640122572251,0.3294701866335517
21,-60,72,289,1533238356,1220195071,2.0050006810583665,0.3294701866335517
22,-64,75,289,1533238356,1220195071,1.946106992004798,0.3294701866335517
23,-70,78,289,1533238356,1220195071,1.8895234636384304,0.3294701866335517
24,-72,159,578,1533238356,1220195071,1.8620427272163236,0.3294701866335517
25,-8,84,289,1533238356,1220195071,1.7826082597219184,0.3294701866335517
26,-80,87,289,1533238356,1220195071,1.7319821866519505,0.3294701866335517
27,-84,90,289,1533238356,1220195071,1.683072586171004,0.3294701866335517
28,-96,93,289,1533238356,1220195071,1.6357668713926474,0.3294701866335517
29,-98,189,578,1533238356,1220195071,1.612683258279606,0.3294701866335517
30,10,195,578,1533238356,1220195071,1.5675953687510682,0.3294701866335517
31,112,201,578,1533238356,1220195071,1.5238739913217503,0.3294701866335517
32,12,213,578,1533238356,1220195071,1.4402160622748406,0.3294701866335517
33,128,108,289,1533238356,1220195071,1.4200381803372102,0.3294701866335517
34,14,111,289,1533238356,1220195071,1.3805098161505729,0.3294701866335517
35,16,117,289,1533238356,1220195071,1.3045609629172743,0.3294701866335517
36,18,237,578,1533238356,1220195071,1.2861824336024197,0.3294701866335517
37,20,243,578,1533238356,1220195071,1.2501131788948978,0.3294701866335517
38,24,15,34,1533238356,1220195071,1.1805722456418208,0.3294701866335517
39,28,261,578,1533238356,1220195071,1.1470196859307944,0.3294701866335517
40,30,267,578,1533238356,1220195071,1.1142297508131247,0.3294701866335517
41,32,138,289,1533238356,1220195071,1.0664012257225097,0.3294701866335517
42,36,141,289,1533238356,1220195071,1.0353743301018854,0.3294701866335517
43,4,144,289,1533238356,1220195071,1.0050006810583665,0.3294701866335517
44,40,147,289,1533238356,1220195071,0.9752533376643143,0.3294701866335517
45,42,150,289,1533238356,1220195071,0.9461069920047981,0.3294701866335517
46,48,156,289,1533238356,1220195071,0.8895234636384304,0.3294701866335517
47,50,315,578,1533238356,1220195071,0.8757176641133999,0.3294701866335517
48,56,321,578,1533238356,1220195071,0.8484961953783758,0.3294701866335517
49,6,327,578,1533238356,1220195071,0.8217788570025962,0.3294701866335517
50,60,333,578,1533238356,1220195071,0.7955473154294168,0.3294701866335517
51,64,339,578,1533238356,1220195071,0.7697842193643349,0.3294701866335517
52,70,345,578,1533238356,1220195071,0.7444731308351473,0.3294701866335517
53,72,174,289,1533238356,1220195071,0.7319821866519505,0.3294701866335517
54,8,21,34,1533238356,1220195071,0.6951454184715791,0.3294701866335517
55,80,363,578,1533238356,1220195071,0.6710999445049282,0.3294701866335517
56,84,369,578,1533238356,1220195071,0.6474486764402827,0.3294701866335517
57,96,375,578,1533238356,1220195071,0.6241788971174357,0.3294701866335517
58,98,189,289,1533238356,1220195071,0.6126832582796061,0.3294701866335517
59,-2,6385,9248,9532339650112,7790945528335,0.5344547779105927,0.2910319296778761
60,2,3361,4624,4895826861568,4101075633631,0.4602508551926771,0.25555018810161323
61,0,1,1,1,1,-0.0,0.0
