feature_id,feature_value,Nz,Ez
t_norm2,"0",6590253236224,18398860272
t_norm2,"1",13705975169024,212788198848
t_norm2,"10",2101874786304,147190882176
t_norm2,"100",2101874786304,147190882176
t_norm2,"113",2101874786304,147190882176
t_norm2,"128",1050937393152,73595441088
t_norm2,"13",2101874786304,147190882176
t_norm2,"16",1050937393152,73595441088
t_norm2,"17",2101874786304,147190882176
t_norm2,"18",1050937393152,73595441088
t_norm2,"2",7378456281088,259314073024
t_norm2,"20",2101874786304,147190882176
t_norm2,"25",3152812179456,220786323264
t_norm2,"26",2101874786304,147190882176
t_norm2,"29",2101874786304,147190882176
t_norm2,"32",1050937393152,73595441088
t_norm2,"34",2101874786304,147190882176
t_norm2,"36",1050937393152,73595441088
t_norm2,"37",2101874786304,147190882176
t_norm2,"4",1050937393152,73595441088
t_norm2,"40",2101874786304,147190882176
t_norm2,"41",2101874786304,147190882176
t_norm2,"45",2101874786304,147190882176
t_norm2,"49",1050937393152,73595441088
t_norm2,"5",2101874786304,147190882176
t_norm2,"50",3152812179456,220786323264
t_norm2,"52",2101874786304,147190882176
t_norm2,"53",2101874786304,147190882176
t_norm2,"58",2101874786304,147190882176
t_norm2,"61",2101874786304,147190882176
t_norm2,"64",1050937393152,73595441088
t_norm2,"65",4203749572608,294381764352
t_norm2,"68",2101874786304,147190882176
t_norm2,"72",1050937393152,73595441088
t_norm2,"73",2101874786304,147190882176
t_norm2,"74",2101874786304,147190882176
t_norm2,"8",1050937393152,73595441088
t_norm2,"80",2101874786304,147190882176
t_norm2,"85",2101874786304,147190882176
t_norm2,"89",2101874786304,147190882176
t_norm2,"9",1050937393152,73595441088
t_norm2,"98",1050937393152,73595441088
