feature_id,feature_value,Nz,Ez
pk,A=0.0|t=0.0,1540690511780295460519936,127095306018904218796032
pk,A=0.0|t=0.1,770345255890147730259968,63547653009452109398016
pk,A=0.0|t=0.16,770345255890147730259968,63547653009452109398016
pk,A=0.0|t=1.0,770345255890147730259968,63547653009452109398016
pk,A=0.0|t=1.1,385172627945073865129984,31773826504726054699008
pk,A=0.0|t=1.16,385172627945073865129984,31773826504726054699008
pk,A=0.0|t=16.0,770345255890147730259968,63547653009452109398016
pk,A=0.0|t=16.1,385172627945073865129984,31773826504726054699008
pk,A=0.0|t=16.16,385172627945073865129984,31773826504726054699008
pk,A=0.10|t=0.0,385172627945073865129984,31773826504726054699008
pk,A=0.10|t=0.1,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=0.10,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=0.11,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=0.16,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=0.6,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=0.7,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=0.8,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=0.9,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=1.0,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=1.1,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=1.10,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=1.11,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=1.16,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=1.6,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=1.7,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=1.8,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=1.9,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=10.0,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=10.1,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=10.10,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=10.11,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=10.16,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=10.6,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=10.7,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=10.8,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=10.9,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=11.0,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=11.1,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=11.10,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=11.11,24073289246567116570624,1985864156545378418688
pk,A=0.10|t=11.16,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=11.6,24073289246567116570624,1985864156545378418688
pk,A=0.10|t=11.7,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=11.8,24073289246567116570624,1985864156545378418688
pk,A=0.10|t=11.9,24073289246567116570624,1985864156545378418688
pk,A=0.10|t=16.0,192586313972536932564992,15886913252363027349504
pk,A=0.10|t=16.1,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=16.10,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=16.11,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=16.16,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=16.6,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=16.7,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=16.8,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=16.9,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=6.0,96293156986268466282496,7943456626181513674752
pk,A=0.10|t=6.1,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=6.10,48146578493134233141248,3971728313090756837376
pk,A=0.10|t=6.11,24073289246567116570624,1985864156545378418688
pk,A=0.10|t=6.16,48146578493134233141248,3971728313090756837376
