rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=0.0|t=0.0,1,1156,1,1,10.174925682500678,0.0
2,A=0.0|t=0.1,3,2312,1,1,9.589963181779522,0.0
3,A=0.0|t=0.16,1,578,1,1,9.174925682500678,0.0
4,A=0.0|t=1.0,5,2312,1,1,8.852997587613316,0.0
5,A=0.0|t=1.1,11,4624,1,1,8.715494063863382,0.0
6,A=0.0|t=1.16,3,1156,1,1,8.589963181779522,0.0
7,A=0.0|t=16.0,7,2312,1,1,8.367570760443074,0.0
8,A=0.0|t=16.1,15,4624,1,1,8.26803508689216,0.0
9,A=0.0|t=16.16,1,289,1,1,8.174925682500678,0.0
10,A=0.10|t=0.0,1,272,1,1,8.087462841250339,0.0
11,A=0.10|t=0.1,35,9248,1,1,8.045642665555713,0.0
12,A=0.10|t=0.10,9,2312,1,1,8.005000681058366,0.0
13,A=0.10|t=0.11,73,18496,1,1,7.9851011236206615,0.0
14,A=0.10|t=0.16,75,18496,1,1,7.946106992004798,0.0
15,A=0.10|t=0.6,19,4624,1,1,7.926998169057094,0.0
16,A=0.10|t=0.7,39,9248,1,1,7.88952346363843,0.0
17,A=0.10|t=0.8,79,18496,1,1,7.871144934323576,0.0
18,A=0.10|t=0.9,5,1156,1,1,7.8529975876133165,0.0
19,A=0.10|t=1.0,41,9248,1,1,7.817373677882595,0.0
20,A=0.10|t=1.1,83,18496,1,1,7.799886251153754,0.0
21,A=0.10|t=1.10,21,4624,1,1,7.782608259721918,0.0
22,A=0.10|t=1.11,169,36992,1,1,7.774046246218495,0.0
23,A=0.10|t=1.16,171,36992,1,1,7.757073167614781,0.0
24,A=0.10|t=1.6,43,9248,1,1,7.748660927798581,0.0
25,A=0.10|t=1.7,87,18496,1,1,7.73198218665195,0.0
26,A=0.10|t=1.8,175,36992,1,1,7.72371457066835,0.0
27,A=0.10|t=1.9,11,2312,1,1,7.715494063863382,0.0
28,A=0.10|t=10.0,45,9248,1,1,7.683072586171004,0.0
29,A=0.10|t=10.1,91,18496,1,1,7.667131042301983,0.0
30,A=0.10|t=10.10,23,4624,1,1,7.651363726443666,0.0
31,A=0.10|t=10.11,185,36992,1,1,7.643544221984366,0.0
32,A=0.10|t=10.16,11,2176,1,1,7.628031222613042,0.0
33,A=0.10|t=10.6,47,9248,1,1,7.6203368308230415,0.0
34,A=0.10|t=10.7,95,18496,1,1,7.605070074169731,0.0
35,A=0.10|t=10.8,191,36992,1,1,7.59749685446493,0.0
36,A=0.10|t=10.9,3,578,1,1,7.589963181779523,0.0
37,A=0.10|t=11.0,97,18496,1,1,7.575012840313551,0.0
