rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-10,3,289,1,1,6.589963181779523,0.0
2,-112,6,289,1,1,5.589963181779523,0.0
3,-12,12,289,1,1,4.589963181779523,0.0
4,-128,27,578,1,1,4.42003818033721,0.0
5,-14,33,578,1,1,4.130531563142226,0.0
6,-16,45,578,1,1,3.6830725861710043,0.0
7,-18,24,289,1,1,3.5899631817795226,0.0
8,-2,65,544,1,1,3.0650950282218847,0.0
9,-20,1201,9248,1,1,2.9449052467950447,0.0
10,-24,1393,9248,1,1,2.7309461398994257,0.0
11,-28,1489,9248,1,1,2.634797643918579,0.0
12,-30,1585,9248,1,1,2.5446585574739093,0.0
13,-32,1729,9248,1,1,2.419203528858397,0.0
14,-36,1825,9248,1,1,2.341244933845937,0.0
15,-4,113,544,1,1,2.2672838788351517,0.0
16,-40,2017,9248,1,1,2.196930313887717,0.0
17,-42,2113,9248,1,1,2.1298486305657383,0.0
18,-48,2305,9248,1,1,2.0043746471839783,0.0
19,-50,2353,9248,1,1,1.9746400772763815,0.0
20,-56,2449,9248,1,1,1.9169486239367006,0.0
21,-6,2545,9248,1,1,1.861475741537621,0.0
22,-60,2641,9248,1,1,1.8080570963335858,0.0
23,-64,161,544,1,1,1.7565459631357223,0.0
24,-70,2833,9248,1,1,1.7068107961225802,0.0
25,-72,2881,9248,1,1,1.6825717373408084,0.0
26,-8,3025,9248,1,1,1.6122062554513596,0.0
27,-80,3121,9248,1,1,1.5671330405814687,0.0
28,-84,3217,9248,1,1,1.5234254618479401,0.0
29,-96,3313,9248,1,1,1.4810031944196642,0.0
30,-98,3361,9248,1,1,1.4602508551926772,0.0
31,0,5887,9248,1,1,0.6516087701879304,0.0
32,10,5983,9248,1,1,0.6282723348457233,0.0
33,112,6079,9248,1,1,0.6053073790540375,0.0
34,12,6271,9248,1,1,0.5604458782553495,0.0
35,128,6319,9248,1,1,0.5494451320295991,0.0
36,14,6415,9248,1,1,0.527692132523634,0.0
37,16,6607,9248,1,1,0.48514605312340414,0.0
38,18,6655,9248,1,1,0.4747027317014248,0.0
39,2,437,578,1,1,0.40343621300008037,0.0
40,20,443,578,1,1,0.38376279394566054,0.0
41,24,455,578,1,1,0.34520294741462026,0.0
42,28,461,578,1,1,0.3263027420713408,0.0
43,30,467,578,1,1,0.3076469427910168,0.0
44,32,14,17,1,1,0.28010791919273537,0.0
45,36,241,289,1,1,0.2620363462707172,0.0
46,4,244,289,1,1,0.24418834493779262,0.0
47,40,247,289,1,1,0.2265584509160012,0.0
48,42,250,289,1,1,0.2091413978385917,0.0
49,48,256,289,1,1,0.17492568250067878,0.0
50,50,515,578,1,1,0.1664970604300981,0.0
51,56,521,578,1,1,0.14978612022217053,0.0
52,6,31,34,1,1,0.13326653086346424,0.0
53,60,533,578,1,1,0.11693395974150292,0.0
54,64,539,578,1,1,0.10078421974817339,0.0
55,70,545,578,1,1,0.0848132628363901,0.0
56,72,274,289,1,1,0.07689359954015212,0.0
57,8,557,578,1,1,0.053392165160647063,0.0
58,80,563,578,1,1,0.03793457042044917,0.0
59,84,569,578,1,1,0.02264084019409692,0.0
60,96,575,578,1,1,0.007507536668941203,0.0
61,98,1,1,1,1,-0.0,0.0
