rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1:1;0:1;,313,4624,1,1,3.8849068355680605,0.0
2,-1:1;1:1;,963,9248,1,1,3.2635336946572195,0.0
3,-1:1;2:1;,1011,9248,1,1,3.1933584005976643,0.0
4,-1:1;3:1;,1059,9248,1,1,3.1264388085083423,0.0
5,-1:1;4:1;,1107,9248,1,1,3.0624861757191266,0.0
6,-1:1;5:1;,1155,9248,1,1,3.001248546197259,0.0
7,-1:1;6:1;,1203,9248,1,1,2.9425047553246024,0.0
8,-1:1;7:1;,1251,9248,1,1,2.886059608334859,0.0
9,-1:1;8:1;,1299,9248,1,1,2.8317399670527976,0.0
10,-1:2;,2935,18496,1,1,2.6557808945032644,0.0
11,-2:1;-1:1;,3031,18496,1,1,2.60934754571635,0.0
12,-2:1;0:1;,3127,18496,1,1,2.5643621785756383,0.0
13,-2:1;1:1;,3223,18496,1,1,2.5207372094411338,0.0
14,-2:1;2:1;,3319,18496,1,1,2.478392768422379,0.0
15,-2:1;3:1;,3415,18496,1,1,2.437255819323226,0.0
16,-2:1;4:1;,3511,18496,1,1,2.3972594016199236,0.0
17,-2:1;5:1;,3607,18496,1,1,2.3583419747131087,0.0
18,-2:1;6:1;,3703,18496,1,1,2.320446848329049,0.0
19,-2:1;7:1;,3799,18496,1,1,2.2835216858356566,0.0
20,-2:1;8:1;,3895,18496,1,1,2.2475180695516475,0.0
21,-2:2;,3943,18496,1,1,2.229847687392862,0.0
22,-3:1;-1:1;,4039,18496,1,1,2.1951432517975924,0.0
23,-3:1;-2:1;,4135,18496,1,1,2.161254068442042,0.0
24,-3:1;0:1;,4231,18496,1,1,2.1281427121443284,0.0
25,-3:1;1:1;,4327,18496,1,1,2.0957742770787875,0.0
26,-3:1;2:1;,4423,18496,1,1,2.0641161556020253,0.0
27,-3:1;3:1;,4519,18496,1,1,2.033137840829675,0.0
28,-3:1;4:1;,4615,18496,1,1,2.002810749967542,0.0
29,-3:1;5:1;,4711,18496,1,1,1.9731080658327576,0.0
30,-3:1;6:1;,4807,18496,1,1,1.9440045943627833,0.0
31,-3:1;7:1;,4903,18496,1,1,1.9154766362149935,0.0
32,-3:1;8:1;,4999,18496,1,1,1.8875018708171556,0.0
33,-3:2;,5047,18496,1,1,1.8737153112022522,0.0
34,-4:1;-1:1;,5143,18496,1,1,1.8465312441482218,0.0
35,-4:1;-2:1;,5239,18496,1,1,1.8198499358316194,0.0
36,-4:1;-3:1;,5335,18496,1,1,1.7936531267888913,0.0
37,-4:1;0:1;,5431,18496,1,1,1.767923534576478,0.0
38,-4:1;1:1;,5527,18496,1,1,1.7426447852865177,0.0
39,-4:1;2:1;,5623,18496,1,1,1.7178013509598749,0.0
40,-4:1;3:1;,5719,18496,1,1,1.6933784922973913,0.0
41,-4:1;4:1;,5815,18496,1,1,1.6693622061400981,0.0
42,-4:1;5:1;,5911,18496,1,1,1.6457391772497878,0.0
43,-4:1;6:1;,6007,18496,1,1,1.622496733974209,0.0
44,-4:1;7:1;,359,1088,1,1,1.599622807427288,0.0
45,-4:1;8:1;,6199,18496,1,1,1.5771058938551716,0.0
46,-4:2;,6247,18496,1,1,1.5659778679351652,0.0
47,-5:1;-1:1;,6343,18496,1,1,1.5439760556678088,0.0
48,-5:1;-2:1;,6439,18496,1,1,1.5223047478625147,0.0
49,-5:1;-3:1;,6535,18496,1,1,1.5009541618178832,0.0
50,-5:1;-4:1;,6631,18496,1,1,1.4799149428474412,0.0
51,-5:1;0:1;,6727,18496,1,1,1.4591781396693242,0.0
52,-5:1;1:1;,6823,18496,1,1,1.4387351815397524,0.0
53,-5:1;2:1;,407,1088,1,1,1.4185778569840923,0.0
54,-5:1;3:1;,7015,18496,1,1,1.3986982939934172,0.0
55,-5:1;4:1;,7111,18496,1,1,1.3790889415670302,0.0
56,-5:1;5:1;,7207,18496,1,1,1.3597425524926487,0.0
57,-5:1;6:1;,7303,18496,1,1,1.3406521672659801,0.0
58,-5:1;7:1;,7399,18496,1,1,1.3218110990603917,0.0
59,-5:1;8:1;,7495,18496,1,1,1.303212919665457,0.0
60,-5:2;,7543,18496,1,1,1.2940029719141355,0.0
61,-6:1;-1:1;,7639,18496,1,1,1.2757576063663563,0.0
62,-6:1;-2:1;,455,1088,1,1,1.2577401061642808,0.0
63,-6:1;-3:1;,7831,18496,1,1,1.2399448498468464,0.0
64,-6:1;-4:1;,7927,18496,1,1,1.2223664214438408,0.0
65,-6:1;-5:1;,8023,18496,1,1,1.2049996005808092,0.0
66,-6:1;0:1;,8119,18496,1,1,1.1878393531724856,0.0
67,-6:1;1:1;,8215,18496,1,1,1.1708808226632421,0.0
68,-6:1;2:1;,8311,18496,1,1,1.154119321776414,0.0
69,-6:1;3:1;,8407,18496,1,1,1.1375503247374406,0.0
70,-6:1;4:1;,8503,18496,1,1,1.1211694599385342,0.0
71,-6:1;5:1;,8599,18496,1,1,1.1049725030151365,0.0
72,-6:1;6:1;,8695,18496,1,1,1.0889553703067294,0.0
73,-6:1;7:1;,8791,18496,1,1,1.073114112676676,0.0
74,-6:1;8:1;,8887,18496,1,1,1.0574449096676948,0.0
75,-6:2;,8935,18496,1,1,1.049673668571826,0.0
76,-7:1;-1:1;,9031,18496,1,1,1.0342556520855768,0.0
77,-7:1;-2:1;,9127,18496,1,1,1.0190006664740987,0.0
78,-7:1;-3:1;,9223,18496,1,1,1.0039052999887457,0.0
79,-7:1;-4:1;,9319,18496,1,1,0.9889662468693611,0.0
80,-7:1;-5:1;,9415,18496,1,1,0.9741803029990882,0.0
81,-7:1;-6:1;,9511,18496,1,1,0.9595443617795952,0.0
82,-7:1;0:1;,9607,18496,1,1,0.9450554102134359,0.0
83,-7:1;1:1;,9703,18496,1,1,0.9307105251811851,0.0
84,-7:1;2:1;,9799,18496,1,1,0.9165068699018466,0.0
85,-7:1;3:1;,9895,18496,1,1,0.9024416905658045,0.0
86,-7:1;4:1;,9991,18496,1,1,0.8885123131303326,0.0
87,-7:1;5:1;,10087,18496,1,1,0.8747161402683271,0.0
88,-7:1;6:1;,599,1088,1,1,0.8610506484615538,0.0
89,-7:1;7:1;,10279,18496,1,1,0.8475133852302782,0.0
90,-7:1;8:1;,10375,18496,1,1,0.8341019664916669,0.0
91,-7:2;,10423,18496,1,1,0.8274427218609748,0.0
92,-8:1;-1:1;,10519,18496,1,1,0.8142157431512794,0.0
93,-8:1;-2:1;,10615,18496,1,1,0.801108931707939,0.0
94,-8:1;-3:1;,10711,18496,1,1,0.7881201237321201,0.0
95,-8:1;-4:1;,10807,18496,1,1,0.7752472133477372,0.0
96,-8:1;-5:1;,10903,18496,1,1,0.7624881505523411,0.0
97,-8:1;-6:1;,647,1088,1,1,0.7498409392578318,0.0
98,-8:1;-7:1;,11095,18496,1,1,0.7373036354163051,0.0
99,-8:1;0:1;,11191,18496,1,1,0.7248743452266326,0.0
100,-8:1;1:1;,11287,18496,1,1,0.7125512234176413,0.0
101,-8:1;2:1;,11383,18496,1,1,0.7003324716039954,0.0
102,-8:1;3:1;,11479,18496,1,1,0.6882163367111206,0.0
103,-8:1;4:1;,11575,18496,1,1,0.6762011094657178,0.0
104,-8:1;5:1;,11671,18496,1,1,0.6642851229486166,0.0
105,-8:1;6:1;,11767,18496,1,1,0.6524667512069072,0.0
106,-8:1;7:1;,11863,18496,1,1,0.6407444079224544,0.0
107,-8:1;8:1;,11959,18496,1,1,0.6291165451340734,0.0
108,-8:2;,12007,18496,1,1,0.6233375703733671,0.0
109,0:1;1:1;,13259,18496,1,1,0.48024133213450615,0.0
110,0:1;2:1;,13355,18496,1,1,0.46983332697820657,0.0
111,0:1;3:1;,13451,18496,1,1,0.4594998705848125,0.0
112,0:1;4:1;,13547,18496,1,1,0.4492399026132052,0.0
113,0:1;5:1;,13643,18496,1,1,0.43905238518518475,0.0
114,0:1;6:1;,13739,18496,1,1,0.42893630225542423,0.0
115,0:1;7:1;,13835,18496,1,1,0.418890659003362,0.0
116,0:1;8:1;,13931,18496,1,1,0.4089144812461176,0.0
117,0:2;,15135,18496,1,1,0.28932462778580303,0.0
118,1:1;2:1;,15231,18496,1,1,0.2802026370499002,0.0
119,1:1;3:1;,15327,18496,1,1,0.2711379613798241,0.0
120,1:1;4:1;,15423,18496,1,1,0.2621298850291957,0.0
121,1:1;5:1;,15519,18496,1,1,0.2531777055757676,0.0
122,1:1;6:1;,15615,18496,1,1,0.24428073359274327,0.0
123,1:1;7:1;,15711,18496,1,1,0.23543829233017152,0.0
124,1:1;8:1;,15807,18496,1,1,0.22664971740604511,0.0
125,1:2;,1009,1156,1,1,0.1962152233943216,0.0
126,2:1;3:1;,1015,1156,1,1,0.1876616704281403,0.0
127,2:1;4:1;,1021,1156,1,1,0.17915853162287726,0.0
128,2:1;5:1;,1027,1156,1,1,0.17070521618248372,0.0
129,2:1;6:1;,1033,1156,1,1,0.16230114363561934,0.0
130,2:1;7:1;,1039,1156,1,1,0.15394574359646712,0.0
131,2:1;8:1;,1045,1156,1,1,0.14563845553243368,0.0
132,2:2;,262,289,1,1,0.14150268096322852,0.0
133,3:1;4:1;,31,34,1,1,0.13326653086346424,0.0
134,3:1;5:1;,265,289,1,1,0.12507713305011736,0.0
135,3:1;6:1;,533,578,1,1,0.11693395974150292,0.0
136,3:1;7:1;,268,289,1,1,0.1088364920429064,0.0
137,3:1;8:1;,539,578,1,1,0.10078421974817339,0.0
138,3:2;,1081,1156,1,1,0.09677487476602865,0.0
139,4:1;5:1;,1087,1156,1,1,0.0887894574733696,0.0
140,4:1;6:1;,1093,1156,1,1,0.08084799682877418,0.0
141,4:1;7:1;,1099,1156,1,1,0.07295001155144776,0.0
142,4:1;8:1;,65,68,1,1,0.06509502822188483,0.0
143,4:2;,277,289,1,1,0.06118351645149044,0.0
144,5:1;6:1;,557,578,1,1,0.053392165160647063,0.0
145,5:1;7:1;,280,289,1,1,0.04564266555571241,0.0
146,5:1;8:1;,563,578,1,1,0.03793457042044917,0.0
147,5:2;,1129,1156,1,1,0.03409591172767793,0.0
148,6:1;7:1;,1135,1156,1,1,0.026449100322401487,0.0
149,6:1;8:1;,1141,1156,1,1,0.018842606211997202,0.0
150,6:2;,286,289,1,1,0.01505434572228947,0.0
151,7:1;8:1;,575,578,1,1,0.007507536668941203,0.0
152,7:2;,1153,1156,1,1,0.0037488848489069335,0.0
153,8:2;,1,1,1,1,-0.0,0.0
