feature_id,feature_value,Nz,Ez
t_norm2,0,115936961011467233404125184,9563921777922542464401408
t_norm2,1,241118065093616239571369984,19890415391958510241579008
t_norm2,10,36976572282727091052478464,3050287344453701251104768
t_norm2,100,36976572282727091052478464,3050287344453701251104768
t_norm2,113,36976572282727091052478464,3050287344453701251104768
t_norm2,128,18488286141363545526239232,1525143672226850625552384
t_norm2,13,36976572282727091052478464,3050287344453701251104768
t_norm2,16,18488286141363545526239232,1525143672226850625552384
t_norm2,17,36976572282727091052478464,3050287344453701251104768
t_norm2,18,18488286141363545526239232,1525143672226850625552384
t_norm2,2,129803175617489892548804608,10707779532092680433565696
t_norm2,20,36976572282727091052478464,3050287344453701251104768
t_norm2,25,55464858424090636578717696,4575431016680551876657152
t_norm2,26,36976572282727091052478464,3050287344453701251104768
t_norm2,29,36976572282727091052478464,3050287344453701251104768
t_norm2,32,18488286141363545526239232,1525143672226850625552384
t_norm2,34,36976572282727091052478464,3050287344453701251104768
t_norm2,36,18488286141363545526239232,1525143672226850625552384
t_norm2,37,36976572282727091052478464,3050287344453701251104768
t_norm2,4,18488286141363545526239232,1525143672226850625552384
t_norm2,40,36976572282727091052478464,3050287344453701251104768
t_norm2,41,36976572282727091052478464,3050287344453701251104768
t_norm2,45,36976572282727091052478464,3050287344453701251104768
t_norm2,49,18488286141363545526239232,1525143672226850625552384
t_norm2,5,36976572282727091052478464,3050287344453701251104768
t_norm2,50,55464858424090636578717696,4575431016680551876657152
t_norm2,52,36976572282727091052478464,3050287344453701251104768
t_norm2,53,36976572282727091052478464,3050287344453701251104768
t_norm2,58,36976572282727091052478464,3050287344453701251104768
t_norm2,61,36976572282727091052478464,3050287344453701251104768
t_norm2,64,18488286141363545526239232,1525143672226850625552384
t_norm2,65,73953144565454182104956928,6100574688907402502209536
t_norm2,68,36976572282727091052478464,3050287344453701251104768
t_norm2,72,18488286141363545526239232,1525143672226850625552384
t_norm2,73,36976572282727091052478464,3050287344453701251104768
t_norm2,74,36976572282727091052478464,3050287344453701251104768
t_norm2,8,18488286141363545526239232,1525143672226850625552384
t_norm2,80,36976572282727091052478464,3050287344453701251104768
t_norm2,85,36976572282727091052478464,3050287344453701251104768
t_norm2,89,36976572282727091052478464,3050287344453701251104768
t_norm2,9,18488286141363545526239232,1525143672226850625552384
t_norm2,98,18488286141363545526239232,1525143672226850625552384
