rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0,301,4624,1,1,3.941306005740977,0.0
2,1,927,4624,1,1,2.318500153875148,0.0
3,10,1023,4624,1,1,2.1763352527553503,0.0
4,100,1119,4624,1,1,2.046931361524285,0.0
5,113,1215,4624,1,1,1.9281850840075356,0.0
6,128,1263,4624,1,1,1.8722867587131267,0.0
7,13,1359,4624,1,1,1.7665959417332875,0.0
8,16,1407,4624,1,1,1.716519069264146,0.0
9,17,1503,4624,1,1,1.6212963885843141,0.0
10,18,1551,4624,1,1,1.575942711464588,0.0
11,2,118,289,1,1,1.2922826331388375,0.0
12,20,124,289,1,1,1.2207293721138035,0.0
13,25,133,289,1,1,1.1196432469994893,0.0
14,26,139,289,1,1,1.0559846097771715,0.0
15,29,145,289,1,1,0.9950165924857443,0.0
16,32,148,289,1,1,0.9654723168717292,0.0
17,34,154,289,1,1,0.9081391418057776,0.0
18,36,157,289,1,1,0.8803049336090518,0.0
19,37,163,289,1,1,0.8261975282696014,0.0
20,4,166,289,1,1,0.799886251153754,0.0
21,40,172,289,1,1,0.7486609277985808,0.0
22,41,178,289,1,1,0.6991922515342811,0.0
23,45,184,289,1,1,0.651363726443666,0.0
24,49,11,17,1,1,0.6280312226130421,0.0
25,5,193,289,1,1,0.5824686452325983,0.0
26,50,202,289,1,1,0.516714199748884,0.0
27,52,208,289,1,1,0.47448596435958657,0.0
28,53,214,289,1,1,0.4334586960995318,0.0
29,58,220,289,1,1,0.3935659689760192,0.0
30,61,226,289,1,1,0.35474672008549113,0.0
31,64,229,289,1,1,0.3357218944037348,0.0
32,65,241,289,1,1,0.2620363462707172,0.0
33,68,247,289,1,1,0.2265584509160012,0.0
34,72,250,289,1,1,0.2091413978385917,0.0
35,73,256,289,1,1,0.17492568250067878,0.0
36,74,262,289,1,1,0.14150268096322852,0.0
37,8,265,289,1,1,0.12507713305011736,0.0
38,80,271,289,1,1,0.09277664114680718,0.0
39,85,277,289,1,1,0.06118351645149044,0.0
40,89,283,289,1,1,0.030267439668796473,0.0
41,9,286,289,1,1,0.01505434572228947,0.0
42,98,1,1,1,1,-0.0,0.0
