feature_id,feature_value,Nz,Ez
at_correlations,"-1.-1",4849664,1536
at_correlations,"-1.-10",262144,1024
at_correlations,"-1.-11",524288,0
at_correlations,"-1.-12",262144,1024
at_correlations,"-1.-13",65536,896
at_correlations,"-1.-14",327680,1920
at_correlations,"-1.-19",524288,0
at_correlations,"-1.-2",917504,1536
at_correlations,"-1.-23",131072,512
at_correlations,"-1.-25",131072,512
at_correlations,"-1.-29",524288,0
at_correlations,"-1.-3",524288,0
at_correlations,"-1.-4",786432,1024
at_correlations,"-1.-41",524288,0
at_correlations,"-1.-5",1048576,0
at_correlations,"-1.-55",524288,0
at_correlations,"-1.-6",786432,1024
at_correlations,"-1.-7",524288,0
at_correlations,"-1.-8",786432,1024
at_correlations,"-1.0",1572864,2048
at_correlations,"-1.1",4849664,1536
at_correlations,"-1.10",262144,1024
at_correlations,"-1.11",524288,0
at_correlations,"-1.12",262144,1024
at_correlations,"-1.13",65536,896
at_correlations,"-1.14",327680,1920
at_correlations,"-1.19",524288,0
at_correlations,"-1.2",917504,1536
at_correlations,"-1.23",131072,512
at_correlations,"-1.25",131072,512
at_correlations,"-1.29",524288,0
at_correlations,"-1.3",524288,0
at_correlations,"-1.4",786432,1024
at_correlations,"-1.41",524288,0
at_correlations,"-1.5",1048576,0
at_correlations,"-1.55",524288,0
at_correlations,"-1.6",786432,1024
at_correlations,"-1.7",524288,0
at_correlations,"-1.8",786432,1024
at_correlations,"-10.-10",1966080,2048
at_correlations,"-10.-14",262144,0
at_correlations,"-10.-15",131072,512
at_correlations,"-10.-16",131072,512
at_correlations,"-10.-18",131072,512
at_correlations,"-10.-2",262144,0
at_correlations,"-10.-30",524288,2048
at_correlations,"-10.-34",131072,512
at_correlations,"-10.-5",131072,512
at_correlations,"-10.-50",262144,1024
at_correlations,"-10.-6",524288,0
at_correlations,"-10.10",1966080,2048
at_correlations,"-10.14",262144,0
at_correlations,"-10.15",131072,512
at_correlations,"-10.16",131072,512
at_correlations,"-10.18",131072,512
at_correlations,"-10.2",262144,0
at_correlations,"-10.30",524288,2048
at_correlations,"-10.34",131072,512
at_correlations,"-10.5",131072,512
at_correlations,"-10.50",262144,1024
at_correlations,"-10.6",524288,0
at_correlations,"-100.-96",524288,0
at_correlations,"-100.96",524288,0
at_correlations,"-104.-106",262144,1024
at_correlations,"-104.106",262144,1024
at_correlations,"-105.-105",524288,0
at_correlations,"-105.105",524288,0
at_correlations,"-106.-104",524288,0
at_correlations,"-106.104",524288,0
at_correlations,"-11.-1",131072,512
at_correlations,"-11.-11",786432,0
at_correlations,"-11.-14",131072,512
at_correlations,"-11.-15",131072,512
at_correlations,"-11.-17",131072,512
at_correlations,"-11.-22",262144,1024
at_correlations,"-11.-25",262144,0
