rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1.-13,1,18496,112,15,14.174925682500678,2.9004643264490855
2,-1.13,1,9248,112,15,13.174925682500678,2.9004643264490855
3,-11.-41,3,18496,112,15,12.589963181779522,2.9004643264490855
4,-11.41,1,4624,112,15,12.174925682500678,2.9004643264490855
5,-12.-18,3,9248,112,15,11.589963181779522,2.9004643264490855
6,-12.-2,7,18496,112,15,11.367570760443074,2.9004643264490855
7,-12.-20,1,2312,112,15,11.174925682500678,2.9004643264490855
8,-12.-6,9,18496,112,15,11.005000681058366,2.9004643264490855
9,-12.-8,5,9248,112,15,10.852997587613316,2.9004643264490855
10,-12.18,3,4624,112,15,10.589963181779522,2.9004643264490855
11,-12.2,13,18496,112,15,10.474485964359587,2.9004643264490855
12,-12.20,7,9248,112,15,10.367570760443074,2.9004643264490855
13,-12.6,15,18496,112,15,10.26803508689216,2.9004643264490855
14,-12.8,1,1156,112,15,10.174925682500678,2.9004643264490855
15,-13.-20,1,1088,112,15,10.087462841250339,2.9004643264490855
16,-13.-23,9,9248,112,15,10.005000681058366,2.9004643264490855
17,-13.20,19,18496,112,15,9.926998169057093,2.9004643264490855
18,-13.23,5,4624,112,15,9.852997587613316,2.9004643264490855
19,-14.-18,21,18496,112,15,9.782608259721918,2.9004643264490855
20,-14.-2,23,18496,112,15,9.651363726443666,2.9004643264490855
21,-14.-22,3,2312,112,15,9.589963181779522,2.9004643264490855
22,-14.-26,25,18496,112,15,9.531069492725955,2.9004643264490855
23,-14.-38,13,9248,112,15,9.474485964359587,2.9004643264490855
24,-14.-4,27,18496,112,15,9.42003818033721,2.9004643264490855
25,-14.-41,29,18496,112,15,9.316944687373107,2.9004643264490855
26,-14.-6,15,9248,112,15,9.26803508689216,2.9004643264490855
27,-14.18,31,18496,112,15,9.220729372113803,2.9004643264490855
28,-14.2,33,18496,112,15,9.130531563142226,2.9004643264490855
29,-14.22,1,544,112,15,9.087462841250339,2.9004643264490855
30,-14.26,35,18496,112,15,9.045642665555713,2.9004643264490855
31,-14.38,9,4624,112,15,9.005000681058366,2.9004643264490855
32,-14.4,37,18496,112,15,8.965472316871729,2.9004643264490855
33,-14.41,39,18496,112,15,8.88952346363843,2.9004643264490855
34,-14.6,5,2312,112,15,8.852997587613316,2.9004643264490855
