feature_id,feature_value,Nz,Ez
at_norm_pair,"A=0|t=0",1048576,0
at_norm_pair,"A=0|t=1",2097152,2048
at_norm_pair,"A=0|t=2",1048576,5632
at_norm_pair,"A=100|t=0",2097152,0
at_norm_pair,"A=100|t=1",4194304,0
at_norm_pair,"A=100|t=10",1048576,4096
at_norm_pair,"A=100|t=100",6291456,0
at_norm_pair,"A=100|t=113",3145728,4096
at_norm_pair,"A=100|t=13",2621440,7168
at_norm_pair,"A=100|t=17",524288,7168
at_norm_pair,"A=100|t=18",1048576,4096
at_norm_pair,"A=100|t=2",2097152,0
at_norm_pair,"A=100|t=20",1048576,4096
at_norm_pair,"A=100|t=25",524288,7168
at_norm_pair,"A=100|t=5",524288,7168
at_norm_pair,"A=100|t=74",1048576,4096
at_norm_pair,"A=100|t=8",1048576,4096
at_norm_pair,"A=100|t=85",2097152,0
at_norm_pair,"A=100|t=89",3145728,4096
at_norm_pair,"A=100|t=98",1048576,4096
at_norm_pair,"A=10|t=0",2097152,0
at_norm_pair,"A=10|t=1",4194304,0
at_norm_pair,"A=10|t=10",4718592,7168
at_norm_pair,"A=10|t=13",3145728,4096
at_norm_pair,"A=10|t=16",1048576,4096
at_norm_pair,"A=10|t=17",3145728,4096
at_norm_pair,"A=10|t=18",524288,7168
at_norm_pair,"A=10|t=2",2097152,0
at_norm_pair,"A=10|t=20",3145728,4096
at_norm_pair,"A=10|t=25",1048576,4096
at_norm_pair,"A=10|t=26",524288,7168
at_norm_pair,"A=10|t=29",1048576,4096
at_norm_pair,"A=10|t=34",524288,7168
at_norm_pair,"A=10|t=4",1048576,4096
at_norm_pair,"A=10|t=5",2097152,0
at_norm_pair,"A=10|t=8",1048576,4096
at_norm_pair,"A=10|t=9",2097152,0
at_norm_pair,"A=113|t=0",2097152,0
at_norm_pair,"A=113|t=1",4718592,7168
at_norm_pair,"A=113|t=10",1048576,4096
at_norm_pair,"A=113|t=100",3145728,4096
at_norm_pair,"A=113|t=113",7340032,4096
at_norm_pair,"A=113|t=128",3145728,4096
at_norm_pair,"A=113|t=13",524288,7168
at_norm_pair,"A=113|t=2",3145728,4096
at_norm_pair,"A=113|t=4",1048576,4096
at_norm_pair,"A=113|t=5",2621440,7168
at_norm_pair,"A=113|t=8",1048576,4096
at_norm_pair,"A=113|t=85",1048576,4096
at_norm_pair,"A=113|t=9",524288,7168
at_norm_pair,"A=113|t=98",2097152,0
at_norm_pair,"A=128|t=0",1572864,2048
at_norm_pair,"A=128|t=1",3670016,7168
at_norm_pair,"A=128|t=113",3145728,4096
at_norm_pair,"A=128|t=128",4718592,2048
at_norm_pair,"A=128|t=2",2097152,4096
at_norm_pair,"A=128|t=4",524288,2048
at_norm_pair,"A=128|t=5",524288,7168
at_norm_pair,"A=128|t=98",524288,2048
at_norm_pair,"A=13|t=0",2097152,0
at_norm_pair,"A=13|t=1",4194304,0
at_norm_pair,"A=13|t=10",2097152,0
at_norm_pair,"A=13|t=13",5242880,4096
at_norm_pair,"A=13|t=16",524288,7168
at_norm_pair,"A=13|t=17",2097152,8192
at_norm_pair,"A=13|t=18",2097152,0
at_norm_pair,"A=13|t=2",2097152,0
at_norm_pair,"A=13|t=20",2621440,7168
at_norm_pair,"A=13|t=25",2097152,8192
at_norm_pair,"A=13|t=26",2097152,0
at_norm_pair,"A=13|t=29",1048576,4096
at_norm_pair,"A=13|t=36",524288,7168
at_norm_pair,"A=13|t=37",1048576,4096
at_norm_pair,"A=13|t=40",524288,7168
at_norm_pair,"A=13|t=5",1048576,4096
at_norm_pair,"A=13|t=8",2097152,0
at_norm_pair,"A=16|t=0",1048576,0
at_norm_pair,"A=16|t=1",2097152,0
at_norm_pair,"A=16|t=10",1048576,4096
at_norm_pair,"A=16|t=16",2097152,0
at_norm_pair,"A=16|t=17",2097152,0
at_norm_pair,"A=16|t=18",262144,3584
at_norm_pair,"A=16|t=2",1048576,0
at_norm_pair,"A=16|t=25",2097152,4096
at_norm_pair,"A=16|t=26",1048576,4096
at_norm_pair,"A=16|t=32",1048576,0
at_norm_pair,"A=16|t=34",524288,7168
at_norm_pair,"A=16|t=41",1048576,4096
at_norm_pair,"A=16|t=50",262144,3584
at_norm_pair,"A=16|t=9",1048576,0
at_norm_pair,"A=17|t=0",2097152,0
at_norm_pair,"A=17|t=1",4194304,0
at_norm_pair,"A=17|t=10",2097152,0
at_norm_pair,"A=17|t=13",1048576,4096
at_norm_pair,"A=17|t=16",2097152,0
at_norm_pair,"A=17|t=17",4194304,0
at_norm_pair,"A=17|t=2",2097152,0
at_norm_pair,"A=17|t=20",2621440,7168
at_norm_pair,"A=17|t=25",2097152,8192
at_norm_pair,"A=17|t=26",2097152,0
at_norm_pair,"A=17|t=29",2097152,8192
at_norm_pair,"A=17|t=32",524288,7168
at_norm_pair,"A=17|t=34",2097152,0
at_norm_pair,"A=17|t=40",524288,7168
at_norm_pair,"A=17|t=41",1048576,4096
at_norm_pair,"A=17|t=45",1048576,4096
at_norm_pair,"A=17|t=52",524288,7168
at_norm_pair,"A=17|t=9",1048576,4096
at_norm_pair,"A=18|t=0",1048576,0
at_norm_pair,"A=18|t=1",2097152,0
at_norm_pair,"A=18|t=13",2097152,0
at_norm_pair,"A=18|t=18",2097152,0
at_norm_pair,"A=18|t=2",1048576,0
at_norm_pair,"A=18|t=20",1048576,4096
at_norm_pair,"A=18|t=25",2621440,2048
at_norm_pair,"A=18|t=26",524288,7168
at_norm_pair,"A=18|t=32",524288,2048
at_norm_pair,"A=18|t=36",1048576,0
at_norm_pair,"A=18|t=37",1048576,4096
at_norm_pair,"A=18|t=49",524288,2048
at_norm_pair,"A=18|t=50",524288,7168
at_norm_pair,"A=18|t=8",524288,2048
at_norm_pair,"A=1|t=0",2359296,3584
at_norm_pair,"A=1|t=1",6291456,8192
at_norm_pair,"A=1|t=2",4194304,0
at_norm_pair,"A=1|t=4",1572864,7168
at_norm_pair,"A=1|t=5",2097152,8192
at_norm_pair,"A=1|t=8",262144,3584
at_norm_pair,"A=20|t=0",2097152,0
at_norm_pair,"A=20|t=1",4194304,0
at_norm_pair,"A=20|t=10",1048576,4096
at_norm_pair,"A=20|t=13",2097152,0
at_norm_pair,"A=20|t=17",2097152,0
at_norm_pair,"A=20|t=18",1048576,4096
at_norm_pair,"A=20|t=2",2097152,0
at_norm_pair,"A=20|t=20",4194304,0
at_norm_pair,"A=20|t=25",2097152,0
at_norm_pair,"A=20|t=26",1572864,11264
at_norm_pair,"A=20|t=29",3145728,4096
at_norm_pair,"A=20|t=34",1572864,11264
at_norm_pair,"A=20|t=37",1048576,4096
at_norm_pair,"A=20|t=40",2097152,0
at_norm_pair,"A=20|t=45",1048576,4096
at_norm_pair,"A=20|t=50",524288,7168
at_norm_pair,"A=20|t=53",1048576,4096
at_norm_pair,"A=20|t=58",524288,7168
at_norm_pair,"A=25|t=0",3145728,0
at_norm_pair,"A=25|t=1",6291456,0
at_norm_pair,"A=25|t=13",1048576,4096
at_norm_pair,"A=25|t=16",1048576,0
at_norm_pair,"A=25|t=17",1048576,4096
at_norm_pair,"A=25|t=18",2097152,0
at_norm_pair,"A=25|t=2",3145728,0
at_norm_pair,"A=25|t=20",2097152,0
at_norm_pair,"A=25|t=25",7340032,4096
at_norm_pair,"A=25|t=26",2097152,0
at_norm_pair,"A=25|t=29",1048576,4096
at_norm_pair,"A=25|t=32",2359296,3584
at_norm_pair,"A=25|t=34",2097152,0
at_norm_pair,"A=25|t=36",1572864,7168
at_norm_pair,"A=25|t=37",2097152,8192
at_norm_pair,"A=25|t=40",524288,7168
at_norm_pair,"A=25|t=41",2097152,8192
at_norm_pair,"A=25|t=49",1048576,4096
at_norm_pair,"A=25|t=50",3145728,0
at_norm_pair,"A=25|t=52",524288,7168
at_norm_pair,"A=25|t=53",1048576,4096
at_norm_pair,"A=25|t=61",1048576,4096
at_norm_pair,"A=25|t=64",524288,7168
at_norm_pair,"A=25|t=65",1048576,4096
at_norm_pair,"A=25|t=68",524288,7168
at_norm_pair,"A=25|t=72",262144,3584
at_norm_pair,"A=26|t=0",2097152,0
at_norm_pair,"A=26|t=1",4194304,0
at_norm_pair,"A=26|t=16",1048576,4096
at_norm_pair,"A=26|t=17",2097152,0
at_norm_pair,"A=26|t=2",2097152,0
at_norm_pair,"A=26|t=20",1048576,4096
at_norm_pair,"A=26|t=25",2097152,0
at_norm_pair,"A=26|t=26",4194304,0
at_norm_pair,"A=26|t=29",2097152,0
at_norm_pair,"A=26|t=34",524288,7168
at_norm_pair,"A=26|t=36",1048576,4096
at_norm_pair,"A=26|t=37",2097152,0
at_norm_pair,"A=26|t=40",1048576,4096
at_norm_pair,"A=26|t=41",1048576,4096
at_norm_pair,"A=26|t=45",1048576,4096
at_norm_pair,"A=26|t=50",524288,7168
at_norm_pair,"A=26|t=52",2097152,0
at_norm_pair,"A=26|t=58",524288,7168
at_norm_pair,"A=26|t=61",1048576,4096
at_norm_pair,"A=26|t=65",1048576,4096
at_norm_pair,"A=26|t=74",524288,7168
at_norm_pair,"A=29|t=0",2097152,0
at_norm_pair,"A=29|t=1",4194304,0
at_norm_pair,"A=29|t=17",1048576,4096
at_norm_pair,"A=29|t=2",2097152,0
at_norm_pair,"A=29|t=20",2097152,0
at_norm_pair,"A=29|t=25",1048576,4096
at_norm_pair,"A=29|t=26",2097152,0
at_norm_pair,"A=29|t=29",4194304,0
at_norm_pair,"A=29|t=34",2097152,0
at_norm_pair,"A=29|t=37",1048576,4096
at_norm_pair,"A=29|t=40",2621440,7168
at_norm_pair,"A=29|t=45",2097152,8192
at_norm_pair,"A=29|t=52",524288,7168
at_norm_pair,"A=29|t=53",1048576,4096
at_norm_pair,"A=29|t=58",2097152,0
at_norm_pair,"A=29|t=65",1048576,4096
at_norm_pair,"A=29|t=68",524288,7168
at_norm_pair,"A=29|t=73",1048576,4096
at_norm_pair,"A=29|t=80",524288,7168
at_norm_pair,"A=2|t=0",1572864,2048
at_norm_pair,"A=2|t=1",4718592,2048
at_norm_pair,"A=2|t=10",524288,7168
at_norm_pair,"A=2|t=2",3670016,7168
at_norm_pair,"A=2|t=4",2097152,4096
at_norm_pair,"A=2|t=5",3145728,4096
at_norm_pair,"A=2|t=8",524288,2048
at_norm_pair,"A=2|t=9",524288,2048
at_norm_pair,"A=32|t=0",1048576,0
at_norm_pair,"A=32|t=1",2097152,0
at_norm_pair,"A=32|t=18",524288,2048
at_norm_pair,"A=32|t=2",1048576,0
at_norm_pair,"A=32|t=25",2097152,0
at_norm_pair,"A=32|t=32",2097152,0
at_norm_pair,"A=32|t=34",1048576,4096
at_norm_pair,"A=32|t=41",2097152,0
at_norm_pair,"A=32|t=49",524288,2048
at_norm_pair,"A=32|t=50",1048576,9216
at_norm_pair,"A=32|t=64",1572864,2048
at_norm_pair,"A=32|t=65",1572864,11264
at_norm_pair,"A=34|t=0",2097152,0
at_norm_pair,"A=34|t=1",4194304,0
at_norm_pair,"A=34|t=2",2097152,0
at_norm_pair,"A=34|t=20",1048576,4096
at_norm_pair,"A=34|t=25",2097152,0
at_norm_pair,"A=34|t=29",2097152,0
at_norm_pair,"A=34|t=32",1048576,4096
at_norm_pair,"A=34|t=34",4194304,0
at_norm_pair,"A=34|t=40",1048576,4096
at_norm_pair,"A=34|t=41",2097152,0
at_norm_pair,"A=34|t=45",2097152,0
at_norm_pair,"A=34|t=50",524288,7168
at_norm_pair,"A=34|t=52",1048576,4096
at_norm_pair,"A=34|t=53",1048576,4096
at_norm_pair,"A=34|t=58",524288,7168
at_norm_pair,"A=34|t=65",1572864,11264
at_norm_pair,"A=34|t=68",3145728,4096
at_norm_pair,"A=34|t=73",1572864,11264
at_norm_pair,"A=36|t=0",1048576,0
at_norm_pair,"A=36|t=1",2097152,0
at_norm_pair,"A=36|t=2",1048576,0
at_norm_pair,"A=36|t=25",1048576,0
at_norm_pair,"A=36|t=26",1048576,4096
at_norm_pair,"A=36|t=36",2097152,0
at_norm_pair,"A=36|t=37",2097152,0
at_norm_pair,"A=36|t=49",1048576,0
at_norm_pair,"A=36|t=50",1310720,7680
at_norm_pair,"A=36|t=61",1048576,4096
at_norm_pair,"A=36|t=72",1048576,0
at_norm_pair,"A=36|t=74",524288,7168
at_norm_pair,"A=36|t=85",1048576,4096
at_norm_pair,"A=36|t=98",262144,3584
at_norm_pair,"A=37|t=0",2097152,0
at_norm_pair,"A=37|t=1",4194304,0
