rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=100|t=17,1,2312,112,15,11.174925682500678,2.9004643264490855
2,A=100|t=25,1,1156,112,15,10.174925682500678,2.9004643264490855
3,A=100|t=5,3,2312,112,15,9.589963181779522,2.9004643264490855
4,A=10|t=18,1,578,112,15,9.174925682500678,2.9004643264490855
5,A=10|t=26,5,2312,112,15,8.852997587613316,2.9004643264490855
6,A=10|t=34,3,1156,112,15,8.589963181779522,2.9004643264490855
7,A=113|t=13,7,2312,112,15,8.367570760443074,2.9004643264490855
8,A=113|t=9,1,289,112,15,8.174925682500678,2.9004643264490855
9,A=128|t=5,9,2312,112,15,8.005000681058366,2.9004643264490855
10,A=13|t=16,5,1156,112,15,7.8529975876133165,2.9004643264490855
11,A=13|t=36,11,2312,112,15,7.715494063863382,2.9004643264490855
12,A=13|t=40,3,578,112,15,7.589963181779523,2.9004643264490855
13,A=16|t=18,25,4624,112,15,7.531069492725954,2.9004643264490855
14,A=16|t=34,27,4624,112,15,7.42003818033721,2.9004643264490855
15,A=16|t=50,7,1156,112,15,7.3675707604430745,2.9004643264490855
16,A=17|t=32,15,2312,112,15,7.26803508689216,2.9004643264490855
17,A=17|t=40,2,289,112,15,7.174925682500679,2.9004643264490855
18,A=17|t=52,1,136,112,15,7.087462841250339,2.9004643264490855
19,A=18|t=26,9,1156,112,15,7.005000681058367,2.9004643264490855
20,A=18|t=50,19,2312,112,15,6.926998169057094,2.9004643264490855
21,A=1|t=8,39,4624,112,15,6.88952346363843,2.9004643264490855
22,A=20|t=50,41,4624,112,15,6.817373677882595,2.9004643264490855
23,A=20|t=58,43,4624,112,15,6.748660927798581,2.9004643264490855
24,A=25|t=40,45,4624,112,15,6.683072586171004,2.9004643264490855
25,A=25|t=52,47,4624,112,15,6.6203368308230415,2.9004643264490855
26,A=25|t=64,49,4624,112,15,6.560215838385471,2.9004643264490855
27,A=25|t=68,3,272,112,15,6.502500340529183,2.9004643264490855
28,A=25|t=72,13,1156,112,15,6.4744859643595865,2.9004643264490855
29,A=26|t=34,27,2312,112,15,6.42003818033721,2.9004643264490855
