rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1:-1:1;-1:3:1;,1,36992,112,15,15.174925682500678,2.9004643264490855
2,-1:-1:1;1:-3:1;,1,18496,112,15,14.174925682500678,2.9004643264490855
3,-1:-1:1;1:3:1;,3,36992,112,15,13.589963181779522,2.9004643264490855
4,-1:-1:1;3:-3:1;,1,9248,112,15,13.174925682500678,2.9004643264490855
5,-1:-1:1;3:-5:1;,5,36992,112,15,12.852997587613316,2.9004643264490855
6,-1:-2:1;0:-2:1;,3,18496,112,15,12.589963181779522,2.9004643264490855
7,-1:-2:1;0:2:1;,7,36992,112,15,12.367570760443074,2.9004643264490855
8,-1:-2:1;2:-4:1;,1,4624,112,15,12.174925682500678,2.9004643264490855
9,-1:-2:1;4:-4:1;,9,36992,112,15,12.005000681058366,2.9004643264490855
10,-1:-2:1;4:-6:1;,5,18496,112,15,11.852997587613316,2.9004643264490855
11,-1:-3:1;-1:-1:1;,11,36992,112,15,11.715494063863382,2.9004643264490855
12,-1:-3:1;-1:1:1;,3,9248,112,15,11.589963181779522,2.9004643264490855
13,-1:-3:1;1:-1:1;,13,36992,112,15,11.474485964359587,2.9004643264490855
14,-1:-3:1;1:1:1;,7,18496,112,15,11.367570760443074,2.9004643264490855
15,-1:-3:1;3:-3:1;,15,36992,112,15,11.26803508689216,2.9004643264490855
16,-1:-3:1;3:-5:1;,1,2312,112,15,11.174925682500678,2.9004643264490855
17,-1:-3:1;3:1:1;,1,2176,112,15,11.087462841250339,2.9004643264490855
18,-1:-3:1;3:3:1;,9,18496,112,15,11.005000681058366,2.9004643264490855
19,-1:-3:1;5:-5:1;,19,36992,112,15,10.926998169057093,2.9004643264490855
20,-1:-3:1;5:-7:1;,5,9248,112,15,10.852997587613316,2.9004643264490855
21,-1:-4:1;2:0:1;,21,36992,112,15,10.782608259721918,2.9004643264490855
22,-1:-4:1;2:2:1;,11,18496,112,15,10.715494063863382,2.9004643264490855
23,-1:-4:1;4:-4:1;,23,36992,112,15,10.651363726443666,2.9004643264490855
24,-1:-4:1;4:-6:1;,3,4624,112,15,10.589963181779522,2.9004643264490855
25,-1:-4:1;4:2:1;,25,36992,112,15,10.531069492725955,2.9004643264490855
26,-1:-4:1;4:4:1;,13,18496,112,15,10.474485964359587,2.9004643264490855
27,-1:-4:1;6:-6:1;,27,36992,112,15,10.42003818033721,2.9004643264490855
28,-1:-4:1;6:-8:1;,7,9248,112,15,10.367570760443074,2.9004643264490855
29,-1:-5:1;3:1:1;,29,36992,112,15,10.316944687373107,2.9004643264490855
30,-1:-5:1;3:3:1;,15,18496,112,15,10.26803508689216,2.9004643264490855
31,-1:-5:1;5:-5:1;,31,36992,112,15,10.220729372113803,2.9004643264490855
32,-1:-5:1;5:-7:1;,1,1156,112,15,10.174925682500678,2.9004643264490855
33,-1:-5:1;5:3:1;,33,36992,112,15,10.130531563142226,2.9004643264490855
34,-1:-5:1;5:5:1;,1,1088,112,15,10.087462841250339,2.9004643264490855
35,-1:-5:1;7:-7:1;,35,36992,112,15,10.045642665555713,2.9004643264490855
36,-1:-5:1;7:8:1;,9,9248,112,15,10.005000681058366,2.9004643264490855
37,-1:-6:1;4:2:1;,37,36992,112,15,9.965472316871729,2.9004643264490855
38,-1:-6:1;4:4:1;,19,18496,112,15,9.926998169057093,2.9004643264490855
39,-1:-6:1;6:-6:1;,39,36992,112,15,9.88952346363843,2.9004643264490855
40,-1:-6:1;6:-8:1;,5,4624,112,15,9.852997587613316,2.9004643264490855
41,-1:-6:1;6:4:1;,41,36992,112,15,9.817373677882594,2.9004643264490855
42,-1:-6:1;6:6:1;,21,18496,112,15,9.782608259721918,2.9004643264490855
43,-1:-6:1;8:-8:1;,43,36992,112,15,9.74866092779858,2.9004643264490855
44,-1:-6:1;8:7:1;,11,9248,112,15,9.715494063863382,2.9004643264490855
45,-1:-7:1;5:3:1;,45,36992,112,15,9.683072586171004,2.9004643264490855
46,-1:-7:1;5:5:1;,23,18496,112,15,9.651363726443666,2.9004643264490855
47,-1:-7:1;7:-7:1;,47,36992,112,15,9.620336830823042,2.9004643264490855
48,-1:-7:1;7:5:1;,3,2312,112,15,9.589963181779522,2.9004643264490855
49,-1:-7:1;7:7:1;,49,36992,112,15,9.56021583838547,2.9004643264490855
50,-1:-7:1;7:8:1;,25,18496,112,15,9.531069492725955,2.9004643264490855
51,-1:-7:1;8:-6:1;,3,2176,112,15,9.502500340529183,2.9004643264490855
52,-1:-8:1;6:4:1;,13,9248,112,15,9.474485964359587,2.9004643264490855
53,-1:-8:1;6:6:1;,53,36992,112,15,9.44700522793748,2.9004643264490855
54,-1:-8:1;7:-5:1;,27,18496,112,15,9.42003818033721,2.9004643264490855
55,-1:-8:1;7:-7:1;,55,36992,112,15,9.39356596897602,2.9004643264490855
56,-1:-8:1;8:6:1;,7,4624,112,15,9.367570760443074,2.9004643264490855
57,-1:0:1;2:-4:1;,57,36992,112,15,9.342035668335937,2.9004643264490855
58,-1:0:1;2:4:1;,29,18496,112,15,9.316944687373107,2.9004643264490855
59,-1:1:1;-1:3:1;,59,36992,112,15,9.292282633138838,2.9004643264490855
60,-1:1:1;1:-3:1;,15,9248,112,15,9.26803508689216,2.9004643264490855
61,-1:1:1;1:3:1;,61,36992,112,15,9.244188344937793,2.9004643264490855
62,-1:1:1;3:3:1;,31,18496,112,15,9.220729372113803,2.9004643264490855
63,-1:1:1;3:5:1;,63,36992,112,15,9.197645759000762,2.9004643264490855
64,-1:2:1;0:-2:1;,1,578,112,15,9.174925682500678,2.9004643264490855
65,-1:2:1;0:2:1;,65,36992,112,15,9.152557869472224,2.9004643264490855
66,-1:2:1;2:4:1;,33,18496,112,15,9.130531563142226,2.9004643264490855
67,-1:2:1;4:4:1;,67,36992,112,15,9.108836492042906,2.9004643264490855
68,-1:2:1;4:6:1;,1,544,112,15,9.087462841250339,2.9004643264490855
69,-1:3:1;1:-1:1;,69,36992,112,15,9.06640122572251,2.9004643264490855
70,-1:3:1;1:1:1;,35,18496,112,15,9.045642665555713,2.9004643264490855
71,-1:3:1;3:-1:1;,71,36992,112,15,9.025178562995997,2.9004643264490855
72,-1:3:1;3:-3:1;,9,4624,112,15,9.005000681058366,2.9004643264490855
73,-1:3:1;3:3:1;,73,36992,112,15,8.985101123620662,2.9004643264490855
74,-1:3:1;3:5:1;,37,18496,112,15,8.965472316871729,2.9004643264490855
75,-1:3:1;5:5:1;,75,36992,112,15,8.946106992004799,2.9004643264490855
76,-1:3:1;5:7:1;,19,9248,112,15,8.926998169057093,2.9004643264490855
77,-1:4:1;2:-2:1;,77,36992,112,15,8.908139141805778,2.9004643264490855
78,-1:4:1;2:0:1;,39,18496,112,15,8.88952346363843,2.9004643264490855
79,-1:4:1;4:-2:1;,79,36992,112,15,8.871144934323576,2.9004643264490855
80,-1:4:1;4:-4:1;,5,2312,112,15,8.852997587613316,2.9004643264490855
81,-1:4:1;4:4:1;,81,36992,112,15,8.835075679616054,2.9004643264490855
82,-1:4:1;4:6:1;,41,18496,112,15,8.817373677882594,2.9004643264490855
83,-1:4:1;6:6:1;,83,36992,112,15,8.799886251153755,2.9004643264490855
84,-1:4:1;6:8:1;,21,9248,112,15,8.782608259721918,2.9004643264490855
85,-1:5:1;3:-1:1;,5,2176,112,15,8.765534746362977,2.9004643264490855
86,-1:5:1;3:-3:1;,43,18496,112,15,8.74866092779858,2.9004643264490855
87,-1:5:1;5:-3:1;,87,36992,112,15,8.731982186651951,2.9004643264490855
88,-1:5:1;5:-5:1;,11,4624,112,15,8.715494063863382,2.9004643264490855
89,-1:5:1;5:5:1;,89,36992,112,15,8.699192251534281,2.9004643264490855
90,-1:5:1;5:7:1;,45,18496,112,15,8.683072586171004,2.9004643264490855
91,-1:5:1;7:-8:1;,91,36992,112,15,8.667131042301982,2.9004643264490855
92,-1:5:1;7:7:1;,23,9248,112,15,8.651363726443666,2.9004643264490855
93,-1:6:1;4:-2:1;,93,36992,112,15,8.635766871392647,2.9004643264490855
94,-1:6:1;4:-4:1;,47,18496,112,15,8.620336830823042,2.9004643264490855
95,-1:6:1;6:-4:1;,95,36992,112,15,8.605070074169731,2.9004643264490855
96,-1:6:1;6:-6:1;,3,1156,112,15,8.589963181779522,2.9004643264490855
97,-1:6:1;6:6:1;,97,36992,112,15,8.575012840313551,2.9004643264490855
98,-1:6:1;6:8:1;,49,18496,112,15,8.56021583838547,2.9004643264490855
99,-1:6:1;8:-7:1;,99,36992,112,15,8.54556906242107,2.9004643264490855
100,-1:6:1;8:8:1;,25,9248,112,15,8.531069492725955,2.9004643264490855
101,-1:7:1;5:-3:1;,101,36992,112,15,8.516714199748884,2.9004643264490855
102,-1:7:1;5:-5:1;,3,1088,112,15,8.502500340529183,2.9004643264490855
103,-1:7:1;7:-5:1;,103,36992,112,15,8.48842515531746,2.9004643264490855
104,-1:7:1;7:-7:1;,13,4624,112,15,8.474485964359587,2.9004643264490855
105,-1:7:1;7:-8:1;,105,36992,112,15,8.460680164834557,2.9004643264490855
106,-1:7:1;7:7:1;,53,18496,112,15,8.44700522793748,2.9004643264490855
107,-1:7:1;8:6:1;,107,36992,112,15,8.433458696099532,2.9004643264490855
108,-1:8:1;6:-4:1;,27,9248,112,15,8.42003818033721,2.9004643264490855
109,-1:8:1;6:-6:1;,109,36992,112,15,8.406741357723753,2.9004643264490855
110,-1:8:1;7:5:1;,55,18496,112,15,8.39356596897602,2.9004643264490855
111,-1:8:1;7:7:1;,111,36992,112,15,8.380509816150573,2.9004643264490855
112,-1:8:1;8:-6:1;,7,2312,112,15,8.367570760443074,2.9004643264490855
113,-2:-1:1;-2:5:1;,113,36992,112,15,8.35474672008549,2.9004643264490855
114,-2:-1:1;2:-5:1;,57,18496,112,15,8.342035668335937,2.9004643264490855
115,-2:-1:1;2:5:1;,115,36992,112,15,8.329435631556304,2.9004643264490855
116,-2:-1:1;4:-5:1;,29,9248,112,15,8.316944687373107,2.9004643264490855
117,-2:-1:1;4:-7:1;,117,36992,112,15,8.304560962917275,2.9004643264490855
118,-2:-2:1;-1:-4:1;,59,18496,112,15,8.292282633138838,2.9004643264490855
119,-2:-2:1;1:4:1;,7,2176,112,15,8.280107919192735,2.9004643264490855
120,-2:-2:1;3:-4:1;,15,4624,112,15,8.26803508689216,2.9004643264490855
121,-2:-2:1;3:-6:1;,121,36992,112,15,8.256062445226084,2.9004643264490855
122,-2:-2:1;5:-6:1;,61,18496,112,15,8.244188344937793,2.9004643264490855
123,-2:-2:1;5:-8:1;,123,36992,112,15,8.232411177161438,2.9004643264490855
124,-2:-3:1;0:-3:1;,31,9248,112,15,8.220729372113803,2.9004643264490855
125,-2:-3:1;0:3:1;,125,36992,112,15,8.209141397838591,2.9004643264490855
126,-2:-3:1;4:-5:1;,63,18496,112,15,8.197645759000762,2.9004643264490855
127,-2:-3:1;4:-7:1;,127,36992,112,15,8.186240995728513,2.9004643264490855
128,-2:-3:1;6:-7:1;,1,289,112,15,8.174925682500678,2.9004643264490855
129,-2:-3:1;6:8:1;,129,36992,112,15,8.163698427077424,2.9004643264490855
130,-2:-4:1;-1:0:1;,65,18496,112,15,8.152557869472224,2.9004643264490855
131,-2:-4:1;-1:2:1;,131,36992,112,15,8.141502680963228,2.9004643264490855
132,-2:-4:1;1:-2:1;,33,9248,112,15,8.130531563142226,2.9004643264490855
133,-2:-4:1;1:0:1;,133,36992,112,15,8.11964324699949,2.9004643264490855
134,-2:-4:1;3:0:1;,67,18496,112,15,8.108836492042906,2.9004643264490855
135,-2:-4:1;3:2:1;,135,36992,112,15,8.098110085449848,2.9004643264490855
136,-2:-4:1;5:-6:1;,1,272,112,15,8.087462841250339,2.9004643264490855
137,-2:-4:1;5:-8:1;,137,36992,112,15,8.076893599540153,2.9004643264490855
138,-2:-4:1;7:-8:1;,69,18496,112,15,8.06640122572251,2.9004643264490855
139,-2:-4:1;7:7:1;,139,36992,112,15,8.055984609777171,2.9004643264490855
140,-2:-5:1;-2:-1:1;,35,9248,112,15,8.045642665555713,2.9004643264490855
141,-2:-5:1;-2:1:1;,141,36992,112,15,8.035374330101885,2.9004643264490855
