rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1.-10.-7.17,1,73984,112,15,16.174925682500678,2.9004643264490855
2,-1.-12.-3.11,1,36992,112,15,15.174925682500678,2.9004643264490855
3,-1.-13.-9.22,3,73984,112,15,14.589963181779522,2.9004643264490855
4,-1.-15.-5.16,1,18496,112,15,14.174925682500678,2.9004643264490855
5,-1.-15.3.2,5,73984,112,15,13.852997587613316,2.9004643264490855
6,-1.-16.13.-15,3,36992,112,15,13.589963181779522,2.9004643264490855
7,-1.-17.-5.17,7,73984,112,15,13.367570760443074,2.9004643264490855
8,-1.-17.-9.24,1,9248,112,15,13.174925682500678,2.9004643264490855
9,-1.-17.15.-18,9,73984,112,15,13.005000681058366,2.9004643264490855
10,-1.-17.7.-4,5,36992,112,15,12.852997587613316,2.9004643264490855
11,-1.-18.-7.21,11,73984,112,15,12.715494063863382,2.9004643264490855
12,-1.-19.19.-24,3,18496,112,15,12.589963181779522,2.9004643264490855
13,-1.-2.-15.27,13,73984,112,15,12.474485964359587,2.9004643264490855
14,-1.-20.21.-27,7,36992,112,15,12.367570760443074,2.9004643264490855
15,-1.-20.5.1,15,73984,112,15,12.26803508689216,2.9004643264490855
16,-1.-21.-5.19,1,4624,112,15,12.174925682500678,2.9004643264490855
17,-1.-22.-3.16,9,36992,112,15,12.005000681058366,2.9004643264490855
18,-1.-22.5.2,19,73984,112,15,11.926998169057093,2.9004643264490855
19,-1.-22.9.-5,5,18496,112,15,11.852997587613316,2.9004643264490855
20,-1.-25.3.7,11,36992,112,15,11.715494063863382,2.9004643264490855
21,-1.-25.7.0,23,73984,112,15,11.651363726443666,2.9004643264490855
22,-1.-26.5.4,3,9248,112,15,11.589963181779522,2.9004643264490855
23,-1.-26.9.-3,25,73984,112,15,11.531069492725955,2.9004643264490855
24,-1.-3.-13.24,13,36992,112,15,11.474485964359587,2.9004643264490855
25,-1.-3.19.-32,27,73984,112,15,11.42003818033721,2.9004643264490855
26,-1.-4.21.-35,7,18496,112,15,11.367570760443074,2.9004643264490855
27,-1.-5.15.-24,29,73984,112,15,11.316944687373107,2.9004643264490855
28,-1.-6.17.-27,15,36992,112,15,11.26803508689216,2.9004643264490855
29,-1.-9.19.-29,31,73984,112,15,11.220729372113803,2.9004643264490855
30,-1.0.-19.33,1,2312,112,15,11.174925682500678,2.9004643264490855
31,-1.1.-21.36,33,73984,112,15,11.130531563142226,2.9004643264490855
32,-1.10.-15.21,1,2176,112,15,11.087462841250339,2.9004643264490855
33,-1.10.-19.28,35,73984,112,15,11.045642665555713,2.9004643264490855
