feature_id,feature_value,Nz,Ez
norm_margin,"0|M=-1",7424,7424
norm_margin,"0|M=-2",256,256
norm_margin,"0|M=1",84448,0
norm_margin,"0|M=2",470944,0
norm_margin,"0|M=3",19019296,0
norm_margin,"0|M=4",54515040,0
norm_margin,"0|M=5",4807936,0
norm_margin,"100|M=-1",59392,59392
norm_margin,"100|M=-2",2048,2048
norm_margin,"100|M=1",675584,0
norm_margin,"100|M=2",3767552,0
norm_margin,"100|M=3",10105088,0
norm_margin,"100|M=4",9972480,0
norm_margin,"100|M=5",583680,0
norm_margin,"10|M=-1",59392,59392
norm_margin,"10|M=-2",2048,2048
norm_margin,"10|M=1",675584,0
norm_margin,"10|M=2",3767552,0
norm_margin,"10|M=3",10105088,0
norm_margin,"10|M=4",9972480,0
norm_margin,"10|M=5",583680,0
norm_margin,"113|M=-1",59392,59392
norm_margin,"113|M=-2",2048,2048
norm_margin,"113|M=1",675584,0
norm_margin,"113|M=2",3767552,0
norm_margin,"113|M=3",10105088,0
norm_margin,"113|M=4",9972480,0
norm_margin,"113|M=5",583680,0
norm_margin,"128|M=-1",29696,29696
norm_margin,"128|M=-2",1024,1024
norm_margin,"128|M=1",337792,0
norm_margin,"128|M=2",1883776,0
norm_margin,"128|M=3",5052544,0
norm_margin,"128|M=4",4986240,0
norm_margin,"128|M=5",291840,0
norm_margin,"13|M=-1",59392,59392
norm_margin,"13|M=-2",2048,2048
norm_margin,"13|M=1",675584,0
norm_margin,"13|M=2",3767552,0
norm_margin,"13|M=3",10105088,0
norm_margin,"13|M=4",9972480,0
norm_margin,"13|M=5",583680,0
norm_margin,"16|M=-1",29696,29696
norm_margin,"16|M=-2",1024,1024
norm_margin,"16|M=1",337792,0
norm_margin,"16|M=2",1883776,0
norm_margin,"16|M=3",5052544,0
norm_margin,"16|M=4",4986240,0
norm_margin,"16|M=5",291840,0
norm_margin,"17|M=-1",59392,59392
norm_margin,"17|M=-2",2048,2048
norm_margin,"17|M=1",675584,0
norm_margin,"17|M=2",3767552,0
norm_margin,"17|M=3",10105088,0
norm_margin,"17|M=4",9972480,0
norm_margin,"17|M=5",583680,0
norm_margin,"18|M=-1",29696,29696
norm_margin,"18|M=-2",1024,1024
norm_margin,"18|M=1",337792,0
norm_margin,"18|M=2",1883776,0
norm_margin,"18|M=3",5052544,0
norm_margin,"18|M=4",4986240,0
norm_margin,"18|M=5",291840,0
norm_margin,"1|M=-1",29696,29696
norm_margin,"1|M=-2",1024,1024
norm_margin,"1|M=1",337792,0
norm_margin,"1|M=2",11205760,0
norm_margin,"1|M=3",62020224,0
norm_margin,"1|M=4",84888960,0
norm_margin,"1|M=5",5618688,0
norm_margin,"20|M=-1",59392,59392
norm_margin,"20|M=-2",2048,2048
norm_margin,"20|M=1",675584,0
norm_margin,"20|M=2",3767552,0
norm_margin,"20|M=3",10105088,0
norm_margin,"20|M=4",9972480,0
norm_margin,"20|M=5",583680,0
norm_margin,"25|M=-1",89088,89088
norm_margin,"25|M=-2",3072,3072
norm_margin,"25|M=1",1013376,0
norm_margin,"25|M=2",5651328,0
norm_margin,"25|M=3",15157632,0
norm_margin,"25|M=4",14958720,0
norm_margin,"25|M=5",875520,0
norm_margin,"26|M=-1",59392,59392
norm_margin,"26|M=-2",2048,2048
norm_margin,"26|M=1",675584,0
norm_margin,"26|M=2",3767552,0
norm_margin,"26|M=3",10105088,0
norm_margin,"26|M=4",9972480,0
norm_margin,"26|M=5",583680,0
norm_margin,"29|M=-1",59392,59392
norm_margin,"29|M=-2",2048,2048
norm_margin,"29|M=1",675584,0
norm_margin,"29|M=2",3767552,0
norm_margin,"29|M=3",10105088,0
norm_margin,"29|M=4",9972480,0
norm_margin,"29|M=5",583680,0
norm_margin,"2|M=-1",29696,29696
norm_margin,"2|M=-2",1024,1024
norm_margin,"2|M=1",1521536,0
norm_margin,"2|M=2",12389504,0
norm_margin,"2|M=3",36717696,0
norm_margin,"2|M=4",35615616,0
norm_margin,"2|M=5",2067456,0
norm_margin,"32|M=-1",29696,29696
norm_margin,"32|M=-2",1024,1024
norm_margin,"32|M=1",337792,0
norm_margin,"32|M=2",1883776,0
norm_margin,"32|M=3",5052544,0
norm_margin,"32|M=4",4986240,0
norm_margin,"32|M=5",291840,0
norm_margin,"34|M=-1",59392,59392
norm_margin,"34|M=-2",2048,2048
norm_margin,"34|M=1",675584,0
norm_margin,"34|M=2",3767552,0
norm_margin,"34|M=3",10105088,0
norm_margin,"34|M=4",9972480,0
norm_margin,"34|M=5",583680,0
norm_margin,"36|M=-1",29696,29696
norm_margin,"36|M=-2",1024,1024
norm_margin,"36|M=1",337792,0
norm_margin,"36|M=2",1883776,0
norm_margin,"36|M=3",5052544,0
norm_margin,"36|M=4",4986240,0
norm_margin,"36|M=5",291840,0
norm_margin,"37|M=-1",59392,59392
norm_margin,"37|M=-2",2048,2048
norm_margin,"37|M=1",675584,0
norm_margin,"37|M=2",3767552,0
norm_margin,"37|M=3",10105088,0
norm_margin,"37|M=4",9972480,0
norm_margin,"37|M=5",583680,0
norm_margin,"40|M=-1",59392,59392
norm_margin,"40|M=-2",2048,2048
norm_margin,"40|M=1",675584,0
norm_margin,"40|M=2",3767552,0
norm_margin,"40|M=3",10105088,0
norm_margin,"40|M=4",9972480,0
norm_margin,"40|M=5",583680,0
norm_margin,"41|M=-1",59392,59392
norm_margin,"41|M=-2",2048,2048
norm_margin,"41|M=1",675584,0
norm_margin,"41|M=2",3767552,0
norm_margin,"41|M=3",10105088,0
norm_margin,"41|M=4",9972480,0
norm_margin,"41|M=5",583680,0
norm_margin,"45|M=-1",59392,59392
norm_margin,"45|M=-2",2048,2048
norm_margin,"45|M=1",675584,0
norm_margin,"45|M=2",3767552,0
norm_margin,"45|M=3",10105088,0
norm_margin,"45|M=4",9972480,0
norm_margin,"45|M=5",583680,0
