t_norm2,margin,cumulative_weight,total_weight
0,-2,256,78905344
0,-1,7680,78905344
0,1,92128,78905344
0,2,563072,78905344
0,3,19582368,78905344
0,4,74097408,78905344
0,5,78905344,78905344
1,-2,1024,164102144
1,-1,30720,164102144
1,1,368512,164102144
1,2,11574272,164102144
1,3,73594496,164102144
1,4,158483456,164102144
1,5,164102144,164102144
10,-2,2048,25165824
10,-1,61440,25165824
10,1,737024,25165824
10,2,4504576,25165824
10,3,14609664,25165824
10,4,24582144,25165824
10,5,25165824,25165824
100,-2,2048,25165824
100,-1,61440,25165824
100,1,737024,25165824
100,2,4504576,25165824
100,3,14609664,25165824
100,4,24582144,25165824
100,5,25165824,25165824
113,-2,2048,25165824
113,-1,61440,25165824
113,1,737024,25165824
113,2,4504576,25165824
113,3,14609664,25165824
113,4,24582144,25165824
113,5,25165824,25165824
128,-2,1024,12582912
128,-1,30720,12582912
128,1,368512,12582912
128,2,2252288,12582912
128,3,7304832,12582912
128,4,12291072,12582912
128,5,12582912,12582912
13,-2,2048,25165824
13,-1,61440,25165824
13,1,737024,25165824
13,2,4504576,25165824
13,3,14609664,25165824
13,4,24582144,25165824
13,5,25165824,25165824
16,-2,1024,12582912
16,-1,30720,12582912
16,1,368512,12582912
16,2,2252288,12582912
16,3,7304832,12582912
16,4,12291072,12582912
16,5,12582912,12582912
17,-2,2048,25165824
17,-1,61440,25165824
17,1,737024,25165824
17,2,4504576,25165824
17,3,14609664,25165824
17,4,24582144,25165824
17,5,25165824,25165824
18,-2,1024,12582912
18,-1,30720,12582912
18,1,368512,12582912
18,2,2252288,12582912
18,3,7304832,12582912
18,4,12291072,12582912
18,5,12582912,12582912
2,-2,1024,88342528
2,-1,30720,88342528
2,1,1552256,88342528
2,2,13941760,88342528
2,3,50659456,88342528
2,4,86275072,88342528
2,5,88342528,88342528
20,-2,2048,25165824
20,-1,61440,25165824
20,1,737024,25165824
20,2,4504576,25165824
20,3,14609664,25165824
20,4,24582144,25165824
20,5,25165824,25165824
25,-2,3072,37748736
25,-1,92160,37748736
25,1,1105536,37748736
25,2,6756864,37748736
25,3,21914496,37748736
25,4,36873216,37748736
25,5,37748736,37748736
26,-2,2048,25165824
26,-1,61440,25165824
26,1,737024,25165824
26,2,4504576,25165824
26,3,14609664,25165824
26,4,24582144,25165824
26,5,25165824,25165824
29,-2,2048,25165824
29,-1,61440,25165824
29,1,737024,25165824
29,2,4504576,25165824
29,3,14609664,25165824
29,4,24582144,25165824
29,5,25165824,25165824
32,-2,1024,12582912
32,-1,30720,12582912
32,1,368512,12582912
32,2,2252288,12582912
32,3,7304832,12582912
32,4,12291072,12582912
32,5,12582912,12582912
34,-2,2048,25165824
34,-1,61440,25165824
34,1,737024,25165824
34,2,4504576,25165824
34,3,14609664,25165824
34,4,24582144,25165824
34,5,25165824,25165824
36,-2,1024,12582912
36,-1,30720,12582912
36,1,368512,12582912
36,2,2252288,12582912
36,3,7304832,12582912
36,4,12291072,12582912
36,5,12582912,12582912
37,-2,2048,25165824
37,-1,61440,25165824
37,1,737024,25165824
37,2,4504576,25165824
37,3,14609664,25165824
37,4,24582144,25165824
37,5,25165824,25165824
4,-2,1024,12582912
4,-1,30720,12582912
4,1,368512,12582912
4,2,2252288,12582912
4,3,7304832,12582912
4,4,12291072,12582912
4,5,12582912,12582912
40,-2,2048,25165824
40,-1,61440,25165824
40,1,737024,25165824
40,2,4504576,25165824
40,3,14609664,25165824
40,4,24582144,25165824
40,5,25165824,25165824
41,-2,2048,25165824
41,-1,61440,25165824
41,1,737024,25165824
41,2,4504576,25165824
41,3,14609664,25165824
41,4,24582144,25165824
41,5,25165824,25165824
45,-2,2048,25165824
45,-1,61440,25165824
45,1,737024,25165824
45,2,4504576,25165824
45,3,14609664,25165824
45,4,24582144,25165824
45,5,25165824,25165824
49,-2,1024,12582912
49,-1,30720,12582912
49,1,368512,12582912
49,2,2252288,12582912
49,3,7304832,12582912
49,4,12291072,12582912
49,5,12582912,12582912
5,-2,2048,25165824
5,-1,61440,25165824
5,1,737024,25165824
5,2,4504576,25165824
5,3,14609664,25165824
5,4,24582144,25165824
5,5,25165824,25165824
50,-2,3072,37748736
50,-1,92160,37748736
50,1,1105536,37748736
50,2,6756864,37748736
50,3,21914496,37748736
50,4,36873216,37748736
50,5,37748736,37748736
52,-2,2048,25165824
52,-1,61440,25165824
52,1,737024,25165824
52,2,4504576,25165824
52,3,14609664,25165824
52,4,24582144,25165824
52,5,25165824,25165824
53,-2,2048,25165824
53,-1,61440,25165824
53,1,737024,25165824
53,2,4504576,25165824
53,3,14609664,25165824
53,4,24582144,25165824
53,5,25165824,25165824
58,-2,2048,25165824
58,-1,61440,25165824
58,1,737024,25165824
58,2,4504576,25165824
58,3,14609664,25165824
58,4,24582144,25165824
58,5,25165824,25165824
61,-2,2048,25165824
61,-1,61440,25165824
61,1,737024,25165824
61,2,4504576,25165824
61,3,14609664,25165824
61,4,24582144,25165824
61,5,25165824,25165824
64,-2,1024,12582912
64,-1,30720,12582912
64,1,368512,12582912
64,2,2252288,12582912
64,3,7304832,12582912
64,4,12291072,12582912
64,5,12582912,12582912
65,-2,4096,50331648
65,-1,122880,50331648
65,1,1474048,50331648
65,2,9009152,50331648
65,3,29219328,50331648
65,4,49164288,50331648
65,5,50331648,50331648
68,-2,2048,25165824
68,-1,61440,25165824
68,1,737024,25165824
68,2,4504576,25165824
68,3,14609664,25165824
68,4,24582144,25165824
68,5,25165824,25165824
72,-2,1024,12582912
72,-1,30720,12582912
72,1,368512,12582912
72,2,2252288,12582912
72,3,7304832,12582912
72,4,12291072,12582912
72,5,12582912,12582912
73,-2,2048,25165824
73,-1,61440,25165824
73,1,737024,25165824
73,2,4504576,25165824
73,3,14609664,25165824
73,4,24582144,25165824
73,5,25165824,25165824
74,-2,2048,25165824
74,-1,61440,25165824
74,1,737024,25165824
74,2,4504576,25165824
74,3,14609664,25165824
74,4,24582144,25165824
74,5,25165824,25165824
8,-2,1024,12582912
8,-1,30720,12582912
8,1,368512,12582912
8,2,2252288,12582912
8,3,7304832,12582912
8,4,12291072,12582912
8,5,12582912,12582912
80,-2,2048,25165824
80,-1,61440,25165824
80,1,737024,25165824
80,2,4504576,25165824
80,3,14609664,25165824
80,4,24582144,25165824
80,5,25165824,25165824
85,-2,2048,25165824
85,-1,61440,25165824
85,1,737024,25165824
85,2,4504576,25165824
85,3,14609664,25165824
85,4,24582144,25165824
85,5,25165824,25165824
89,-2,2048,25165824
89,-1,61440,25165824
89,1,737024,25165824
89,2,4504576,25165824
89,3,14609664,25165824
89,4,24582144,25165824
89,5,25165824,25165824
9,-2,1024,12582912
9,-1,30720,12582912
9,1,368512,12582912
9,2,2252288,12582912
9,3,7304832,12582912
9,4,12291072,12582912
9,5,12582912,12582912
98,-2,1024,12582912
98,-1,30720,12582912
98,1,368512,12582912
98,2,2252288,12582912
98,3,7304832,12582912
98,4,12291072,12582912
98,5,12582912,12582912
