feature_id,feature_value,Nz,Ez
pk,"A=0.0|t=0.0",1048576,0
pk,"A=0.0|t=0.1",524288,512
pk,"A=0.0|t=0.16",524288,512
pk,"A=0.0|t=1.0",524288,512
pk,"A=0.0|t=1.1",262144,1408
pk,"A=0.0|t=1.16",262144,1408
pk,"A=0.0|t=16.0",524288,512
pk,"A=0.0|t=16.1",262144,1408
pk,"A=0.0|t=16.16",262144,1408
pk,"A=0.10|t=0.0",262144,0
pk,"A=0.10|t=0.1",131072,0
pk,"A=0.10|t=0.10",131072,0
pk,"A=0.10|t=0.11",65536,0
pk,"A=0.10|t=0.16",131072,0
pk,"A=0.10|t=0.6",65536,0
pk,"A=0.10|t=0.7",131072,0
pk,"A=0.10|t=0.8",65536,0
pk,"A=0.10|t=0.9",65536,0
pk,"A=0.10|t=1.0",131072,0
pk,"A=0.10|t=1.1",65536,0
pk,"A=0.10|t=1.10",65536,0
pk,"A=0.10|t=1.11",32768,128
pk,"A=0.10|t=1.16",65536,0
pk,"A=0.10|t=1.6",32768,128
pk,"A=0.10|t=1.7",65536,0
pk,"A=0.10|t=1.8",32768,128
pk,"A=0.10|t=1.9",32768,128
pk,"A=0.10|t=10.0",131072,0
pk,"A=0.10|t=10.1",65536,0
pk,"A=0.10|t=10.10",65536,0
pk,"A=0.10|t=10.11",32768,128
pk,"A=0.10|t=10.16",65536,0
pk,"A=0.10|t=10.6",32768,128
pk,"A=0.10|t=10.7",65536,0
pk,"A=0.10|t=10.8",32768,128
pk,"A=0.10|t=10.9",32768,128
pk,"A=0.10|t=11.0",65536,0
pk,"A=0.10|t=11.1",32768,128
pk,"A=0.10|t=11.10",32768,128
pk,"A=0.10|t=11.11",16384,224
pk,"A=0.10|t=11.16",32768,128
pk,"A=0.10|t=11.6",16384,224
pk,"A=0.10|t=11.7",32768,128
pk,"A=0.10|t=11.8",16384,224
pk,"A=0.10|t=11.9",16384,224
pk,"A=0.10|t=16.0",131072,0
pk,"A=0.10|t=16.1",65536,0
pk,"A=0.10|t=16.10",65536,0
pk,"A=0.10|t=16.11",32768,128
pk,"A=0.10|t=16.16",65536,0
pk,"A=0.10|t=16.6",32768,128
pk,"A=0.10|t=16.7",65536,0
pk,"A=0.10|t=16.8",32768,128
pk,"A=0.10|t=16.9",32768,128
pk,"A=0.10|t=6.0",65536,0
pk,"A=0.10|t=6.1",32768,128
pk,"A=0.10|t=6.10",32768,128
pk,"A=0.10|t=6.11",16384,224
pk,"A=0.10|t=6.16",32768,128
pk,"A=0.10|t=6.6",16384,224
pk,"A=0.10|t=6.7",32768,128
pk,"A=0.10|t=6.8",16384,224
pk,"A=0.10|t=6.9",16384,224
pk,"A=0.10|t=7.0",131072,0
pk,"A=0.10|t=7.1",65536,0
pk,"A=0.10|t=7.10",65536,0
pk,"A=0.10|t=7.11",32768,128
pk,"A=0.10|t=7.16",65536,0
pk,"A=0.10|t=7.6",32768,128
pk,"A=0.10|t=7.7",65536,0
pk,"A=0.10|t=7.8",32768,128
pk,"A=0.10|t=7.9",32768,128
pk,"A=0.10|t=8.0",65536,0
pk,"A=0.10|t=8.1",32768,128
pk,"A=0.10|t=8.10",32768,128
pk,"A=0.10|t=8.11",16384,224
pk,"A=0.10|t=8.16",32768,128
pk,"A=0.10|t=8.6",16384,224
pk,"A=0.10|t=8.7",32768,128
pk,"A=0.10|t=8.8",16384,224
pk,"A=0.10|t=8.9",16384,224
pk,"A=0.10|t=9.0",65536,0
pk,"A=0.10|t=9.1",32768,128
pk,"A=0.10|t=9.10",32768,128
pk,"A=0.10|t=9.11",16384,224
pk,"A=0.10|t=9.16",32768,128
pk,"A=0.10|t=9.6",16384,224
pk,"A=0.10|t=9.7",32768,128
pk,"A=0.10|t=9.8",16384,224
pk,"A=0.10|t=9.9",16384,224
pk,"A=0.11|t=0.0",262144,0
pk,"A=0.11|t=0.1",131072,0
pk,"A=0.11|t=0.10",65536,0
pk,"A=0.11|t=0.11",131072,0
pk,"A=0.11|t=0.12",65536,0
pk,"A=0.11|t=0.16",131072,0
pk,"A=0.11|t=0.5",65536,0
pk,"A=0.11|t=0.6",131072,0
pk,"A=0.11|t=0.7",65536,0
pk,"A=0.11|t=1.0",131072,0
pk,"A=0.11|t=1.1",65536,0
pk,"A=0.11|t=1.10",32768,128
pk,"A=0.11|t=1.11",65536,0
pk,"A=0.11|t=1.12",32768,128
pk,"A=0.11|t=1.16",65536,0
pk,"A=0.11|t=1.5",32768,128
pk,"A=0.11|t=1.6",65536,0
pk,"A=0.11|t=1.7",32768,128
pk,"A=0.11|t=10.0",65536,0
pk,"A=0.11|t=10.1",32768,128
pk,"A=0.11|t=10.10",16384,224
pk,"A=0.11|t=10.11",32768,128
pk,"A=0.11|t=10.12",16384,224
pk,"A=0.11|t=10.16",32768,128
pk,"A=0.11|t=10.5",16384,224
pk,"A=0.11|t=10.6",32768,128
pk,"A=0.11|t=10.7",16384,224
pk,"A=0.11|t=11.0",131072,0
pk,"A=0.11|t=11.1",65536,0
pk,"A=0.11|t=11.10",32768,128
pk,"A=0.11|t=11.11",65536,0
pk,"A=0.11|t=11.12",32768,128
pk,"A=0.11|t=11.16",65536,0
pk,"A=0.11|t=11.5",32768,128
pk,"A=0.11|t=11.6",65536,0
pk,"A=0.11|t=11.7",32768,128
pk,"A=0.11|t=12.0",65536,0
pk,"A=0.11|t=12.1",32768,128
pk,"A=0.11|t=12.10",16384,224
pk,"A=0.11|t=12.11",32768,128
pk,"A=0.11|t=12.12",16384,224
pk,"A=0.11|t=12.16",32768,128
pk,"A=0.11|t=12.5",16384,224
pk,"A=0.11|t=12.6",32768,128
pk,"A=0.11|t=12.7",16384,224
pk,"A=0.11|t=16.0",131072,0
pk,"A=0.11|t=16.1",65536,0
pk,"A=0.11|t=16.10",32768,128
pk,"A=0.11|t=16.11",65536,0
pk,"A=0.11|t=16.12",32768,128
pk,"A=0.11|t=16.16",65536,0
pk,"A=0.11|t=16.5",32768,128
pk,"A=0.11|t=16.6",65536,0
pk,"A=0.11|t=16.7",32768,128
pk,"A=0.11|t=5.0",65536,0
pk,"A=0.11|t=5.1",32768,128
pk,"A=0.11|t=5.10",16384,224
pk,"A=0.11|t=5.11",32768,128
pk,"A=0.11|t=5.12",16384,224
pk,"A=0.11|t=5.16",32768,128
pk,"A=0.11|t=5.5",16384,224
pk,"A=0.11|t=5.6",32768,128
pk,"A=0.11|t=5.7",16384,224
pk,"A=0.11|t=6.0",131072,0
pk,"A=0.11|t=6.1",65536,0
pk,"A=0.11|t=6.10",32768,128
pk,"A=0.11|t=6.11",65536,0
pk,"A=0.11|t=6.12",32768,128
pk,"A=0.11|t=6.16",65536,0
pk,"A=0.11|t=6.5",32768,128
pk,"A=0.11|t=6.6",65536,0
pk,"A=0.11|t=6.7",32768,128
pk,"A=0.11|t=7.0",65536,0
pk,"A=0.11|t=7.1",32768,128
pk,"A=0.11|t=7.10",16384,224
pk,"A=0.11|t=7.11",32768,128
pk,"A=0.11|t=7.12",16384,224
pk,"A=0.11|t=7.16",32768,128
pk,"A=0.11|t=7.5",16384,224
pk,"A=0.11|t=7.6",32768,128
pk,"A=0.11|t=7.7",16384,224
pk,"A=0.12|t=0.0",262144,0
pk,"A=0.12|t=0.1",131072,0
pk,"A=0.12|t=0.11",65536,0
pk,"A=0.12|t=0.12",131072,0
pk,"A=0.12|t=0.13",65536,0
pk,"A=0.12|t=0.16",131072,0
pk,"A=0.12|t=0.4",65536,0
pk,"A=0.12|t=0.5",131072,0
pk,"A=0.12|t=0.6",65536,0
pk,"A=0.12|t=1.0",131072,0
pk,"A=0.12|t=1.1",65536,0
pk,"A=0.12|t=1.11",32768,128
pk,"A=0.12|t=1.12",65536,0
pk,"A=0.12|t=1.13",32768,128
pk,"A=0.12|t=1.16",65536,0
pk,"A=0.12|t=1.4",32768,128
pk,"A=0.12|t=1.5",65536,0
pk,"A=0.12|t=1.6",32768,128
pk,"A=0.12|t=11.0",65536,0
pk,"A=0.12|t=11.1",32768,128
pk,"A=0.12|t=11.11",16384,224
pk,"A=0.12|t=11.12",32768,128
pk,"A=0.12|t=11.13",16384,224
pk,"A=0.12|t=11.16",32768,128
pk,"A=0.12|t=11.4",16384,224
pk,"A=0.12|t=11.5",32768,128
pk,"A=0.12|t=11.6",16384,224
pk,"A=0.12|t=12.0",131072,0
pk,"A=0.12|t=12.1",65536,0
pk,"A=0.12|t=12.11",32768,128
