rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=0.0|t=1.16|e=1.1,1,73984,112,15,16.174925682500678,2.9004643264490855
2,A=0.0|t=1.16|e=1.16,1,36992,112,15,15.174925682500678,2.9004643264490855
3,A=0.0|t=1.16|e=16.1,3,73984,112,15,14.589963181779522,2.9004643264490855
4,A=0.0|t=1.16|e=16.16,1,18496,112,15,14.174925682500678,2.9004643264490855
5,A=0.0|t=1.1|e=1.1,5,73984,112,15,13.852997587613316,2.9004643264490855
6,A=0.0|t=1.1|e=1.16,3,36992,112,15,13.589963181779522,2.9004643264490855
7,A=0.0|t=1.1|e=16.1,7,73984,112,15,13.367570760443074,2.9004643264490855
8,A=0.0|t=1.1|e=16.16,1,9248,112,15,13.174925682500678,2.9004643264490855
9,A=0.0|t=16.16|e=1.1,9,73984,112,15,13.005000681058366,2.9004643264490855
10,A=0.0|t=16.16|e=1.16,5,36992,112,15,12.852997587613316,2.9004643264490855
11,A=0.0|t=16.16|e=16.1,11,73984,112,15,12.715494063863382,2.9004643264490855
12,A=0.0|t=16.16|e=16.16,3,18496,112,15,12.589963181779522,2.9004643264490855
13,A=0.0|t=16.1|e=1.1,13,73984,112,15,12.474485964359587,2.9004643264490855
14,A=0.0|t=16.1|e=1.16,7,36992,112,15,12.367570760443074,2.9004643264490855
15,A=0.0|t=16.1|e=16.1,15,73984,112,15,12.26803508689216,2.9004643264490855
16,A=0.0|t=16.1|e=16.16,1,4624,112,15,12.174925682500678,2.9004643264490855
17,A=0.10|t=1.16|e=1.1,1,4352,112,15,12.087462841250339,2.9004643264490855
18,A=0.10|t=1.16|e=1.16,9,36992,112,15,12.005000681058366,2.9004643264490855
19,A=0.10|t=1.16|e=16.1,19,73984,112,15,11.926998169057093,2.9004643264490855
20,A=0.10|t=1.16|e=16.16,5,18496,112,15,11.852997587613316,2.9004643264490855
21,A=0.10|t=1.1|e=1.1,21,73984,112,15,11.782608259721918,2.9004643264490855
22,A=0.10|t=1.1|e=1.16,11,36992,112,15,11.715494063863382,2.9004643264490855
23,A=0.10|t=1.1|e=16.1,23,73984,112,15,11.651363726443666,2.9004643264490855
24,A=0.10|t=1.1|e=16.16,3,9248,112,15,11.589963181779522,2.9004643264490855
25,A=0.10|t=16.16|e=1.1,25,73984,112,15,11.531069492725955,2.9004643264490855
26,A=0.10|t=16.16|e=1.16,13,36992,112,15,11.474485964359587,2.9004643264490855
27,A=0.10|t=16.16|e=16.1,27,73984,112,15,11.42003818033721,2.9004643264490855
28,A=0.10|t=16.16|e=16.16,7,18496,112,15,11.367570760443074,2.9004643264490855
29,A=0.10|t=16.1|e=1.1,29,73984,112,15,11.316944687373107,2.9004643264490855
30,A=0.10|t=16.1|e=1.16,15,36992,112,15,11.26803508689216,2.9004643264490855
31,A=0.10|t=16.1|e=16.1,31,73984,112,15,11.220729372113803,2.9004643264490855
32,A=0.10|t=16.1|e=16.16,1,2312,112,15,11.174925682500678,2.9004643264490855
33,A=0.11|t=1.16|e=1.1,33,73984,112,15,11.130531563142226,2.9004643264490855
34,A=0.11|t=1.16|e=1.16,1,2176,112,15,11.087462841250339,2.9004643264490855
35,A=0.11|t=1.16|e=16.1,35,73984,112,15,11.045642665555713,2.9004643264490855
36,A=0.11|t=1.16|e=16.16,9,18496,112,15,11.005000681058366,2.9004643264490855
37,A=0.11|t=1.1|e=1.1,37,73984,112,15,10.965472316871729,2.9004643264490855
38,A=0.11|t=1.1|e=1.16,19,36992,112,15,10.926998169057093,2.9004643264490855
39,A=0.11|t=1.1|e=16.1,39,73984,112,15,10.88952346363843,2.9004643264490855
40,A=0.11|t=1.1|e=16.16,5,9248,112,15,10.852997587613316,2.9004643264490855
41,A=0.11|t=16.16|e=1.1,41,73984,112,15,10.817373677882594,2.9004643264490855
42,A=0.11|t=16.16|e=1.16,21,36992,112,15,10.782608259721918,2.9004643264490855
43,A=0.11|t=16.16|e=16.1,43,73984,112,15,10.74866092779858,2.9004643264490855
44,A=0.11|t=16.16|e=16.16,11,18496,112,15,10.715494063863382,2.9004643264490855
45,A=0.11|t=16.1|e=1.1,45,73984,112,15,10.683072586171004,2.9004643264490855
46,A=0.11|t=16.1|e=1.16,23,36992,112,15,10.651363726443666,2.9004643264490855
47,A=0.11|t=16.1|e=16.1,47,73984,112,15,10.620336830823042,2.9004643264490855
48,A=0.11|t=16.1|e=16.16,3,4624,112,15,10.589963181779522,2.9004643264490855
49,A=0.12|t=1.16|e=1.1,49,73984,112,15,10.56021583838547,2.9004643264490855
50,A=0.12|t=1.16|e=1.16,25,36992,112,15,10.531069492725955,2.9004643264490855
51,A=0.12|t=1.16|e=16.1,3,4352,112,15,10.502500340529183,2.9004643264490855
52,A=0.12|t=1.16|e=16.16,13,18496,112,15,10.474485964359587,2.9004643264490855
53,A=0.12|t=1.1|e=1.1,53,73984,112,15,10.44700522793748,2.9004643264490855
54,A=0.12|t=1.1|e=1.16,27,36992,112,15,10.42003818033721,2.9004643264490855
55,A=0.12|t=1.1|e=16.1,55,73984,112,15,10.39356596897602,2.9004643264490855
56,A=0.12|t=1.1|e=16.16,7,9248,112,15,10.367570760443074,2.9004643264490855
57,A=0.12|t=16.16|e=1.1,57,73984,112,15,10.342035668335937,2.9004643264490855
58,A=0.12|t=16.16|e=1.16,29,36992,112,15,10.316944687373107,2.9004643264490855
59,A=0.12|t=16.16|e=16.1,59,73984,112,15,10.292282633138838,2.9004643264490855
60,A=0.12|t=16.16|e=16.16,15,18496,112,15,10.26803508689216,2.9004643264490855
61,A=0.12|t=16.1|e=1.1,61,73984,112,15,10.244188344937793,2.9004643264490855
62,A=0.12|t=16.1|e=1.16,31,36992,112,15,10.220729372113803,2.9004643264490855
63,A=0.12|t=16.1|e=16.1,63,73984,112,15,10.197645759000762,2.9004643264490855
64,A=0.12|t=16.1|e=16.16,1,1156,112,15,10.174925682500678,2.9004643264490855
65,A=0.13|t=1.16|e=1.1,65,73984,112,15,10.152557869472224,2.9004643264490855
66,A=0.13|t=1.16|e=1.16,33,36992,112,15,10.130531563142226,2.9004643264490855
67,A=0.13|t=1.16|e=16.1,67,73984,112,15,10.108836492042906,2.9004643264490855
68,A=0.13|t=1.16|e=16.16,1,1088,112,15,10.087462841250339,2.9004643264490855
69,A=0.13|t=1.1|e=1.1,69,73984,112,15,10.06640122572251,2.9004643264490855
70,A=0.13|t=1.1|e=1.16,35,36992,112,15,10.045642665555713,2.9004643264490855
71,A=0.13|t=1.1|e=16.1,71,73984,112,15,10.025178562995997,2.9004643264490855
72,A=0.13|t=1.1|e=16.16,9,9248,112,15,10.005000681058366,2.9004643264490855
73,A=0.13|t=16.16|e=1.1,73,73984,112,15,9.985101123620662,2.9004643264490855
74,A=0.13|t=16.16|e=1.16,37,36992,112,15,9.965472316871729,2.9004643264490855
75,A=0.13|t=16.16|e=16.1,75,73984,112,15,9.946106992004799,2.9004643264490855
76,A=0.13|t=16.16|e=16.16,19,18496,112,15,9.926998169057093,2.9004643264490855
77,A=0.13|t=16.1|e=1.1,77,73984,112,15,9.908139141805778,2.9004643264490855
78,A=0.13|t=16.1|e=1.16,39,36992,112,15,9.88952346363843,2.9004643264490855
79,A=0.13|t=16.1|e=16.1,79,73984,112,15,9.871144934323576,2.9004643264490855
80,A=0.13|t=16.1|e=16.16,5,4624,112,15,9.852997587613316,2.9004643264490855
81,A=0.14|t=1.16|e=1.1,81,73984,112,15,9.835075679616054,2.9004643264490855
82,A=0.14|t=1.16|e=1.16,41,36992,112,15,9.817373677882594,2.9004643264490855
83,A=0.14|t=1.16|e=16.1,83,73984,112,15,9.799886251153755,2.9004643264490855
84,A=0.14|t=1.16|e=16.16,21,18496,112,15,9.782608259721918,2.9004643264490855
85,A=0.14|t=1.1|e=1.1,5,4352,112,15,9.765534746362977,2.9004643264490855
86,A=0.14|t=1.1|e=1.16,43,36992,112,15,9.74866092779858,2.9004643264490855
87,A=0.14|t=1.1|e=16.1,87,73984,112,15,9.731982186651951,2.9004643264490855
88,A=0.14|t=1.1|e=16.16,11,9248,112,15,9.715494063863382,2.9004643264490855
89,A=0.14|t=16.16|e=1.1,89,73984,112,15,9.699192251534281,2.9004643264490855
90,A=0.14|t=16.16|e=1.16,45,36992,112,15,9.683072586171004,2.9004643264490855
91,A=0.14|t=16.16|e=16.1,91,73984,112,15,9.667131042301982,2.9004643264490855
92,A=0.14|t=16.16|e=16.16,23,18496,112,15,9.651363726443666,2.9004643264490855
93,A=0.14|t=16.1|e=1.1,93,73984,112,15,9.635766871392647,2.9004643264490855
94,A=0.14|t=16.1|e=1.16,47,36992,112,15,9.620336830823042,2.9004643264490855
95,A=0.14|t=16.1|e=16.1,95,73984,112,15,9.605070074169731,2.9004643264490855
96,A=0.14|t=16.1|e=16.16,3,2312,112,15,9.589963181779522,2.9004643264490855
97,A=0.15|t=1.16|e=1.1,97,73984,112,15,9.575012840313551,2.9004643264490855
98,A=0.15|t=1.16|e=1.16,49,36992,112,15,9.56021583838547,2.9004643264490855
99,A=0.15|t=1.16|e=16.1,99,73984,112,15,9.54556906242107,2.9004643264490855
100,A=0.15|t=1.16|e=16.16,25,18496,112,15,9.531069492725955,2.9004643264490855
101,A=0.15|t=1.1|e=1.1,101,73984,112,15,9.516714199748884,2.9004643264490855
102,A=0.15|t=1.1|e=1.16,3,2176,112,15,9.502500340529183,2.9004643264490855
103,A=0.15|t=1.1|e=16.1,103,73984,112,15,9.48842515531746,2.9004643264490855
104,A=0.15|t=1.1|e=16.16,13,9248,112,15,9.474485964359587,2.9004643264490855
105,A=0.15|t=16.16|e=1.1,105,73984,112,15,9.460680164834557,2.9004643264490855
106,A=0.15|t=16.16|e=1.16,53,36992,112,15,9.44700522793748,2.9004643264490855
107,A=0.15|t=16.16|e=16.1,107,73984,112,15,9.433458696099532,2.9004643264490855
108,A=0.15|t=16.16|e=16.16,27,18496,112,15,9.42003818033721,2.9004643264490855
109,A=0.15|t=16.1|e=1.1,109,73984,112,15,9.406741357723753,2.9004643264490855
110,A=0.15|t=16.1|e=1.16,55,36992,112,15,9.39356596897602,2.9004643264490855
111,A=0.15|t=16.1|e=16.1,111,73984,112,15,9.380509816150573,2.9004643264490855
112,A=0.15|t=16.1|e=16.16,7,4624,112,15,9.367570760443074,2.9004643264490855
113,A=0.16|t=1.16|e=1.1,113,73984,112,15,9.35474672008549,2.9004643264490855
114,A=0.16|t=1.16|e=1.16,57,36992,112,15,9.342035668335937,2.9004643264490855
115,A=0.16|t=1.16|e=16.1,115,73984,112,15,9.329435631556304,2.9004643264490855
116,A=0.16|t=1.16|e=16.16,29,18496,112,15,9.316944687373107,2.9004643264490855
117,A=0.16|t=1.1|e=1.1,117,73984,112,15,9.304560962917275,2.9004643264490855
118,A=0.16|t=1.1|e=1.16,59,36992,112,15,9.292282633138838,2.9004643264490855
119,A=0.16|t=1.1|e=16.1,7,4352,112,15,9.280107919192735,2.9004643264490855
120,A=0.16|t=1.1|e=16.16,15,9248,112,15,9.26803508689216,2.9004643264490855
121,A=0.16|t=16.16|e=1.1,121,73984,112,15,9.256062445226084,2.9004643264490855
122,A=0.16|t=16.16|e=1.16,61,36992,112,15,9.244188344937793,2.9004643264490855
123,A=0.16|t=16.16|e=16.1,123,73984,112,15,9.232411177161438,2.9004643264490855
124,A=0.16|t=16.16|e=16.16,31,18496,112,15,9.220729372113803,2.9004643264490855
125,A=0.16|t=16.1|e=1.1,125,73984,112,15,9.209141397838591,2.9004643264490855
