feature_id,feature_value,Nz,Ez
t_autocorrelation,"-10",12582912,30720
t_autocorrelation,"-112",12582912,30720
t_autocorrelation,"-12",25165824,61440
t_autocorrelation,"-128",6291456,15360
t_autocorrelation,"-14",12582912,30720
t_autocorrelation,"-16",25165824,61440
t_autocorrelation,"-18",6291456,15360
t_autocorrelation,"-2",44171264,15360
t_autocorrelation,"-20",12582912,30720
t_autocorrelation,"-24",25165824,61440
t_autocorrelation,"-28",12582912,30720
t_autocorrelation,"-30",12582912,30720
t_autocorrelation,"-32",18874368,46080
t_autocorrelation,"-36",12582912,30720
t_autocorrelation,"-4",12582912,30720
t_autocorrelation,"-40",12582912,30720
t_autocorrelation,"-42",12582912,30720
t_autocorrelation,"-48",25165824,61440
t_autocorrelation,"-50",6291456,15360
t_autocorrelation,"-56",12582912,30720
t_autocorrelation,"-6",12582912,30720
t_autocorrelation,"-60",12582912,30720
t_autocorrelation,"-64",12582912,30720
t_autocorrelation,"-70",12582912,30720
t_autocorrelation,"-72",6291456,15360
t_autocorrelation,"-8",18874368,46080
t_autocorrelation,"-80",12582912,30720
t_autocorrelation,"-84",12582912,30720
t_autocorrelation,"-96",12582912,30720
t_autocorrelation,"-98",6291456,15360
t_autocorrelation,"0",331087872,253440
t_autocorrelation,"10",12582912,30720
t_autocorrelation,"112",12582912,30720
t_autocorrelation,"12",25165824,61440
t_autocorrelation,"128",6291456,15360
t_autocorrelation,"14",12582912,30720
t_autocorrelation,"16",25165824,61440
t_autocorrelation,"18",6291456,15360
t_autocorrelation,"2",44171264,15360
t_autocorrelation,"20",12582912,30720
t_autocorrelation,"24",25165824,61440
t_autocorrelation,"28",12582912,30720
t_autocorrelation,"30",12582912,30720
t_autocorrelation,"32",18874368,46080
t_autocorrelation,"36",12582912,30720
t_autocorrelation,"4",12582912,30720
t_autocorrelation,"40",12582912,30720
t_autocorrelation,"42",12582912,30720
t_autocorrelation,"48",25165824,61440
t_autocorrelation,"50",6291456,15360
t_autocorrelation,"56",12582912,30720
t_autocorrelation,"6",12582912,30720
t_autocorrelation,"60",12582912,30720
t_autocorrelation,"64",12582912,30720
t_autocorrelation,"70",12582912,30720
t_autocorrelation,"72",6291456,15360
t_autocorrelation,"8",18874368,46080
t_autocorrelation,"80",12582912,30720
t_autocorrelation,"84",12582912,30720
t_autocorrelation,"96",12582912,30720
t_autocorrelation,"98",6291456,15360
