rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-10,3,289,4,3,6.589963181779523,0.41503749927884376
2,-112,6,289,4,3,5.589963181779523,0.41503749927884376
3,-12,12,289,4,3,4.589963181779523,0.41503749927884376
4,-128,27,578,4,3,4.42003818033721,0.41503749927884376
5,-14,33,578,4,3,4.130531563142226,0.41503749927884376
6,-16,45,578,4,3,3.6830725861710043,0.41503749927884376
7,-18,24,289,4,3,3.5899631817795226,0.41503749927884376
8,-20,27,289,4,3,3.4200381803372104,0.41503749927884376
9,-24,33,289,4,3,3.1305315631422252,0.41503749927884376
10,-28,36,289,4,3,3.0050006810583665,0.41503749927884376
11,-30,39,289,4,3,2.8895234636384304,0.41503749927884376
12,-32,87,578,4,3,2.7319821866519507,0.41503749927884376
13,-36,93,578,4,3,2.6357668713926476,0.41503749927884376
14,-4,99,578,4,3,2.545569062421069,0.41503749927884376
15,-40,105,578,4,3,2.460680164834556,0.41503749927884376
16,-42,111,578,4,3,2.380509816150573,0.41503749927884376
17,-48,123,578,4,3,2.2324111771614388,0.41503749927884376
18,-50,63,289,4,3,2.1976457590007623,0.41503749927884376
19,-56,66,289,4,3,2.1305315631422252,0.41503749927884376
20,-6,69,289,4,3,2.06640122572251,0.41503749927884376
21,-60,72,289,4,3,2.0050006810583665,0.41503749927884376
22,-64,75,289,4,3,1.946106992004798,0.41503749927884376
23,-70,78,289,4,3,1.8895234636384304,0.41503749927884376
24,-72,159,578,4,3,1.8620427272163236,0.41503749927884376
25,-8,84,289,4,3,1.7826082597219184,0.41503749927884376
26,-80,87,289,4,3,1.7319821866519505,0.41503749927884376
27,-84,90,289,4,3,1.683072586171004,0.41503749927884376
28,-96,93,289,4,3,1.6357668713926474,0.41503749927884376
29,-98,189,578,4,3,1.612683258279606,0.41503749927884376
30,10,195,578,4,3,1.5675953687510682,0.41503749927884376
31,112,201,578,4,3,1.5238739913217503,0.41503749927884376
32,12,213,578,4,3,1.4402160622748406,0.41503749927884376
33,128,108,289,4,3,1.4200381803372102,0.41503749927884376
34,14,111,289,4,3,1.3805098161505729,0.41503749927884376
35,16,117,289,4,3,1.3045609629172743,0.41503749927884376
36,18,237,578,4,3,1.2861824336024197,0.41503749927884376
37,20,243,578,4,3,1.2501131788948978,0.41503749927884376
38,24,15,34,4,3,1.1805722456418208,0.41503749927884376
39,28,261,578,4,3,1.1470196859307944,0.41503749927884376
40,30,267,578,4,3,1.1142297508131247,0.41503749927884376
41,32,138,289,4,3,1.0664012257225097,0.41503749927884376
42,36,141,289,4,3,1.0353743301018854,0.41503749927884376
43,4,144,289,4,3,1.0050006810583665,0.41503749927884376
44,40,147,289,4,3,0.9752533376643143,0.41503749927884376
45,42,150,289,4,3,0.9461069920047981,0.41503749927884376
46,48,156,289,4,3,0.8895234636384304,0.41503749927884376
47,50,315,578,4,3,0.8757176641133999,0.41503749927884376
48,56,321,578,4,3,0.8484961953783758,0.41503749927884376
49,6,327,578,4,3,0.8217788570025962,0.41503749927884376
50,60,333,578,4,3,0.7955473154294168,0.41503749927884376
51,64,339,578,4,3,0.7697842193643349,0.41503749927884376
52,70,345,578,4,3,0.7444731308351473,0.41503749927884376
53,72,174,289,4,3,0.7319821866519505,0.41503749927884376
54,8,21,34,4,3,0.6951454184715791,0.41503749927884376
55,80,363,578,4,3,0.6710999445049282,0.41503749927884376
56,84,369,578,4,3,0.6474486764402827,0.41503749927884376
57,96,375,578,4,3,0.6241788971174357,0.41503749927884376
58,98,189,289,4,3,0.6126832582796061,0.41503749927884376
59,0,4287,4624,1520,1429,0.10917298068370625,0.08906540723513144
60,-2,8911,9248,1312,1273,0.05355405654171674,0.043535300716725615
61,2,1,1,1,1,-0.0,0.0
