rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-1:1;2:1;,3,578,4,3,7.589963181779523,0.41503749927884376
2,-1:1;3:1;,3,289,4,3,6.589963181779523,0.41503749927884376
3,-1:1;4:1;,9,578,4,3,6.005000681058367,0.41503749927884376
4,-1:1;5:1;,6,289,4,3,5.589963181779523,0.41503749927884376
5,-1:1;6:1;,15,578,4,3,5.26803508689216,0.41503749927884376
6,-1:1;7:1;,9,289,4,3,5.005000681058367,0.41503749927884376
7,-1:1;8:1;,21,578,4,3,4.782608259721918,0.41503749927884376
8,-2:1;-1:1;,12,289,4,3,4.589963181779523,0.41503749927884376
9,-2:1;0:1;,27,578,4,3,4.42003818033721,0.41503749927884376
10,-2:1;1:1;,15,289,4,3,4.26803508689216,0.41503749927884376
11,-2:1;2:1;,33,578,4,3,4.130531563142226,0.41503749927884376
12,-2:1;3:1;,18,289,4,3,4.005000681058367,0.41503749927884376
13,-2:1;4:1;,39,578,4,3,3.8895234636384304,0.41503749927884376
14,-2:1;5:1;,21,289,4,3,3.7826082597219184,0.41503749927884376
15,-2:1;6:1;,45,578,4,3,3.6830725861710043,0.41503749927884376
16,-2:1;7:1;,24,289,4,3,3.5899631817795226,0.41503749927884376
17,-2:1;8:1;,3,34,4,3,3.502500340529183,0.41503749927884376
18,-2:2;,105,1156,4,3,3.460680164834556,0.41503749927884376
19,-3:1;-1:1;,111,1156,4,3,3.380509816150573,0.41503749927884376
20,-3:1;-2:1;,117,1156,4,3,3.3045609629172743,0.41503749927884376
21,-3:1;0:1;,123,1156,4,3,3.2324111771614388,0.41503749927884376
22,-3:1;1:1;,129,1156,4,3,3.1636984270774247,0.41503749927884376
23,-3:1;2:1;,135,1156,4,3,3.098110085449848,0.41503749927884376
24,-3:1;3:1;,141,1156,4,3,3.0353743301018854,0.41503749927884376
25,-3:1;4:1;,147,1156,4,3,2.975253337664314,0.41503749927884376
26,-3:1;5:1;,9,68,4,3,2.917537839808027,0.41503749927884376
27,-3:1;6:1;,159,1156,4,3,2.8620427272163234,0.41503749927884376
28,-3:1;7:1;,165,1156,4,3,2.808603468254863,0.41503749927884376
29,-3:1;8:1;,171,1156,4,3,2.7570731676147813,0.41503749927884376
30,-3:2;,87,578,4,3,2.7319821866519507,0.41503749927884376
31,-4:1;-1:1;,45,289,4,3,2.6830725861710043,0.41503749927884376
32,-4:1;-2:1;,93,578,4,3,2.6357668713926476,0.41503749927884376
33,-4:1;-3:1;,48,289,4,3,2.5899631817795226,0.41503749927884376
34,-4:1;0:1;,99,578,4,3,2.545569062421069,0.41503749927884376
35,-4:1;1:1;,3,17,4,3,2.502500340529183,0.41503749927884376
36,-4:1;2:1;,105,578,4,3,2.460680164834556,0.41503749927884376
37,-4:1;3:1;,54,289,4,3,2.4200381803372104,0.41503749927884376
38,-4:1;4:1;,111,578,4,3,2.380509816150573,0.41503749927884376
39,-4:1;5:1;,57,289,4,3,2.3420356683359373,0.41503749927884376
40,-4:1;6:1;,117,578,4,3,2.3045609629172743,0.41503749927884376
41,-4:1;7:1;,60,289,4,3,2.2680350868921604,0.41503749927884376
42,-4:1;8:1;,123,578,4,3,2.2324111771614388,0.41503749927884376
43,-4:2;,249,1156,4,3,2.214923750432598,0.41503749927884376
44,-5:1;-1:1;,15,68,4,3,2.180572245641821,0.41503749927884376
45,-5:1;-2:1;,261,1156,4,3,2.1470196859307946,0.41503749927884376
46,-5:1;-3:1;,267,1156,4,3,2.114229750813125,0.41503749927884376
47,-5:1;-4:1;,273,1156,4,3,2.082168541580826,0.41503749927884376
48,-5:1;0:1;,279,1156,4,3,2.050804370671491,0.41503749927884376
49,-5:1;1:1;,285,1156,4,3,2.0201075734485747,0.41503749927884376
50,-5:1;2:1;,291,1156,4,3,1.9900503395923947,0.41503749927884376
51,-5:1;3:1;,297,1156,4,3,1.960606561699913,0.41503749927884376
52,-5:1;4:1;,303,1156,4,3,1.9317516990277277,0.41503749927884376
53,-5:1;5:1;,309,1156,4,3,1.9034626545963043,0.41503749927884376
54,-5:1;6:1;,315,1156,4,3,1.8757176641134,0.41503749927884376
55,-5:1;7:1;,321,1156,4,3,1.8484961953783758,0.41503749927884376
56,-5:1;8:1;,327,1156,4,3,1.8217788570025963,0.41503749927884376
57,-5:2;,165,578,4,3,1.808603468254863,0.41503749927884376
58,-6:1;-1:1;,84,289,4,3,1.7826082597219184,0.41503749927884376
59,-6:1;-2:1;,171,578,4,3,1.757073167614781,0.41503749927884376
60,-6:1;-3:1;,87,289,4,3,1.7319821866519505,0.41503749927884376
61,-6:1;-4:1;,177,578,4,3,1.7073201324176814,0.41503749927884376
62,-6:1;-5:1;,90,289,4,3,1.683072586171004,0.41503749927884376
63,-6:1;0:1;,183,578,4,3,1.6592258442166363,0.41503749927884376
64,-6:1;1:1;,93,289,4,3,1.6357668713926474,0.41503749927884376
65,-6:1;2:1;,189,578,4,3,1.612683258279606,0.41503749927884376
66,-6:1;3:1;,96,289,4,3,1.5899631817795228,0.41503749927884376
67,-6:1;4:1;,195,578,4,3,1.5675953687510682,0.41503749927884376
68,-6:1;5:1;,99,289,4,3,1.5455690624210694,0.41503749927884376
69,-6:1;6:1;,201,578,4,3,1.5238739913217503,0.41503749927884376
70,-6:1;7:1;,6,17,4,3,1.5025003405291832,0.41503749927884376
71,-6:1;8:1;,207,578,4,3,1.4814387250013537,0.41503749927884376
72,-6:2;,417,1156,4,3,1.4710221090560154,0.41503749927884376
73,-7:1;-1:1;,423,1156,4,3,1.450411829380729,0.41503749927884376
74,-7:1;-2:1;,429,1156,4,3,1.430091845001133,0.41503749927884376
75,-7:1;-3:1;,435,1156,4,3,1.4100540917645883,0.41503749927884376
76,-7:1;-4:1;,441,1156,4,3,1.3902908369431581,0.41503749927884376
77,-7:1;-5:1;,447,1156,4,3,1.3707946613173612,0.41503749927884376
78,-7:1;-6:1;,453,1156,4,3,1.3515584424544438,0.41503749927884376
79,-7:1;0:1;,27,68,4,3,1.3325753390868709,0.41503749927884376
80,-7:1;1:1;,465,1156,4,3,1.313838776505285,0.41503749927884376
81,-7:1;2:1;,471,1156,4,3,1.2953424328878955,0.41503749927884376
82,-7:1;3:1;,477,1156,4,3,1.2770802264951673,0.41503749927884376
83,-7:1;4:1;,483,1156,4,3,1.2590463036649056,0.41503749927884376
84,-7:1;5:1;,489,1156,4,3,1.2412350275484452,0.41503749927884376
85,-7:1;6:1;,495,1156,4,3,1.2236409675337068,0.41503749927884376
86,-7:1;7:1;,501,1156,4,3,1.2062588893054704,0.41503749927884376
87,-7:1;8:1;,507,1156,4,3,1.1890837454973382,0.41503749927884376
88,-7:2;,15,34,4,3,1.1805722456418208,0.41503749927884376
89,-8:1;-1:1;,129,289,4,3,1.1636984270774247,0.41503749927884376
90,-8:1;-2:1;,261,578,4,3,1.1470196859307944,0.41503749927884376
91,-8:1;-3:1;,132,289,4,3,1.1305315631422255,0.41503749927884376
92,-8:1;-4:1;,267,578,4,3,1.1142297508131247,0.41503749927884376
93,-8:1;-5:1;,135,289,4,3,1.098110085449848,0.41503749927884376
94,-8:1;-6:1;,273,578,4,3,1.0821685415808262,0.41503749927884376
95,-8:1;-7:1;,138,289,4,3,1.0664012257225097,0.41503749927884376
96,-8:1;0:1;,279,578,4,3,1.0508043706714911,0.41503749927884376
97,-8:1;1:1;,141,289,4,3,1.0353743301018854,0.41503749927884376
98,-8:1;2:1;,285,578,4,3,1.0201075734485747,0.41503749927884376
99,-8:1;3:1;,144,289,4,3,1.0050006810583665,0.41503749927884376
100,-8:1;4:1;,291,578,4,3,0.9900503395923949,0.41503749927884376
101,-8:1;5:1;,147,289,4,3,0.9752533376643143,0.41503749927884376
102,-8:1;6:1;,297,578,4,3,0.9606065616999131,0.41503749927884376
103,-8:1;7:1;,150,289,4,3,0.9461069920047981,0.41503749927884376
104,-8:1;8:1;,303,578,4,3,0.9317516990277278,0.41503749927884376
105,-8:2;,609,1156,4,3,0.9246272645943463,0.41503749927884376
106,0:1;2:1;,615,1156,4,3,0.9104830822740766,0.41503749927884376
107,0:1;3:1;,621,1156,4,3,0.8964762242801975,0.41503749927884376
108,0:1;4:1;,627,1156,4,3,0.8826040496986398,0.41503749927884376
109,0:1;5:1;,633,1156,4,3,0.8688639930723375,0.41503749927884376
110,0:1;6:1;,639,1156,4,3,0.8552535615536845,0.41503749927884376
111,0:1;7:1;,645,1156,4,3,0.8417703321900623,0.41503749927884376
112,0:1;8:1;,651,1156,4,3,0.8284119493350433,0.41503749927884376
113,1:1;2:1;,657,1156,4,3,0.8151761221783492,0.41503749927884376
