feature_id,feature_value,Nz,Ez
t_norm2,"0",78905344,7680
t_norm2,"1",164102144,30720
t_norm2,"10",25165824,61440
t_norm2,"100",25165824,61440
t_norm2,"113",25165824,61440
t_norm2,"128",12582912,30720
t_norm2,"13",25165824,61440
t_norm2,"16",12582912,30720
t_norm2,"17",25165824,61440
t_norm2,"18",12582912,30720
t_norm2,"2",88342528,30720
t_norm2,"20",25165824,61440
t_norm2,"25",37748736,92160
t_norm2,"26",25165824,61440
t_norm2,"29",25165824,61440
t_norm2,"32",12582912,30720
t_norm2,"34",25165824,61440
t_norm2,"36",12582912,30720
t_norm2,"37",25165824,61440
t_norm2,"4",12582912,30720
t_norm2,"40",25165824,61440
t_norm2,"41",25165824,61440
t_norm2,"45",25165824,61440
t_norm2,"49",12582912,30720
t_norm2,"5",25165824,61440
t_norm2,"50",37748736,92160
t_norm2,"52",25165824,61440
t_norm2,"53",25165824,61440
t_norm2,"58",25165824,61440
t_norm2,"61",25165824,61440
t_norm2,"64",12582912,30720
t_norm2,"65",50331648,122880
t_norm2,"68",25165824,61440
t_norm2,"72",12582912,30720
t_norm2,"73",25165824,61440
t_norm2,"74",25165824,61440
t_norm2,"8",12582912,30720
t_norm2,"80",25165824,61440
t_norm2,"85",25165824,61440
t_norm2,"89",25165824,61440
t_norm2,"9",12582912,30720
t_norm2,"98",12582912,30720
