rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,10,6,289,4,3,5.589963181779523,0.41503749927884376
2,100,12,289,4,3,4.589963181779523,0.41503749927884376
3,113,18,289,4,3,4.005000681058367,0.41503749927884376
4,128,21,289,4,3,3.7826082597219184,0.41503749927884376
5,13,27,289,4,3,3.4200381803372104,0.41503749927884376
6,16,30,289,4,3,3.2680350868921604,0.41503749927884376
7,17,36,289,4,3,3.0050006810583665,0.41503749927884376
8,18,39,289,4,3,2.8895234636384304,0.41503749927884376
9,20,45,289,4,3,2.6830725861710043,0.41503749927884376
10,25,54,289,4,3,2.4200381803372104,0.41503749927884376
11,26,60,289,4,3,2.2680350868921604,0.41503749927884376
12,29,66,289,4,3,2.1305315631422252,0.41503749927884376
13,32,69,289,4,3,2.06640122572251,0.41503749927884376
14,34,75,289,4,3,1.946106992004798,0.41503749927884376
15,36,78,289,4,3,1.8895234636384304,0.41503749927884376
16,37,84,289,4,3,1.7826082597219184,0.41503749927884376
17,4,87,289,4,3,1.7319821866519505,0.41503749927884376
18,40,93,289,4,3,1.6357668713926474,0.41503749927884376
19,41,99,289,4,3,1.5455690624210694,0.41503749927884376
20,45,105,289,4,3,1.4606801648345562,0.41503749927884376
21,49,108,289,4,3,1.4200381803372102,0.41503749927884376
22,5,114,289,4,3,1.3420356683359371,0.41503749927884376
23,50,123,289,4,3,1.2324111771614388,0.41503749927884376
24,52,129,289,4,3,1.1636984270774247,0.41503749927884376
25,53,135,289,4,3,1.098110085449848,0.41503749927884376
26,58,141,289,4,3,1.0353743301018854,0.41503749927884376
27,61,147,289,4,3,0.9752533376643143,0.41503749927884376
28,64,150,289,4,3,0.9461069920047981,0.41503749927884376
29,65,162,289,4,3,0.835075679616054,0.41503749927884376
30,68,168,289,4,3,0.7826082597219185,0.41503749927884376
31,72,171,289,4,3,0.757073167614781,0.41503749927884376
32,73,177,289,4,3,0.7073201324176815,0.41503749927884376
33,74,183,289,4,3,0.6592258442166362,0.41503749927884376
34,8,186,289,4,3,0.6357668713926474,0.41503749927884376
35,80,192,289,4,3,0.5899631817795227,0.41503749927884376
36,85,198,289,4,3,0.5455690624210693,0.41503749927884376
37,89,12,17,4,3,0.5025003405291831,0.41503749927884376
38,9,207,289,4,3,0.4814387250013536,0.41503749927884376
39,98,210,289,4,3,0.4606801648345561,0.41503749927884376
40,2,3697,4624,4544,3697,0.3227863543134357,0.29760779131743886
41,1,4323,4624,1536,1441,0.09710856160477507,0.09210788054640859
42,0,1,1,1,1,-0.0,0.0
