feature_id,feature_value,Nz,Ez
at_correlations,"-1.-1",4849664,475504
at_correlations,"-1.-10",262144,36128
at_correlations,"-1.-11",524288,32032
at_correlations,"-1.-12",262144,42504
at_correlations,"-1.-13",65536,7392
at_correlations,"-1.-14",327680,42316
at_correlations,"-1.-19",524288,39504
at_correlations,"-1.-2",917504,88104
at_correlations,"-1.-23",131072,18128
at_correlations,"-1.-25",131072,15472
at_correlations,"-1.-29",524288,62336
at_correlations,"-1.-3",524288,32256
at_correlations,"-1.-4",786432,62368
at_correlations,"-1.-41",524288,62896
at_correlations,"-1.-5",1048576,80400
at_correlations,"-1.-55",524288,36864
at_correlations,"-1.-6",786432,66976
at_correlations,"-1.-7",524288,32256
at_correlations,"-1.-8",786432,46264
at_correlations,"-1.0",1572864,84304
at_correlations,"-1.1",4849664,475504
at_correlations,"-1.10",262144,36128
at_correlations,"-1.11",524288,32032
at_correlations,"-1.12",262144,42504
at_correlations,"-1.13",65536,7392
at_correlations,"-1.14",327680,42316
at_correlations,"-1.19",524288,39504
at_correlations,"-1.2",917504,88104
at_correlations,"-1.23",131072,18128
at_correlations,"-1.25",131072,15472
at_correlations,"-1.29",524288,62336
at_correlations,"-1.3",524288,32256
at_correlations,"-1.4",786432,62368
at_correlations,"-1.41",524288,62896
at_correlations,"-1.5",1048576,80400
at_correlations,"-1.55",524288,36864
at_correlations,"-1.6",786432,66976
at_correlations,"-1.7",524288,32256
at_correlations,"-1.8",786432,46264
at_correlations,"-10.-10",1966080,204864
at_correlations,"-10.-14",262144,23664
at_correlations,"-10.-15",131072,7032
at_correlations,"-10.-16",131072,22440
at_correlations,"-10.-18",131072,17760
at_correlations,"-10.-2",262144,23664
at_correlations,"-10.-30",524288,73904
at_correlations,"-10.-34",131072,18464
at_correlations,"-10.-5",131072,6840
at_correlations,"-10.-50",262144,26320
at_correlations,"-10.-6",524288,24384
at_correlations,"-10.10",1966080,204864
at_correlations,"-10.14",262144,23664
at_correlations,"-10.15",131072,7032
at_correlations,"-10.16",131072,22440
at_correlations,"-10.18",131072,17760
at_correlations,"-10.2",262144,23664
at_correlations,"-10.30",524288,73904
at_correlations,"-10.34",131072,18464
at_correlations,"-10.5",131072,6840
at_correlations,"-10.50",262144,26320
at_correlations,"-10.6",524288,24384
at_correlations,"-100.-96",524288,30592
at_correlations,"-100.96",524288,30592
at_correlations,"-104.-106",262144,31456
at_correlations,"-104.106",262144,31456
at_correlations,"-105.-105",524288,34240
at_correlations,"-105.105",524288,34240
at_correlations,"-106.-104",524288,54928
at_correlations,"-106.104",524288,54928
at_correlations,"-11.-1",131072,7616
at_correlations,"-11.-11",786432,96768
at_correlations,"-11.-14",131072,6840
at_correlations,"-11.-15",131072,18080
at_correlations,"-11.-17",131072,19376
at_correlations,"-11.-22",262144,36376
at_correlations,"-11.-25",262144,27296
at_correlations,"-11.-4",131072,25920
at_correlations,"-11.-41",65536,6080
at_correlations,"-11.-44",327680,25192
at_correlations,"-11.-9",524288,47648
at_correlations,"-11.0",262144,41184
at_correlations,"-11.1",131072,7616
at_correlations,"-11.11",786432,96768
at_correlations,"-11.14",131072,6840
at_correlations,"-11.15",131072,18080
at_correlations,"-11.17",131072,19376
at_correlations,"-11.22",262144,36376
at_correlations,"-11.25",262144,27296
at_correlations,"-11.4",131072,25920
at_correlations,"-11.41",65536,6080
at_correlations,"-11.44",327680,25192
at_correlations,"-11.9",524288,47648
at_correlations,"-112.-112",131072,12256
at_correlations,"-112.-113",393216,26304
at_correlations,"-112.112",131072,12256
at_correlations,"-112.113",393216,26304
at_correlations,"-113.-112",524288,22144
at_correlations,"-113.112",524288,22144
at_correlations,"-12.-12",1572864,177144
at_correlations,"-12.-13",131072,13392
at_correlations,"-12.-16",131072,5936
at_correlations,"-12.-18",131072,21340
at_correlations,"-12.-2",65536,11232
at_correlations,"-12.-20",65536,7776
at_correlations,"-12.-24",262144,13312
at_correlations,"-12.-28",131072,20960
at_correlations,"-12.-3",262144,13232
at_correlations,"-12.-36",262144,20072
at_correlations,"-12.-4",327680,26448
at_correlations,"-12.-42",131072,13720
at_correlations,"-12.-48",131072,4032
at_correlations,"-12.-6",65536,7408
at_correlations,"-12.-8",65536,512
at_correlations,"-12.-9",131072,13488
at_correlations,"-12.0",524288,12144
at_correlations,"-12.12",1572864,177144
at_correlations,"-12.13",131072,13392
at_correlations,"-12.16",131072,5936
at_correlations,"-12.18",131072,21340
at_correlations,"-12.2",65536,11232
at_correlations,"-12.20",65536,7776
at_correlations,"-12.24",262144,13312
at_correlations,"-12.28",131072,20960
at_correlations,"-12.3",262144,13232
at_correlations,"-12.36",262144,20072
at_correlations,"-12.4",327680,26448
at_correlations,"-12.42",131072,13720
at_correlations,"-12.48",131072,4032
at_correlations,"-12.6",65536,7408
at_correlations,"-12.8",65536,512
at_correlations,"-12.9",131072,13488
at_correlations,"-120.-120",786432,44416
at_correlations,"-120.120",786432,44416
at_correlations,"-128.-128",589824,8192
at_correlations,"-128.128",589824,8192
at_correlations,"-13.-1",131072,19376
at_correlations,"-13.-12",524288,32224
at_correlations,"-13.-13",524288,64512
at_correlations,"-13.-15",131072,16208
at_correlations,"-13.-17",393216,38832
at_correlations,"-13.-20",65536,12072
at_correlations,"-13.-22",131072,14224
at_correlations,"-13.-23",65536,5364
at_correlations,"-13.-26",262144,33360
at_correlations,"-13.-7",786432,56448
at_correlations,"-13.-8",131072,6400
at_correlations,"-13.0",262144,33856
at_correlations,"-13.1",131072,19376
at_correlations,"-13.12",524288,32224
at_correlations,"-13.13",524288,64512
at_correlations,"-13.15",131072,16208
at_correlations,"-13.17",393216,38832
at_correlations,"-13.20",65536,12072
at_correlations,"-13.22",131072,14224
at_correlations,"-13.23",65536,5364
at_correlations,"-13.26",262144,33360
at_correlations,"-13.7",786432,56448
at_correlations,"-13.8",131072,6400
at_correlations,"-14.-10",262144,30512
at_correlations,"-14.-11",262144,31080
at_correlations,"-14.-14",917504,116384
at_correlations,"-14.-16",196608,27012
at_correlations,"-14.-18",65536,10768
at_correlations,"-14.-2",131072,15320
at_correlations,"-14.-22",65536,3016
at_correlations,"-14.-26",65536,12968
at_correlations,"-14.-34",262144,34600
at_correlations,"-14.-36",196608,26040
at_correlations,"-14.-38",65536,6432
at_correlations,"-14.-4",65536,5952
at_correlations,"-14.-41",131072,18144
at_correlations,"-14.-6",65536,19048
at_correlations,"-14.10",262144,30512
at_correlations,"-14.11",262144,31080
at_correlations,"-14.14",917504,116384
at_correlations,"-14.16",196608,27012
at_correlations,"-14.18",65536,10768
at_correlations,"-14.2",131072,15320
at_correlations,"-14.22",65536,3016
at_correlations,"-14.26",65536,12968
at_correlations,"-14.34",262144,34600
at_correlations,"-14.36",196608,26040
at_correlations,"-14.38",65536,6432
at_correlations,"-14.4",65536,5952
at_correlations,"-14.41",131072,18144
at_correlations,"-14.6",65536,19048
at_correlations,"-15.-10",131072,7032
at_correlations,"-15.-15",1179648,114944
at_correlations,"-15.-20",131072,32160
at_correlations,"-15.0",786432,47488
at_correlations,"-15.10",131072,7032
at_correlations,"-15.15",1179648,114944
at_correlations,"-15.20",131072,32160
at_correlations,"-16.-11",131072,7168
at_correlations,"-16.-12",131072,5936
at_correlations,"-16.-14",655360,64784
at_correlations,"-16.-16",786432,57104
at_correlations,"-16.-19",262144,32320
at_correlations,"-16.-2",131072,10464
at_correlations,"-16.-20",131072,7200
at_correlations,"-16.-23",65536,15200
at_correlations,"-16.-26",196608,24000
at_correlations,"-16.-28",65536,14376
at_correlations,"-16.-32",131072,15552
at_correlations,"-16.-34",262144,23584
at_correlations,"-16.-4",524288,15168
at_correlations,"-16.-65",262144,10752
at_correlations,"-16.-9",131072,32160
at_correlations,"-16.0",524288,0
at_correlations,"-16.11",131072,7168
at_correlations,"-16.12",131072,5936
at_correlations,"-16.14",655360,64784
at_correlations,"-16.16",786432,57104
at_correlations,"-16.19",262144,32320
at_correlations,"-16.2",131072,10464
at_correlations,"-16.20",131072,7200
at_correlations,"-16.23",65536,15200
at_correlations,"-16.26",196608,24000
at_correlations,"-16.28",65536,14376
at_correlations,"-16.32",131072,15552
at_correlations,"-16.34",262144,23584
at_correlations,"-16.4",524288,15168
at_correlations,"-16.65",262144,10752
at_correlations,"-16.9",131072,32160
at_correlations,"-17.-22",262144,17408
at_correlations,"-17.-23",262144,19712
at_correlations,"-17.-27",65536,17488
at_correlations,"-17.-28",65536,6400
at_correlations,"-17.-4",65536,7432
at_correlations,"-17.-7",262144,19712
at_correlations,"-17.-8",524288,20384
at_correlations,"-17.22",262144,17408
at_correlations,"-17.23",262144,19712
at_correlations,"-17.27",65536,17488
at_correlations,"-17.28",65536,6400
