rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-30.-18,1,18496,2784226,770625,14.174925682500678,1.8531754271353675
2,-30.18,1,9248,2784226,770625,13.174925682500678,1.8531754271353675
3,30.-18,3,18496,2784226,770625,12.589963181779522,1.8531754271353675
4,30.18,1,4624,2784226,770625,12.174925682500678,1.8531754271353675
5,-14.-6,5,18496,308652,85625,11.852997587613316,1.8498771516782566
6,-14.6,3,9248,8320888,2311875,11.589963181779522,1.8476741047519616
7,-18.-22,7,18496,19394212,5394375,11.367570760443074,1.8460984375828378
8,-18.22,1,2312,922777,256875,11.174925682500678,1.8449155568396403
9,14.-6,9,18496,24899084,6935625,11.005000681058366,1.8439948674972269
10,14.6,5,9248,2765152,770625,10.852997587613316,1.8432578927464953
11,18.-22,11,18496,921332,256875,10.715494063863382,1.8426546332600182
12,18.22,3,4624,8289098,2311875,10.589963181779522,1.8421517242575092
13,17.-27,13,18496,11918938,3339375,10.474485964359587,1.835605677499304
14,17.27,7,9248,19178618,5394375,10.367570760443074,1.8299710425419953
15,57.-53,15,18496,1638052,462375,10.26803508689216,1.824845855632615
16,57.53,1,1156,10886341,3082500,10.174925682500678,1.8203463326257694
17,-57.-53,1,1088,2710514,770625,10.087462841250339,1.8144655639385763
18,-57.53,9,9248,24306056,6935625,10.005000681058366,1.8092180135798441
19,-17.-27,19,18496,17046376,4880625,9.926998169057093,1.804327247457773
20,-17.27,5,4624,13416536,3853125,9.852997587613316,1.7999113372143825
21,-27.-39,11,9248,9742768,2825625,9.715494063863382,1.7857616994495553
22,-27.39,3,2312,7905884,2311875,9.589963181779522,1.7738633918532236
23,-31.-13,13,9248,34018768,10018125,9.474485964359587,1.7637183764270807
24,-31.13,7,4624,2312,685,9.367570760443074,1.7549655046527897
25,27.-39,15,9248,38809232,11559375,9.26803508689216,1.7473364884116995
26,27.39,1,578,2575279,770625,9.174925682500678,1.7406278445073524
27,31.-13,1,544,854896,256875,9.087462841250339,1.7346824348179581
28,31.13,9,4624,22997464,6935625,9.005000681058366,1.7293769784064623
29,28.-37,37,18496,754868,228105,8.965472316871729,1.7265263191279583
30,28.37,19,9248,48363572,14641875,8.926998169057093,1.7238204888133042
31,-15.-20,5,2312,12671783,3853125,8.852997587613316,1.7175186404487297
32,-15.20,21,9248,7572956,2311875,8.782608259721918,1.7117931511123412
33,-16.-9,11,4624,27667126,8476875,8.715494063863382,1.7065683693755793
34,-16.9,23,9248,57657812,17724375,8.651363726443666,1.7017813346486101
35,15.-20,3,1156,14995343,4623750,8.589963181779522,1.6973792219941282
36,15.20,25,9248,62304932,19265625,8.531069492725955,1.6933173806408814
37,16.-9,13,4624,32314246,10018125,8.474485964359587,1.6895578112010772
38,16.9,27,9248,66952052,20806875,8.42003818033721,1.686067971193639
39,-32.-8,55,18496,136190672,42384375,8.39356596897602,1.6840234749851766
40,-32.8,7,2312,384659,119875,8.367570760443074,1.6820492487323526
41,32.-8,57,18496,140763808,43925625,8.342035668335937,1.680141729085217
42,32.8,29,9248,71525188,22348125,8.316944687373107,1.6782975897292252
43,61.-56,59,18496,145321916,45466875,8.292282633138838,1.6763645380207186
44,61.56,15,4624,36898364,11559375,8.26803508689216,1.6744934561285285
45,-61.-56,61,18496,19652,6165,8.244188344937793,1.6725033444608168
46,-61.56,31,9248,25349924,7963125,8.220729372113803,1.6705748125760906
47,68.-64,63,18496,1143284,359625,8.197645759000762,1.6686186028584156
48,68.64,1,289,815558,256875,8.174925682500678,1.6667209918668107
49,-16.-23,65,18496,158783536,50090625,8.152557869472224,1.66444881171149
50,-16.23,33,9248,80489968,25430625,8.130531563142226,1.6622420626553396
51,16.-23,67,18496,18128392,5736875,8.108836492042906,1.6599139740253095
52,16.23,1,272,486268,154125,8.087462841250339,1.6576507601598602
53,-28.-37,69,18496,11165804,3544875,8.06640122572251,1.655280476058428
54,-28.37,35,9248,678572,215775,8.045642665555713,1.6529741793755632
55,-16.-28,71,18496,171720332,54714375,8.025178562995997,1.6500690428152305
56,-16.28,9,2312,21724708,6935625,8.005000681058366,1.6472389848424323
57,-58.-68,73,18496,175811416,56255625,7.9851011236206615,1.6439594886128504
58,-58.68,37,9248,9879176,3168125,7.965472316871729,1.6407614560428645
59,-9.-30,75,18496,59942068,19265625,7.946106992004798,1.6375398681411282
60,-9.30,19,4624,3030454,976125,7.926998169057094,1.6343961312296786
61,44.-26,77,18496,183827698,59338125,7.908139141805777,1.6313229136610736
62,44.26,39,9248,92914078,30054375,7.88952346363843,1.6283221864230102
63,-22.-2,5,1156,3953231,1284375,7.8529975876133165,1.6219657701369108
64,-22.2,41,9248,19368202,6319125,7.817373677882595,1.6158933215950393
65,22.-2,21,4624,49402238,16183125,7.782608259721918,1.6100861771521129
66,22.2,43,9248,11196438,3681875,7.748660927798581,1.6045272777571105
67,-44.-26,87,18496,203489524,67044375,7.73198218665195,1.6017663232130852
68,-44.26,11,2312,51360791,16953750,7.715494063863382,1.5990630029877313
