feature_id,feature_value,Nz,Ez
at_norm_pair,"A=0|t=0",1048576,0
at_norm_pair,"A=0|t=1",2097152,129024
at_norm_pair,"A=0|t=2",1048576,129024
at_norm_pair,"A=100|t=0",2097152,0
at_norm_pair,"A=100|t=1",4194304,258048
at_norm_pair,"A=100|t=10",1048576,134976
at_norm_pair,"A=100|t=100",6291456,405888
at_norm_pair,"A=100|t=113",3145728,309888
at_norm_pair,"A=100|t=13",2621440,327008
at_norm_pair,"A=100|t=17",524288,69632
at_norm_pair,"A=100|t=18",1048576,155392
at_norm_pair,"A=100|t=2",2097152,258048
at_norm_pair,"A=100|t=20",1048576,161600
at_norm_pair,"A=100|t=25",524288,101312
at_norm_pair,"A=100|t=5",524288,99072
at_norm_pair,"A=100|t=74",1048576,76224
at_norm_pair,"A=100|t=8",1048576,163584
at_norm_pair,"A=100|t=85",2097152,158080
at_norm_pair,"A=100|t=89",3145728,118272
at_norm_pair,"A=100|t=98",1048576,117120
at_norm_pair,"A=10|t=0",2097152,0
at_norm_pair,"A=10|t=1",4194304,258048
at_norm_pair,"A=10|t=10",4718592,229440
at_norm_pair,"A=10|t=13",3145728,330688
at_norm_pair,"A=10|t=16",1048576,32768
at_norm_pair,"A=10|t=17",3145728,196608
at_norm_pair,"A=10|t=18",524288,54912
at_norm_pair,"A=10|t=2",2097152,258048
at_norm_pair,"A=10|t=20",3145728,384640
at_norm_pair,"A=10|t=25",1048576,129664
at_norm_pair,"A=10|t=26",524288,56640
at_norm_pair,"A=10|t=29",1048576,155008
at_norm_pair,"A=10|t=34",524288,86144
at_norm_pair,"A=10|t=4",1048576,75520
at_norm_pair,"A=10|t=5",2097152,128384
at_norm_pair,"A=10|t=8",1048576,118272
at_norm_pair,"A=10|t=9",2097152,95616
at_norm_pair,"A=113|t=0",2097152,0
at_norm_pair,"A=113|t=1",4718592,317216
at_norm_pair,"A=113|t=10",1048576,118784
at_norm_pair,"A=113|t=100",3145728,364800
at_norm_pair,"A=113|t=113",7340032,358912
at_norm_pair,"A=113|t=128",3145728,20480
at_norm_pair,"A=113|t=13",524288,73952
at_norm_pair,"A=113|t=2",3145728,383168
at_norm_pair,"A=113|t=4",1048576,129792
at_norm_pair,"A=113|t=5",2621440,327072
at_norm_pair,"A=113|t=8",1048576,145920
at_norm_pair,"A=113|t=85",1048576,118464
at_norm_pair,"A=113|t=9",524288,65024
at_norm_pair,"A=113|t=98",2097152,153920
at_norm_pair,"A=128|t=0",1572864,16384
at_norm_pair,"A=128|t=1",3670016,237696
at_norm_pair,"A=128|t=113",3145728,310272
at_norm_pair,"A=128|t=128",4718592,65536
at_norm_pair,"A=128|t=2",2097152,242240
at_norm_pair,"A=128|t=4",524288,85504
at_norm_pair,"A=128|t=5",524288,97888
at_norm_pair,"A=128|t=98",524288,78576
at_norm_pair,"A=13|t=0",2097152,0
at_norm_pair,"A=13|t=1",4194304,258048
at_norm_pair,"A=13|t=10",2097152,130816
at_norm_pair,"A=13|t=13",5242880,364928
at_norm_pair,"A=13|t=16",524288,4096
at_norm_pair,"A=13|t=17",2097152,157184
at_norm_pair,"A=13|t=18",2097152,252160
at_norm_pair,"A=13|t=2",2097152,258048
at_norm_pair,"A=13|t=20",2621440,353056
at_norm_pair,"A=13|t=25",2097152,243008
at_norm_pair,"A=13|t=26",2097152,195328
at_norm_pair,"A=13|t=29",1048576,207360
at_norm_pair,"A=13|t=36",524288,123104
at_norm_pair,"A=13|t=37",1048576,257280
at_norm_pair,"A=13|t=40",524288,152384
at_norm_pair,"A=13|t=5",1048576,68096
at_norm_pair,"A=13|t=8",2097152,111616
at_norm_pair,"A=16|t=0",1048576,0
at_norm_pair,"A=16|t=1",2097152,129024
at_norm_pair,"A=16|t=10",1048576,92672
at_norm_pair,"A=16|t=16",2097152,0
at_norm_pair,"A=16|t=17",2097152,121344
at_norm_pair,"A=16|t=18",262144,13184
at_norm_pair,"A=16|t=2",1048576,129024
at_norm_pair,"A=16|t=25",2097152,112000
at_norm_pair,"A=16|t=26",1048576,149504
at_norm_pair,"A=16|t=32",1048576,12288
at_norm_pair,"A=16|t=34",524288,62208
at_norm_pair,"A=16|t=41",1048576,57600
at_norm_pair,"A=16|t=50",262144,30720
at_norm_pair,"A=16|t=9",1048576,48576
at_norm_pair,"A=17|t=0",2097152,0
at_norm_pair,"A=17|t=1",4194304,258048
at_norm_pair,"A=17|t=10",2097152,120576
at_norm_pair,"A=17|t=13",1048576,146176
at_norm_pair,"A=17|t=16",2097152,0
at_norm_pair,"A=17|t=17",4194304,163072
at_norm_pair,"A=17|t=2",2097152,258048
at_norm_pair,"A=17|t=20",2621440,385920
at_norm_pair,"A=17|t=25",2097152,111872
