rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=25|t=72,1,4624,13872,3425,12.174925682500678,2.0179999104865836
2,A=26|t=74,3,4624,8689652,2311875,10.589963181779522,1.9102350063247882
3,A=13|t=40,5,4624,4731508,1284375,9.852997587613316,1.8812335758252692
4,A=58|t=61,7,4624,6440654,1798125,9.367570760443074,1.840713874650378
5,A=26|t=65,11,4624,42194,12375,8.715494063863382,1.7696093366389993
6,A=13|t=37,15,4624,7639426,2311875,8.26803508689216,1.7244008478772987
7,A=18|t=50,1,272,838814,256875,8.087462841250339,1.7072844517556107
8,A=26|t=58,19,4624,1894106,585675,7.926998169057094,1.6933448524222894
9,A=53|t=85,21,4624,51877234,16183125,7.782608259721918,1.6806113372384854
10,A=50|t=72,23,4624,56350954,17724375,7.651363726443666,1.6687052790792092
11,A=26|t=40,27,4624,65284522,20806875,7.42003818033721,1.6496806886317272
12,A=13|t=36,29,4624,69731654,22348125,7.316944687373106,1.6416599071679383
13,A=1|t=8,15,2312,35975587,11559375,7.26803508689216,1.6379548317158164
14,A=85|t=29,2,289,38161583,12330000,7.174925682500679,1.6299482180094236
15,A=18|t=49,1,136,2372639,770625,7.087462841250339,1.6223917147411169
16,A=25|t=61,19,2312,8932123,2928375,6.926998169057094,1.6089028047772382
17,A=20|t=50,5,578,46820023,15412500,6.8529975876133165,1.6030247485355618
18,A=41|t=45,11,1156,50933071,16953750,6.715494063863382,1.5869982885078844
19,A=20|t=58,23,2312,52986127,17724375,6.651363726443666,1.5798799222138187
20,A=98|t=5,3,289,55020109,18495000,6.589963181779523,1.5728236973093308
21,A=26|t=36,13,1156,19680611,6678750,6.4744859643595865,1.5591249938105003
22,A=80|t=61,27,2312,20345311,6935625,6.42003818033721,1.5525985325452676
23,A=41|t=61,29,2312,64988297,22348125,6.316944687373106,1.5400261481930293
24,A=41|t=53,15,1156,66929221,23118750,6.26803508689216,1.533572827291348
25,A=17|t=52,31,2312,68862631,23889375,6.220729372113803,1.5273521921589535
26,A=98|t=4,4,289,23597717,8220000,6.174925682500679,1.5214369914107788
27,A=29|t=80,33,2312,72712111,25430625,6.130531563142226,1.515628761750517
28,A=89|t=29,1,68,4389383,1541250,6.087462841250339,1.5099172648593056
29,A=2|t=8,35,2312,76524599,26971875,6.045642665555713,1.5044677631550534
30,A=68|t=113,9,578,13071181,4623750,6.005000681058367,1.4992541961320003
31,A=29|t=68,37,2312,80309632,28513125,5.965472316871729,1.493946863534585
32,A=37|t=49,39,2312,28022596,10018125,5.88952346363843,1.4839780946621308
33,A=17|t=40,5,289,10742708,3853125,5.8529975876133165,1.4792568161736055
34,A=13|t=29,21,1156,44843552,16183125,5.782608259721918,1.47041033416596
35,A=1|t=5,23,1156,48552578,17724375,5.651363726443666,1.4538131447709568
36,A=25|t=52,47,2312,701692,256875,5.6203368308230415,1.4497714255252285
37,A=100|t=25,6,289,2519213,924750,5.589963181779523,1.4458378069427011
38,A=53|t=100,3,136,6246667,2311875,5.502500340529183,1.4340232287988275
39,A=5|t=20,13,578,107991497,40072500,5.4744859643595865,1.4302332994047542
40,A=85|t=13,53,2312,12198401,4538125,5.447005227937479,1.426523794880689
41,A=68|t=61,27,1156,55789427,20806875,5.42003818033721,1.4229314319785662
42,A=100|t=5,55,2312,113368342,42384375,5.393565968976019,1.4194134069456628
43,A=61|t=85,57,2312,38980898,14641875,5.342035668335937,1.4126670130508694
44,A=26|t=37,61,2312,124040534,47008125,5.244188344937792,1.3998295995263998
45,A=128|t=5,31,1156,20968106,7963125,5.220729372113803,1.3967899426426131
46,A=37|t=100,63,2312,8504981,3236625,5.197645759000762,1.3938177904136635
47,A=8|t=18,8,289,129330679,49320000,5.174925682500679,1.3908198378211063
48,A=61|t=29,65,2312,131075083,50090625,5.152557869472225,1.3877809415230664
49,A=50|t=52,67,2312,134561579,51631875,5.108836492042906,1.38193264466106
50,A=20|t=53,69,2312,27600367,10634625,5.06640122572251,1.3759182889066623
51,A=26|t=61,71,2312,141442091,54714375,5.025178562995997,1.3702196836303469
52,A=2|t=10,9,289,143162219,55485000,5.005000681058367,1.3674811043726116
53,A=29|t=73,37,1156,146581667,57026250,4.965472316871729,1.362006606099193
54,A=52|t=73,75,2312,49427381,19265625,4.946106992004798,1.3592814751573634
55,A=1|t=4,39,1156,153361607,60108750,4.88952346363843,1.3512904357660258
56,A=41|t=52,41,1156,160117271,63191250,4.817373677882595,1.3413322226311797
57,A=89|t=13,83,2312,161806187,63961875,4.799886251153754,1.3389826371025852
58,A=17|t=45,5,136,9716027,3853125,4.765534746362977,1.3343375095888055
59,A=25|t=68,43,1156,33370541,13254750,4.748660927798581,1.332065615987532
60,A=4|t=18,173,4624,335356178,133318125,4.7402974548639545,1.3308212474300576
61,A=80|t=58,177,4624,341952314,136400625,4.707320132417681,1.3259448972145573
62,A=65|t=85,179,4624,345249226,137941875,4.691109905236423,1.3235776980507972
63,A=17|t=29,11,272,21081802,8476875,4.628031222613042,1.3143937704828585
64,A=61|t=65,191,4624,364954402,147189375,4.59749685446493,1.3100426896846558
65,A=52|t=37,193,4624,122741768,49576875,4.5824686452325984,1.307887028240883
66,A=65|t=29,195,4624,13758712,5565625,4.567595368751068,1.3057298094263607
67,A=25|t=36,201,4624,381241864,154895625,4.52387399132175,1.2994101536168674
68,A=80|t=45,203,4624,384484444,156436875,4.509589765315503,1.297344606790783
69,A=85|t=20,207,4624,390932612,159519375,4.481438725001354,1.2931882783967037
70,A=50|t=61,215,4624,134580364,55228125,4.4267328329112186,1.2849928746040868
71,A=37|t=53,219,4624,410140708,168766875,4.400138622899505,1.2810871791985694
72,A=53|t=74,223,4624,138832132,57283125,4.374025782580374,1.2771594070346
73,A=2|t=9,225,4624,139891028,57796875,4.361144491283642,1.2752400419569745
74,A=72|t=98,227,4624,422845148,174931875,4.348377195209764,1.273336232159777
75,A=36|t=98,57,1156,106106639,43925625,4.342035668335937,1.272380208231012
76,A=25|t=37,59,1156,109267432,45466875,4.2922826331388375,1.2649757044924836
77,A=40|t=50,15,289,27711632,11559375,4.26803508689216,1.261428281510302
78,A=34|t=40,61,1156,37474052,15669375,4.244188344937792,1.2579443454679577
79,A=72|t=37,123,2312,226409536,94786875,4.232411177161439,1.2561755132164911
80,A=74|t=52,125,2312,76508704,32109375,4.209141397838592,1.2526293014219583
81,A=10|t=34,63,1156,115541044,48549375,4.197645759000762,1.2508808073281261
82,A=128|t=4,127,2312,77542168,32623125,4.186240995728513,1.2490860861444262
83,A=29|t=65,129,2312,78568118,33136875,4.163698427077425,1.2455064484437695
84,A=89|t=20,131,2312,238779314,100951875,4.141502680963229,1.2420101516428335
85,A=26|t=29,135,2312,244906114,104034375,4.098110085449848,1.2351684888509857
86,A=68|t=72,137,2312,247944082,105575625,4.076893599540152,1.231738003292081
87,A=34|t=52,139,2312,250979738,107116875,4.0559846097771715,1.2283851201973355
88,A=52|t=40,141,2312,28223162,12073125,4.035374330101885,1.2250804795542998
89,A=89|t=85,143,2312,51406742,22039875,4.015054345722289,1.221841539812903
90,A=74|t=72,145,2312,260041622,111740625,3.995016592485744,1.2185887631820826
91,A=41|t=68,37,578,8817679,3801750,3.965472316871729,1.2137352931922214
92,A=58|t=74,75,1156,594473,256875,3.946106992004798,1.2105447977944803
93,A=37|t=50,77,1156,19531487,8476875,3.9081391418057776,1.2041973724165291
94,A=65|t=100,157,2312,92624789,40329375,3.8803049336090516,1.1995673030403082
95,A=100|t=8,159,2312,93609701,40843125,3.8620427272163234,1.196564793233024
96,A=72|t=74,161,2312,94594613,41356875,3.844008804386062,1.1936308497763741
97,A=58|t=52,165,2312,289658053,127153125,3.808603468254863,1.1877838559110736
98,A=74|t=100,167,2312,292589669,128694375,3.7912213900266267,1.1849298331687999
99,A=73|t=72,169,2312,295516661,130235625,3.7740462462184947,1.182115329586953
100,A=100|t=20,171,2312,298435561,131776875,3.7570731676147813,1.1793222348270684
101,A=50|t=113,87,1156,151391494,67044375,3.7319821866519507,1.175095948421044
102,A=61|t=72,89,1156,51417146,22861875,3.699192251534281,1.169305803057652
103,A=34|t=45,91,1156,7481054,3339375,3.6671310423019827,1.1636634325902544
104,A=36|t=49,23,289,26420669,11816250,3.651363726443666,1.1608947425740956
105,A=8|t=26,185,2312,318467596,142565625,3.643544221984367,1.1595204207119412
106,A=128|t=98,93,1156,511819,229338,3.6357668713926476,1.1581582837417226
107,A=36|t=74,11,136,18899699,8476875,3.6280312226130422,1.1567588396309827
108,A=18|t=37,189,2312,324103963,145648125,3.6126832582796062,1.1539695323264068
109,A=100|t=18,191,2312,326910731,147189375,3.59749685446493,1.1512232021431932
110,A=61|t=74,195,2312,332515019,150271875,3.567595368751068,1.1458444869656135
111,A=10|t=29,197,2312,111771617,50604375,3.5528738630443026,1.1432198567926481
112,A=73|t=85,99,1156,336714767,152583750,3.545569062421069,1.1419256686130188
113,A=52|t=74,25,289,99127,45000,3.5310694927259543,1.1393530676817294
114,A=17|t=20,205,2312,69296131,31595625,3.4954455829952327,1.133050000486571
115,A=40|t=74,103,1156,115956337,52916250,3.4884251553174606,1.1317989339350034
116,A=26|t=20,26,289,350628383,160290000,3.4744859643595865,1.1292583624810395
117,A=45|t=65,211,2312,354765418,162601875,3.453826493793494,1.1255214911869462
118,A=89|t=100,217,2312,363020414,167225625,3.4133744500561995,1.1182547413597246
119,A=2|t=5,223,2312,371248822,171849375,3.374025782580374,1.111241843368788
120,A=29|t=37,225,2312,373981606,173390625,3.3611444912836417,1.1089414179324029
121,A=5|t=13,229,2312,379415962,176473125,3.335721894403735,1.1043318811439062
122,A=26|t=45,231,2312,42458146,19779375,3.323176641084621,1.1020445354147181
123,A=50|t=36,117,1156,193087547,90163125,3.3045609629172743,1.09864569759036
124,A=16|t=26,59,578,4320839,2020750,3.2922826331388375,1.0964206276022554
