feature_id,feature_value,Nz,Ez
at_pair_histogram,"-1:-1:1;-1:0:1;",589824,29488
at_pair_histogram,"-1:-1:1;-1:1:1;",458752,36472
at_pair_histogram,"-1:-1:1;-1:2:1;",196608,28472
at_pair_histogram,"-1:-1:1;-1:3:1;",32768,5952
at_pair_histogram,"-1:-1:1;0:-1:1;",524288,53312
at_pair_histogram,"-1:-1:1;0:-2:1;",131072,25668
at_pair_histogram,"-1:-1:1;0:0:1;",786432,42152
at_pair_histogram,"-1:-1:1;0:1:1;",524288,53312
at_pair_histogram,"-1:-1:1;0:2:1;",131072,25668
at_pair_histogram,"-1:-1:1;1:-1:1;",458752,36472
at_pair_histogram,"-1:-1:1;1:-2:1;",196608,28472
at_pair_histogram,"-1:-1:1;1:-3:1;",32768,5952
at_pair_histogram,"-1:-1:1;1:0:1;",589824,29488
at_pair_histogram,"-1:-1:1;1:1:1;",458752,36472
at_pair_histogram,"-1:-1:1;1:2:1;",196608,28472
at_pair_histogram,"-1:-1:1;1:3:1;",32768,5952
at_pair_histogram,"-1:-1:1;2:-1:1;",262144,21712
at_pair_histogram,"-1:-1:1;2:-2:1;",131072,12716
at_pair_histogram,"-1:-1:1;2:-3:1;",131072,10240
at_pair_histogram,"-1:-1:1;2:-4:1;",65536,6176
at_pair_histogram,"-1:-1:1;2:0:1;",327680,18384
at_pair_histogram,"-1:-1:1;2:1:1;",262144,21712
at_pair_histogram,"-1:-1:1;2:2:1;",262144,18000
at_pair_histogram,"-1:-1:1;2:3:1;",131072,16048
at_pair_histogram,"-1:-1:1;3:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;3:-3:1;",32768,2148
at_pair_histogram,"-1:-1:1;3:-4:1;",65536,3808
at_pair_histogram,"-1:-1:1;3:-5:1;",32768,3540
at_pair_histogram,"-1:-1:1;3:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;3:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;3:2:1;",131072,8024
at_pair_histogram,"-1:-1:1;3:3:1;",262144,12192
at_pair_histogram,"-1:-1:1;3:4:1;",131072,8480
at_pair_histogram,"-1:-1:1;4:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;4:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;4:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;4:3:1;",131072,7536
at_pair_histogram,"-1:-1:1;4:4:1;",262144,10192
at_pair_histogram,"-1:-1:1;4:5:1;",131072,14656
at_pair_histogram,"-1:-1:1;5:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;5:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;5:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;5:4:1;",131072,5096
at_pair_histogram,"-1:-1:1;5:5:1;",262144,17120
at_pair_histogram,"-1:-1:1;5:6:1;",131072,24560
at_pair_histogram,"-1:-1:1;6:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;6:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;6:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;6:5:1;",131072,6096
at_pair_histogram,"-1:-1:1;6:6:1;",262144,19952
at_pair_histogram,"-1:-1:1;6:7:1;",131072,20512
at_pair_histogram,"-1:-1:1;7:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;7:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;7:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;7:6:1;",131072,9000
at_pair_histogram,"-1:-1:1;7:7:1;",262144,13216
at_pair_histogram,"-1:-1:1;7:8:1;",131072,8192
at_pair_histogram,"-1:-1:1;8:-1:1;",131072,16128
at_pair_histogram,"-1:-1:1;8:-8:1;",131072,4608
at_pair_histogram,"-1:-1:1;8:0:1;",262144,16128
at_pair_histogram,"-1:-1:1;8:1:1;",131072,16128
at_pair_histogram,"-1:-1:1;8:7:1;",131072,8048
at_pair_histogram,"-1:-1:1;8:8:1;",262144,7168
at_pair_histogram,"-1:-1:2;",229376,18236
at_pair_histogram,"-1:-2:1;-1:-1:1;",196608,28472
at_pair_histogram,"-1:-2:1;-1:0:1;",262144,35584
at_pair_histogram,"-1:-2:1;-1:1:1;",196608,28472
at_pair_histogram,"-1:-2:1;-1:2:1;",65536,13184
at_pair_histogram,"-1:-2:1;0:-1:1;",131072,25668
at_pair_histogram,"-1:-2:1;0:-2:1;",32768,7680
at_pair_histogram,"-1:-2:1;0:0:1;",196608,35152
at_pair_histogram,"-1:-2:1;0:1:1;",131072,25668
at_pair_histogram,"-1:-2:1;0:2:1;",32768,7680
at_pair_histogram,"-1:-2:1;1:-1:1;",196608,28472
at_pair_histogram,"-1:-2:1;1:-2:1;",65536,13184
at_pair_histogram,"-1:-2:1;1:0:1;",262144,35584
at_pair_histogram,"-1:-2:1;1:1:1;",196608,28472
at_pair_histogram,"-1:-2:1;1:2:1;",65536,13184
at_pair_histogram,"-1:-2:1;2:-1:1;",262144,18000
at_pair_histogram,"-1:-2:1;2:-2:1;",163840,18928
at_pair_histogram,"-1:-2:1;2:-3:1;",65536,8004
at_pair_histogram,"-1:-2:1;2:-4:1;",32768,6222
at_pair_histogram,"-1:-2:1;2:0:1;",163840,14274
at_pair_histogram,"-1:-2:1;2:1:1;",131072,12716
at_pair_histogram,"-1:-2:1;2:2:1;",163840,18928
at_pair_histogram,"-1:-2:1;2:3:1;",65536,10800
at_pair_histogram,"-1:-2:1;3:-1:1;",131072,8024
at_pair_histogram,"-1:-2:1;3:-2:1;",65536,7392
at_pair_histogram,"-1:-2:1;3:-3:1;",65536,5020
at_pair_histogram,"-1:-2:1;3:-4:1;",131072,11832
at_pair_histogram,"-1:-2:1;3:-5:1;",65536,9688
at_pair_histogram,"-1:-2:1;3:0:1;",65536,4720
at_pair_histogram,"-1:-2:1;3:2:1;",65536,7392
at_pair_histogram,"-1:-2:1;3:3:1;",131072,15648
at_pair_histogram,"-1:-2:1;3:4:1;",65536,12208
at_pair_histogram,"-1:-2:1;4:-4:1;",32768,2976
at_pair_histogram,"-1:-2:1;4:-5:1;",65536,7112
at_pair_histogram,"-1:-2:1;4:-6:1;",32768,6484
at_pair_histogram,"-1:-2:1;4:3:1;",65536,9136
at_pair_histogram,"-1:-2:1;4:4:1;",131072,21144
at_pair_histogram,"-1:-2:1;4:5:1;",65536,15624
at_pair_histogram,"-1:-2:1;5:4:1;",65536,9548
at_pair_histogram,"-1:-2:1;5:5:1;",131072,21200
at_pair_histogram,"-1:-2:1;5:6:1;",65536,15456
at_pair_histogram,"-1:-2:1;6:5:1;",65536,8328
at_pair_histogram,"-1:-2:1;6:6:1;",131072,16448
at_pair_histogram,"-1:-2:1;6:7:1;",65536,11072
at_pair_histogram,"-1:-2:1;7:6:1;",65536,7808
at_pair_histogram,"-1:-2:1;7:7:1;",131072,13632
at_pair_histogram,"-1:-2:1;7:8:1;",65536,8840
at_pair_histogram,"-1:-2:1;8:-8:1;",65536,9424
at_pair_histogram,"-1:-2:1;8:7:1;",65536,9184
at_pair_histogram,"-1:-2:1;8:8:1;",131072,15776
at_pair_histogram,"-1:-2:2;",32768,6592
at_pair_histogram,"-1:-3:1;-1:-1:1;",32768,5952
at_pair_histogram,"-1:-3:1;-1:0:1;",65536,10992
at_pair_histogram,"-1:-3:1;-1:1:1;",32768,5952
at_pair_histogram,"-1:-3:1;1:-1:1;",32768,5952
at_pair_histogram,"-1:-3:1;1:0:1;",65536,10992
at_pair_histogram,"-1:-3:1;1:1:1;",32768,5952
at_pair_histogram,"-1:-3:1;2:-1:1;",131072,16048
at_pair_histogram,"-1:-3:1;2:-2:1;",65536,10800
at_pair_histogram,"-1:-3:1;2:0:1;",131072,14220
at_pair_histogram,"-1:-3:1;2:1:1;",131072,10240
at_pair_histogram,"-1:-3:1;2:2:1;",65536,8004
at_pair_histogram,"-1:-3:1;3:-1:1;",262144,12192
at_pair_histogram,"-1:-3:1;3:-2:1;",131072,15648
at_pair_histogram,"-1:-3:1;3:-3:1;",32768,3432
at_pair_histogram,"-1:-3:1;3:-4:1;",65536,8104
at_pair_histogram,"-1:-3:1;3:-5:1;",32768,5384
