rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-5:-6:1;0:-6:1;,1,36992,13872,3425,15.174925682500678,2.0179999104865836
2,-5:-6:1;0:6:1;,1,18496,13872,3425,14.174925682500678,2.0179999104865836
3,-5:6:1;0:-6:1;,3,36992,13872,3425,13.589963181779522,2.0179999104865836
4,-5:6:1;0:6:1;,1,9248,13872,3425,13.174925682500678,2.0179999104865836
5,0:-6:1;5:-6:1;,5,36992,13872,3425,12.852997587613316,2.0179999104865836
6,0:-6:1;5:6:1;,3,18496,13872,3425,12.589963181779522,2.0179999104865836
7,0:6:1;5:-6:1;,7,36992,13872,3425,12.367570760443074,2.0179999104865836
8,0:6:1;5:6:1;,1,4624,13872,3425,12.174925682500678,2.0179999104865836
9,-1:-5:1;5:-7:1;,9,36992,27753826,6935625,12.005000681058366,2.0005888665228024
10,-1:-7:1;5:5:1;,5,18496,15269026,3853125,11.852997587613316,1.9865071419803413
11,-1:5:1;5:7:1;,11,36992,1009766,256875,11.715494063863382,1.974882612186306
12,-1:7:1;5:-5:1;,3,9248,9026626,2311875,11.589963181779522,1.9651234381289788
13,-5:-5:1;-1:-7:1;,13,36992,7778146,2003625,11.474485964359587,1.956813797309293
14,-5:-5:1;1:7:1;,7,18496,6945826,1798125,11.367570760443074,1.9496529542312049
15,-5:-7:1;-1:5:1;,15,36992,44459182,11559375,11.26803508689216,1.9434180092594497
16,-5:-7:1;1:-5:1;,1,2312,2952713,770625,11.174925682500678,1.9379402405099153
17,-5:5:1;-1:7:1;,1,2176,326978,85625,11.087462841250339,1.933089582333282
18,-5:5:1;1:-7:1;,9,18496,5281186,1387125,11.005000681058366,1.9287641519195546
19,-5:7:1;-1:-5:1;,19,36992,55596086,14641875,10.926998169057093,1.9248830066861842
20,-5:7:1;1:5:1;,5,9248,4865026,1284375,10.852997587613316,1.921381026380788
21,1:-5:1;5:7:1;,21,36992,61164538,16183125,10.782608259721918,1.9182052264816838
22,1:-7:1;5:-5:1;,11,18496,2906762,770625,10.715494063863382,1.9153120566271746
23,1:5:1;5:-7:1;,23,36992,4448866,1181625,10.651363726443666,1.9126653900662502
24,1:7:1;5:5:1;,3,4624,8689652,2311875,10.589963181779522,1.9102350063247882
25,-2:-2:1;3:-6:1;,25,36992,24089884,6421875,10.531069492725955,1.907360957790462
26,-2:-6:1;3:2:1;,13,18496,37511044,10018125,10.474485964359587,1.904702898480981
27,-2:2:1;3:6:1;,27,36992,77774524,20806875,10.42003818033721,1.9022373582194236
28,-2:6:1;3:-2:1;,7,9248,447372,119875,10.367570760443074,1.8999441489648714
29,-3:-2:1;-2:-6:1;,29,36992,83279396,22348125,10.316944687373107,1.8978058103808617
30,-3:-2:1;2:6:1;,15,18496,43015916,11559375,10.26803508689216,1.8958071641342855
31,-3:-6:1;-2:2:1;,31,36992,29594756,7963125,10.220729372113803,1.8939349528317704
32,-3:-6:1;2:-2:1;,1,1156,2860522,770625,10.174925682500678,1.8921775454153933
33,-3:2:1;-2:6:1;,33,36992,1714348,462375,10.130531563142226,1.890524695169227
34,-3:2:1;2:-6:1;,1,1088,951388,256875,10.087462841250339,1.8889673396911721
35,-3:6:1;-2:-2:1;,35,36992,99794012,26971875,10.045642665555713,1.8874974345774091
36,-3:6:1;2:2:1;,9,9248,25636612,6935625,10.005000681058366,1.8861078143710681
37,2:-2:1;3:6:1;,37,36992,11699876,3168125,9.965472316871729,1.8847920756989773
38,2:-6:1;3:-2:1;,19,18496,10805132,2928375,9.926998169057093,1.883544478572557
39,2:2:1;3:-6:1;,39,36992,110803756,30054375,9.88952346363843,1.8823598626419558
40,2:6:1;3:2:1;,5,4624,4731508,1284375,9.852997587613316,1.8812335758252692
41,-3:6:1;7:5:1;,41,36992,116156614,31595625,9.817373677882594,1.8782745945963253
42,-7:-5:1;-3:6:1;,21,18496,59378518,16183125,9.782608259721918,1.8754508637196408
43,-7:-5:1;3:-6:1;,43,36992,13484162,3681875,9.74866092779858,1.8727533122132705
44,3:-6:1;7:5:1;,11,9248,6197894,1695375,9.715494063863382,1.8701736629445886
45,-3:-5:1;7:6:1;,45,36992,126551944,34678125,9.683072586171004,1.8676318680799795
46,-7:-6:1;-3:-5:1;,23,18496,64573004,17724375,9.651363726443666,1.8651963884486193
47,-7:-6:1;3:5:1;,47,36992,131740072,36219375,9.620336830823042,1.8628606871830786
48,3:5:1;7:6:1;,3,2312,16791767,4623750,9.589963181779522,1.8606187528031475
49,-3:5:1;7:-6:1;,49,36992,27373502,7552125,9.56021583838547,1.8578254672044188
50,-7:6:1;-3:5:1;,25,18496,69700442,19265625,9.531069492725955,1.8551388153470336
51,-7:6:1;3:-5:1;,3,2176,8349074,2311875,9.502500340529183,1.8525528010769678
52,3:-5:1;7:-6:1;,13,9248,36116908,10018125,9.474485964359587,1.850061869842574
53,-3:-6:1;7:-5:1;,53,36992,48998216,13614375,9.44700522793748,1.8475984688122515
54,-7:5:1;-3:-6:1;,27,18496,74760832,20806875,9.42003818033721,1.8452223227646571
55,-7:5:1;3:6:1;,55,36992,30409736,8476875,9.39356596897602,1.8429288733887528
56,3:6:1;7:-5:1;,7,4624,6440654,1798125,9.367570760443074,1.840713874650378
57,-5:-1:1;0:-6:1;,29,18496,3191716,893925,9.316944687373107,1.836106585783612
58,-5:-1:1;0:6:1;,15,9248,41148976,11559375,9.26803508689216,1.8317931340071467
59,-5:-6:1;0:-1:1;,31,18496,9422556,2654375,9.220729372113803,1.8277462605469585
60,-5:-6:1;0:1:1;,1,578,10913507,3082500,9.174925682500678,1.8239419791429443
61,-5:1:1;0:-6:1;,33,18496,8164828,2311875,9.130531563142226,1.8203590989911955
62,-5:1:1;0:6:1;,1,544,181016,51375,9.087462841250339,1.8169788288184614
63,-5:6:1;0:-1:1;,35,18496,94823212,26971875,9.045642665555713,1.8137844464269604
64,-5:6:1;0:1:1;,9,4624,24332066,6935625,9.005000681058366,1.8107610214118708
65,0:-1:1;5:-6:1;,37,18496,33277772,9504375,8.965472316871729,1.8078951813259287
66,0:-1:1;5:6:1;,19,9248,51169184,14641875,8.926998169057093,1.8051749135476292
67,0:-6:1;5:-1:1;,39,18496,20968684,6010875,8.88952346363843,1.8025893966482687
68,0:-6:1;5:1:1;,5,2312,1490951,428125,8.852997587613316,1.8001288562560143
69,0:1:1;5:-6:1;,41,18496,109853524,31595625,8.817373677882594,1.7977844413618806
70,0:1:1;5:6:1;,21,9248,56179288,16183125,8.782608259721918,1.7955481177622021
71,0:6:1;5:-1:1;,43,18496,38287876,11045625,8.74866092779858,1.7934125759294235
72,0:6:1;5:1:1;,11,4624,533494,154125,8.715494063863382,1.791371151081527
73,-1:-4:1;5:-7:1;,45,18496,39921304,11559375,8.683072586171004,1.7880954506667788
74,-1:-7:1;5:4:1;,23,9248,61079572,17724375,8.651363726443666,1.7849551970435993
75,-1:4:1;5:7:1;,47,18496,124554376,36219375,8.620336830823042,1.7819421525033259
76,-1:7:1;5:-4:1;,3,1156,1763189,513750,8.589963181779522,1.779048734607177
77,-5:-4:1;-1:-7:1;,49,18496,25868968,7552125,8.56021583838547,1.7762679522523692
78,-5:-4:1;1:7:1;,25,9248,65870036,19265625,8.531069492725955,1.7735933490859914
79,-5:-7:1;-1:4:1;,3,1088,2630104,770625,8.502500340529183,1.771018953299256
80,-5:-7:1;1:-4:1;,13,4624,34132634,10018125,8.474485964359587,1.7685392329777152
81,-5:4:1;-1:7:1;,53,18496,138925768,40843125,8.44700522793748,1.7661490563026485
82,-5:4:1;1:-7:1;,27,9248,188428,55485,8.42003818033721,1.7638436559992425
83,-5:7:1;-1:-4:1;,55,18496,13065112,3853125,8.39356596897602,1.7616185975117942
84,-5:7:1;1:4:1;,7,2312,18263933,5394375,8.367570760443074,1.7594697504576542
85,1:-4:1;5:7:1;,57,18496,5500248,1626875,8.342035668335937,1.757393262972252
86,1:-7:1;5:-4:1;,29,9248,75450964,22348125,8.316944687373107,1.75538553860908
87,1:4:1;5:-7:1;,59,18496,30659432,9093375,8.292282633138838,1.7534432155024706
88,1:7:1;5:4:1;,15,4624,12974366,3853125,8.26803508689216,1.7515631475385893
89,-2:7:1;7:6:1;,121,36992,34861492,10360625,8.256062445226084,1.7505232795858894
90,-7:-6:1;-2:7:1;,61,18496,52687012,15669375,8.244188344937793,1.749499726939561
91,-7:-6:1;2:-7:1;,123,36992,106163572,31595625,8.232411177161438,1.7484921083612386
92,2:-7:1;7:6:1;,31,9248,1782552,530875,8.220729372113803,1.747500054406224
