feature_id,feature_value,Nz,Ez
at_projections,"-1.-1.-1.2",1884160,101264
at_projections,"-1.-1.-13.23",32768,2616
at_projections,"-1.-1.-17.30",65536,6672
at_projections,"-1.-1.-5.9",360448,30364
at_projections,"-1.-1.-9.16",114688,15599
at_projections,"-1.-1.3.-5",458752,34864
at_projections,"-1.-1.7.-12",163840,16680
at_projections,"-1.-10.-11.24",65536,7224
at_projections,"-1.-10.-15.31",131072,5120
at_projections,"-1.-10.-3.10",81920,6411
at_projections,"-1.-10.-7.17",16384,3847
at_projections,"-1.-10.1.3",933888,65472
at_projections,"-1.-10.13.-18",344064,22952
at_projections,"-1.-10.17.-25",163840,12064
at_projections,"-1.-10.5.-4",196608,17520
at_projections,"-1.-10.9.-11",114688,15599
at_projections,"-1.-11.-1.7",802816,69858
at_projections,"-1.-11.-13.28",65536,4096
at_projections,"-1.-11.-5.14",98304,11439
at_projections,"-1.-11.11.-14",114688,14533
at_projections,"-1.-11.15.-21",425984,25912
at_projections,"-1.-11.19.-28",98304,8960
at_projections,"-1.-11.27.-42",32768,5102
at_projections,"-1.-11.3.0",163840,13272
at_projections,"-1.-11.7.-7",81920,4185
at_projections,"-1.-12.-15.32",98304,5184
at_projections,"-1.-12.-3.11",16384,2793
at_projections,"-1.-12.-7.18",65536,11200
at_projections,"-1.-12.1.4",802816,69858
at_projections,"-1.-12.13.-17",98304,12024
at_projections,"-1.-12.17.-24",311296,21754
at_projections,"-1.-12.21.-31",65536,4584
at_projections,"-1.-12.5.-3",81920,4448
at_projections,"-1.-12.9.-10",49152,4080
at_projections,"-1.-13.-1.8",720896,93400
at_projections,"-1.-13.-5.15",65536,7476
at_projections,"-1.-13.-9.22",16384,1728
at_projections,"-1.-13.11.-13",32768,4844
at_projections,"-1.-13.15.-20",98304,12064
at_projections,"-1.-13.19.-27",81920,5790
at_projections,"-1.-13.23.-34",65536,9896
at_projections,"-1.-13.3.1",81920,6411
at_projections,"-1.-13.7.-6",131072,3768
at_projections,"-1.-14.-7.19",98304,9558
at_projections,"-1.-14.1.5",720896,93400
at_projections,"-1.-14.13.-16",32768,2616
at_projections,"-1.-14.17.-23",32768,4152
at_projections,"-1.-14.21.-30",65536,10840
at_projections,"-1.-14.25.-37",65536,5472
at_projections,"-1.-14.29.-44",32768,3552
at_projections,"-1.-14.5.-2",65536,4368
at_projections,"-1.-14.9.-9",65536,0
