rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-5.-16.17.-23,1,73984,13872,3425,16.174925682500678,2.0179999104865836
2,-5.1.-17.28,1,36992,13872,3425,15.174925682500678,2.0179999104865836
3,5.-1.17.-28,3,73984,13872,3425,14.589963181779522,2.0179999104865836
4,5.16.-17.23,1,18496,13872,3425,14.174925682500678,2.0179999104865836
5,-18.-50.-2.24,5,73984,15269026,3853125,13.852997587613316,1.9865071419803413
6,-18.-52.2.18,3,36992,9026626,2311875,13.589963181779522,1.9651234381289788
7,-2.-8.18.-28,7,73984,6945826,1798125,13.367570760443074,1.9496529542312049
8,-2.10.-18.26,1,9248,2952713,770625,13.174925682500678,1.9379402405099153
9,-8.-24.16.-18,9,73984,5281186,1387125,13.005000681058366,1.9287641519195546
10,-8.-8.-16.30,5,36992,4865026,1284375,12.852997587613316,1.921381026380788
11,18.50.2.-24,11,73984,2906762,770625,12.715494063863382,1.9153120566271746
12,18.52.-2.-18,3,18496,8689652,2311875,12.589963181779522,1.9102350063247882
13,2.-10.18.-26,13,73984,4171426,1113125,12.474485964359587,1.905925041275323
14,2.8.-18.28,7,36992,4032706,1078875,12.367570760443074,1.9022205096823965
15,8.24.-16.18,15,73984,43111286,11559375,12.26803508689216,1.899002203078771
16,8.8.16.-30,1,4624,1912313,513750,12.174925682500678,1.896180283486334
17,-3.-19.13.-14,1,4352,2861644,770625,12.087462841250339,1.8927433115454293
18,-3.-6.-13.25,9,36992,25700192,6935625,12.005000681058366,1.88968133630664
19,3.19.-13.14,19,73984,1203396,325375,11.926998169057093,1.8869361547338968
20,3.6.13.-25,5,18496,14226314,3853125,11.852997587613316,1.8844610172171843
21,-9.-19.15.-19,21,73984,2203914,599375,11.782608259721918,1.8785371136592135
22,-9.-4.-15.26,11,36992,1242122,339075,11.715494063863382,1.8731305571136012
23,9.19.-15.19,23,73984,64706522,17724375,11.651363726443666,1.8681763781023137
24,9.4.15.-26,3,9248,2804456,770625,11.589963181779522,1.8636200536689007
25,-7.-27.-11.31,25,73984,13966792,3853125,11.531069492725955,1.857899794897587
