feature_id,feature_value,Nz,Ez
norm_margin,"0|M=-1",13312,13312
norm_margin,"0|M=-2",4096,4096
norm_margin,"0|M=1",27648,0
norm_margin,"0|M=2",233984,0
norm_margin,"0|M=3",425472,0
norm_margin,"0|M=4",58678272,0
norm_margin,"0|M=5",19522560,0
norm_margin,"100|M=-1",2682752,2682752
norm_margin,"100|M=-2",119552,119552
norm_margin,"100|M=-3",63744,63744
norm_margin,"100|M=-4",27392,27392
norm_margin,"100|M=1",1594000,0
norm_margin,"100|M=2",7023104,0
norm_margin,"100|M=3",4624720,0
norm_margin,"100|M=4",7115424,0
norm_margin,"100|M=5",1915136,0
norm_margin,"10|M=-1",1970240,1970240
norm_margin,"10|M=-2",93184,93184
norm_margin,"10|M=-3",41984,41984
norm_margin,"10|M=-4",12288,12288
norm_margin,"10|M=1",1637056,0
norm_margin,"10|M=2",6494016,0
norm_margin,"10|M=3",5144768,0
norm_margin,"10|M=4",7462656,0
norm_margin,"10|M=5",2309632,0
norm_margin,"113|M=-1",1934464,1934464
norm_margin,"113|M=-2",149760,149760
norm_margin,"113|M=-3",50944,50944
norm_margin,"113|M=-4",21248,21248
norm_margin,"113|M=1",1276784,0
norm_margin,"113|M=2",7982528,0
norm_margin,"113|M=3",3432176,0
norm_margin,"113|M=4",8362848,0
norm_margin,"113|M=5",1955072,0
norm_margin,"128|M=-1",246016,246016
norm_margin,"128|M=-2",43008,43008
norm_margin,"128|M=-3",4608,4608
norm_margin,"128|M=-4",2816,2816
norm_margin,"128|M=1",160896,0
norm_margin,"128|M=2",3321600,0
norm_margin,"128|M=3",1392640,0
norm_margin,"128|M=4",6179456,0
norm_margin,"128|M=5",1231872,0
norm_margin,"13|M=-1",2223712,2223712
norm_margin,"13|M=-2",103680,103680
norm_margin,"13|M=-3",114368,114368
norm_margin,"13|M=-4",15360,15360
norm_margin,"13|M=-5",3072,3072
norm_margin,"13|M=1",1719488,0
norm_margin,"13|M=2",6354560,0
norm_margin,"13|M=3",5307776,0
norm_margin,"13|M=4",7005472,0
norm_margin,"13|M=5",2318336,0
norm_margin,"16|M=-1",137216,137216
norm_margin,"16|M=-2",6144,6144
norm_margin,"16|M=1",157696,0
norm_margin,"16|M=2",2209792,0
norm_margin,"16|M=3",2371584,0
norm_margin,"16|M=4",5922816,0
norm_margin,"16|M=5",1777664,0
norm_margin,"17|M=-1",1329088,1329088
norm_margin,"17|M=-2",42240,42240
norm_margin,"17|M=-3",79360,79360
norm_margin,"17|M=-4",1536,1536
norm_margin,"17|M=1",841536,0
norm_margin,"17|M=2",5042848,0
norm_margin,"17|M=3",5132896,0
norm_margin,"17|M=4",9685248,0
norm_margin,"17|M=5",3011072,0
norm_margin,"18|M=-1",1031040,1031040
norm_margin,"18|M=-2",41984,41984
norm_margin,"18|M=-3",53248,53248
norm_margin,"18|M=-4",8704,8704
norm_margin,"18|M=-5",1024,1024
norm_margin,"18|M=1",903296,0
norm_margin,"18|M=2",3418112,0
norm_margin,"18|M=3",2505728,0
norm_margin,"18|M=4",3538304,0
norm_margin,"18|M=5",1081472,0
norm_margin,"1|M=-1",9909024,9909024
norm_margin,"1|M=-2",32256,32256
norm_margin,"1|M=-3",11264,11264
norm_margin,"1|M=-4",1536,1536
norm_margin,"1|M=1",201056,0
norm_margin,"1|M=2",1551904,0
norm_margin,"1|M=3",2269984,0
norm_margin,"1|M=4",110256704,0
norm_margin,"1|M=5",39868416,0
norm_margin,"20|M=-1",2635776,2635776
norm_margin,"20|M=-2",96256,96256
norm_margin,"20|M=-3",106496,106496
norm_margin,"20|M=1",1843712,0
norm_margin,"20|M=2",6474080,0
norm_margin,"20|M=3",5085088,0
norm_margin,"20|M=4",6763648,0
norm_margin,"20|M=5",2160768,0
norm_margin,"25|M=-1",2196672,2196672
norm_margin,"25|M=-2",59392,59392
norm_margin,"25|M=-3",138464,138464
norm_margin,"25|M=-4",4608,4608
norm_margin,"25|M=-5",1536,1536
norm_margin,"25|M=1",1460832,0
norm_margin,"25|M=2",8469920,0
norm_margin,"25|M=3",7657024,0
norm_margin,"25|M=4",13710880,0
norm_margin,"25|M=5",4049408,0
norm_margin,"26|M=-1",1995392,1995392
norm_margin,"26|M=-2",30208,30208
norm_margin,"26|M=-3",128320,128320
norm_margin,"26|M=-5",1024,1024
norm_margin,"26|M=1",691392,0
norm_margin,"26|M=2",4079616,0
norm_margin,"26|M=3",5983808,0
norm_margin,"26|M=4",9210944,0
norm_margin,"26|M=5",3045120,0
norm_margin,"29|M=-1",2728448,2728448
norm_margin,"29|M=-2",101376,101376
norm_margin,"29|M=-3",138240,138240
norm_margin,"29|M=-4",1536,1536
norm_margin,"29|M=1",1729728,0
norm_margin,"29|M=2",6649728,0
norm_margin,"29|M=3",4874432,0
norm_margin,"29|M=4",6816384,0
norm_margin,"29|M=5",2125952,0
norm_margin,"2|M=-1",10245632,10245632
norm_margin,"2|M=-2",45056,45056
norm_margin,"2|M=-3",7168,7168
norm_margin,"2|M=-4",4096,4096
norm_margin,"2|M=1",2812736,0
norm_margin,"2|M=2",2109312,0
norm_margin,"2|M=3",2487168,0
