t_norm2,margin,cumulative_weight,total_weight
0,-2,4096,78905344
0,-1,17408,78905344
0,1,45056,78905344
0,2,279040,78905344
0,3,704512,78905344
0,4,59382784,78905344
0,5,78905344,78905344
1,-4,1536,164102144
1,-3,12800,164102144
1,-2,45056,164102144
1,-1,9954080,164102144
1,1,10155136,164102144
1,2,11707040,164102144
1,3,13977024,164102144
1,4,124233728,164102144
1,5,164102144,164102144
10,-4,12288,25165824
10,-3,54272,25165824
10,-2,147456,25165824
10,-1,2117696,25165824
10,1,3754752,25165824
10,2,10248768,25165824
10,3,15393536,25165824
10,4,22856192,25165824
10,5,25165824,25165824
100,-4,27392,25165824
100,-3,91136,25165824
100,-2,210688,25165824
100,-1,2893440,25165824
100,1,4487440,25165824
100,2,11510544,25165824
100,3,16135264,25165824
100,4,23250688,25165824
100,5,25165824,25165824
113,-4,21248,25165824
113,-3,72192,25165824
113,-2,221952,25165824
113,-1,2156416,25165824
113,1,3433200,25165824
113,2,11415728,25165824
113,3,14847904,25165824
113,4,23210752,25165824
113,5,25165824,25165824
128,-4,2816,12582912
128,-3,7424,12582912
128,-2,50432,12582912
128,-1,296448,12582912
128,1,457344,12582912
128,2,3778944,12582912
128,3,5171584,12582912
128,4,11351040,12582912
128,5,12582912,12582912
13,-5,3072,25165824
13,-4,18432,25165824
13,-3,132800,25165824
13,-2,236480,25165824
13,-1,2460192,25165824
13,1,4179680,25165824
13,2,10534240,25165824
13,3,15842016,25165824
13,4,22847488,25165824
13,5,25165824,25165824
16,-2,6144,12582912
16,-1,143360,12582912
16,1,301056,12582912
16,2,2510848,12582912
16,3,4882432,12582912
16,4,10805248,12582912
16,5,12582912,12582912
17,-4,1536,25165824
17,-3,80896,25165824
17,-2,123136,25165824
17,-1,1452224,25165824
17,1,2293760,25165824
17,2,7336608,25165824
17,3,12469504,25165824
17,4,22154752,25165824
17,5,25165824,25165824
18,-5,1024,12582912
18,-4,9728,12582912
18,-3,62976,12582912
18,-2,104960,12582912
18,-1,1136000,12582912
18,1,2039296,12582912
18,2,5457408,12582912
18,3,7963136,12582912
18,4,11501440,12582912
18,5,12582912,12582912
2,-4,4096,88342528
2,-3,11264,88342528
2,-2,56320,88342528
2,-1,10301952,88342528
2,1,13114688,88342528
2,2,15224000,88342528
2,3,17711168,88342528
2,4,68909056,88342528
2,5,88342528,88342528
20,-3,106496,25165824
20,-2,202752,25165824
20,-1,2838528,25165824
20,1,4682240,25165824
20,2,11156320,25165824
20,3,16241408,25165824
20,4,23005056,25165824
20,5,25165824,25165824
25,-5,1536,37748736
25,-4,6144,37748736
25,-3,144608,37748736
25,-2,204000,37748736
25,-1,2400672,37748736
25,1,3861504,37748736
25,2,12331424,37748736
25,3,19988448,37748736
25,4,33699328,37748736
25,5,37748736,37748736
26,-5,1024,25165824
26,-3,129344,25165824
26,-2,159552,25165824
26,-1,2154944,25165824
26,1,2846336,25165824
26,2,6925952,25165824
26,3,12909760,25165824
26,4,22120704,25165824
26,5,25165824,25165824
29,-4,1536,25165824
29,-3,139776,25165824
29,-2,241152,25165824
29,-1,2969600,25165824
29,1,4699328,25165824
29,2,11349056,25165824
29,3,16223488,25165824
29,4,23039872,25165824
29,5,25165824,25165824
32,-1,168960,12582912
32,1,261120,12582912
32,2,3170304,12582912
32,3,5259264,12582912
32,4,11059200,12582912
32,5,12582912,12582912
34,-4,4096,25165824
34,-3,107008,25165824
34,-2,175104,25165824
34,-1,2160576,25165824
34,1,3636736,25165824
34,2,10397504,25165824
34,3,15108352,25165824
34,4,22926336,25165824
34,5,25165824,25165824
36,-3,51200,12582912
36,-2,63488,12582912
36,-1,1614944,12582912
36,1,2230528,12582912
36,2,4582720,12582912
36,3,7768576,12582912
36,4,11393120,12582912
36,5,12582912,12582912
37,-3,129792,25165824
37,-2,151040,25165824
37,-1,3085696,25165824
37,1,4164704,25165824
37,2,9938592,25165824
37,3,15772928,25165824
37,4,22924800,25165824
37,5,25165824,25165824
4,-3,11776,12582912
4,-2,86016,12582912
4,-1,1369568,12582912
4,1,2337024,12582912
4,2,5234592,12582912
4,3,7768320,12582912
4,4,11373824,12582912
4,5,12582912,12582912
40,-4,3072,25165824
40,-3,105472,25165824
40,-2,160768,25165824
40,-1,2890560,25165824
40,1,4209792,25165824
40,2,11307200,25165824
40,3,15970304,25165824
40,4,23127552,25165824
40,5,25165824,25165824
41,-5,512,25165824
41,-3,66560,25165824
41,-2,68096,25165824
41,-1,1077120,25165824
41,1,1408128,25165824
41,2,6287104,25165824
41,3,11442688,25165824
41,4,22147072,25165824
41,5,25165824,25165824
45,-5,256,25165824
45,-4,9216,25165824
45,-3,103424,25165824
45,-2,178944,25165824
45,-1,2820960,25165824
45,1,4506656,25165824
45,2,11765440,25165824
45,3,16221696,25165824
45,4,23173632,25165824
45,5,25165824,25165824
49,-3,30464,12582912
49,-2,35840,12582912
49,-1,1132560,12582912
49,1,1727552,12582912
49,2,5515696,12582912
49,3,7407232,12582912
49,4,11562912,12582912
49,5,12582912,12582912
5,-4,10240,25165824
5,-3,57344,25165824
5,-2,203520,25165824
5,-1,2662752,25165824
5,1,4301280,25165824
5,2,10393408,25165824
5,3,15647648,25165824
5,4,22761984,25165824
5,5,25165824,25165824
50,-5,256,37748736
50,-4,768,37748736
50,-3,156736,37748736
50,-2,169536,37748736
50,-1,3480128,37748736
50,1,4811072,37748736
