feature_value,Nz,delta_ci_num,delta_ci_den,coordinate_errors
A=0.0|t=0.0,1048576,0,1,0/1048576;0/1048576
A=0.0|t=0.1,524288,63,1024,16384/524288;16384/524288
A=0.0|t=0.16,524288,63,1024,16384/524288;16384/524288
A=0.0|t=1.0,524288,63,1024,16384/524288;16384/524288
A=0.0|t=1.1,262144,31,256,16384/262144;16384/262144
A=0.0|t=1.16,262144,31,256,16384/262144;16384/262144
A=0.0|t=16.0,524288,63,1024,16384/524288;16384/524288
A=0.0|t=16.1,262144,31,256,16384/262144;16384/262144
A=0.0|t=16.16,262144,31,256,16384/262144;16384/262144
A=0.10|t=0.0,262144,0,1,0/262144;0/262144
A=0.10|t=0.1,131072,63,1024,4096/131072;4096/131072
A=0.10|t=0.10,131072,255,16384,1024/131072;1024/131072
A=0.10|t=0.11,65536,63,1024,2048/65536;2048/65536
A=0.10|t=0.16,131072,63,1024,4096/131072;4096/131072
A=0.10|t=0.6,65536,375,4096,3072/65536;3072/65536
A=0.10|t=0.7,131072,127,4096,2048/131072;2048/131072
A=0.10|t=0.8,65536,0,1,0/65536;0/65536
A=0.10|t=0.9,65536,0,1,0/65536;0/65536
A=0.10|t=1.0,131072,63,1024,4096/131072;4096/131072
A=0.10|t=1.1,65536,31,256,4096/65536;4096/65536
A=0.10|t=1.10,65536,3535,65536,1792/65536;1792/65536
A=0.10|t=1.11,32768,375,4096,1536/32768;1536/32768
A=0.10|t=1.16,65536,31,256,4096/65536;4096/65536
A=0.10|t=1.6,32768,7455,65536,1920/32768;1920/32768
A=0.10|t=1.7,65536,4527,65536,2304/65536;2304/65536
A=0.10|t=1.8,32768,2535,65536,640/32768;640/32768
A=0.10|t=1.9,32768,9135,262144,576/32768;576/32768
A=0.10|t=10.0,131072,191,8192,1024/131072;2048/131072
A=0.10|t=10.1,65536,4033,65536,1792/65536;2304/65536
A=0.10|t=10.10,65536,108147,2097152,1568/65536;1856/65536
A=0.10|t=10.11,32768,65013,1048576,960/32768;1104/32768
A=0.10|t=10.16,65536,4033,65536,1792/65536;2304/65536
A=0.10|t=10.6,32768,325231,4194304,1232/32768;1360/32768
A=0.10|t=10.7,65536,62531,1048576,1856/65536;2112/65536
A=0.10|t=10.8,32768,473279,4194304,1840/32768;1968/32768
A=0.10|t=10.9,32768,29219,262144,1792/32768;1968/32768
A=0.10|t=11.0,65536,157,2048,2048/65536;3072/65536
A=0.10|t=11.1,32768,1683,16384,1536/32768;1920/32768
A=0.10|t=11.10,32768,68989,1048576,960/32768;1232/32768
A=0.10|t=11.11,16384,173439,2097152,632/16384;752/16384
A=0.10|t=11.16,32768,1683,16384,1536/32768;1920/32768
A=0.10|t=11.6,16384,101863,1048576,752/16384;880/16384
A=0.10|t=11.7,32768,309527,4194304,1104/32768;1360/32768
A=0.10|t=11.8,16384,32707,262144,992/16384;1120/16384
A=0.10|t=11.9,16384,129397,1048576,968/16384;1120/16384
A=0.10|t=16.0,131072,63,1024,4096/131072;4096/131072
A=0.10|t=16.1,65536,31,256,4096/65536;4096/65536
A=0.10|t=16.10,65536,3535,65536,1792/65536;1792/65536
A=0.10|t=16.11,32768,375,4096,1536/32768;1536/32768
