feature_value,coordinate,Nz,Eiz
"A=0.0|t=0.0",0,1048576,0
"A=0.0|t=0.0",1,1048576,0
"A=0.0|t=0.1",0,524288,16384
"A=0.0|t=0.1",1,524288,16384
"A=0.0|t=0.16",0,524288,16384
"A=0.0|t=0.16",1,524288,16384
"A=0.0|t=1.0",0,524288,16384
"A=0.0|t=1.0",1,524288,16384
"A=0.0|t=1.1",0,262144,16384
"A=0.0|t=1.1",1,262144,16384
"A=0.0|t=1.16",0,262144,16384
"A=0.0|t=1.16",1,262144,16384
"A=0.0|t=16.0",0,524288,16384
"A=0.0|t=16.0",1,524288,16384
"A=0.0|t=16.1",0,262144,16384
"A=0.0|t=16.1",1,262144,16384
"A=0.0|t=16.16",0,262144,16384
"A=0.0|t=16.16",1,262144,16384
"A=0.10|t=0.0",0,262144,0
"A=0.10|t=0.0",1,262144,0
"A=0.10|t=0.1",0,131072,4096
"A=0.10|t=0.1",1,131072,4096
"A=0.10|t=0.10",0,131072,1024
"A=0.10|t=0.10",1,131072,1024
"A=0.10|t=0.11",0,65536,2048
"A=0.10|t=0.11",1,65536,2048
"A=0.10|t=0.16",0,131072,4096
"A=0.10|t=0.16",1,131072,4096
"A=0.10|t=0.6",0,65536,3072
"A=0.10|t=0.6",1,65536,3072
"A=0.10|t=0.7",0,131072,2048
"A=0.10|t=0.7",1,131072,2048
"A=0.10|t=0.8",0,65536,0
"A=0.10|t=0.8",1,65536,0
"A=0.10|t=0.9",0,65536,0
"A=0.10|t=0.9",1,65536,0
"A=0.10|t=1.0",0,131072,4096
"A=0.10|t=1.0",1,131072,4096
"A=0.10|t=1.1",0,65536,4096
"A=0.10|t=1.1",1,65536,4096
"A=0.10|t=1.10",0,65536,1792
"A=0.10|t=1.10",1,65536,1792
"A=0.10|t=1.11",0,32768,1536
"A=0.10|t=1.11",1,32768,1536
"A=0.10|t=1.16",0,65536,4096
"A=0.10|t=1.16",1,65536,4096
"A=0.10|t=1.6",0,32768,1920
"A=0.10|t=1.6",1,32768,1920
"A=0.10|t=1.7",0,65536,2304
"A=0.10|t=1.7",1,65536,2304
"A=0.10|t=1.8",0,32768,640
"A=0.10|t=1.8",1,32768,640
"A=0.10|t=1.9",0,32768,576
"A=0.10|t=1.9",1,32768,576
"A=0.10|t=10.0",0,131072,1024
"A=0.10|t=10.0",1,131072,2048
"A=0.10|t=10.1",0,65536,1792
"A=0.10|t=10.1",1,65536,2304
"A=0.10|t=10.10",0,65536,1568
"A=0.10|t=10.10",1,65536,1856
"A=0.10|t=10.11",0,32768,960
"A=0.10|t=10.11",1,32768,1104
"A=0.10|t=10.16",0,65536,1792
"A=0.10|t=10.16",1,65536,2304
"A=0.10|t=10.6",0,32768,1232
"A=0.10|t=10.6",1,32768,1360
"A=0.10|t=10.7",0,65536,1856
"A=0.10|t=10.7",1,65536,2112
"A=0.10|t=10.8",0,32768,1840
"A=0.10|t=10.8",1,32768,1968
"A=0.10|t=10.9",0,32768,1792
"A=0.10|t=10.9",1,32768,1968
"A=0.10|t=11.0",0,65536,2048
"A=0.10|t=11.0",1,65536,3072
"A=0.10|t=11.1",0,32768,1536
"A=0.10|t=11.1",1,32768,1920
"A=0.10|t=11.10",0,32768,960
"A=0.10|t=11.10",1,32768,1232
"A=0.10|t=11.11",0,16384,632
"A=0.10|t=11.11",1,16384,752
"A=0.10|t=11.16",0,32768,1536
"A=0.10|t=11.16",1,32768,1920
"A=0.10|t=11.6",0,16384,752
"A=0.10|t=11.6",1,16384,880
"A=0.10|t=11.7",0,32768,1104
"A=0.10|t=11.7",1,32768,1360
"A=0.10|t=11.8",0,16384,992
"A=0.10|t=11.8",1,16384,1120
"A=0.10|t=11.9",0,16384,968
"A=0.10|t=11.9",1,16384,1120
"A=0.10|t=16.0",0,131072,4096
"A=0.10|t=16.0",1,131072,4096
"A=0.10|t=16.1",0,65536,4096
"A=0.10|t=16.1",1,65536,4096
"A=0.10|t=16.10",0,65536,1792
"A=0.10|t=16.10",1,65536,1792
"A=0.10|t=16.11",0,32768,1536
"A=0.10|t=16.11",1,32768,1536
"A=0.10|t=16.16",0,65536,4096
"A=0.10|t=16.16",1,65536,4096
"A=0.10|t=16.6",0,32768,1920
"A=0.10|t=16.6",1,32768,1920
"A=0.10|t=16.7",0,65536,2304
"A=0.10|t=16.7",1,65536,2304
"A=0.10|t=16.8",0,32768,640
"A=0.10|t=16.8",1,32768,640
"A=0.10|t=16.9",0,32768,576
"A=0.10|t=16.9",1,32768,576
"A=0.10|t=6.0",0,65536,3072
"A=0.10|t=6.0",1,65536,2048
"A=0.10|t=6.1",0,32768,1920
"A=0.10|t=6.1",1,32768,1536
"A=0.10|t=6.10",0,32768,1232
"A=0.10|t=6.10",1,32768,960
"A=0.10|t=6.11",0,16384,752
"A=0.10|t=6.11",1,16384,632
"A=0.10|t=6.16",0,32768,1920
"A=0.10|t=6.16",1,32768,1536
"A=0.10|t=6.6",0,16384,880
"A=0.10|t=6.6",1,16384,752
"A=0.10|t=6.7",0,32768,1360
"A=0.10|t=6.7",1,32768,1104
"A=0.10|t=6.8",0,16384,1120
"A=0.10|t=6.8",1,16384,992
"A=0.10|t=6.9",0,16384,1120
"A=0.10|t=6.9",1,16384,968
"A=0.10|t=7.0",0,131072,2048
"A=0.10|t=7.0",1,131072,1024
"A=0.10|t=7.1",0,65536,2304
