rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=0.12|t=1.16|e=16.16,1,73984,13872,3425,16.174925682500678,2.0179999104865836
2,A=0.12|t=1.1|e=1.16,1,36992,13872,3425,15.174925682500678,2.0179999104865836
3,A=0.12|t=16.16|e=16.1,3,73984,13872,3425,14.589963181779522,2.0179999104865836
4,A=0.12|t=16.1|e=1.1,1,18496,13872,3425,14.174925682500678,2.0179999104865836
5,A=0.5|t=1.16|e=1.1,5,73984,13872,3425,13.852997587613316,2.0179999104865836
6,A=0.5|t=1.1|e=16.1,3,36992,13872,3425,13.589963181779522,2.0179999104865836
7,A=0.5|t=16.16|e=1.16,7,73984,13872,3425,13.367570760443074,2.0179999104865836
8,A=0.5|t=16.1|e=16.16,1,9248,13872,3425,13.174925682500678,2.0179999104865836
9,A=12.0|t=1.16|e=16.1,9,73984,13872,3425,13.005000681058366,2.0179999104865836
10,A=12.0|t=1.1|e=16.16,5,36992,13872,3425,12.852997587613316,2.0179999104865836
11,A=12.0|t=16.16|e=1.1,11,73984,13872,3425,12.715494063863382,2.0179999104865836
12,A=12.0|t=16.1|e=1.16,3,18496,13872,3425,12.589963181779522,2.0179999104865836
13,A=5.0|t=1.16|e=1.16,13,73984,13872,3425,12.474485964359587,2.0179999104865836
14,A=5.0|t=1.1|e=1.1,7,36992,13872,3425,12.367570760443074,2.0179999104865836
15,A=5.0|t=16.16|e=16.16,15,73984,13872,3425,12.26803508689216,2.0179999104865836
16,A=5.0|t=16.1|e=16.1,1,4624,13872,3425,12.174925682500678,2.0179999104865836
17,A=1.12|t=1.16|e=16.16,1,4352,3101378,770625,12.087462841250339,2.0088084795942067
18,A=1.12|t=1.1|e=1.16,9,36992,27753826,6935625,12.005000681058366,2.0005888665228024
19,A=1.12|t=16.16|e=16.1,19,73984,19430626,4880625,11.926998169057093,1.9931945687764598
20,A=1.12|t=16.1|e=1.1,5,18496,15269026,3853125,11.852997587613316,1.9865071419803413
21,A=1.5|t=1.16|e=1.1,21,73984,12772066,3236625,11.782608259721918,1.9804297855737962
22,A=1.5|t=1.1|e=16.1,11,36992,1009766,256875,11.715494063863382,1.974882612186306
23,A=1.5|t=16.16|e=1.16,23,73984,69428782,17724375,11.651363726443666,1.9697991064376699
24,A=1.5|t=16.1|e=16.16,3,9248,9026626,2311875,11.589963181779522,1.9651234381289788
25,A=12.16|t=1.16|e=16.1,25,73984,8333026,2140625,11.531069492725955,1.96080839851878
26,A=12.16|t=1.1|e=16.16,13,36992,7778146,2003625,11.474485964359587,1.956813797309293
27,A=12.16|t=16.16|e=1.1,27,73984,80565686,20806875,11.42003818033721,1.9531052046098245
28,A=12.16|t=16.1|e=1.16,7,18496,6945826,1798125,11.367570760443074,1.9496529542312049
29,A=12.1|t=1.16|e=16.1,29,73984,86134138,22348125,11.316944687373107,1.9464313470756993
30,A=12.1|t=1.1|e=16.16,15,36992,44459182,11559375,11.26803508689216,1.9434180092594497
31,A=12.1|t=16.16|e=1.1,31,73984,6113506,1592625,11.220729372113803,1.940593370992467
32,A=12.1|t=16.1|e=1.16,1,2312,2952713,770625,11.174925682500678,1.9379402405099153
33,A=16.12|t=1.16|e=16.16,33,73984,8842822,2311875,11.130531563142226,1.9354434534194576
34,A=16.12|t=1.1|e=1.16,1,2176,326978,85625,11.087462841250339,1.933089582333282
35,A=16.12|t=16.16|e=16.1,35,73984,102839494,26971875,11.045642665555713,1.93086669502721
36,A=16.12|t=16.1|e=1.1,9,18496,5281186,1387125,11.005000681058366,1.9287641519195546
37,A=16.5|t=1.16|e=1.1,37,73984,36135982,9504375,10.965472316871729,1.926772435606656
38,A=16.5|t=1.1|e=16.1,19,36992,55596086,14641875,10.926998169057093,1.9248830066861842
39,A=16.5|t=16.16|e=1.16,39,73984,113976398,30054375,10.88952346363843,1.9230881812562688
40,A=16.5|t=16.1|e=16.16,5,9248,4865026,1284375,10.852997587613316,1.921381026380788
41,A=5.16|t=1.16|e=1.16,41,73984,4781794,1263825,10.817373677882594,1.9197552705195302
42,A=5.16|t=1.1|e=1.1,21,36992,61164538,16183125,10.782608259721918,1.9182052264816838
43,A=5.16|t=16.16|e=16.16,43,73984,13901478,3681875,10.74866092779858,1.9167257249060559
44,A=5.16|t=16.1|e=16.1,11,18496,2906762,770625,10.715494063863382,1.9153120566271746
45,A=5.1|t=1.16|e=1.16,45,73984,130681754,34678125,10.683072586171004,1.9139599225723969
46,A=5.1|t=1.1|e=1.1,23,36992,4448866,1181625,10.651363726443666,1.9126653900662502
47,A=5.1|t=16.16|e=16.16,47,73984,136250206,36219375,10.620336830823042,1.911424854605904
48,A=5.1|t=16.1|e=16.1,3,4624,8689652,2311875,10.589963181779522,1.9102350063247882
49,A=14.15|t=1.16|e=16.1,49,73984,141786868,37760625,10.56021583838547,1.908769370431154
50,A=14.15|t=1.1|e=16.16,25,36992,24089884,6421875,10.531069492725955,1.907360957790462
51,A=14.15|t=16.16|e=1.1,3,4352,1732844,462375,10.502500340529183,1.9060064806624561
52,A=14.15|t=16.1|e=1.16,13,18496,37511044,10018125,10.474485964359587,1.904702898480981
53,A=14.2|t=1.16|e=16.1,53,73984,50932204,13614375,10.44700522793748,1.9034473950500836
54,A=14.2|t=1.1|e=16.16,27,36992,77774524,20806875,10.42003818033721,1.9022373582194236
55,A=14.2|t=16.16|e=1.1,55,73984,14391044,3853125,10.39356596897602,1.9010703617300544
56,A=14.2|t=16.1|e=1.16,7,9248,447372,119875,10.367570760443074,1.8999441489648714
57,A=15.14|t=1.16|e=16.16,57,73984,163806356,43925625,10.342035668335937,1.8988566183745588
58,A=15.14|t=1.1|e=1.16,29,36992,83279396,22348125,10.316944687373107,1.8978058103808617
59,A=15.14|t=16.16|e=16.1,59,73984,56437076,15155625,10.292282633138838,1.8967898955853455
60,A=15.14|t=16.1|e=1.1,15,18496,43015916,11559375,10.26803508689216,1.8958071641342855
61,A=15.3|t=1.16|e=1.1,61,73984,6992644,1880325,10.244188344937793,1.894856016109544
62,A=15.3|t=1.1|e=16.1,31,36992,29594756,7963125,10.220729372113803,1.8939349528317704
63,A=15.3|t=16.16|e=1.16,63,73984,180320972,48549375,10.197645759000762,1.8930425689764323
64,A=15.3|t=16.1|e=16.16,1,1156,2860522,770625,10.174925682500678,1.8921775454153933
65,A=2.14|t=1.16|e=16.16,65,73984,20647316,5565625,10.152557869472224,1.891338642707306
66,A=2.14|t=1.1|e=1.16,33,36992,1714348,462375,10.130531563142226,1.890524695169227
67,A=2.14|t=16.16|e=16.1,67,73984,191330716,51631875,10.108836492042906,1.8897346054697906
68,A=2.14|t=16.1|e=1.1,1,1088,951388,256875,10.087462841250339,1.8889673396911721
69,A=2.3|t=1.16|e=1.1,69,73984,196835588,53173125,10.06640122572251,1.8882219228131
70,A=2.3|t=1.1|e=16.1,35,36992,99794012,26971875,10.045642665555713,1.8874974345774091
71,A=2.3|t=16.16|e=1.16,71,73984,13489364,3647625,10.025178562995997,1.8867930056962476
72,A=2.3|t=16.1|e=16.16,9,9248,25636612,6935625,10.005000681058366,1.8861078143710681
73,A=3.15|t=1.16|e=1.16,73,73984,207845332,56255625,9.985101123620662,1.8854410830930817
74,A=3.15|t=1.1|e=1.1,37,36992,11699876,3168125,9.965472316871729,1.8847920756989773
75,A=3.15|t=16.16|e=16.16,75,73984,213350204,57796875,9.946106992004799,1.884160094658456
76,A=3.15|t=16.1|e=16.1,19,18496,10805132,2928375,9.926998169057093,1.883544478572557
77,A=3.2|t=1.16|e=1.16,77,73984,6631972,1798125,9.908139141805778,1.8829445998639112
78,A=3.2|t=1.1|e=1.1,39,36992,110803756,30054375,9.88952346363843,1.8823598626419558
79,A=3.2|t=16.16|e=16.16,79,73984,224359948,60879375,9.871144934323576,1.8817897007278421
80,A=3.2|t=16.1|e=16.1,5,4624,4731508,1284375,9.852997587613316,1.8812335758252692
81,A=10.14|t=1.1|e=16.16,81,73984,229712806,62420625,9.835075679616054,1.8797365783975386
82,A=10.3|t=1.16|e=16.1,41,36992,116156614,31595625,9.817373677882594,1.8782745945963253
83,A=14.10|t=1.16|e=16.16,83,73984,3132182,852825,9.799886251153755,1.8768464094833757
84,A=14.7|t=1.1|e=16.1,21,18496,59378518,16183125,9.782608259721918,1.8754508637196408
85,A=3.10|t=1.1|e=1.16,5,4352,14124382,3853125,9.765534746362977,1.8740868504189847
86,A=3.7|t=1.16|e=1.1,43,36992,13484162,3681875,9.74866092779858,1.8727533122132705
87,A=7.14|t=1.16|e=1.16,87,73984,245315338,67044375,9.731982186651951,1.871449238512434
88,A=7.3|t=1.1|e=1.1,11,9248,6197894,1695375,9.715494063863382,1.8701736629445886
89,A=10.14|t=16.1|e=1.16,89,73984,250509824,68585625,9.699192251534281,1.8688890454776343
90,A=10.3|t=16.16|e=1.1,45,36992,126551944,34678125,9.683072586171004,1.8676318680799795
91,A=14.10|t=16.16|e=16.1,91,73984,255697952,70126875,9.667131042301982,1.8664012603797393
92,A=14.7|t=16.1|e=16.16,23,18496,64573004,17724375,9.651363726443666,1.8651963884486193
93,A=3.10|t=16.1|e=1.1,93,73984,1683136,462375,9.635766871392647,1.8640164529132928
94,A=3.7|t=16.16|e=1.16,47,36992,131740072,36219375,9.620336830823042,1.8628606871830786
95,A=7.14|t=16.16|e=16.16,95,73984,266074208,73209375,9.605070074169731,1.8617283557856479
96,A=7.3|t=16.1|e=16.1,3,2312,16791767,4623750,9.589963181779522,1.8606187528031475
97,A=10.14|t=1.16|e=16.1,97,73984,271201646,74750625,9.575012840313551,1.8592083875872463
98,A=10.3|t=1.1|e=16.16,49,36992,27373502,7552125,9.56021583838547,1.8578254672044188
99,A=14.10|t=1.1|e=1.16,99,73984,276268394,76291875,9.54556906242107,1.8564691976675245
100,A=14.7|t=1.16|e=1.1,25,18496,69700442,19265625,9.531069492725955,1.8551388153470336
101,A=3.10|t=1.16|e=16.16,101,73984,281335142,77833125,9.516714199748884,1.853833585532813
102,A=3.7|t=1.1|e=16.1,3,2176,8349074,2311875,9.502500340529183,1.8525528010769678
103,A=7.14|t=1.1|e=1.1,103,73984,57280378,15874875,9.48842515531746,1.851295781112455
104,A=7.3|t=1.16|e=1.16,13,9248,36116908,10018125,9.474485964359587,1.850061869842574
105,A=10.14|t=16.16|e=1.1,105,73984,58292456,16183125,9.460680164834557,1.8488189645834088
106,A=10.3|t=16.1|e=1.16,53,36992,48998216,13614375,9.44700522793748,1.8475984688122515
107,A=14.10|t=16.1|e=1.1,107,73984,296516312,82456875,9.433458696099532,1.846399781456668
108,A=14.7|t=16.16|e=1.16,27,18496,74760832,20806875,9.42003818033721,1.8452223227646571
109,A=3.10|t=16.16|e=16.1,109,73984,33507816,9333125,9.406741357723753,1.8440655333670093
110,A=3.7|t=16.1|e=16.16,55,36992,30409736,8476875,9.39356596897602,1.8429288733887528
111,A=7.14|t=16.1|e=16.1,111,73984,306624376,85539375,9.380509816150573,1.8418118216067063
112,A=7.3|t=16.16|e=16.16,7,4624,6440654,1798125,9.367570760443074,1.840713874650378
