feature_id,feature_value,Nz,Ez
t_autocorrelation,"-10",12582912,1077472
t_autocorrelation,"-112",12582912,1078208
t_autocorrelation,"-12",25165824,2772944
t_autocorrelation,"-128",6291456,148224
t_autocorrelation,"-14",12582912,1278176
t_autocorrelation,"-16",25165824,2124800
t_autocorrelation,"-18",6291456,568000
t_autocorrelation,"-2",44171264,5150976
t_autocorrelation,"-20",12582912,1484800
t_autocorrelation,"-24",25165824,2333808
t_autocorrelation,"-28",12582912,1274304
t_autocorrelation,"-30",12582912,1080288
t_autocorrelation,"-32",18874368,1470128
t_autocorrelation,"-36",12582912,1410480
t_autocorrelation,"-4",12582912,1331376
t_autocorrelation,"-40",12582912,538560
t_autocorrelation,"-42",12582912,1229696
t_autocorrelation,"-48",25165824,2570816
t_autocorrelation,"-50",6291456,461888
t_autocorrelation,"-56",12582912,1294512
t_autocorrelation,"-6",12582912,1058848
t_autocorrelation,"-60",12582912,1659760
t_autocorrelation,"-64",12582912,368128
t_autocorrelation,"-70",12582912,1353168
t_autocorrelation,"-72",6291456,804480
t_autocorrelation,"-8",18874368,1344512
t_autocorrelation,"-80",12582912,685312
t_autocorrelation,"-84",12582912,1374464
t_autocorrelation,"-96",12582912,1446720
t_autocorrelation,"-98",6291456,585000
t_autocorrelation,"0",331087872,15920304
t_autocorrelation,"10",12582912,1077472
t_autocorrelation,"112",12582912,1078208
t_autocorrelation,"12",25165824,2772944
t_autocorrelation,"128",6291456,148224
t_autocorrelation,"14",12582912,1278176
t_autocorrelation,"16",25165824,2124800
t_autocorrelation,"18",6291456,568000
t_autocorrelation,"2",44171264,5150976
t_autocorrelation,"20",12582912,1484800
t_autocorrelation,"24",25165824,2333808
t_autocorrelation,"28",12582912,1274304
t_autocorrelation,"30",12582912,1080288
t_autocorrelation,"32",18874368,1470128
t_autocorrelation,"36",12582912,1410480
t_autocorrelation,"4",12582912,1331376
t_autocorrelation,"40",12582912,538560
t_autocorrelation,"42",12582912,1229696
t_autocorrelation,"48",25165824,2570816
t_autocorrelation,"50",6291456,461888
t_autocorrelation,"56",12582912,1294512
t_autocorrelation,"6",12582912,1058848
t_autocorrelation,"60",12582912,1659760
t_autocorrelation,"64",12582912,368128
t_autocorrelation,"70",12582912,1353168
t_autocorrelation,"72",6291456,804480
t_autocorrelation,"8",18874368,1344512
t_autocorrelation,"80",12582912,685312
t_autocorrelation,"84",12582912,1374464
t_autocorrelation,"96",12582912,1446720
t_autocorrelation,"98",6291456,585000
