rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-60,3,289,5995883,3699000,6.589963181779523,0.6968369312283577
2,60,6,289,5995883,3699000,5.589963181779523,0.6968369312283577
3,-72,15,578,297959,184950,5.26803508689216,0.6879785249700673
4,72,9,289,8902067,5548500,5.005000681058367,0.6820425578641375
5,-20,12,289,3861329,2466000,4.589963181779523,0.646924682911726
6,20,15,289,14265907,9247500,4.26803508689216,0.6254361732578942
7,-2,817,9248,942794296,629600625,3.5007334143549955,0.5825060571657927
8,2,577,4624,657476156,444650625,3.0024981738551966,0.5642663611428511
9,-96,625,4624,709738916,481640625,2.8872133029512295,0.5593313291393646
10,96,673,4624,762001676,518630625,2.780462987890362,0.5550867714231708
11,-36,721,4624,812955266,555620625,2.6810702332598564,0.5490758140787106
12,36,769,4624,863908856,592610625,2.5880858945388523,0.5437946205770676
13,-12,865,4624,107120162,74065625,2.418369359976592,0.532354021658404
14,12,961,4624,212850812,148114125,2.2665330617269284,0.5231333630967264
15,-84,1009,4624,1113906572,777560625,2.1962152233943217,0.518601163816742
16,84,1057,4624,2831044,1981875,2.129166021117996,0.5144681994113683
17,-70,65,272,23773378,16696875,2.0650950282218847,0.509768800807188
18,70,1153,4624,420441824,296176875,2.003748884848907,0.505447188629612
19,-4,1201,4624,29098254,20567125,1.9449052467950445,0.5005924497174395
20,4,1249,4624,452505796,320836875,1.8883679208927213,0.4960963055869331
21,-56,1297,4624,468093878,333166875,1.8339629182489794,0.490552928396769
22,56,1345,4624,32245464,23033125,1.7815352250566923,0.48538606867419887
23,-48,1441,4624,1543916608,1110470625,1.6820710623259314,0.47542359987847027
24,48,1537,4624,1636787336,1184450625,1.5890242328099073,0.4666488282952651
25,-14,1585,4624,186995716,135715625,1.5446585574739091,0.4624183904646311
26,14,1633,4624,1729135552,1258430625,1.5016166069389838,0.45842528497515256
27,-28,1681,4624,43296824,31595625,1.4598216732645115,0.4545363968633723
28,28,1729,4624,1821204016,1332410625,1.419203528858397,0.45085378220170874
29,-42,1777,4624,1865626784,1369400625,1.3796977164720008,0.4461158299561898
30,42,1825,4624,212227728,156265625,1.341244933845937,0.44161270764934035
31,-98,1849,4624,214575853,158320625,1.3223961730964828,0.43863852070119225
32,98,1873,4624,216923978,160375625,1.3037904982576336,0.435734644515723
33,-24,1969,4624,226291624,168595625,1.2316782865991251,0.4246160860995111
34,24,2065,4624,6733122,5051875,1.1629996161938712,0.4144566632584953
35,-18,2089,4624,428290486,321967125,1.1463289054335706,0.41167624267522746
36,18,2113,4624,432394286,325666125,1.1298486305657383,0.4089537963845189
37,-30,2161,4624,2200996834,1665320625,1.0974423256411716,0.40235710317640977
38,30,2209,4624,2240022238,1702310625,1.065747979145404,0.3960187415031251
39,-112,2257,4624,2278972502,1739300625,1.0347349793088427,0.38987620404404394
40,112,2305,4624,257546974,197365625,1.0043746471839785,0.38396485075745984
41,-10,2353,4624,2356846442,1813280625,0.9746400772763815,0.37825554909060405
42,10,2401,4624,342252874,264324375,0.9455059942702624,0.3727531852506575
43,-16,2497,4624,2472528518,1924250625,0.8889455765724666,0.3616904451467314
44,16,2593,4624,283254102,222025625,0.8345191916473843,0.35137065460474337
45,-6,2641,4624,2587537802,2035220625,0.8080570963335858,0.34639474333278003
46,6,2689,4624,2625788686,2072210625,0.7820716426278059,0.3415801681715551
47,-32,2761,4624,535779412,425539125,0.7439505099126096,0.3323473623138272
48,32,2833,4624,910668478,727726875,0.7068107961225804,0.3235288568289198
49,-50,2857,4624,2748691138,2201675625,0.694640361564307,0.32014287383505147
50,50,2881,4624,2765376842,2220170625,0.6825717373408083,0.3168055369216754
51,-8,2953,4624,937982446,758551875,0.6469600413667247,0.3063130782146336
52,8,3025,4624,260228894,211921875,0.6122062554513596,0.29624864447133925
53,-80,3073,4624,192484982,157875375,0.5894936309077166,0.2859597278822967
54,80,3121,4624,2912031626,2405120625,0.5671330405814686,0.2759167720667558
55,0,274,289,108973519,105575625,0.07689359954015212,0.0457008091253041
56,-40,277,289,438326011,426926250,0.06118351645149044,0.03801742244153284
57,40,280,289,220378973,215775000,0.04564266555571241,0.030458856939297563
58,-64,283,289,221210137,218086875,0.030267439668796473,0.020514551198996856
59,64,286,289,74013767,73466250,0.01505434572228947,0.0107120097453216
60,-128,575,578,148250642,147703125,0.007507536668941203,0.0053380024174984695
61,128,1,1,1,1,-0.0,0.0
