rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-5:1;6:1;,3,578,5995883,3699000,7.589963181779523,0.6968369312283577
2,-6:1;-5:1;,3,289,5995883,3699000,6.589963181779523,0.6968369312283577
3,-6:1;5:1;,9,578,5995883,3699000,6.005000681058367,0.6968369312283577
4,5:1;6:1;,6,289,5995883,3699000,5.589963181779523,0.6968369312283577
5,-6:1;0:1;,15,578,24847931,15412500,5.26803508689216,0.6890248340081906
6,0:1;6:1;,9,289,22282189,13871250,5.005000681058367,0.6837931686724256
7,-6:1;6:1;,21,578,25914919,16183125,4.782608259721918,0.679292661904202
8,-6:2;,45,1156,55462568,34678125,4.683072586171004,0.6774885207954943
9,6:2;,12,289,29547649,18495000,4.589963181779523,0.6759080444595711
10,-1:1;6:1;,27,578,66062221,41613750,4.42003818033721,0.6667651716826215
11,-6:1;-1:1;,15,289,6085762,3853125,4.26803508689216,0.6594089249920309
12,-6:1;1:1;,33,578,79996067,50861250,4.130531563142226,0.6533621526623278
13,1:1;6:1;,18,289,8696299,5548500,4.005000681058367,0.6483037434141534
14,-4:1;6:1;,39,578,8337361,5343000,3.8895234636384304,0.6419407868088194
15,-6:1;-4:1;,21,289,40251053,25893000,3.7826082597219184,0.6364643981542769
16,-6:1;4:1;,45,578,85967963,55485000,3.6830725861710043,0.63170132104905
17,4:1;6:1;,24,289,1523897,986400,3.5899631817795226,0.6275206897029474
18,-2:1;5:1;,3,34,284699,184950,3.502500340529183,0.6223021251873795
19,-5:1;-2:1;,27,289,204323,133164,3.4200381803372104,0.6176475007437701
20,-5:1;2:1;,57,578,199121,130150,3.3420356683359373,0.6134700690261332
21,2:1;5:1;,30,289,5644459,3699000,3.2680350868921604,0.609700010311423
22,-1:1;1:1;,1297,9248,10956568,7295625,2.833962918248979,0.5866924828898183
23,-1:2;,2931,18496,3374257648,2258701875,2.6577484298111376,0.579076274959332
24,1:2;,817,4624,936603916,629600625,2.5007334143549955,0.5730020970494033
25,-6:1;8:1;,841,4624,962735296,648095625,2.4589636922455345,0.5709324885851078
26,-8:1;-6:1;,865,4624,988866676,666590625,2.418369359976592,0.5689749952858073
27,-8:1;6:1;,889,4624,1014998056,685085625,2.378886073670909,0.5671207454601269
28,6:1;8:1;,913,4624,1041129436,703580625,2.340454632516457,0.5653617795487808
29,-2:1;6:1;,937,4624,1067234806,722075625,2.3030204448414917,0.5636557757572567
30,-6:1;-2:1;,961,4624,1093340176,740570625,2.2665330617269284,0.5620331125138655
31,-6:1;2:1;,985,4624,1119445546,759065625,2.23094576815694,0.5604878275283877
32,2:1;6:1;,1009,4624,1145550916,777560625,2.1962152233943217,0.5590145140819731
33,-2:1;4:1;,1033,4624,1171186372,796055625,2.162301143635619,0.5570295227088294
34,-4:1;-2:1;,1057,4624,1196821828,814550625,2.129166021117996,0.5551321215397595
35,-4:1;2:1;,1081,4624,1222457284,833045625,2.096774874766029,0.5533166366481628
36,2:1;4:1;,65,272,14683444,10018125,2.0650950282218847,0.5515778739353921
37,-3:1;6:1;,1129,4624,254713907,174007125,2.034095911727678,0.5497313500242512
38,-6:1;-3:1;,1153,4624,1896418,1297125,2.003748884848907,0.5479594772629275
39,-6:1;3:1;,1177,4624,2119237,1451241,1.9740270774622346,0.546257817099878
40,3:1;6:1;,1201,4624,269999984,185104125,1.9449052467950445,0.5446222761114028
41,-2:1;8:1;,1225,4624,458342729,314671875,1.916359648610746,0.5425785492019276
42,-8:1;-2:1;,1249,4624,1400056454,962510625,1.8883679208927213,0.5406106300703701
43,-8:1;2:1;,1273,4624,75004459,51631875,1.860908978599321,0.5387143758895132
44,2:1;8:1;,1297,4624,483370996,333166875,1.8339629182489794,0.5368859404201543
45,-6:1;7:1;,1321,4624,1474939244,1017995625,1.8075109312538513,0.5349241666954024
46,-7:1;-6:1;,1345,4624,11998124,8291925,1.7815352250566923,0.5330298743547655
47,-7:1;6:1;,1369,4624,169399084,117220625,1.756018951242779,0.5311996388663627
48,6:1;7:1;,1393,4624,1549418012,1073480625,1.730946139899426,0.5294302636601923
49,-2:1;0:1;,1417,4624,1574155834,1091975625,1.7063016395826602,0.5276377150328455
50,0:1;2:1;,1441,4624,532964552,370156875,1.6820710623259314,0.5259027567928932
51,-5:1;7:1;,1465,4624,541111751,376321875,1.6582407331910685,0.5239594183633551
52,-7:1;-5:1;,1489,4624,21970358,15299475,1.634797643918579,0.5220762303828592
53,-7:1;5:1;,89,272,32788597,22861875,1.6117294102839417,0.5202504412037589
54,5:1;7:1;,1537,4624,565553348,394816875,1.5890242328099073,0.5184794645829344
55,-1:1;2:1;,1561,4624,573569341,400981875,1.56667086052277,0.5164308836176235
56,-2:1;-1:1;,1585,4624,193861778,135715625,1.5446585574739091,0.5144415597129331
57,-2:1;1:1;,1609,4624,589601327,413311875,1.5229770717772326,0.5125089566162527
58,1:1;2:1;,1633,4624,119523464,83895375,1.5016166069389838,0.5106306808763512
59,-4:1;7:1;,1657,4624,201803787,141880625,1.480567795279227,0.5082756573244085
60,-7:1;-4:1;,1681,4624,613205402,431806875,1.4598216732645115,0.5059841930286204
61,-7:1;4:1;,1705,4624,620999443,437971875,1.439369658589144,0.5037537463899141
62,4:1;7:1;,1729,4624,209597828,148045625,1.419203528858397,0.5015819096795199
63,-1:1;7:1;,1753,4624,1909467506,1350905625,1.3993154017411407,0.49924347865537333
64,-7:1;-1:1;,1777,4624,386510912,273880125,1.3796977164720008,0.4969645689861024
65,-7:1;1:1;,1801,4624,651880538,462631875,1.3603432165944027,0.49474293394856095
66,1:1;7:1;,1825,4624,1978728668,1406390625,1.341244933845937,0.4925764386215345
67,-2:1;7:1;,1849,4624,2001745784,1424885625,1.3223961730964828,0.4904126482851908
68,-7:1;-2:1;,1873,4624,80990516,57735225,1.3037904982576336,0.48830118390116567
69,-7:1;2:1;,1897,4624,2047780016,1461875625,1.2854217190892032,0.4862401679017739
70,2:1;7:1;,113,272,121811596,87080625,1.2672838788351517,0.48422781158631595
71,-2:1;2:1;,1945,4624,2093136832,1498865625,1.2493712426271246,0.4817955763241693
72,-2:2;,1957,4624,2104306682,1508113125,1.2404976418738751,0.4806003279716512
73,2:2;,1969,4624,235052948,168595625,1.2316782865991251,0.4794186754045524
