feature_id,feature_value,Nz,Ez
t_norm2,"0",78905344,17408
t_norm2,"1",164102144,9954080
t_norm2,"10",25165824,2117696
t_norm2,"100",25165824,2893440
t_norm2,"113",25165824,2156416
t_norm2,"128",12582912,296448
t_norm2,"13",25165824,2460192
t_norm2,"16",12582912,143360
t_norm2,"17",25165824,1452224
t_norm2,"18",12582912,1136000
t_norm2,"2",88342528,10301952
t_norm2,"20",25165824,2838528
t_norm2,"25",37748736,2400672
t_norm2,"26",25165824,2154944
t_norm2,"29",25165824,2969600
t_norm2,"32",12582912,168960
t_norm2,"34",25165824,2160576
t_norm2,"36",12582912,1614944
t_norm2,"37",25165824,3085696
t_norm2,"4",12582912,1369568
t_norm2,"40",25165824,2890560
t_norm2,"41",25165824,1077120
t_norm2,"45",25165824,2820960
t_norm2,"49",12582912,1132560
t_norm2,"5",25165824,2662752
t_norm2,"50",37748736,3480128
t_norm2,"52",25165824,3026080
t_norm2,"53",25165824,2548608
t_norm2,"58",25165824,2459392
t_norm2,"61",25165824,3319520
t_norm2,"64",12582912,172032
t_norm2,"65",50331648,4000096
t_norm2,"68",25165824,2771296
t_norm2,"72",12582912,1608960
t_norm2,"73",25165824,2115552
t_norm2,"74",25165824,2706336
t_norm2,"8",12582912,1236800
t_norm2,"80",25165824,736256
t_norm2,"85",25165824,2748928
t_norm2,"89",25165824,1370624
t_norm2,"9",12582912,892736
t_norm2,"98",12582912,1170000
